LONDON	london	LONDON
Reuters	reuter	Reuters
-	-	-
Britain	britain	Britain
s	s	s
Supreme	suprem	Supreme
Court	court	Court
would	would	would
like	like	like
clearer	clearer	clearer
guidance	guidanc	guidance
from	from	from
parliament	parliament	parliament
on	on	on
how	how	how
it	it	it
should	should	should
deal	deal	deal
with	with	with
European	european	European
Union	union	Union
court	court	court
judgments	judgment	judgment
after	after	after
Brexit	brexit	Brexit
,	,	,
its	it	it
new	new	new
president	presid	president
said	said	said
on	on	on
Thursday	thursday	Thursday
.	.	.
The	the	The
issue	issu	issue
of	of	of
what	what	what
weight	weight	weight
,	,	,
if	if	if
any	ani	any
,	,	,
judgments	judgment	judgment
of	of	of
the	the	the
European	european	European
Court	court	Court
of	of	of
Justice	justic	Justice
ECJ	ecj	ECJ
will	will	will
have	have	have
in	in	in
British	british	British
law	law	law
after	after	after
the	the	the
United	unit	United
Kingdom	kingdom	Kingdom
leaves	leav	leaf
the	the	the
European	european	European
Union	union	Union
is	is	is
one	one	one
of	of	of
many	mani	many
thorny	thorni	thorny
areas	area	area
in	in	in
the	the	the
Brexit	brexit	Brexit
negotiations	negoti	negotiation
.	.	.
Brenda	brenda	Brenda
Hale	hale	Hale
,	,	,
who	who	who
was	was	wa
sworn	sworn	sworn
in	in	in
as	as	a
president	presid	president
of	of	of
the	the	the
Supreme	suprem	Supreme
Court	court	Court
on	on	on
Monday	monday	Monday
after	after	after
serving	serv	serving
as	as	a
one	one	one
of	of	of
its	it	it
justices	justic	justice
for	for	for
13	13	13
years	year	year
,	,	,
said	said	said
she	she	she
and	and	and
her	her	her
colleagues	colleagu	colleague
were	were	were
looking	look	looking
for	for	for
guidance	guidanc	guidance
from	from	from
parliament	parliament	parliament
on	on	on
the	the	the
issue	issu	issue
.	.	.
We	we	We
hope	hope	hope
that	that	that
the	the	the
European	european	European
Union	union	Union
Act	act	Act
,	,	,
when	when	when
it	it	it
s	s	s
eventually	eventu	eventually
passed	pass	passed
,	,	,
will	will	will
tell	tell	tell
us	us	u
what	what	what
we	we	we
should	should	should
be	be	be
doing	do	doing
-	-	-
giving	give	giving
us	us	u
the	the	the
power	power	power
to	to	to
take	take	take
into	into	into
account	account	account
,	,	,
or	or	or
saying	say	saying
we	we	we
must	must	must
take	take	take
into	into	into
account	account	account
,	,	,
or	or	or
saying	say	saying
we	we	we
must	must	must
ignore	ignor	ignore
,	,	,
she	she	she
told	told	told
reporters	report	reporter
.	.	.
Whatever	whatev	Whatever
parliament	parliament	parliament
decides	decid	decides
we	we	we
should	should	should
do	do	do
,	,	,
we	we	we
would	would	would
like	like	like
to	to	to
be	be	be
told	told	told
because	becaus	because
then	then	then
we	we	we
ll	ll	ll
get	get	get
on	on	on
and	and	and
do	do	do
it	it	it
.	.	.
A	a	A
government	govern	government
policy	polici	policy
paper	paper	paper
issued	issu	issued
in	in	in
August	august	August
said	said	said
Britain	britain	Britain
wished	wish	wished
to	to	to
leave	leav	leave
the	the	the
direct	direct	direct
jurisdiction	jurisdict	jurisdiction
of	of	of
the	the	the
ECJ	ecj	ECJ
while	while	while
also	also	also
recognizing	recogn	recognizing
that	that	that
future	futur	future
civil	civil	civil
judicial	judici	judicial
cooperation	cooper	cooperation
would	would	would
need	need	need
to	to	to
take	take	take
into	into	into
account	account	account
regional	region	regional
legal	legal	legal
arrangements	arrang	arrangement
such	such	such
as	as	a
the	the	the
ECJ	ecj	ECJ
.	.	.
The	the	The
European	european	European
Union	union	Union
says	say	say
that	that	that
for	for	for
certain	certain	certain
issues	issu	issue
,	,	,
such	such	such
as	as	a
the	the	the
rights	right	right
of	of	of
EU	eu	EU
citizens	citizen	citizen
in	in	in
Britain	britain	Britain
,	,	,
the	the	the
ECJ	ecj	ECJ
must	must	must
continue	continu	continue
to	to	to
have	have	have
its	it	it
say	say	say
-	-	-
a	a	a
stance	stanc	stance
strongly	strong	strongly
rejected	reject	rejected
by	by	by
the	the	the
most	most	most
ardent	ardent	ardent
advocates	advoc	advocate
of	of	of
Brexit	brexit	Brexit
.	.	.
Hale	hale	Hale
said	said	said
the	the	the
government	govern	government
policy	polici	policy
papers	paper	paper
issued	issu	issued
over	over	over
the	the	the
summer	summer	summer
were	were	were
at	at	at
quite	quit	quite
a	a	a
high	high	high
level	level	level
of	of	of
generality	general	generality
and	and	and
described	describ	described
them	them	them
as	as	a
aspirational	aspir	aspirational
.	.	.
But	but	But
she	she	she
praised	prais	praised
the	the	the
formulation	formul	formulation
used	use	used
by	by	by
Prime	prime	Prime
Minister	minist	Minister
Theresa	theresa	Theresa
May	may	May
in	in	in
a	a	a
major	major	major
speech	speech	speech
on	on	on
Brexit	brexit	Brexit
in	in	in
Florence	florenc	Florence
on	on	on
Sept	sept	Sept
.	.	.
22	22	22
.	.	.
May	may	May
said	said	said
that	that	that
where	where	where
there	there	there
was	was	wa
uncertainty	uncertainti	uncertainty
around	around	around
EU	eu	EU
law	law	law
,	,	,
she	she	she
wanted	want	wanted
UK	uk	UK
courts	court	court
to	to	to
be	be	be
able	abl	able
to	to	to
take	take	take
into	into	into
account	account	account
ECJ	ecj	ECJ
judgments	judgment	judgment
.	.	.
Take	take	Take
account	account	account
is	is	is
quite	quit	quite
useful	use	useful
because	becaus	because
it	it	it
does	doe	doe
give	give	give
one	one	one
the	the	the
power	power	power
to	to	to
take	take	take
it	it	it
into	into	into
account	account	account
,	,	,
but	but	but
also	also	also
the	the	the
power	power	power
to	to	to
say	say	say
for	for	for
the	the	the
following	follow	following
good	good	good
reasons	reason	reason
,	,	,
we	we	we
think	think	think
something	someth	something
else	els	else
,	,	,
said	said	said
Hale	hale	Hale
.	.	.
Her	her	Her
deputy	deputi	deputy
,	,	,
Jonathan	jonathan	Jonathan
Mance	manc	Mance
,	,	,
said	said	said
the	the	the
form	form	form
of	of	of
words	word	word
used	use	used
in	in	in
the	the	the
EU	eu	EU
Withdrawal	withdraw	Withdrawal
Bill	bill	Bill
currently	current	currently
going	go	going
through	through	through
parliament	parliament	parliament
was	was	wa
a	a	a
weaker	weaker	weaker
formula	formula	formula
.	.	.
The	the	The
bill	bill	bill
says	say	say
that	that	that
British	british	British
courts	court	court
need	need	need
not	not	not
have	have	have
regard	regard	regard
to	to	to
anything	anyth	anything
done	done	done
on	on	on
or	or	or
after	after	after
exit	exit	exit
day	day	day
by	by	by
the	the	the
European	european	European
Court	court	Court
.	.	.
.	.	.
.	.	.
but	but	but
may	may	may
do	do	do
so	so	so
if	if	if
it	it	it
considers	consid	considers
it	it	it
appropriate	appropri	appropriate
to	to	to
do	do	do
so	so	so
.	.	.
