GENEVA	geneva	GENEVA
Reuters	reuter	Reuters
-	-	-
Aung	aung	Aung
San	san	San
Suu	suu	Suu
Kyi	kyi	Kyi
has	has	ha
set	set	set
out	out	out
plans	plan	plan
for	for	for
a	a	a
new	new	new
humanitarian	humanitarian	humanitarian
project	project	project
to	to	to
enable	enabl	enable
Myanmar	myanmar	Myanmar
s	s	s
Rakhine	rakhin	Rakhine
State	state	State
to	to	to
emerge	emerg	emerge
as	as	a
a	a	a
peaceful	peac	peaceful
and	and	and
developed	develop	developed
region	region	region
,	,	,
which	which	which
a	a	a
close	close	close
adviser	advis	adviser
said	said	said
showed	show	showed
her	her	her
determination	determin	determination
to	to	to
fix	fix	fix
the	the	the
country	countri	country
s	s	s
refugee	refuge	refugee
crisis	crisi	crisis
.	.	.
Suu	suu	Suu
Kyi	kyi	Kyi
said	said	said
in	in	in
a	a	a
televised	televis	televised
address	address	address
on	on	on
Thursday	thursday	Thursday
evening	even	evening
that	that	that
she	she	she
would	would	would
invite	invit	invite
aid	aid	aid
organizations	organ	organization
,	,	,
business	busi	business
leaders	leader	leader
and	and	and
civil	civil	civil
society	societi	society
to	to	to
take	take	take
part	part	part
in	in	in
the	the	the
initiative	initi	initiative
,	,	,
which	which	which
aims	aim	aim
to	to	to
defuse	defus	defuse
the	the	the
violence	violenc	violence
that	that	that
has	has	ha
caused	caus	caused
536	536	536
,	,	,
000	000	000
Rohingya	rohingya	Rohingya
Muslims	muslim	Muslims
to	to	to
flee	flee	flee
from	from	from
Rakhine	rakhin	Rakhine
State	state	State
to	to	to
Bangladesh	bangladesh	Bangladesh
in	in	in
the	the	the
past	past	past
two	two	two
months	month	month
.	.	.
What	what	What
she	she	she
s	s	s
interested	interest	interested
in	in	in
is	is	is
how	how	how
to	to	to
fix	fix	fix
this	this	this
,	,	,
how	how	how
to	to	to
.	.	.
.	.	.
.	.	.
give	give	give
the	the	the
civilian	civilian	civilian
government	govern	government
,	,	,
as	as	a
opposed	oppos	opposed
to	to	to
the	the	the
military	militari	military
,	,	,
the	the	the
power	power	power
to	to	to
deliver	deliv	deliver
aid	aid	aid
,	,	,
reconciliation	reconcili	reconciliation
and	and	and
rebuilding	rebuild	rebuilding
,	,	,
said	said	said
the	the	the
adviser	advis	adviser
,	,	,
who	who	who
briefed	brief	briefed
reporters	report	reporter
,	,	,
by	by	by
telephone	telephon	telephone
,	,	,
on	on	on
condition	condit	condition
of	of	of
anonymity	anonym	anonymity
.	.	.
That	that	That
s	s	s
the	the	the
task	task	task
she	she	she
has	has	ha
set	set	set
herself	herself	herself
.	.	.
In	in	In
her	her	her
speech	speech	speech
,	,	,
Suu	suu	Suu
Kyi	kyi	Kyi
said	said	said
that	that	that
although	although	although
the	the	the
government	govern	government
may	may	may
not	not	not
be	be	be
strong	strong	strong
,	,	,
she	she	she
hoped	hope	hoped
the	the	the
strength	strength	strength
and	and	and
generosity	generos	generosity
of	of	of
the	the	the
people	peopl	people
would	would	would
turn	turn	turn
the	the	the
initiative	initi	initiative
,	,	,
to	to	to
be	be	be
launched	launch	launched
on	on	on
Sunday	sunday	Sunday
,	,	,
into	into	into
a	a	a
milestone	mileston	milestone
in	in	in
Myanmar	myanmar	Myanmar
s	s	s
history	histori	history
.	.	.
Representatives	repres	Representatives
of	of	of
Suu	suu	Suu
Kyi	kyi	Kyi
in	in	in
Myanmar	myanmar	Myanmar
could	could	could
not	not	not
be	be	be
reached	reach	reached
to	to	to
confirm	confirm	confirm
the	the	the
adviser	advis	adviser
s	s	s
comments	comment	comment
.	.	.
But	but	But
two	two	two
leading	lead	leading
Myanmar	myanmar	Myanmar
experts	expert	expert
confirmed	confirm	confirmed
to	to	to
Reuters	reuter	Reuters
that	that	that
the	the	the
adviser	advis	adviser
was	was	wa
close	close	close
to	to	to
her	her	her
.	.	.
The	the	The
United	unit	United
Nations	nation	Nations
has	has	ha
called	call	called
the	the	the
violence	violenc	violence
in	in	in
Myanmar	myanmar	Myanmar
a	a	a
textbook	textbook	textbook
example	exampl	example
of	of	of
ethnic	ethnic	ethnic
cleansing	cleans	cleansing
,	,	,
and	and	and
the	the	the
Nobel	nobel	Nobel
Peace	peac	Peace
Prize	prize	Prize
laureate	laureat	laureate
Suu	suu	Suu
Kyi	kyi	Kyi
has	has	ha
been	been	been
widely	wide	widely
criticized	critic	criticized
for	for	for
failing	fail	failing
to	to	to
take	take	take
action	action	action
to	to	to
stop	stop	stop
it	it	it
.	.	.
She	she	She
is	is	is
appalled	appal	appalled
by	by	by
what	what	what
she	she	she
has	has	ha
seen	seen	seen
.	.	.
She	she	She
does	doe	doe
care	care	care
deeply	deepli	deeply
about	about	about
this	this	this
.	.	.
I	i	I
know	know	know
that	that	that
does	doe	doe
not	not	not
always	alway	always
come	come	come
across	across	across
.	.	.
But	but	But
she	she	she
really	realli	really
does	doe	doe
,	,	,
Suu	suu	Suu
Kyi	kyi	Kyi
s	s	s
adviser	advis	adviser
told	told	told
reporters	report	reporter
.	.	.
But	but	But
she	she	she
had	had	had
to	to	to
tread	tread	tread
carefully	care	carefully
in	in	in
order	order	order
not	not	not
to	to	to
inflame	inflam	inflame
things	thing	thing
further	further	further
,	,	,
he	he	he
said	said	said
,	,	,
saying	say	saying
Myanmar	myanmar	Myanmar
s	s	s
transition	transit	transition
to	to	to
democracy	democraci	democracy
was	was	wa
in	in	in
a	a	a
perilous	peril	perilous
position	posit	position
.	.	.
