BRUSSELS	brussel	BRUSSELS
Reuters	reuter	Reuters
-	-	-
According	accord	According
to	to	to
Spanish	spanish	Spanish
media	media	medium
,	,	,
a	a	a
judge	judg	judge
issued	issu	issued
a	a	a
European	european	European
arrest	arrest	arrest
warrant	warrant	warrant
for	for	for
ousted	oust	ousted
Catalan	catalan	Catalan
leader	leader	leader
Carles	carl	Carles
Puigdemont	puigdemont	Puigdemont
on	on	on
Thursday	thursday	Thursday
after	after	after
he	he	he
defied	defi	defied
a	a	a
court	court	court
order	order	order
to	to	to
appear	appear	appear
at	at	at
a	a	a
hearing	hear	hearing
earlier	earlier	earlier
that	that	that
day	day	day
.	.	.

The	the	The
European	european	European
arrest	arrest	arrest
warrant	warrant	warrant
system	system	system
in	in	in
place	place	place
since	sinc	since
2004	2004	2004
makes	make	make
it	it	it
easier	easier	easier
for	for	for
EU	eu	EU
countries	countri	country
to	to	to
demand	demand	demand
the	the	the
extradition	extradit	extradition
from	from	from
other	other	other
EU	eu	EU
states	state	state
of	of	of
people	peopl	people
wanted	want	wanted
for	for	for
crimes	crime	crime
,	,	,
and	and	and
removes	remov	remove
political	polit	political
decision	decis	decision
-making	-make	-making
from	from	from
the	the	the
process	process	process
.	.	.

EU	eu	EU
countries	countri	country
issue	issu	issue
thousands	thousand	thousand
of	of	of
the	the	the
warrants	warrant	warrant
each	each	each
year	year	year
.	.	.

Belgium	belgium	Belgium
follows	follow	follows
a	a	a
series	seri	series
of	of	of
procedural	procedur	procedural
steps	step	step
for	for	for
extradition	extradit	extradition
under	under	under
the	the	the
European	european	European
arrest	arrest	arrest
warrant	warrant	warrant
-	-	-
After	after	After
the	the	the
suspect	suspect	suspect
wanted	want	wanted
by	by	by
another	anoth	another
country	countri	country
is	is	is
detained	detain	detained
by	by	by
police	polic	police
,	,	,
he	he	he
is	is	is
questioned	question	questioned
by	by	by
a	a	a
judge	judg	judge
within	within	within
24	24	24
hours	hour	hour
,	,	,
who	who	who
determines	determin	determines
whether	whether	whether
the	the	the
formalities	formal	formality
for	for	for
the	the	the
extradition	extradit	extradition
request	request	request
have	have	have
been	been	been
fulfilled	fulfil	fulfilled
.	.	.

The	the	The
defendant	defend	defendant
can	can	can
agree	agre	agree
to	to	to
the	the	the
extradition	extradit	extradition
immediately	immedi	immediately
.	.	.

If	if	If
not	not	not
,	,	,
the	the	the
judge	judg	judge
can	can	can
set	set	set
bail	bail	bail
and	and	and
order	order	order
him	him	him
to	to	to
be	be	be
detained	detain	detained
.	.	.

-	-	-
A	a	A
European	european	European
arrest	arrest	arrest
warrant	warrant	warrant
can	can	can
be	be	be
blocked	block	blocked
for	for	for
several	sever	several
reasons	reason	reason
in	in	in
Belgium	belgium	Belgium
,	,	,
but	but	but
most	most	most
are	are	are
procedural	procedur	procedural
in	in	in
nature	natur	nature
such	such	such
as	as	a
when	when	when
the	the	the
crime	crime	crime
in	in	in
question	question	question
would	would	would
be	be	be
past	past	past
the	the	the
statute	statut	statute
of	of	of
limitations	limit	limitation
in	in	in
Belgium	belgium	Belgium
or	or	or
has	has	ha
already	alreadi	already
been	been	been
ruled	rule	ruled
on	on	on
in	in	in
another	anoth	another
country	countri	country
.	.	.

-	-	-
There	there	There
is	is	is
also	also	also
an	an	an
exception	except	exception
on	on	on
human	human	human
rights	right	right
grounds	ground	ground
,	,	,
when	when	when
extradition	extradit	extradition
would	would	would
harm	harm	harm
the	the	the
fundamental	fundament	fundamental
rights	right	right
of	of	of
the	the	the
defendant	defend	defendant
.	.	.

-	-	-
The	the	The
court	court	court
has	has	ha
to	to	to
decide	decid	decide
within	within	within
15	15	15
days	day	day
on	on	on
whether	whether	whether
there	there	there
are	are	are
sufficient	suffici	sufficient
reasons	reason	reason
to	to	to
stay	stay	stay
the	the	the
extradition	extradit	extradition
.	.	.

There	there	There
are	are	are
several	sever	several
possibilities	possibl	possibility
to	to	to
appeal	appeal	appeal
,	,	,
but	but	but
in	in	in
each	each	each
case	case	case
with	with	with
a	a	a
time	time	time
limit	limit	limit
of	of	of
15	15	15
days	day	day
.	.	.

-	-	-
Belgian	belgian	Belgian
authorities	author	authority
have	have	have
to	to	to
inform	inform	inform
their	their	their
European	european	European
counterparts	counterpart	counterpart
if	if	if
a	a	a
European	european	European
arrest	arrest	arrest
warrant	warrant	warrant
cannot	cannot	cannot
be	be	be
executed	execut	executed
after	after	after
90	90	90
days	day	day
.	.	.

-	-	-
The	the	The
European	european	European
arrest	arrest	arrest
warrant	warrant	warrant
procedure	procedur	procedure
can	can	can
be	be	be
halted	halt	halted
by	by	by
applying	appli	applying
for	for	for
political	polit	political
asylum	asylum	asylum
.	.	.

However	howev	However
nearly	near	nearly
all	all	all
applications	applic	application
by	by	by
EU	eu	EU
citizens	citizen	citizen
in	in	in
Belgium	belgium	Belgium
have	have	have
been	been	been
rejected	reject	rejected
within	within	within
five	five	five
days	day	day
,	,	,
law	law	law
professor	professor	professor
Dirk	dirk	Dirk
Vanheule	vanheul	Vanheule
told	told	told
Reuters	reuter	Reuters
earlier	earlier	earlier
this	this	this
week	week	week
.	.	.

-	-	-
Even	even	Even
if	if	if
the	the	the
extradition	extradit	extradition
has	has	ha
been	been	been
cleared	clear	cleared
by	by	by
a	a	a
judge	judg	judge
,	,	,
the	the	the
order	order	order
can	can	can
still	still	still
be	be	be
halted	halt	halted
over	over	over
serious	serious	serious
humanitarian	humanitarian	humanitarian
reasons	reason	reason
such	such	such
as	as	a
the	the	the
defendant	defend	defendant
s	s	s
life	life	life
or	or	or
health	health	health
being	be	being
endangered	endang	endangered
by	by	by
the	the	the
move	move	move
.	.	.

