ROME	rome	ROME
Reuters	reuter	Reuters
-	-	-
Italy	itali	Italy
s	s	s
defense	defens	defense
minister	minist	minister
has	has	ha
said	said	said
there	there	there
is	is	is
some	some	some
basis	basi	basis
to	to	to
allegations	alleg	allegation
by	by	by
two	two	two
American	american	American
students	student	student
that	that	that
they	they	they
were	were	were
raped	rape	raped
in	in	in
Florence	florenc	Florence
by	by	by
Carabinieri	carabinieri	Carabinieri
policemen	policemen	policeman
.	.	.
The	the	The
two	two	two
women	women	woman
,	,	,
aged	age	aged
19	19	19
and	and	and
21	21	21
,	,	,
have	have	have
said	said	said
they	they	they
were	were	were
raped	rape	raped
in	in	in
the	the	the
early	earli	early
hours	hour	hour
of	of	of
Sept	sept	Sept
.	.	.
7	7	7
after	after	after
they	they	they
were	were	were
given	given	given
a	a	a
lift	lift	lift
home	home	home
from	from	from
a	a	a
nightclub	nightclub	nightclub
in	in	in
the	the	the
Italian	italian	Italian
city	citi	city
by	by	by
a	a	a
Carabinieri	carabinieri	Carabinieri
police	polic	police
patrol	patrol	patrol
.	.	.
The	the	The
two	two	two
policemen	policemen	policeman
have	have	have
denied	deni	denied
the	the	the
accusations	accus	accusation
.	.	.
Italian	italian	Italian
media	media	medium
say	say	say
the	the	the
police	polic	police
were	were	were
called	call	called
to	to	to
the	the	the
nightclub	nightclub	nightclub
after	after	after
a	a	a
fight	fight	fight
broke	broke	broke
out	out	out
on	on	on
the	the	the
premises	premis	premise
.	.	.
The	the	The
students	student	student
told	told	told
investigators	investig	investigator
that	that	that
two	two	two
officers	offic	officer
had	had	had
offered	offer	offered
to	to	to
give	give	give
them	them	them
a	a	a
ride	ride	ride
back	back	back
to	to	to
their	their	their
residence	resid	residence
.	.	.
The	the	The
students	student	student
said	said	said
they	they	they
were	were	were
raped	rape	raped
inside	insid	inside
the	the	the
building	build	building
before	befor	before
they	they	they
could	could	could
reach	reach	reach
their	their	their
rooms	room	room
.	.	.
Investigations	investig	Investigations
are	are	are
still	still	still
ongoing	ongo	ongoing
,	,	,
but	but	but
there	there	there
is	is	is
some	some	some
basis	basi	basis
regarding	regard	regarding
the	the	the
allegations	alleg	allegation
,	,	,
Defense	defens	Defense
Minister	minist	Minister
Roberta	roberta	Roberta
Pinotti	pinotti	Pinotti
told	told	told
a	a	a
conference	confer	conference
on	on	on
women	women	woman
s	s	s
issues	issu	issue
late	late	late
on	on	on
Friday	friday	Friday
.	.	.
Rape	rape	Rape
is	is	is
always	alway	always
a	a	a
serious	serious	serious
matter	matter	matter
.	.	.
But	but	But
it	it	it
s	s	s
of	of	of
unprecedented	unpreced	unprecedented
seriousness	serious	seriousness
if	if	if
it	it	it
is	is	is
committed	commit	committed
by	by	by
Carabinieri	carabinieri	Carabinieri
in	in	in
uniform	uniform	uniform
.	.	.
The	the	The
Carabinieri	carabinieri	Carabinieri
is	is	is
a	a	a
paramilitary	paramilitari	paramilitary
police	polic	police
force	forc	force
under	under	under
the	the	the
control	control	control
of	of	of
the	the	the
Defense	defens	Defense
Ministry	ministri	Ministry
.	.	.
It	it	It
works	work	work
alongside	alongsid	alongside
the	the	the
national	nation	national
police	polic	police
,	,	,
which	which	which
is	is	is
controlled	control	controlled
by	by	by
the	the	the
Interior	interior	Interior
Ministry	ministri	Ministry
.	.	.
Italian	italian	Italian
media	media	medium
say	say	say
the	the	the
two	two	two
women	women	woman
,	,	,
who	who	who
come	come	come
from	from	from
the	the	the
states	state	state
of	of	of
Maine	main	Maine
and	and	and
New	new	New
Jersey	jersey	Jersey
,	,	,
told	told	told
investigators	investig	investigator
they	they	they
had	had	had
drunk	drunk	drunk
alcohol	alcohol	alcohol
and	and	and
smoked	smoke	smoked
cannabis	cannabi	cannabis
the	the	the
night	night	night
of	of	of
the	the	the
attack	attack	attack
.	.	.
They	they	They
said	said	said
they	they	they
had	had	had
been	been	been
too	too	too
frightened	frighten	frightened
to	to	to
scream	scream	scream
or	or	or
shout	shout	shout
as	as	a
the	the	the
alleged	alleg	alleged
assault	assault	assault
took	took	took
place	place	place
.	.	.
Police	polic	Police
are	are	are
carrying	carri	carrying
out	out	out
DNA	dna	DNA
tests	test	test
to	to	to
try	tri	try
to	to	to
verify	verifi	verify
their	their	their
accusations	accus	accusation
,	,	,
with	with	with
results	result	result
expected	expect	expected
in	in	in
the	the	the
coming	come	coming
days	day	day
.	.	.
The	the	The
case	case	case
,	,	,
which	which	which
has	has	ha
received	receiv	received
wide	wide	wide
play	play	play
in	in	in
the	the	the
Italian	italian	Italian
media	media	medium
,	,	,
comes	come	come
less	less	le
than	than	than
two	two	two
weeks	week	week
after	after	after
a	a	a
Polish	polish	Polish
tourist	tourist	tourist
and	and	and
Peruvian	peruvian	Peruvian
transsexual	transsexu	transsexual
were	were	were
brutally	brutal	brutally
raped	rape	raped
in	in	in
the	the	the
seaside	seasid	seaside
resort	resort	resort
of	of	of
Rimini	rimini	Rimini
.	.	.
Two	two	Two
Moroccans	moroccan	Moroccans
,	,	,
a	a	a
Nigerian	nigerian	Nigerian
and	and	and
a	a	a
Congolese	congoles	Congolese
asylum	asylum	asylum
seeker	seeker	seeker
have	have	have
been	been	been
arrested	arrest	arrested
over	over	over
the	the	the
attacks	attack	attack
,	,	,
which	which	which
led	led	led
to	to	to
a	a	a
sharp	sharp	sharp
increase	increas	increase
in	in	in
anti	anti	anti
-immigrant	-immigr	-immigrant
sentiment	sentiment	sentiment
in	in	in
Italy	itali	Italy
.	.	.
The	the	The
allegations	alleg	allegation
levelled	level	levelled
against	against	against
the	the	the
Carabinieri	carabinieri	Carabinieri
have	have	have
dismayed	dismay	dismayed
the	the	the
Italian	italian	Italian
establishment	establish	establishment
.	.	.
If	if	If
this	this	this
is	is	is
true	true	true
,	,	,
and	and	and
I	i	I
hope	hope	hope
that	that	that
light	light	light
is	is	is
shed	shed	shed
on	on	on
the	the	the
matter	matter	matter
as	as	a
soon	soon	soon
as	as	a
possible	possibl	possible
,	,	,
then	then	then
it	it	it
would	would	would
be	be	be
an	an	an
act	act	act
of	of	of
unheard	unheard	unheard
of	of	of
gravity	graviti	gravity
,	,	,
Tullio	tullio	Tullio
Del	del	Del
Sette	sett	Sette
,	,	,
the	the	the
head	head	head
of	of	of
the	the	the
army	armi	army
,	,	,
told	told	told
the	the	the
ANSA	ansa	ANSA
news	news	news
agency	agenc	agency
.	.	.
