GENEVA	geneva	GENEVA
Reuters	reuter	Reuters
-	-	-
Government	govern	Government
forces	forc	force
have	have	have
used	use	used
chemical	chemic	chemical
weapons	weapon	weapon
more	more	more
than	than	than
two	two	two
dozen	dozen	dozen
times	time	time
during	dure	during
Syria	syria	Syria
s	s	s
civil	civil	civil
war	war	war
,	,	,
including	includ	including
in	in	in
April	april	April
s	s	s
deadly	dead	deadly
attack	attack	attack
on	on	on
Khan	khan	Khan
Sheikhoun	sheikhoun	Sheikhoun
,	,	,
U	u	U
.	.	.
N	n	N
.	.	.
war	war	war
crimes	crime	crime
investigators	investig	investigator
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
A	a	A
government	govern	government
warplane	warplan	warplane
dropped	drop	dropped
sarin	sarin	sarin
on	on	on
the	the	the
town	town	town
in	in	in
Idlib	idlib	Idlib
province	provinc	province
,	,	,
killing	kill	killing
more	more	more
than	than	than
80	80	80
civilians	civilian	civilian
,	,	,
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
Commission	commiss	Commission
of	of	of
Inquiry	inquiri	Inquiry
on	on	on
Syria	syria	Syria
said	said	said
,	,	,
in	in	in
the	the	the
most	most	most
conclusive	conclus	conclusive
findings	find	finding
to	to	to
date	date	date
from	from	from
investigations	investig	investigation
into	into	into
that	that	that
chemical	chemic	chemical
weapon	weapon	weapon
attack	attack	attack
.	.	.
The	the	The
panel	panel	panel
also	also	also
said	said	said
U	u	U
.	.	.
S	s	S
.	.	.
air	air	air
strikes	strike	strike
on	on	on
a	a	a
mosque	mosqu	mosque
in	in	in
Al	al	Al
-Jina	-jina	-Jina
in	in	in
rural	rural	rural
Aleppo	aleppo	Aleppo
in	in	in
March	march	March
that	that	that
killed	kill	killed
38	38	38
people	peopl	people
,	,	,
including	includ	including
children	children	child
,	,	,
failed	fail	failed
to	to	to
take	take	take
precautions	precaut	precaution
in	in	in
violation	violat	violation
of	of	of
international	intern	international
law	law	law
,	,	,
but	but	but
did	did	did
not	not	not
constitute	constitut	constitute
a	a	a
war	war	war
crime	crime	crime
.	.	.
The	the	The
weapons	weapon	weapon
used	use	used
on	on	on
Khan	khan	Khan
Sheikhoun	sheikhoun	Sheikhoun
were	were	were
previously	previous	previously
identified	identifi	identified
as	as	a
containing	contain	containing
sarin	sarin	sarin
,	,	,
an	an	an
odorless	odorless	odorless
nerve	nerv	nerve
agent	agent	agent
.	.	.
But	but	But
that	that	that
conclusion	conclus	conclusion
,	,	,
reached	reach	reached
by	by	by
a	a	a
fact	fact	fact
-finding	-find	-finding
mission	mission	mission
of	of	of
the	the	the
Organization	organ	Organization
for	for	for
the	the	the
Prohibition	prohibit	Prohibition
of	of	of
Chemical	chemic	Chemical
Weapons	weapon	Weapons
OPCW	opcw	OPCW
,	,	,
did	did	did
not	not	not
say	say	say
who	who	who
was	was	wa
responsible	respons	responsible
.	.	.
Government	govern	Government
forces	forc	force
continued	continu	continued
the	the	the
pattern	pattern	pattern
of	of	of
using	use	using
chemical	chemic	chemical
weapons	weapon	weapon
against	against	against
civilians	civilian	civilian
in	in	in
opposition	opposit	opposition
-held	-held	-held
areas	area	area
.	.	.
In	in	In
the	the	the
gravest	gravest	gravest
incident	incid	incident
,	,	,
the	the	the
Syrian	syrian	Syrian
air	air	air
force	forc	force
used	use	used
sarin	sarin	sarin
in	in	in
Khan	khan	Khan
Sheikhoun	sheikhoun	Sheikhoun
,	,	,
Idlib	idlib	Idlib
,	,	,
killing	kill	killing
dozens	dozen	dozen
,	,	,
the	the	the
majority	major	majority
of	of	of
whom	whom	whom
were	were	were
women	women	woman
and	and	and
children	children	child
,	,	,
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
report	report	report
said	said	said
,	,	,
declaring	declar	declaring
the	the	the
attack	attack	attack
a	a	a
war	war	war
crime	crime	crime
.	.	.
Commission	commiss	Commission
chairman	chairman	chairman
Paulo	paulo	Paulo
Pinheiro	pinheiro	Pinheiro
told	told	told
a	a	a
news	news	news
conference	confer	conference
Not	not	Not
having	have	having
access	access	access
did	did	did
not	not	not
prevent	prevent	prevent
us	us	u
from	from	from
establishing	establish	establishing
facts	fact	fact
or	or	or
reasonable	reason	reasonable
grounds	ground	ground
to	to	to
believe	believ	believe
what	what	what
happened	happen	happened
during	dure	during
the	the	the
attack	attack	attack
and	and	and
establishing	establish	establishing
who	who	who
is	is	is
responsible	respons	responsible
.	.	.
In	in	In
their	their	their
14th	14th	14th
report	report	report
since	sinc	since
2011	2011	2011
,	,	,
U	u	U
.	.	.
N	n	N
.	.	.
investigators	investig	investigator
said	said	said
they	they	they
had	had	had
in	in	in
all	all	all
documented	document	documented
33	33	33
chemical	chemic	chemical
weapons	weapon	weapon
attacks	attack	attack
to	to	to
date	date	date
.	.	.
Twenty	twenti	Twenty
-seven	-seven	-seven
were	were	were
by	by	by
the	the	the
government	govern	government
of	of	of
President	presid	President
Bashar	bashar	Bashar
al	al	al
-Assad	-assad	-Assad
,	,	,
including	includ	including
seven	seven	seven
between	between	between
March	march	March
1	1	1
to	to	to
July	juli	July
7	7	7
.	.	.
Perpetrators	perpetr	Perpetrators
had	had	had
not	not	not
been	been	been
identified	identifi	identified
yet	yet	yet
in	in	in
six	six	six
attacks	attack	attack
,	,	,
they	they	they
said	said	said
.	.	.
The	the	The
Assad	assad	Assad
government	govern	government
has	has	ha
repeatedly	repeat	repeatedly
denied	deni	denied
using	use	using
chemical	chemic	chemical
weapons	weapon	weapon
.	.	.
It	it	It
said	said	said
its	it	it
strikes	strike	strike
in	in	in
Khan	khan	Khan
Sheikhoun	sheikhoun	Sheikhoun
hit	hit	hit
a	a	a
weapons	weapon	weapon
depot	depot	depot
belonging	belong	belonging
to	to	to
rebel	rebel	rebel
forces	forc	force
,	,	,
a	a	a
claim	claim	claim
excluded	exclud	excluded
by	by	by
Pinheiro	pinheiro	Pinheiro
.	.	.
That	that	That
attack	attack	attack
led	led	led
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
to	to	to
launch	launch	launch
the	the	the
first	first	first
U	u	U
.	.	.
S	s	S
.	.	.
air	air	air
strikes	strike	strike
on	on	on
a	a	a
Syrian	syrian	Syrian
air	air	air
base	base	base
.	.	.
A	a	A
separate	separ	separate
joint	joint	joint
inquiry	inquiri	inquiry
by	by	by
the	the	the
United	unit	United
Nations	nation	Nations
and	and	and
OPCW	opcw	OPCW
aims	aim	aim
to	to	to
report	report	report
by	by	by
October	octob	October
on	on	on
who	who	who
was	was	wa
to	to	to
blame	blame	blame
for	for	for
Khan	khan	Khan
Sheikhoun	sheikhoun	Sheikhoun
.	.	.
The	the	The
U	u	U
.	.	.
N	n	N
.	.	.
investigators	investig	investigator
interviewed	interview	interviewed
43	43	43
witnesses	wit	witness
,	,	,
victims	victim	victim
,	,	,
and	and	and
first	first	first
responders	respond	responder
linked	link	linked
to	to	to
the	the	the
attack	attack	attack
.	.	.
Satellite	satellit	Satellite
imagery	imageri	imagery
,	,	,
photos	photo	photo
of	of	of
bomb	bomb	bomb
remnants	remnant	remnant
and	and	and
early	earli	early
warning	warn	warning
reports	report	report
were	were	were
used	use	used
.	.	.
The	the	The
independent	independ	independent
investigators	investig	investigator
said	said	said
they	they	they
were	were	were
gravely	grave	gravely
concerned	concern	concerned
about	about	about
the	the	the
impact	impact	impact
of	of	of
international	intern	international
coalition	coalit	coalition
strikes	strike	strike
on	on	on
civilians	civilian	civilian
.	.	.
We	we	We
continue	continu	continue
to	to	to
investigate	investig	investigate
coalition	coalit	coalition
air	air	air
strikes	strike	strike
carried	carri	carried
out	out	out
to	to	to
expel	expel	expel
ISIS	isi	ISIS
from	from	from
Raqqa	raqqa	Raqqa
resulting	result	resulting
in	in	in
an	an	an
increasing	increas	increasing
number	number	number
of	of	of
civilian	civilian	civilian
casualties	casualti	casualty
,	,	,
Pinheiro	pinheiro	Pinheiro
said	said	said
.	.	.
The	the	The
report	report	report
said	said	said
In	in	In
al	al	al
-Jina	-jina	-Jina
,	,	,
Aleppo	aleppo	Aleppo
,	,	,
forces	forc	force
of	of	of
the	the	the
United	unit	United
States	state	States
of	of	of
America	america	America
failed	fail	failed
to	to	to
take	take	take
all	all	all
feasible	feasibl	feasible
precautions	precaut	precaution
to	to	to
protect	protect	protect
civilians	civilian	civilian
and	and	and
civilian	civilian	civilian
objects	object	object
when	when	when
attacking	attack	attacking
a	a	a
mosque	mosqu	mosque
,	,	,
in	in	in
violation	violat	violation
of	of	of
international	intern	international
humanitarian	humanitarian	humanitarian
law	law	law
.	.	.
A	a	A
U	u	U
.	.	.
S	s	S
.	.	.
military	militari	military
investigator	investig	investigator
said	said	said
in	in	in
June	june	June
the	the	the
air	air	air
strike	strike	strike
was	was	wa
a	a	a
valid	valid	valid
and	and	and
legal	legal	legal
attack	attack	attack
on	on	on
a	a	a
meeting	meet	meeting
of	of	of
al	al	al
Qaeda	qaeda	Qaeda
fighters	fighter	fighter
.	.	.
However	howev	However
,	,	,
the	the	the
commission	commiss	commission
however	howev	however
has	has	ha
not	not	not
found	found	found
any	ani	any
evidence	evid	evidence
that	that	that
such	such	such
an	an	an
al	al	al
Qaeda	qaeda	Qaeda
meeting	meet	meeting
was	was	wa
taking	take	taking
place	place	place
,	,	,
Pinheiro	pinheiro	Pinheiro
said	said	said
.	.	.
The	the	The
American	american	American
F	f	F
-15s	-15s	-15s
hit	hit	hit
the	the	the
building	build	building
adjacent	adjac	adjacent
to	to	to
the	the	the
prayer	prayer	prayer
hall	hall	hall
with	with	with
10	10	10
bombs	bomb	bomb
,	,	,
followed	follow	followed
by	by	by
a	a	a
Reaper	reaper	Reaper
drone	drone	drone
that	that	that
fired	fire	fired
two	two	two
Hellfire	hellfir	Hellfire
missiles	missil	missile
at	at	at
people	peopl	people
fleeing	flee	fleeing
,	,	,
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
report	report	report
said	said	said
.	.	.
Most	most	Most
of	of	of
the	the	the
residents	resid	resident
of	of	of
al	al	al
-Jina	-jina	-Jina
,	,	,
relatives	relat	relative
of	of	of
victims	victim	victim
and	and	and
first	first	first
responders	respond	responder
interviewed	interview	interviewed
by	by	by
the	the	the
Commission	commiss	Commission
stated	state	stated
on	on	on
that	that	that
on	on	on
the	the	the
evening	even	evening
in	in	in
question	question	question
,	,	,
a	a	a
religious	religi	religious
gathering	gather	gathering
was	was	wa
being	be	being
hosted	host	hosted
in	in	in
the	the	the
mosque	mosqu	mosque
s	s	s
service	servic	service
building	build	building
.	.	.
This	this	This
was	was	wa
a	a	a
regular	regular	regular
occurrence	occurr	occurrence
.	.	.
