BELFAST	belfast	BELFAST
Reuters	reuter	Reuters
-	-	-
The	the	The
British	british	British
government	govern	government
on	on	on
Monday	monday	Monday
extended	extend	extended
by	by	by
24	24	24
hours	hour	hour
a	a	a
deadline	deadlin	deadline
for	for	for
Northern	northern	Northern
Ireland	ireland	Ireland
s	s	s
political	polit	political
parties	parti	party
to	to	to
re	re	re
-establish	-establish	-establish
a	a	a
devolved	devolv	devolved
regional	region	regional
executive	execut	executive
and	and	and
avoid	avoid	avoid
London	london	London
setting	set	setting
the	the	the
region	region	region
s	s	s
annual	annual	annual
budget	budget	budget
for	for	for
the	the	the
first	first	first
time	time	time
in	in	in
a	a	a
decade	decad	decade
.	.	.
The	the	The
pro	pro	pro
-British	-british	-British
Democratic	democrat	Democratic
Unionist	unionist	Unionist
Party	parti	Party
and	and	and
the	the	the
Irish	irish	Irish
nationalist	nationalist	nationalist
Sinn	sinn	Sinn
Fein	fein	Fein
party	parti	party
made	made	made
progress	progress	progress
in	in	in
talks	talk	talk
on	on	on
Monday	monday	Monday
and	and	and
they	they	they
will	will	will
continue	continu	continue
talking	talk	talking
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
the	the	the
British	british	British
government	govern	government
s	s	s
minister	minist	minister
for	for	for
Northern	northern	Northern
Ireland	ireland	Ireland
James	jame	James
Brokenshire	brokenshir	Brokenshire
said	said	said
.	.	.
In	in	In
the	the	the
light	light	light
of	of	of
this	this	this
,	,	,
I	i	I
believe	believ	believe
it	it	it
is	is	is
right	right	right
to	to	to
defer	defer	defer
the	the	the
assessment	assess	assessment
on	on	on
whether	whether	whether
to	to	to
introduce	introduc	introduce
legislation	legisl	legislation
to	to	to
Parliament	parliament	Parliament
this	this	this
week	week	week
to	to	to
enable	enabl	enable
an	an	an
executive	execut	executive
to	to	to
be	be	be
formed	form	formed
,	,	,
Brokenshire	brokenshir	Brokenshire
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
The	the	The
parties	parti	party
will	will	will
recommence	recomm	recommence
talks	talk	talk
in	in	in
the	the	the
morning	morn	morning
and	and	and
I	i	I
will	will	will
reassess	reassess	reassess
the	the	the
position	posit	position
tomorrow	tomorrow	tomorrow
night	night	night
,	,	,
he	he	he
said	said	said
,	,	,
adding	ad	adding
that	that	that
the	the	the
British	british	British
government	govern	government
would	would	would
consider	consid	consider
certain	certain	certain
additional	addit	additional
requests	request	request
made	made	made
by	by	by
the	the	the
parties	parti	party
.	.	.
Brokenshire	brokenshir	Brokenshire
had	had	had
earlier	earlier	earlier
indicated	indic	indicated
that	that	that
if	if	if
there	there	there
was	was	wa
no	no	no
deal	deal	deal
by	by	by
the	the	the
end	end	end
of	of	of
Monday	monday	Monday
it	it	it
would	would	would
move	move	move
to	to	to
pass	pass	pas
an	an	an
annual	annual	annual
budget	budget	budget
for	for	for
the	the	the
region	region	region
to	to	to
ensure	ensur	ensure
essential	essenti	essential
services	servic	service
are	are	are
funded	fund	funded
.	.	.
A	a	A
budget	budget	budget
set	set	set
by	by	by
the	the	the
British	british	British
government	govern	government
would	would	would
be	be	be
a	a	a
major	major	major
step	step	step
towards	toward	towards
direct	direct	direct
rule	rule	rule
from	from	from
London	london	London
for	for	for
the	the	the
first	first	first
time	time	time
in	in	in
a	a	a
decade	decad	decade
,	,	,
which	which	which
observers	observ	observer
have	have	have
warned	warn	warned
could	could	could
destabilize	destabil	destabilize
a	a	a
delicate	delic	delicate
political	polit	political
balance	balanc	balance
in	in	in
the	the	the
region	region	region
.	.	.
The	the	The
DUP	dup	DUP
and	and	and
Sinn	sinn	Sinn
Fein	fein	Fein
have	have	have
shared	share	shared
power	power	power
for	for	for
the	the	the
past	past	past
decade	decad	decade
in	in	in
a	a	a
system	system	system
created	creat	created
following	follow	following
a	a	a
1998	1998	1998
peace	peac	peace
deal	deal	deal
which	which	which
ended	end	ended
three	three	three
decades	decad	decade
of	of	of
violence	violenc	violence
in	in	in
the	the	the
province	provinc	province
.	.	.
But	but	But
Sinn	sinn	Sinn
Fein	fein	Fein
in	in	in
January	januari	January
pulled	pull	pulled
out	out	out
complaining	complain	complaining
it	it	it
was	was	wa
not	not	not
being	be	being
treated	treat	treated
as	as	a
an	an	an
equal	equal	equal
partner	partner	partner
.	.	.
Talks	talk	Talks
between	between	between
Sinn	sinn	Sinn
Fein	fein	Fein
and	and	and
the	the	the
DUP	dup	DUP
have	have	have
stalled	stall	stalled
in	in	in
recent	recent	recent
weeks	week	week
,	,	,
in	in	in
large	larg	large
part	part	part
over	over	over
proposals	propos	proposal
to	to	to
improve	improv	improve
the	the	the
rights	right	right
of	of	of
Irish	irish	Irish
language	languag	language
speakers	speaker	speaker
.	.	.
Ahead	ahead	Ahead
of	of	of
the	the	the
talks	talk	talk
,	,	,
Sinn	sinn	Sinn
Fein	fein	Fein
regional	region	regional
assembly	assembl	assembly
member	member	member
Conor	conor	Conor
Murphy	murphi	Murphy
said	said	said
the	the	the
government	govern	government
could	could	could
only	onli	only
be	be	be
reformed	reform	reformed
on	on	on
the	the	the
basis	basi	basis
of	of	of
equality	equal	equality
,	,	,
rights	right	right
and	and	and
respect	respect	respect
,	,	,
which	which	which
would	would	would
require	requir	require
concessions	concess	concession
from	from	from
the	the	the
DUP	dup	DUP
.	.	.
While	while	While
the	the	the
DUP	dup	DUP
also	also	also
said	said	said
it	it	it
wanted	want	wanted
to	to	to
see	see	see
the	the	the
executive	execut	executive
re	re	re
-established	-establish	-established
,	,	,
ahead	ahead	ahead
of	of	of
the	the	the
talks	talk	talk
it	it	it
called	call	called
for	for	for
London	london	London
to	to	to
bring	bring	bring
forward	forward	forward
the	the	the
budget	budget	budget
to	to	to
bring	bring	bring
a	a	a
measure	measur	measure
of	of	of
good	good	good
government	govern	government
to	to	to
Northern	northern	Northern
Ireland	ireland	Ireland
.	.	.
Neither	neither	Neither
party	parti	party
spoke	spoke	spoke
to	to	to
assembled	assembl	assembled
media	media	medium
on	on	on
the	the	the
state	state	state
of	of	of
the	the	the
talks	talk	talk
on	on	on
Monday	monday	Monday
evening	even	evening
.	.	.
The	the	The
outcome	outcom	outcome
of	of	of
talks	talk	talk
was	was	wa
not	not	not
expected	expect	expected
to	to	to
have	have	have
an	an	an
impact	impact	impact
on	on	on
the	the	the
DUP	dup	DUP
s	s	s
agreement	agreement	agreement
to	to	to
support	support	support
British	british	British
Prime	prime	Prime
Minister	minist	Minister
Theresa	theresa	Theresa
May	may	May
s	s	s
government	govern	government
in	in	in
the	the	the
British	british	British
parliament	parliament	parliament
.	.	.
