DUBAI	dubai	DUBAI
Reuters	reuter	Reuters
-	-	-
Iran	iran	Iran
will	will	will
continue	continu	continue
to	to	to
produce	produc	produce
missiles	missil	missile
for	for	for
its	it	it
defense	defens	defense
and	and	and
does	doe	doe
not	not	not
consider	consid	consider
that	that	that
a	a	a
violation	violat	violation
of	of	of
international	intern	international
accords	accord	accord
,	,	,
President	presid	President
Hassan	hassan	Hassan
Rouhani	rouhani	Rouhani
said	said	said
on	on	on
Sunday	sunday	Sunday
in	in	in
a	a	a
speech	speech	speech
broadcast	broadcast	broadcast
on	on	on
state	state	state
television	televis	television
.	.	.
Rouhani	rouhani	Rouhani
spoke	spoke	spoke
days	day	day
after	after	after
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
House	hous	House
of	of	of
Representatives	repres	Representatives
voted	vote	voted
for	for	for
new	new	new
sanctions	sanction	sanction
against	against	against
Iran	iran	Iran
s	s	s
ballistic	ballist	ballistic
missile	missil	missile
program	program	program
,	,	,
part	part	part
of	of	of
an	an	an
effort	effort	effort
to	to	to
clamp	clamp	clamp
down	down	down
on	on	on
Tehran	tehran	Tehran
without	without	without
immediately	immedi	immediately
moving	move	moving
to	to	to
undermine	undermin	undermine
an	an	an
international	intern	international
nuclear	nuclear	nuclear
agreement	agreement	agreement
.	.	.
He	he	He
also	also	also
meet	meet	meet
the	the	the
head	head	head
of	of	of
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
nuclear	nuclear	nuclear
watchdog	watchdog	watchdog
in	in	in
Tehran	tehran	Tehran
,	,	,
who	who	who
again	again	again
vouched	vouch	vouched
for	for	for
Iran	iran	Iran
s	s	s
compliance	complianc	compliance
with	with	with
the	the	the
2015	2015	2015
accord	accord	accord
that	that	that
curbed	curb	curbed
its	it	it
nuclear	nuclear	nuclear
program	program	program
in	in	in
return	return	return
for	for	for
sanctions	sanction	sanction
relief	relief	relief
,	,	,
which	which	which
has	has	ha
drawn	drawn	drawn
fire	fire	fire
from	from	from
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
.	.	.
We	we	We
have	have	have
built	built	built
,	,	,
are	are	are
building	build	building
and	and	and
will	will	will
continue	continu	continue
to	to	to
build	build	build
missiles	missil	missile
,	,	,
and	and	and
this	this	this
violates	violat	violates
no	no	no
international	intern	international
agreements	agreement	agreement
,	,	,
Rouhani	rouhani	Rouhani
said	said	said
in	in	in
a	a	a
speech	speech	speech
in	in	in
parliament	parliament	parliament
.	.	.
The	the	The
United	unit	United
States	state	States
has	has	ha
already	alreadi	already
imposed	impos	imposed
unilateral	unilater	unilateral
sanctions	sanction	sanction
on	on	on
Iran	iran	Iran
,	,	,
saying	say	saying
its	it	it
missile	missil	missile
tests	test	test
violate	violat	violate
a	a	a
U	u	U
.	.	.
N	n	N
.	.	.
resolution	resolut	resolution
,	,	,
that	that	that
calls	call	call
on	on	on
Tehran	tehran	Tehran
not	not	not
to	to	to
undertake	undertak	undertake
activities	activ	activity
related	relat	related
to	to	to
missiles	missil	missile
capable	capabl	capable
of	of	of
delivering	deliv	delivering
nuclear	nuclear	nuclear
weapons	weapon	weapon
.	.	.
Iran	iran	Iran
denies	deni	denies
seeking	seek	seeking
nuclear	nuclear	nuclear
weapons	weapon	weapon
and	and	and
says	say	say
it	it	it
has	has	ha
no	no	no
plans	plan	plan
to	to	to
build	build	build
nuclear	nuclear	nuclear
-capable	-capabl	-capable
missiles	missil	missile
.	.	.
Rouhani	rouhani	Rouhani
also	also	also
criticized	critic	criticized
the	the	the
United	unit	United
States	state	States
over	over	over
Trump	trump	Trump
s	s	s
refusal	refus	refusal
this	this	this
month	month	month
to	to	to
formally	formal	formally
certify	certifi	certify
that	that	that
Tehran	tehran	Tehran
is	is	is
complying	compli	complying
with	with	with
the	the	the
accord	accord	accord
on	on	on
Iran	iran	Iran
s	s	s
nuclear	nuclear	nuclear
program	program	program
,	,	,
even	even	even
though	though	though
international	intern	international
inspectors	inspector	inspector
say	say	say
it	it	it
is	is	is
.	.	.
You	you	You
are	are	are
disregarding	disregard	disregarding
past	past	past
negotiations	negoti	negotiation
and	and	and
agreements	agreement	agreement
approved	approv	approved
by	by	by
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
Security	secur	Security
council	council	council
and	and	and
expect	expect	expect
others	other	others
to	to	to
negotiate	negoti	negotiate
with	with	with
you	you	you
?	?	?
Rouhani	rouhani	Rouhani
said	said	said
.	.	.
Because	becaus	Because
of	of	of
the	the	the
behavior	behavior	behavior
it	it	it
has	has	ha
adopted	adopt	adopted
,	,	,
America	america	America
should	should	should
forget	forget	forget
any	ani	any
future	futur	future
talks	talk	talk
and	and	and
agreement	agreement	agreement
with	with	with
other	other	other
countries	countri	country
,	,	,
Rouhani	rouhani	Rouhani
added	ad	added
,	,	,
referring	refer	referring
to	to	to
unnamed	unnam	unnamed
countries	countri	country
in	in	in
East	east	East
Asia	asia	Asia
,	,	,
an	an	an
apparent	appar	apparent
reference	refer	reference
to	to	to
North	north	North
Korea	korea	Korea
.	.	.
Yukiya	yukiya	Yukiya
Amano	amano	Amano
,	,	,
the	the	the
director	director	director
general	general	general
of	of	of
the	the	the
International	intern	International
Atomic	atom	Atomic
Energy	energi	Energy
Agency	agenc	Agency
IAEA	iaea	IAEA
,	,	,
met	met	met
Rouhani	rouhani	Rouhani
,	,	,
President	presid	President
of	of	of
the	the	the
Atomic	atom	Atomic
Energy	energi	Energy
Organisation	organis	Organisation
of	of	of
Iran	iran	Iran
Ali	ali	Ali
Akbar	akbar	Akbar
Salehi	salehi	Salehi
,	,	,
and	and	and
Foreign	foreign	Foreign
Minister	minist	Minister
Mohammad	mohammad	Mohammad
Javad	javad	Javad
Zarif	zarif	Zarif
in	in	in
Tehran	tehran	Tehran
,	,	,
an	an	an
IAEA	iaea	IAEA
statement	statement	statement
said	said	said
.	.	.
Director	director	Director
General	general	General
Amano	amano	Amano
reiterated	reiter	reiterated
that	that	that
the	the	the
nuclear	nuclear	nuclear
-related	-relat	-related
commitments	commit	commitment
undertaken	undertaken	undertaken
by	by	by
Iran	iran	Iran
are	are	are
being	be	being
implemented	implement	implemented
,	,	,
and	and	and
that	that	that
the	the	the
JCPOA	jcpoa	JCPOA
represents	repres	represents
a	a	a
clear	clear	clear
gain	gain	gain
from	from	from
a	a	a
verification	verif	verification
point	point	point
of	of	of
view	view	view
,	,	,
it	it	it
said	said	said
,	,	,
using	use	using
an	an	an
abbreviation	abbrevi	abbreviation
for	for	for
the	the	the
2015	2015	2015
accord	accord	accord
.	.	.
For	for	For
the	the	the
future	futur	future
,	,	,
he	he	he
stressed	stress	stressed
the	the	the
importance	import	importance
of	of	of
full	full	full
implementation	implement	implementation
by	by	by
Iran	iran	Iran
of	of	of
its	it	it
nuclear	nuclear	nuclear
-related	-relat	-related
commitments	commit	commitment
in	in	in
order	order	order
to	to	to
make	make	make
the	the	the
JCPOA	jcpoa	JCPOA
sustainable	sustain	sustainable
.	.	.
Trump	trump	Trump
s	s	s
decision	decis	decision
not	not	not
to	to	to
certify	certifi	certify
Iranian	iranian	Iranian
compliance	complianc	compliance
with	with	with
the	the	the
landmark	landmark	landmark
nuclear	nuclear	nuclear
deal	deal	deal
between	between	between
Iran	iran	Iran
and	and	and
six	six	six
world	world	world
powers	power	power
means	mean	mean
Congress	congress	Congress
now	now	now
has	has	ha
less	less	le
than	than	than
60	60	60
days	day	day
to	to	to
decide	decid	decide
whether	whether	whether
to	to	to
re	re	re
-impose	-impos	-impose
sanctions	sanction	sanction
on	on	on
Tehran	tehran	Tehran
that	that	that
were	were	were
lifted	lift	lifted
under	under	under
the	the	the
agreement	agreement	agreement
that	that	that
Amano	amano	Amano
s	s	s
agency	agenc	agency
is	is	is
in	in	in
charge	charg	charge
of	of	of
policing	polic	policing
.	.	.
Iranian	iranian	Iranian
Supreme	suprem	Supreme
Leader	leader	Leader
Ayatollah	ayatollah	Ayatollah
Ali	ali	Ali
Khamenei	khamenei	Khamenei
has	has	ha
said	said	said
Tehran	tehran	Tehran
will	will	will
stick	stick	stick
to	to	to
the	the	the
agreement	agreement	agreement
as	as	a
long	long	long
as	as	a
the	the	the
other	other	other
signatories	signatori	signatory
do	do	do
,	,	,
but	but	but
will	will	will
shred	shred	shred
the	the	the
deal	deal	deal
if	if	if
Washington	washington	Washington
pulls	pull	pull
out	out	out
,	,	,
as	as	a
Trump	trump	Trump
has	has	ha
threatened	threaten	threatened
to	to	to
do	do	do
.	.	.
U	u	U
.	.	.
S	s	S
.	.	.
Ambassador	ambassador	Ambassador
to	to	to
the	the	the
United	unit	United
Nations	nation	Nations
Nikki	nikki	Nikki
Haley	haley	Haley
has	has	ha
pressed	press	pressed
the	the	the
IAEA	iaea	IAEA
to	to	to
seek	seek	seek
access	access	access
to	to	to
Iranian	iranian	Iranian
military	militari	military
bases	base	base
to	to	to
ensure	ensur	ensure
that	that	that
they	they	they
are	are	are
not	not	not
concealing	conceal	concealing
activities	activ	activity
banned	ban	banned
by	by	by
the	the	the
nuclear	nuclear	nuclear
deal	deal	deal
.	.	.
Asked	ask	Asked
whether	whether	whether
Amano	amano	Amano
had	had	had
made	made	made
any	ani	any
requests	request	request
for	for	for
new	new	new
inspections	inspect	inspection
,	,	,
Salehi	salehi	Salehi
said	said	said
after	after	after
meeting	meet	meeting
Amano	amano	Amano
He	he	He
has	has	ha
no	no	no
request	request	request
in	in	in
this	this	this
area	area	area
,	,	,
Iran	iran	Iran
s	s	s
state	state	state
news	news	news
agency	agenc	agency
IRNA	irna	IRNA
reported	report	reported
.	.	.
Salehi	salehi	Salehi
said	said	said
Iran	iran	Iran
could	could	could
resume	resum	resume
production	product	production
of	of	of
20	20	20
percent	percent	percent
enriched	enrich	enriched
uranium	uranium	uranium
in	in	in
four	four	four
days	day	day
,	,	,
but	but	but
did	did	did
not	not	not
want	want	want
the	the	the
Iran	iran	Iran
deal	deal	deal
to	to	to
fall	fall	fall
apart	apart	apart
.	.	.
U	u	U
.	.	.
S	s	S
.	.	.
Defense	defens	Defense
Secretary	secretari	Secretary
Jim	jim	Jim
Mattis	matti	Mattis
said	said	said
on	on	on
Saturday	saturday	Saturday
that	that	that
he	he	he
could	could	could
not	not	not
imagine	imagin	imagine
the	the	the
United	unit	United
States	state	States
ever	ever	ever
accepting	accept	accepting
a	a	a
nuclear	nuclear	nuclear
North	north	North
Korea	korea	Korea
,	,	,
and	and	and
stressed	stress	stressed
during	dure	during
a	a	a
week	week	week
-long	-long	-long
trip	trip	trip
to	to	to
Asia	asia	Asia
that	that	that
diplomacy	diplomaci	diplomacy
was	was	wa
America	america	America
s	s	s
preferred	prefer	preferred
course	cours	course
.	.	.
