Reuters	reuter	Reuters
-	-	-
The	the	The
chairman	chairman	chairman
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Senate	senat	Senate
Banking	bank	Banking
Committee	committe	Committee
said	said	said
on	on	on
Thursday	thursday	Thursday
he	he	he
wants	want	want
to	to	to
pass	pass	pas
a	a	a
major	major	major
piece	piec	piece
of	of	of
bank	bank	bank
reform	reform	reform
legislation	legisl	legislation
by	by	by
early	earli	early
next	next	next
year	year	year
at	at	at
the	the	the
latest	latest	latest
.	.	.

Senator	senat	Senator
Mike	mike	Mike
Crapo	crapo	Crapo
,	,	,
a	a	a
Republican	republican	Republican
,	,	,
intends	intend	intends
to	to	to
go	go	go
beyond	beyond	beyond
rewriting	rewrit	rewriting
the	the	the
2010	2010	2010
Dodd	dodd	Dodd
Frank	frank	Frank
financial	financi	financial
reform	reform	reform
legislation	legisl	legislation
and	and	and
craft	craft	craft
a	a	a
bipartisan	bipartisan	bipartisan
bill	bill	bill
that	that	that
advances	advanc	advance
economic	econom	economic
growth	growth	growth
and	and	and
capital	capit	capital
formation	format	formation
,	,	,
he	he	he
told	told	told
attendees	attende	attendee
at	at	at
a	a	a
Chamber	chamber	Chamber
of	of	of
Commerce	commerc	Commerce
event	event	event
focused	focus	focused
on	on	on
capital	capit	capital
markets	market	market
.	.	.

My	my	My
hope	hope	hope
is	is	is
.	.	.
.	.	.
.	.	.

that	that	that
is	is	is
either	either	either
late	late	late
this	this	this
year	year	year
or	or	or
early	earli	early
next	next	next
year	year	year
.	.	.

I	i	I
m	m	m
not	not	not
looking	look	looking
further	further	further
than	than	than
that	that	that
,	,	,
Crapo	crapo	Crapo
said	said	said
.	.	.

Crapo	crapo	Crapo
s	s	s
agenda	agenda	agenda
is	is	is
being	be	being
intensely	intens	intensely
watched	watch	watched
on	on	on
Wall	wall	Wall
Street	street	Street
,	,	,
as	as	a
his	his	his
committee	committe	committee
is	is	is
widely	wide	widely
seen	seen	seen
as	as	a
playing	play	playing
a	a	a
critical	critic	critical
role	role	role
in	in	in
crafting	craft	crafting
any	ani	any
rewrite	rewrit	rewrite
of	of	of
Dodd	dodd	Dodd
Frank	frank	Frank
.	.	.

That	that	That
2010	2010	2010
law	law	law
was	was	wa
enacted	enact	enacted
after	after	after
the	the	the
financial	financi	financial
crisis	crisi	crisis
,	,	,
and	and	and
the	the	the
industry	industri	industry
is	is	is
eager	eager	eager
to	to	to
see	see	see
if	if	if
Republicans	republican	Republicans
now	now	now
in	in	in
charge	charg	charge
of	of	of
the	the	the
White	white	White
House	hous	House
and	and	and
Congress	congress	Congress
can	can	can
significantly	signific	significantly
relax	relax	relax
its	it	it
requirements	requir	requirement
.	.	.

Some	some	Some
of	of	of
the	the	the
Dodd	dodd	Dodd
Frank	frank	Frank
provisions	provis	provision
that	that	that
are	are	are
most	most	most
contentious	contenti	contentious
prohibit	prohibit	prohibit
banks	bank	bank
from	from	from
some	some	some
higher	higher	higher
risk	risk	risk
investments	invest	investment
and	and	and
require	requir	require
higher	higher	higher
capital	capit	capital
requirements	requir	requirement
of	of	of
the	the	the
biggest	biggest	biggest
banks	bank	bank
.	.	.

A	a	A
bill	bill	bill
that	that	that
attacks	attack	attack
Dodd	dodd	Dodd
Frank	frank	Frank
directly	direct	directly
is	is	is
set	set	set
to	to	to
be	be	be
introduced	introduc	introduced
in	in	in
the	the	the
House	hous	House
of	of	of
Representatives	repres	Representatives
soon	soon	soon
by	by	by
Jeb	jeb	Jeb
Hensarling	hensarl	Hensarling
,	,	,
the	the	the
Texas	texa	Texas
Republican	republican	Republican
who	who	who
chairs	chair	chair
the	the	the
Financial	financi	Financial
Services	servic	Services
Committee	committe	Committee
.	.	.

But	but	But
that	that	that
bill	bill	bill
is	is	is
seen	seen	seen
as	as	a
a	a	a
tough	tough	tough
Republican	republican	Republican
approach	approach	approach
that	that	that
may	may	may
not	not	not
garner	garner	garner
enough	enough	enough
support	support	support
in	in	in
the	the	the
Senate	senat	Senate
to	to	to
be	be	be
passed	pass	passed
.	.	.

Crapo	crapo	Crapo
said	said	said
meaningful	meaning	meaningful
reforms	reform	reform
would	would	would
require	requir	require
a	a	a
bipartisan	bipartisan	bipartisan
approach	approach	approach
,	,	,
and	and	and
he	he	he
is	is	is
working	work	working
closely	close	closely
with	with	with
Sherrod	sherrod	Sherrod
Brown	brown	Brown
,	,	,
the	the	the
top	top	top
Democrat	democrat	Democrat
on	on	on
the	the	the
committee	committe	committee
,	,	,
to	to	to
find	find	find
areas	area	area
of	of	of
common	common	common
ground	ground	ground
.	.	.

He	he	He
also	also	also
said	said	said
he	he	he
wants	want	want
to	to	to
go	go	go
beyond	beyond	beyond
simply	simpli	simply
revisiting	revisit	revisiting
Dodd	dodd	Dodd
Frank	frank	Frank
s	s	s
provisions	provis	provision
and	and	and
look	look	look
more	more	more
broadly	broad	broadly
at	at	at
all	all	all
rules	rule	rule
and	and	and
policies	polici	policy
that	that	that
impact	impact	impact
economic	econom	economic
growth	growth	growth
,	,	,
an	an	an
approach	approach	approach
he	he	he
said	said	said
might	might	might
encourage	encourag	encourage
Democrats	democrat	Democrats
to	to	to
vote	vote	vote
with	with	with
him	him	him
.	.	.

He	he	He
said	said	said
he	he	he
expects	expect	expects
Congress	congress	Congress
to	to	to
address	address	address
financial	financi	financial
regulatory	regulatori	regulatory
reform	reform	reform
after	after	after
it	it	it
finishes	finish	finish
work	work	work
on	on	on
a	a	a
tax	tax	tax
reform	reform	reform
bill	bill	bill
.	.	.

Crapo	crapo	Crapo
did	did	did
concede	conced	concede
that	that	that
the	the	the
current	current	current
political	polit	political
environment	environ	environment
is	is	is
tough	tough	tough
for	for	for
passing	pass	passing
controversial	controversi	controversial
legislation	legisl	legislation
in	in	in
the	the	the
Senate	senat	Senate
,	,	,
and	and	and
others	other	others
in	in	in
his	his	his
party	parti	party
said	said	said
they	they	they
intend	intend	intend
to	to	to
push	push	push
some	some	some
of	of	of
their	their	their
favored	favor	favored
Dodd	dodd	Dodd
Frank	frank	Frank
revisions	revis	revision
through	through	through
a	a	a
budget	budget	budget
process	process	process
that	that	that
would	would	would
not	not	not
require	requir	require
much	much	much
Democratic	democrat	Democratic
support	support	support
.	.	.

