BEIJING	beij	BEIJING
Reuters	reuter	Reuters
-	-	-
A	a	A
close	close	close
ally	alli	ally
of	of	of
President	presid	President
Xi	xi	Xi
Jinping	jinp	Jinping
is	is	is
expected	expect	expected
to	to	to
be	be	be
promoted	promot	promoted
to	to	to
vice	vice	vice
chairman	chairman	chairman
of	of	of
China	china	China
s	s	s
Central	central	Central
Military	militari	Military
Commission	commiss	Commission
,	,	,
four	four	four
sources	sourc	source
said	said	said
,	,	,
as	as	a
Xi	xi	Xi
cements	cement	cement
his	his	his
control	control	control
over	over	over
the	the	the
armed	arm	armed
forces	forc	force
.	.	.

Zhang	zhang	Zhang
Youxia	youxia	Youxia
,	,	,
67	67	67
,	,	,
one	one	one
of	of	of
just	just	just
a	a	a
few	few	few
senior	senior	senior
military	militari	military
officers	offic	officer
with	with	with
combat	combat	combat
experience	experi	experience
,	,	,
is	is	is
tipped	tip	tipped
to	to	to
become	becom	become
one	one	one
of	of	of
at	at	at
least	least	least
two	two	two
vice	vice	vice
chairmen	chairmen	chairman
of	of	of
the	the	the
commission	commiss	commission
,	,	,
the	the	the
sources	sourc	source
,	,	,
including	includ	including
three	three	three
with	with	with
direct	direct	direct
ties	tie	tie
to	to	to
the	the	the
leadership	leadership	leadership
,	,	,
told	told	told
Reuters	reuter	Reuters
.	.	.

Xi	xi	Xi
is	is	is
chairman	chairman	chairman
of	of	of
the	the	the
commission	commiss	commission
,	,	,
which	which	which
has	has	ha
overall	overal	overall
control	control	control
of	of	of
the	the	the
People	peopl	People
s	s	s
Liberation	liber	Liberation
Army	armi	Army
,	,	,
as	as	a
well	well	well
as	as	a
the	the	the
nation	nation	nation
s	s	s
president	presid	president
and	and	and
general	general	general
secretary	secretari	secretary
of	of	of
the	the	the
Communist	communist	Communist
Party	parti	Party
of	of	of
China	china	China
.	.	.

Zhang	zhang	Zhang
would	would	would
replace	replac	replace
Fan	fan	Fan
Changlong	changlong	Changlong
,	,	,
who	who	who
is	is	is
expected	expect	expected
to	to	to
retire	retir	retire
during	dure	during
the	the	the
19th	19th	19th
Communist	communist	Communist
Party	parti	Party
Congress	congress	Congress
which	which	which
begins	begin	begin
on	on	on
Wednesday	wednesday	Wednesday
.	.	.

The	the	The
other	other	other
vice	vice	vice
chairman	chairman	chairman
,	,	,
Xu	xu	Xu
Qiliang	qiliang	Qiliang
,	,	,
is	is	is
expected	expect	expected
to	to	to
stay	stay	stay
on	on	on
,	,	,
the	the	the
sources	sourc	source
said	said	said
.	.	.

Both	both	Both
Xi	xi	Xi
and	and	and
Zhang	zhang	Zhang
are	are	are
from	from	from
the	the	the
northwestern	northwestern	northwestern
province	provinc	province
of	of	of
Shaanxi	shaanxi	Shaanxi
and	and	and
both	both	both
are	are	are
children	children	child
of	of	of
former	former	former
senior	senior	senior
officials	offici	official
who	who	who
fought	fought	fought
together	togeth	together
in	in	in
the	the	the
civil	civil	civil
war	war	war
in	in	in
the	the	the
1940s	1940s	1940s
.	.	.

China	china	China
s	s	s
Defence	defenc	Defence
Ministry	ministri	Ministry
did	did	did
not	not	not
respond	respond	respond
to	to	to
a	a	a
faxed	fax	faxed
request	request	request
for	for	for
comment	comment	comment
.	.	.

The	the	The
party	parti	party
has	has	ha
been	been	been
studying	studi	studying
a	a	a
proposal	propos	proposal
to	to	to
increase	increas	increase
the	the	the
number	number	number
of	of	of
vice	vice	vice
chairmen	chairmen	chairman
on	on	on
the	the	the
military	militari	military
commission	commiss	commission
from	from	from
two	two	two
to	to	to
four	four	four
and	and	and
reduce	reduc	reduce
the	the	the
number	number	number
of	of	of
other	other	other
committee	committe	committee
members	member	member
,	,	,
currently	current	currently
eight	eight	eight
,	,	,
some	some	some
of	of	of
the	the	the
sources	sourc	source
said	said	said
.	.	.

Xi	xi	Xi
has	has	ha
shaken	shaken	shaken
up	up	up
the	the	the
commission	commiss	commission
and	and	and
military	militari	military
since	sinc	since
assuming	assum	assuming
power	power	power
late	late	late
in	in	in
2012	2012	2012
as	as	a
he	he	he
roots	root	root
out	out	out
corruption	corrupt	corruption
and	and	and
streamlines	streamlin	streamlines
the	the	the
2	2	2
million	million	million
-strong	-strong	-strong
armed	arm	armed
forces	forc	force
,	,	,
the	the	the
world	world	world
s	s	s
largest	largest	largest
.	.	.

Some	some	Some
300	300	300
,	,	,
000	000	000
troops	troop	troop
have	have	have
been	been	been
laid	laid	laid
off	off	off
and	and	and
advanced	advanc	advanced
new	new	new
equipment	equip	equipment
such	such	such
as	as	a
stealth	stealth	stealth
fighters	fighter	fighter
has	has	ha
been	been	been
developed	develop	developed
.	.	.

While	while	While
China	china	China
has	has	ha
not	not	not
fought	fought	fought
a	a	a
war	war	war
in	in	in
decades	decad	decade
,	,	,
it	it	it
is	is	is
taking	take	taking
an	an	an
increasingly	increas	increasingly
assertive	assert	assertive
line	line	line
in	in	in
the	the	the
disputed	disput	disputed
East	east	East
China	china	China
Sea	sea	Sea
and	and	and
South	south	South
China	china	China
Sea	sea	Sea
,	,	,
as	as	a
well	well	well
as	as	a
over	over	over
self	self	self
-ruled	-rule	-ruled
Taiwan	taiwan	Taiwan
,	,	,
which	which	which
is	is	is
claimed	claim	claimed
by	by	by
China	china	China
.	.	.

Two	two	Two
outgoing	outgo	outgoing
members	member	member
of	of	of
the	the	the
commission	commiss	commission
are	are	are
currently	current	currently
under	under	under
investigation	investig	investigation
for	for	for
suspected	suspect	suspected
graft	graft	graft
,	,	,
sources	sourc	source
have	have	have
told	told	told
Reuters	reuter	Reuters
,	,	,
though	though	though
the	the	the
government	govern	government
has	has	ha
yet	yet	yet
to	to	to
confirm	confirm	confirm
this	this	this
.	.	.

It	it	It
isn	isn	isn
t	t	t
the	the	the
first	first	first
time	time	time
the	the	the
military	militari	military
has	has	ha
faced	face	faced
corruption	corrupt	corruption
issues	issu	issue
.	.	.

A	a	A
previous	previous	previous
vice	vice	vice
chairman	chairman	chairman
,	,	,
Guo	guo	Guo
Boxiong	boxiong	Boxiong
,	,	,
was	was	wa
jailed	jail	jailed
for	for	for
life	life	life
for	for	for
graft	graft	graft
last	last	last
year	year	year
,	,	,
while	while	while
another	anoth	another
former	former	former
vice	vice	vice
chairman	chairman	chairman
,	,	,
Xu	xu	Xu
Caihou	caihou	Caihou
,	,	,
died	die	died
of	of	of
cancer	cancer	cancer
in	in	in
2015	2015	2015
before	befor	before
he	he	he
could	could	could
face	face	face
trial	trial	trial
over	over	over
alleged	alleg	alleged
corruption	corrupt	corruption
.	.	.

Zhang	zhang	Zhang
is	is	is
currently	current	currently
the	the	the
eighth	eighth	eighth
-ranked	-rank	-ranked
member	member	member
of	of	of
the	the	the
11	11	11
-man	-man	-man
military	militari	military
commission	commiss	commission
.	.	.

Zhang	zhang	Zhang
is	is	is
also	also	also
expected	expect	expected
to	to	to
be	be	be
promoted	promot	promoted
to	to	to
the	the	the
Communist	communist	Communist
Party	parti	Party
s	s	s
25	25	25
-member	-member	-member
Politburo	politburo	Politburo
,	,	,
one	one	one
of	of	of
its	it	it
elite	elit	elite
ruling	rule	ruling
bodies	bodi	body
,	,	,
three	three	three
of	of	of
the	the	the
sources	sourc	source
said	said	said
.	.	.

One	one	One
source	sourc	source
with	with	with
ties	tie	tie
to	to	to
the	the	the
leadership	leadership	leadership
said	said	said
that	that	that
the	the	the
fathers	father	father
of	of	of
Xi	xi	Xi
and	and	and
Zhang	zhang	Zhang
-	-	-
Xi	xi	Xi
Zhongxun	zhongxun	Zhongxun
and	and	and
Zhang	zhang	Zhang
Zongxun	zongxun	Zongxun
-	-	-
had	had	had
been	been	been
close	close	close
.	.	.

The	the	The
two	two	two
fathers	father	father
fought	fought	fought
together	togeth	together
in	in	in
the	the	the
civil	civil	civil
war	war	war
that	that	that
ended	end	ended
in	in	in
1949	1949	1949
with	with	with
the	the	the
Communist	communist	Communist
victory	victori	victory
and	and	and
proclamation	proclam	proclamation
of	of	of
the	the	the
People	peopl	People
s	s	s
Republic	republ	Republic
of	of	of
China	china	China
.	.	.

Both	both	Both
men	men	men
rose	rose	rose
to	to	to
senior	senior	senior
positions	posit	position
in	in	in
the	the	the
government	govern	government
and	and	and
military	militari	military
.	.	.

The	the	The
second	second	second
generation	generat	generation
of	of	of
the	the	the
two	two	two
families	famili	family
are	are	are
also	also	also
close	close	close
,	,	,
the	the	the
source	sourc	source
added	ad	added
,	,	,
referring	refer	referring
to	to	to
Xi	xi	Xi
and	and	and
Zhang	zhang	Zhang
.	.	.

Born	born	Born
in	in	in
Beijing	beij	Beijing
,	,	,
Zhang	zhang	Zhang
Youxia	youxia	Youxia
joined	join	joined
the	the	the
army	armi	army
in	in	in
1968	1968	1968
,	,	,
rising	rise	rising
through	through	through
the	the	the
ranks	rank	rank
and	and	and
joining	join	joining
the	the	the
military	militari	military
commission	commiss	commission
in	in	in
late	late	late
2012	2012	2012
.	.	.

He	he	He
fought	fought	fought
against	against	against
Vietnam	vietnam	Vietnam
in	in	in
a	a	a
brief	brief	brief
border	border	border
war	war	war
in	in	in
1979	1979	1979
that	that	that
China	china	China
launched	launch	launched
in	in	in
punishment	punish	punishment
for	for	for
Vietnam	vietnam	Vietnam
invading	invad	invading
Cambodia	cambodia	Cambodia
the	the	the
previous	previous	previous
year	year	year
and	and	and
ousting	oust	ousting
the	the	the
Beijing	beij	Beijing
-backed	-back	-backed
Khmer	khmer	Khmer
Rouge	roug	Rouge
.	.	.

Zhang	zhang	Zhang
was	was	wa
26	26	26
when	when	when
he	he	he
was	was	wa
sent	sent	sent
to	to	to
the	the	the
frontlines	frontlin	frontlines
to	to	to
fight	fight	fight
the	the	the
Vietnamese	vietnames	Vietnamese
,	,	,
where	where	where
he	he	he
performed	perform	performed
well	well	well
and	and	and
was	was	wa
quickly	quick	quickly
promoted	promot	promoted
,	,	,
according	accord	according
to	to	to
state	state	state
media	media	medium
.	.	.

He	he	He
also	also	also
fought	fought	fought
in	in	in
another	anoth	another
border	border	border
clash	clash	clash
with	with	with
Vietnam	vietnam	Vietnam
in	in	in
1984	1984	1984
.	.	.

During	dure	During
the	the	the
battle	battl	battle
,	,	,
whether	whether	whether
attacking	attack	attacking
or	or	or
defending	defend	defending
,	,	,
Zhang	zhang	Zhang
Youxia	youxia	Youxia
performed	perform	performed
excellently	excel	excellently
,	,	,
the	the	the
official	offici	official
China	china	China
Youth	youth	Youth
Daily	daili	Daily
wrote	wrote	wrote
in	in	in
August	august	August
in	in	in
a	a	a
piece	piec	piece
entitled	entitl	entitled
,	,	,
These	these	These
Chinese	chines	Chinese
generals	general	general
have	have	have
killed	kill	killed
the	the	the
enemy	enemi	enemy
on	on	on
the	the	the
battlefield	battlefield	battlefield
.	.	.

Another	anoth	Another
officer	offic	officer
recently	recent	recently
promoted	promot	promoted
,	,	,
Li	li	Li
Zuocheng	zuocheng	Zuocheng
,	,	,
who	who	who
was	was	wa
named	name	named
chief	chief	chief
of	of	of
the	the	the
Joint	joint	Joint
Staff	staff	Staff
Department	depart	Department
of	of	of
the	the	the
People	peopl	People
s	s	s
Liberation	liber	Liberation
Army	armi	Army
in	in	in
August	august	August
,	,	,
also	also	also
fought	fought	fought
in	in	in
the	the	the
1979	1979	1979
war	war	war
.	.	.

Li	li	Li
is	is	is
also	also	also
likely	like	likely
to	to	to
become	becom	become
one	one	one
of	of	of
the	the	the
commission	commiss	commission
s	s	s
vice	vice	vice
chairmen	chairmen	chairman
,	,	,
but	but	but
it	it	it
was	was	wa
unclear	unclear	unclear
if	if	if
he	he	he
will	will	will
also	also	also
join	join	join
the	the	the
Politburo	politburo	Politburo
,	,	,
the	the	the
sources	sourc	source
said	said	said
.	.	.

One	one	One
of	of	of
the	the	the
sources	sourc	source
,	,	,
who	who	who
has	has	ha
ties	tie	tie
to	to	to
the	the	the
military	militari	military
,	,	,
said	said	said
Zhang	zhang	Zhang
had	had	had
a	a	a
reputation	reput	reputation
when	when	when
he	he	he
was	was	wa
based	base	based
in	in	in
northeastern	northeastern	northeastern
China	china	China
of	of	of
walking	walk	walking
around	around	around
his	his	his
base	base	base
dressed	dress	dressed
in	in	in
civilian	civilian	civilian
clothes	cloth	clothes
,	,	,
prompting	prompt	prompting
challenges	challeng	challenge
from	from	from
junior	junior	junior
soldiers	soldier	soldier
who	who	who
didn	didn	didn
t	t	t
recognize	recogn	recognize
him	him	him
.	.	.

He	he	He
doesn	doesn	doesn
t	t	t
put	put	put
on	on	on
airs	air	air
and	and	and
likes	like	like
getting	get	getting
down	down	down
in	in	in
the	the	the
dirt	dirt	dirt
with	with	with
ordinary	ordinari	ordinary
soldiers	soldier	soldier
,	,	,
to	to	to
know	know	know
what	what	what
their	their	their
lives	live	life
are	are	are
like	like	like
,	,	,
how	how	how
they	they	they
are	are	are
living	live	living
and	and	and
what	what	what
they	they	they
are	are	are
eating	eat	eating
,	,	,
said	said	said
the	the	the
source	sourc	source
,	,	,
speaking	speak	speaking
on	on	on
condition	condit	condition
of	of	of
anonymity	anonym	anonymity
because	becaus	because
of	of	of
the	the	the
sensitivity	sensit	sensitivity
of	of	of
the	the	the
matter	matter	matter
.	.	.

