DUBLIN	dublin	DUBLIN
Reuters	reuter	Reuters
-	-	-
Irish	irish	Irish
Prime	prime	Prime
Minister	minist	Minister
Leo	leo	Leo
Varadkar	varadkar	Varadkar
is	is	is
doing	do	doing
everything	everyth	everything
he	he	he
can	can	can
to	to	to
avoid	avoid	avoid
a	a	a
snap	snap	snap
general	general	general
election	elect	election
,	,	,
his	his	his
spokesman	spokesman	spokesman
said	said	said
,	,	,
but	but	but
the	the	the
crisis	crisi	crisis
that	that	that
has	has	ha
brought	brought	brought
his	his	his
minority	minor	minority
government	govern	government
to	to	to
the	the	the
brink	brink	brink
showed	show	showed
no	no	no
obvious	obvious	obvious
sign	sign	sign
of	of	of
resolution	resolut	resolution
on	on	on
Sunday	sunday	Sunday
.	.	.

Varadkar	varadkar	Varadkar
has	has	ha
two	two	two
days	day	day
to	to	to
end	end	end
the	the	the
standoff	standoff	standoff
with	with	with
the	the	the
party	parti	party
propping	prop	propping
up	up	up
his	his	his
government	govern	government
before	befor	before
it	it	it
submits	submit	submits
a	a	a
motion	motion	motion
of	of	of
no	no	no
confidence	confid	confidence
in	in	in
his	his	his
deputy	deputi	deputy
prime	prime	prime
minister	minist	minister
,	,	,
a	a	a
move	move	move
that	that	that
Varadkar	varadkar	Varadkar
says	say	say
will	will	will
force	forc	force
him	him	him
to	to	to
call	call	call
a	a	a
snap	snap	snap
election	elect	election
before	befor	before
Christmas	christma	Christmas
.	.	.

The	the	The
crisis	crisi	crisis
has	has	ha
erupted	erupt	erupted
less	less	le
than	than	than
three	three	three
weeks	week	week
before	befor	before
a	a	a
summit	summit	summit
on	on	on
Britain	britain	Britain
s	s	s
plans	plan	plan
to	to	to
leave	leav	leave
the	the	the
European	european	European
Union	union	Union
,	,	,
where	where	where
Ireland	ireland	Ireland
will	will	will
play	play	play
a	a	a
major	major	major
role	role	role
in	in	in
deciding	decid	deciding
whether	whether	whether
the	the	the
negotiations	negoti	negotiation
can	can	can
move	move	move
onto	onto	onto
the	the	the
next	next	next
phase	phase	phase
.	.	.

Talks	talk	Talks
between	between	between
Varadkar	varadkar	Varadkar
and	and	and
Micheal	micheal	Micheal
Martin	martin	Martin
,	,	,
the	the	the
leader	leader	leader
of	of	of
the	the	the
main	main	main
opposition	opposit	opposition
party	parti	party
,	,	,
Fianna	fianna	Fianna
Fail	fail	Fail
,	,	,
will	will	will
continue	continu	continue
on	on	on
Sunday	sunday	Sunday
ahead	ahead	ahead
of	of	of
Martin	martin	Martin
bringing	bring	bringing
the	the	the
motion	motion	motion
of	of	of
no	no	no
confidence	confid	confidence
in	in	in
Deputy	deputi	Deputy
Prime	prime	Prime
Minister	minist	Minister
Frances	franc	Frances
Fitzgerald	fitzgerald	Fitzgerald
before	befor	before
parliament	parliament	parliament
on	on	on
Tuesday	tuesday	Tuesday
.	.	.

The	the	The
Taoiseach	taoiseach	Taoiseach
prime	prime	prime
minister	minist	minister
is	is	is
doing	do	doing
everything	everyth	everything
he	he	he
can	can	can
to	to	to
avoid	avoid	avoid
an	an	an
election	elect	election
,	,	,
and	and	and
hopes	hope	hope
it	it	it
will	will	will
be	be	be
possible	possibl	possible
to	to	to
reach	reach	reach
agreement	agreement	agreement
with	with	with
Micheal	micheal	Micheal
Martin	martin	Martin
,	,	,
Varadkar	varadkar	Varadkar
s	s	s
spokesman	spokesman	spokesman
said	said	said
in	in	in
a	a	a
statement	statement	statement
on	on	on
Sunday	sunday	Sunday
.	.	.

The	the	The
spokesman	spokesman	spokesman
added	ad	added
that	that	that
there	there	there
was	was	wa
no	no	no
question	question	question
of	of	of
Fitzgerald	fitzgerald	Fitzgerald
being	be	being
asked	ask	asked
to	to	to
resign	resign	resign
over	over	over
her	her	her
handling	handl	handling
of	of	of
a	a	a
legal	legal	legal
case	case	case
involving	involv	involving
a	a	a
police	polic	police
whistleblower	whistleblow	whistleblower
.	.	.

Fianna	fianna	Fianna
Fail	fail	Fail
say	say	say
this	this	this
is	is	is
the	the	the
only	onli	only
way	way	way
to	to	to
avoid	avoid	avoid
an	an	an
election	elect	election
.	.	.

The	the	The
Sunday	sunday	Sunday
Times	time	Times
newspaper	newspap	newspaper
reported	report	reported
that	that	that
the	the	the
leaders	leader	leader
agreed	agre	agreed
the	the	the
outline	outlin	outline
of	of	of
a	a	a
deal	deal	deal
that	that	that
would	would	would
allow	allow	allow
an	an	an
ongoing	ongo	ongoing
judge	judg	judge
-led	-led	-led
tribunal	tribun	tribunal
to	to	to
investigate	investig	investigate
the	the	the
issue	issu	issue
but	but	but
that	that	that
sources	sourc	source
in	in	in
Varadkar	varadkar	Varadkar
s	s	s
Fine	fine	Fine
Gael	gael	Gael
party	parti	party
said	said	said
an	an	an
election	elect	election
was	was	wa
unavoidable	unavoid	unavoidable
if	if	if
Fianna	fianna	Fianna
Fail	fail	Fail
continued	continu	continued
to	to	to
call	call	call
for	for	for
Fitzgerald	fitzgerald	Fitzgerald
to	to	to
step	step	step
down	down	down
.	.	.

Varadkar	varadkar	Varadkar
is	is	is
due	due	due
to	to	to
play	play	play
a	a	a
major	major	major
role	role	role
in	in	in
the	the	the
Dec	dec	Dec
.	.	.

14	14	14
-15	-15	-15
EU	eu	EU
summit	summit	summit
on	on	on
Brexit	brexit	Brexit
,	,	,
telling	tell	telling
fellow	fellow	fellow
leaders	leader	leader
whether	whether	whether
Dublin	dublin	Dublin
believes	believ	belief
sufficient	suffici	sufficient
progress	progress	progress
has	has	ha
been	been	been
made	made	made
on	on	on
the	the	the
future	futur	future
border	border	border
between	between	between
EU	eu	EU
-member	-member	-member
Ireland	ireland	Ireland
and	and	and
Britain	britain	Britain
s	s	s
province	provinc	province
of	of	of
Northern	northern	Northern
Ireland	ireland	Ireland
.	.	.

The	the	The
government	govern	government
has	has	ha
said	said	said
enough	enough	enough
progress	progress	progress
has	has	ha
not	not	not
been	been	been
made	made	made
to	to	to
date	date	date
and	and	and
Ireland	ireland	Ireland
s	s	s
EU	eu	EU
Commissioner	commission	Commissioner
Phil	phil	Phil
Hogan	hogan	Hogan
said	said	said
on	on	on
Sunday	sunday	Sunday
that	that	that
Dublin	dublin	Dublin
would	would	would
continue	continu	continue
to	to	to
play	play	play
tough	tough	tough
over	over	over
its	it	it
threat	threat	threat
to	to	to
veto	veto	veto
talks	talk	talk
.	.	.

The	the	The
border	border	border
is	is	is
one	one	one
of	of	of
three	three	three
issues	issu	issue
Brussels	brussel	Brussels
wants	want	want
broadly	broad	broadly
resolved	resolv	resolved
before	befor	before
it	it	it
decides	decid	decides
whether	whether	whether
to	to	to
move	move	move
the	the	the
talks	talk	talk
on	on	on
to	to	to
a	a	a
second	second	second
phase	phase	phase
about	about	about
trade	trade	trade
and	and	and
EU	eu	EU
officials	offici	official
have	have	have
said	said	said
a	a	a
snap	snap	snap
election	elect	election
in	in	in
Ireland	ireland	Ireland
would	would	would
complicate	complic	complicate
that	that	that
task	task	task
.	.	.

Bosses	boss	Bosses
at	at	at
a	a	a
number	number	number
of	of	of
Ireland	ireland	Ireland
s	s	s
top	top	top
companies	compani	company
were	were	were
quoted	quot	quoted
by	by	by
the	the	the
Sunday	sunday	Sunday
Business	busi	Business
Post	post	Post
as	as	a
telling	tell	telling
the	the	the
parties	parti	party
to	to	to
step	step	step
back	back	back
from	from	from
the	the	the
brink	brink	brink
.	.	.

This	this	This
thing	thing	thing
of	of	of
bringing	bring	bringing
the	the	the
country	countri	country
to	to	to
a	a	a
standstill	standstil	standstill
at	at	at
a	a	a
critical	critic	critical
time	time	time
is	is	is
just	just	just
unacceptable	unaccept	unacceptable
,	,	,
Dalata	dalata	Dalata
Hotel	hotel	Hotel
Group	group	Group
DHG	dhg	DHG
.	.	.
I	i	I
chief	chief	chief
executive	execut	executive
Pat	pat	Pat
McCann	mccann	McCann
told	told	told
the	the	the
newspaper	newspap	newspaper
.	.	.

Politicians	politician	Politicians
say	say	say
they	they	they
also	also	also
know	know	know
there	there	there
is	is	is
no	no	no
appetite	appetit	appetite
among	among	among
voters	voter	voter
for	for	for
an	an	an
election	elect	election
just	just	just
18	18	18
months	month	month
after	after	after
the	the	the
last	last	last
one	one	one
and	and	and
an	an	an
opinion	opinion	opinion
poll	poll	poll
on	on	on
Saturday	saturday	Saturday
suggested	suggest	suggested
there	there	there
would	would	would
be	be	be
little	littl	little
change	chang	change
with	with	with
another	anoth	another
minority	minor	minority
administration	administr	administration
the	the	the
most	most	most
likely	like	likely
outcome	outcom	outcome
.	.	.

