SINGAPORE	singapor	SINGAPORE
Reuters	reuter	Reuters
-	-	-
Singapore	singapor	Singapore
should	should	should
end	end	end
harassment	harass	harassment
of	of	of
peaceful	peac	peaceful
activists	activist	activist
,	,	,
Human	human	Human
Rights	right	Rights
Watch	watch	Watch
has	has	ha
said	said	said
,	,	,
after	after	after
participants	particip	participant
at	at	at
a	a	a
candlelight	candlelight	candlelight
vigil	vigil	vigil
for	for	for
a	a	a
man	man	man
being	be	being
executed	execut	executed
for	for	for
drug	drug	drug
trafficking	traffick	trafficking
were	were	were
stopped	stop	stopped
from	from	from
leaving	leav	leaving
the	the	the
country	countri	country
.	.	.

On	on	On
July	juli	July
13	13	13
,	,	,
about	about	about
10	10	10
people	peopl	people
,	,	,
including	includ	including
opponents	oppon	opponent
of	of	of
the	the	the
death	death	death
penalty	penalti	penalty
and	and	and
relatives	relat	relative
Prabagaran	prabagaran	Prabagaran
Srivijayan	srivijayan	Srivijayan
,	,	,
22	22	22
,	,	,
attended	attend	attended
the	the	the
vigil	vigil	vigil
outside	outsid	outside
Changi	changi	Changi
Prison	prison	Prison
in	in	in
support	support	support
of	of	of
the	the	the
man	man	man
,	,	,
who	who	who
was	was	wa
to	to	to
be	be	be
hanged	hang	hanged
early	earli	early
the	the	the
next	next	next
morning	morn	morning
.	.	.

The	the	The
man	man	man
,	,	,
who	who	who
was	was	wa
executed	execut	executed
on	on	on
July	juli	July
14	14	14
,	,	,
was	was	wa
convicted	convict	convicted
of	of	of
trafficking	traffick	trafficking
22	22	22
.	.	.
4	4	4
grams	gram	gram
of	of	of
heroin	heroin	heroin
into	into	into
Singapore	singapor	Singapore
.	.	.

During	dure	During
the	the	the
vigil	vigil	vigil
,	,	,
participants	particip	participant
said	said	said
they	they	they
were	were	were
approached	approach	approached
by	by	by
police	polic	police
and	and	and
told	told	told
that	that	that
a	a	a
police	polic	police
report	report	report
had	had	had
been	been	been
filed	file	filed
and	and	and
that	that	that
they	they	they
were	were	were
to	to	to
remove	remov	remove
the	the	the
candles	candl	candle
.	.	.

The	the	The
police	polic	police
removed	remov	removed
the	the	the
candles	candl	candle
and	and	and
photographs	photograph	photograph
of	of	of
Prabagaran	prabagaran	Prabagaran
but	but	but
the	the	the
participants	particip	participant
say	say	say
they	they	they
were	were	were
not	not	not
asked	ask	asked
to	to	to
disperse	dispers	disperse
.	.	.

Assemblies	assembl	Assemblies
and	and	and
processions	process	procession
for	for	for
a	a	a
cause	caus	cause
in	in	in
public	public	public
places	place	place
without	without	without
a	a	a
permit	permit	permit
is	is	is
a	a	a
criminal	crimin	criminal
offense	offens	offense
in	in	in
Singapore	singapor	Singapore
.	.	.

Anyone	anyon	Anyone
convicted	convict	convicted
of	of	of
organizing	organ	organizing
such	such	such
an	an	an
assembly	assembl	assembly
faces	face	face
penalties	penalti	penalty
of	of	of
up	up	up
to	to	to
S	s	S
10	10	10
,	,	,
000	000	000
7	7	7
,	,	,
440	440	440
in	in	in
fines	fine	fine
and	and	and
up	up	up
to	to	to
six	six	six
months	month	month
in	in	in
jail	jail	jail
.	.	.

The	the	The
Singapore	singapor	Singapore
government	govern	government
has	has	ha
said	said	said
that	that	that
the	the	the
law	law	law
is	is	is
required	requir	required
to	to	to
provide	provid	provide
for	for	for
the	the	the
individual	individu	individual
s	s	s
rights	right	right
for	for	for
political	polit	political
expression	express	expression
without	without	without
compromising	compromis	compromising
on	on	on
order	order	order
and	and	and
safety	safeti	safety
.	.	.

Among	among	Among
those	those	those
at	at	at
the	the	the
vigil	vigil	vigil
were	were	were
a	a	a
journalist	journalist	journalist
,	,	,
who	who	who
is	is	is
an	an	an
activist	activist	activist
against	against	against
capital	capit	capital
punishment	punish	punishment
,	,	,
an	an	an
editor	editor	editor
of	of	of
independent	independ	independent
online	onlin	online
blog	blog	blog
Online	onlin	Online
Citizen	citizen	Citizen
and	and	and
a	a	a
filmmaker	filmmak	filmmaker
whose	whose	whose
most	most	most
recent	recent	recent
work	work	work
focused	focus	focused
on	on	on
the	the	the
detention	detent	detention
in	in	in
1987	1987	1987
of	of	of
political	polit	political
activists	activist	activist
under	under	under
Singapore	singapor	Singapore
s	s	s
Internal	intern	Internal
Security	secur	Security
Act	act	Act
.	.	.

The	the	The
three	three	three
said	said	said
in	in	in
social	social	social
media	media	medium
postings	post	posting
that	that	that
they	they	they
had	had	had
been	been	been
prevented	prevent	prevented
from	from	from
leaving	leav	leaving
the	the	the
country	countri	country
,	,	,
and	and	and
had	had	had
been	been	been
told	told	told
that	that	that
they	they	they
were	were	were
required	requir	required
to	to	to
stay	stay	stay
in	in	in
Singapore	singapor	Singapore
to	to	to
assist	assist	assist
police	polic	police
with	with	with
an	an	an
investigation	investig	investigation
.	.	.

As	as	As
of	of	of
Friday	friday	Friday
afternoon	afternoon	afternoon
,	,	,
police	polic	police
were	were	were
not	not	not
able	abl	able
to	to	to
respond	respond	respond
to	to	to
requests	request	request
by	by	by
Reuters	reuter	Reuters
for	for	for
comment	comment	comment
.	.	.

Human	human	Human
Rights	right	Rights
Watch	watch	Watch
said	said	said
the	the	the
government	govern	government
should	should	should
respect	respect	respect
the	the	the
right	right	right
of	of	of
free	free	free
speech	speech	speech
and	and	and
assembly	assembl	assembly
.	.	.

The	the	The
government	govern	government
should	should	should
end	end	end
its	it	it
harassment	harass	harassment
of	of	of
activists	activist	activist
campaigning	campaign	campaigning
against	against	against
capital	capit	capital
punishment	punish	punishment
and	and	and
respect	respect	respect
their	their	their
rights	right	right
to	to	to
freedom	freedom	freedom
of	of	of
expression	express	expression
and	and	and
peaceful	peac	peaceful
assembly	assembl	assembly
,	,	,
the	the	the
group	group	group
said	said	said
in	in	in
a	a	a
release	releas	release
on	on	on
Thursday	thursday	Thursday
.	.	.

None	none	None
of	of	of
the	the	the
three	three	three
had	had	had
been	been	been
arrested	arrest	arrested
or	or	or
charged	charg	charged
,	,	,
Kirsten	kirsten	Kirsten
Han	han	Han
,	,	,
the	the	the
activist	activist	activist
and	and	and
journalist	journalist	journalist
,	,	,
told	told	told
Reuters	reuter	Reuters
.	.	.

