STRASBOURG	strasbourg	STRASBOURG
Reuters	reuter	Reuters
-	-	-
The	the	The
EU	eu	EU
executive	execut	executive
called	call	called
again	again	again
on	on	on
Wednesday	wednesday	Wednesday
for	for	for
the	the	the
Spanish	spanish	Spanish
government	govern	government
and	and	and
Catalan	catalan	Catalan
authorities	author	authority
to	to	to
open	open	open
dialogue	dialogu	dialogue
to	to	to
defuse	defus	defuse
the	the	the
sometimes	sometim	sometimes
violent	violent	violent
confrontation	confront	confrontation
over	over	over
Catalonia	catalonia	Catalonia
s	s	s
push	push	push
for	for	for
independence	independ	independence
.	.	.
It	it	It
s	s	s
time	time	time
to	to	to
talk	talk	talk
,	,	,
the	the	the
European	european	European
Commission	commiss	Commission
s	s	s
deputy	deputi	deputy
head	head	head
,	,	,
Frans	fran	Frans
Timmermans	timmerman	Timmermans
,	,	,
told	told	told
the	the	the
European	european	European
Parliament	parliament	Parliament
during	dure	during
an	an	an
emergency	emerg	emergency
debate	debat	debate
on	on	on
the	the	the
crisis	crisi	crisis
in	in	in
Spain	spain	Spain
.	.	.
Reflecting	reflect	Reflecting
the	the	the
cautiously	cautious	cautiously
balanced	balanc	balanced
tone	tone	tone
of	of	of
a	a	a
Commission	commiss	Commission
statement	statement	statement
on	on	on
Monday	monday	Monday
after	after	after
images	imag	image
of	of	of
violent	violent	violent
police	polic	police
action	action	action
against	against	against
an	an	an
unauthorized	unauthor	unauthorized
independence	independ	independence
referendum	referendum	referendum
,	,	,
Timmermans	timmerman	Timmermans
endorsed	endors	endorsed
the	the	the
legal	legal	legal
position	posit	position
of	of	of
Spanish	spanish	Spanish
Prime	prime	Prime
Minister	minist	Minister
Mariano	mariano	Mariano
Rajoy	rajoy	Rajoy
but	but	but
also	also	also
renewed	renew	renewed
an	an	an
appeal	appeal	appeal
for	for	for
dialogue	dialogu	dialogue
.	.	.
And	and	And
despite	despit	despite
saddening	sadden	saddening
images	imag	image
of	of	of
Spanish	spanish	Spanish
police	polic	police
beating	beat	beating
participants	particip	participant
in	in	in
what	what	what
the	the	the
Commission	commiss	Commission
says	say	say
was	was	wa
an	an	an
illegal	illeg	illegal
vote	vote	vote
,	,	,
Brussels	brussel	Brussels
has	has	ha
no	no	no
plan	plan	plan
to	to	to
accede	acced	accede
to	to	to
calls	call	call
from	from	from
the	the	the
separatist	separatist	separatist
government	govern	government
in	in	in
Barcelona	barcelona	Barcelona
for	for	for
direct	direct	direct
EU	eu	EU
mediation	mediat	mediation
-	-	-
Spain	spain	Spain
s	s	s
democratic	democrat	democratic
systems	system	system
are	are	are
quite	quit	quite
adequate	adequ	adequate
for	for	for
that	that	that
,	,	,
EU	eu	EU
leaders	leader	leader
say	say	say
.	.	.
You	you	You
can	can	can
work	work	work
to	to	to
change	chang	change
the	the	the
law	law	law
,	,	,
but	but	but
you	you	you
cannot	cannot	cannot
ignore	ignor	ignore
the	the	the
law	law	law
,	,	,
Timmermans	timmerman	Timmermans
said	said	said
in	in	in
remarks	remark	remark
aimed	aim	aimed
at	at	at
Catalan	catalan	Catalan
leaders	leader	leader
,	,	,
who	who	who
appear	appear	appear
set	set	set
on	on	on
a	a	a
unilateral	unilater	unilateral
declaration	declar	declaration
of	of	of
independence	independ	independence
in	in	in
defiance	defianc	defiance
of	of	of
constitutional	constitut	constitutional
court	court	court
rulings	rule	ruling
that	that	that
forbid	forbid	forbid
secession	secess	secession
.	.	.
Respect	respect	Respect
for	for	for
the	the	the
rule	rule	rule
of	of	of
law	law	law
is	is	is
not	not	not
optional	option	optional
,	,	,
added	ad	added
First	first	First
Vice	vice	Vice
President	presid	President
Timmermans	timmerman	Timmermans
,	,	,
who	who	who
also	also	also
leads	lead	lead
a	a	a
Commission	commiss	Commission
effort	effort	effort
to	to	to
prevent	prevent	prevent
Poland	poland	Poland
s	s	s
right	right	right
-wing	-wing	-wing
government	govern	government
from	from	from
changing	chang	changing
judiciary	judiciari	judiciary
regulations	regul	regulation
that	that	that
the	the	the
EU	eu	EU
says	say	say
is	is	is
a	a	a
move	move	move
toward	toward	toward
authoritarianism	authoritarian	authoritarianism
.	.	.
An	an	An
EU	eu	EU
lawmaker	lawmak	lawmaker
from	from	from
Poland	poland	Poland
s	s	s
ruling	rule	ruling
party	parti	party
accused	accus	accused
the	the	the
EU	eu	EU
of	of	of
double	doubl	double
standards	standard	standard
for	for	for
pressuring	pressur	pressuring
Warsaw	warsaw	Warsaw
but	but	but
not	not	not
Madrid	madrid	Madrid
-	-	-
and	and	and
several	sever	several
other	other	other
eurosceptic	euroscept	eurosceptic
and	and	and
nationalist	nationalist	nationalist
members	member	member
also	also	also
said	said	said
the	the	the
EU	eu	EU
had	had	had
not	not	not
criticized	critic	criticized
Spanish	spanish	Spanish
police	polic	police
action	action	action
firmly	firm	firmly
enough	enough	enough
.	.	.
But	but	But
Timmermans	timmerman	Timmermans
insisted	insist	insisted
it	it	it
was	was	wa
not	not	not
for	for	for
Brussels	brussel	Brussels
to	to	to
intervene	interven	intervene
The	the	The
Commission	commiss	Commission
has	has	ha
called	call	called
on	on	on
all	all	all
relevant	relev	relevant
actors	actor	actor
to	to	to
now	now	now
move	move	move
quickly	quick	quickly
from	from	from
confrontation	confront	confrontation
to	to	to
dialogue	dialogu	dialogue
.	.	.
.	.	.
.	.	.
It	it	It
s	s	s
time	time	time
to	to	to
talk	talk	talk
.	.	.
To	to	To
find	find	find
a	a	a
way	way	way
out	out	out
of	of	of
the	the	the
impasse	impass	impasse
,	,	,
working	work	working
within	within	within
the	the	the
constitutional	constitut	constitutional
order	order	order
of	of	of
Spain	spain	Spain
.	.	.
Earlier	earlier	Earlier
on	on	on
Wednesday	wednesday	Wednesday
,	,	,
Spanish	spanish	Spanish
members	member	member
of	of	of
the	the	the
EU	eu	EU
parliament	parliament	parliament
traded	trade	traded
accusations	accus	accusation
over	over	over
whether	whether	whether
leaders	leader	leader
in	in	in
Barcelona	barcelona	Barcelona
or	or	or
Madrid	madrid	Madrid
were	were	were
responsible	respons	responsible
for	for	for
the	the	the
crisis	crisi	crisis
.	.	.
At	at	At
one	one	one
point	point	point
,	,	,
one	one	one
Spanish	spanish	Spanish
liberal	liber	liberal
lawmaker	lawmak	lawmaker
held	held	held
up	up	up
a	a	a
copy	copi	copy
of	of	of
the	the	the
post	post	post
-dictatorship	-dictatorship	-dictatorship
constitution	constitut	constitution
,	,	,
brandishing	brandish	brandishing
it	it	it
at	at	at
Catalan	catalan	Catalan
separatists	separatist	separatist
and	and	and
saying	say	saying
Catalans	catalan	Catalans
voted	vote	voted
for	for	for
it	it	it
in	in	in
1978	1978	1978
.	.	.
In	in	In
the	the	the
afternoon	afternoon	afternoon
debate	debat	debate
,	,	,
leaders	leader	leader
of	of	of
the	the	the
main	main	main
parties	parti	party
in	in	in
the	the	the
Strasbourg	strasbourg	Strasbourg
chamber	chamber	chamber
broadly	broad	broadly
echoed	echo	echoed
Timmermans	timmerman	Timmermans
arguments	argument	argument
.	.	.
Few	few	Few
of	of	of
Europe	europ	Europe
s	s	s
leaders	leader	leader
want	want	want
to	to	to
see	see	see
the	the	the
disruption	disrupt	disruption
of	of	of
splitting	split	splitting
a	a	a
major	major	major
member	member	member
state	state	state
nor	nor	nor
to	to	to
encourage	encourag	encourage
separatism	separat	separatism
in	in	in
other	other	other
countries	countri	country
.	.	.
The	the	The
center	center	center
-right	-right	-right
leader	leader	leader
,	,	,
the	the	the
Bavarian	bavarian	Bavarian
Manfred	manfr	Manfred
Weber	weber	Weber
,	,	,
and	and	and
the	the	the
liberal	liber	liberal
leader	leader	leader
,	,	,
the	the	the
Flemish	flemish	Flemish
Guy	guy	Guy
Verhofstadt	verhofstadt	Verhofstadt
,	,	,
both	both	both
referred	refer	referred
to	to	to
their	their	their
own	own	own
origins	origin	origin
to	to	to
argue	argu	argue
that	that	that
strong	strong	strong
regional	region	regional
identity	ident	identity
and	and	and
autonomy	autonomi	autonomy
did	did	did
not	not	not
mean	mean	mean
breaking	break	breaking
up	up	up
existing	exist	existing
nation	nation	nation
states	state	state
.	.	.
The	the	The
irresponsible	irrespons	irresponsible
Catalan	catalan	Catalan
government	govern	government
is	is	is
splitting	split	splitting
the	the	the
country	countri	country
,	,	,
said	said	said
Weber	weber	Weber
,	,	,
an	an	an
ally	alli	ally
of	of	of
German	german	German
Chancellor	chancellor	Chancellor
Angela	angela	Angela
Merkel	merkel	Merkel
and	and	and
of	of	of
Rajoy	rajoy	Rajoy
.	.	.
He	he	He
said	said	said
the	the	the
EU	eu	EU
had	had	had
neither	neither	neither
the	the	the
will	will	will
nor	nor	nor
the	the	the
means	mean	mean
to	to	to
intercede	interced	intercede
.	.	.
Some	some	Some
lawmakers	lawmak	lawmaker
,	,	,
however	howev	however
,	,	,
said	said	said
Brussels	brussel	Brussels
could	could	could
to	to	to
more	more	more
to	to	to
help	help	help
.	.	.
Greens	green	Greens
leader	leader	leader
Ska	ska	Ska
Keller	keller	Keller
,	,	,
whose	whose	whose
group	group	group
includes	includ	includes
pro	pro	pro
-independence	-independ	-independence
Catalans	catalan	Catalans
,	,	,
said	said	said
the	the	the
Commission	commiss	Commission
could	could	could
act	act	act
as	as	a
honest	honest	honest
broker	broker	broker
to	to	to
promote	promot	promote
compromise	compromis	compromise
.	.	.
It	it	It
is	is	is
wrong	wrong	wrong
if	if	if
the	the	the
Commission	commiss	Commission
shies	shi	shy
away	away	away
and	and	and
continues	continu	continues
to	to	to
turn	turn	turn
a	a	a
blind	blind	blind
eye	eye	eye
.	.	.
Verhofstadt	verhofstadt	Verhofstadt
,	,	,
a	a	a
Liberal	liber	Liberal
former	former	former
prime	prime	prime
minister	minist	minister
of	of	of
Belgium	belgium	Belgium
where	where	where
constitutional	constitut	constitutional
gymnastics	gymnast	gymnastics
and	and	and
extreme	extrem	extreme
devolution	devolut	devolution
have	have	have
prevented	prevent	prevented
his	his	his
fellow	fellow	fellow
Flemings	fleme	Flemings
breaking	break	breaking
with	with	with
their	their	their
French	french	French
-speaking	-speak	-speaking
neighbors	neighbor	neighbor
,	,	,
chided	chide	chided
Spaniards	spaniard	Spaniards
for	for	for
failing	fail	failing
to	to	to
go	go	go
beyond	beyond	beyond
legal	legal	legal
arguments	argument	argument
to	to	to
find	find	find
genuine	genuin	genuine
dialogue	dialogu	dialogue
and	and	and
compromise	compromis	compromise
.	.	.
He	he	He
called	call	called
any	ani	any
declaration	declar	declaration
of	of	of
independence	independ	independence
totally	total	totally
irresponsible	irrespons	irresponsible
and	and	and
said	said	said
It	it	It
s	s	s
not	not	not
a	a	a
shame	shame	shame
to	to	to
make	make	make
compromises	compromis	compromise
.	.	.
