JOHANNESBURG	johannesburg	JOHANNESBURG
Reuters	reuter	Reuters
-	-	-
South	south	South
African	african	African
President	presid	President
Jacob	jacob	Jacob
Zuma	zuma	Zuma
has	has	ha
rejected	reject	rejected
local	local	local
news	news	news
reports	report	report
that	that	that
his	his	his
office	offic	office
has	has	ha
started	start	started
drafting	draft	drafting
regulations	regul	regulation
for	for	for
a	a	a
state	state	state
of	of	of
emergency	emerg	emergency
,	,	,
the	the	the
president	presid	president
s	s	s
office	offic	office
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
Emergency	emerg	Emergency
laws	law	law
were	were	were
last	last	last
deployed	deploy	deployed
in	in	in
parts	part	part
of	of	of
Africa	africa	Africa
s	s	s
most	most	most
industrialized	industri	industrialized
economy	economi	economy
in	in	in
1985	1985	1985
under	under	under
former	former	former
president	presid	president
P	p	P
.	.	.
W	w	W
.	.	.
Botha	botha	Botha
,	,	,
the	the	the
face	face	face
of	of	of
white	white	white
South	south	South
Africa	africa	Africa
as	as	a
president	presid	president
at	at	at
the	the	the
height	height	height
of	of	of
the	the	the
anti	anti	anti
-apartheid	-apartheid	-apartheid
struggle	struggl	struggle
.	.	.
The	the	The
Presidency	presid	Presidency
rejects	reject	reject
the	the	the
media	media	medium
reports	report	report
alleging	alleg	alleging
that	that	that
The	the	The
Presidency	presid	Presidency
has	has	ha
started	start	started
composing	compos	composing
draft	draft	draft
regulations	regul	regulation
for	for	for
a	a	a
state	state	state
of	of	of
emergency	emerg	emergency
and	and	and
that	that	that
President	presid	President
Jacob	jacob	Jacob
Zuma	zuma	Zuma
has	has	ha
appointed	appoint	appointed
a	a	a
team	team	team
to	to	to
draw	draw	draw
up	up	up
such	such	such
regulations	regul	regulation
,	,	,
Zuma	zuma	Zuma
s	s	s
office	offic	office
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
The	the	The
Presidency	presid	Presidency
is	is	is
not	not	not
working	work	working
on	on	on
regulations	regul	regulation
for	for	for
a	a	a
state	state	state
of	of	of
emergency	emerg	emergency
.	.	.
Emergency	emerg	Emergency
powers	power	power
have	have	have
not	not	not
been	been	been
used	use	used
in	in	in
South	south	South
Africa	africa	Africa
since	sinc	since
the	the	the
country	countri	country
s	s	s
1994	1994	1994
transition	transit	transition
to	to	to
multi	multi	multi
-racial	-racial	-racial
democracy	democraci	democracy
after	after	after
decades	decad	decade
of	of	of
white	white	white
apartheid	apartheid	apartheid
rule	rule	rule
.	.	.
The	the	The
Rapport	rapport	Rapport
newspaper	newspap	newspaper
had	had	had
reported	report	reported
that	that	that
Zuma	zuma	Zuma
had	had	had
ordered	order	ordered
that	that	that
regulations	regul	regulation
for	for	for
a	a	a
state	state	state
of	of	of
emergency	emerg	emergency
be	be	be
prepared	prepar	prepared
to	to	to
be	be	be
part	part	part
of	of	of
the	the	the
State	state	State
of	of	of
Emergency	emerg	Emergency
Act	act	Act
passed	pass	passed
in	in	in
1997	1997	1997
.	.	.
The	the	The
newspaper	newspap	newspaper
said	said	said
the	the	the
detailed	detail	detailed
regulations	regul	regulation
that	that	that
would	would	would
outline	outlin	outline
what	what	what
should	should	should
happen	happen	happen
during	dure	during
a	a	a
state	state	state
of	of	of
emergency	emerg	emergency
were	were	were
never	never	never
passed	pass	passed
into	into	into
law	law	law
when	when	when
the	the	the
main	main	main
legislation	legisl	legislation
was	was	wa
enacted	enact	enacted
.	.	.
It	it	It
cited	cite	cited
documents	document	document
showing	show	showing
that	that	that
Zuma	zuma	Zuma
had	had	had
set	set	set
up	up	up
a	a	a
team	team	team
to	to	to
make	make	make
the	the	the
draft	draft	draft
regulations	regul	regulation
.	.	.
According	accord	According
to	to	to
Rapport	rapport	Rapport
the	the	the
draft	draft	draft
regulations	regul	regulation
would	would	would
ban	ban	ban
anyone	anyon	anyone
from	from	from
writing	write	writing
publishing	publish	publishing
or	or	or
broadcasting	broadcast	broadcasting
threatening	threaten	threatening
material	materi	material
and	and	and
give	give	give
security	secur	security
forces	forc	force
power	power	power
to	to	to
use	use	use
as	as	a
much	much	much
force	forc	force
as	as	a
necessary	necessari	necessary
to	to	to
restore	restor	restore
law	law	law
and	and	and
order	order	order
.	.	.
