NEW	new	NEW
YORK	york	YORK
Reuters	reuter	Reuters
-	-	-
A	a	A
senior	senior	senior
BlackRock	blackrock	BlackRock
Inc	inc	Inc
executive	execut	executive
made	made	made
a	a	a
donation	donat	donation
to	to	to
an	an	an
unsuccessful	unsuccess	unsuccessful
U	u	U
.	.	.
S	s	S
.	.	.
presidential	presidenti	presidential
candidate	candid	candidate
last	last	last
year	year	year
,	,	,
an	an	an
action	action	action
that	that	that
may	may	may
prohibit	prohibit	prohibit
the	the	the
world	world	world
s	s	s
largest	largest	largest
asset	asset	asset
manager	manag	manager
from	from	from
collecting	collect	collecting
some	some	some
fees	fee	fee
from	from	from
a	a	a
state	state	state
government	govern	government
,	,	,
a	a	a
company	compani	company
regulatory	regulatori	regulatory
filing	file	filing
showed	show	showed
.	.	.
Mark	mark	Mark
Wiedman	wiedman	Wiedman
,	,	,
a	a	a
BlackRock	blackrock	BlackRock
senior	senior	senior
managing	manag	managing
director	director	director
,	,	,
donated	donat	donated
2	2	2
,	,	,
700	700	700
to	to	to
the	the	the
presidential	presidenti	presidential
campaign	campaign	campaign
of	of	of
Ohio	ohio	Ohio
Governor	governor	Governor
John	john	John
Kasich	kasich	Kasich
,	,	,
who	who	who
was	was	wa
seeking	seek	seeking
the	the	the
Republican	republican	Republican
Party	parti	Party
nomination	nomin	nomination
,	,	,
according	accord	according
to	to	to
a	a	a
filing	file	filing
made	made	made
earlier	earlier	earlier
this	this	this
year	year	year
with	with	with
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Securities	secur	Securities
and	and	and
Exchange	exchang	Exchange
Commission	commiss	Commission
and	and	and
reviewed	review	reviewed
by	by	by
Reuters	reuter	Reuters
on	on	on
Monday	monday	Monday
.	.	.
Federal	feder	Federal
securities	secur	security
rules	rule	rule
prohibit	prohibit	prohibit
companies	compani	company
or	or	or
their	their	their
executive	execut	executive
officers	offic	officer
from	from	from
making	make	making
donations	donat	donation
to	to	to
government	govern	government
officials	offici	official
who	who	who
could	could	could
influence	influenc	influence
the	the	the
hiring	hire	hiring
of	of	of
a	a	a
fund	fund	fund
manager	manag	manager
or	or	or
have	have	have
authority	author	authority
to	to	to
appoint	appoint	appoint
a	a	a
person	person	person
who	who	who
could	could	could
do	do	do
so	so	so
and	and	and
then	then	then
providing	provid	providing
asset	asset	asset
management	manag	management
services	servic	service
to	to	to
their	their	their
governments	govern	government
for	for	for
a	a	a
fee	fee	fee
.	.	.
The	the	The
ban	ban	ban
is	is	is
in	in	in
effect	effect	effect
for	for	for
two	two	two
years	year	year
after	after	after
the	the	the
contribution	contribut	contribution
is	is	is
made	made	made
.	.	.
The	the	The
state	state	state
of	of	of
Ohio	ohio	Ohio
uses	use	us
BlackRock	blackrock	BlackRock
-managed	-manag	-managed
funds	fund	fund
,	,	,
and	and	and
its	it	it
relationship	relationship	relationship
with	with	with
BlackRock	blackrock	BlackRock
substantially	substanti	substantially
predates	predat	predates
the	the	the
donation	donat	donation
,	,	,
the	the	the
filing	file	filing
said	said	said
.	.	.
In	in	In
the	the	the
May	may	May
filing	file	filing
,	,	,
BlackRock	blackrock	BlackRock
asked	ask	asked
the	the	the
SEC	sec	SEC
for	for	for
permission	permiss	permission
to	to	to
accept	accept	accept
fees	fee	fee
from	from	from
the	the	the
state	state	state
of	of	of
Ohio	ohio	Ohio
,	,	,
saying	say	saying
that	that	that
exceptions	except	exception
to	to	to
the	the	the
rule	rule	rule
have	have	have
been	been	been
granted	grant	granted
before	befor	before
.	.	.
Without	without	Without
such	such	such
a	a	a
ruling	rule	ruling
,	,	,
BlackRock	blackrock	BlackRock
said	said	said
it	it	it
could	could	could
face	face	face
a	a	a
loss	loss	loss
of	of	of
approximately	approxim	approximately
37	37	37
million	million	million
.	.	.
BlackRock	blackrock	BlackRock
said	said	said
Wiedman	wiedman	Wiedman
asked	ask	asked
for	for	for
and	and	and
received	receiv	received
a	a	a
refund	refund	refund
of	of	of
his	his	his
campaign	campaign	campaign
contribution	contribut	contribution
to	to	to
Kasich	kasich	Kasich
,	,	,
which	which	which
was	was	wa
made	made	made
because	becaus	because
of	of	of
the	the	the
personal	person	personal
political	polit	political
beliefs	belief	belief
of	of	of
the	the	the
contributor	contributor	contributor
and	and	and
not	not	not
because	becaus	because
of	of	of
any	ani	any
desire	desir	desire
to	to	to
influence	influenc	influence
the	the	the
award	award	award
of	of	of
investment	invest	investment
advisory	advisori	advisory
business	busi	business
.	.	.
The	the	The
SEC	sec	SEC
has	has	ha
not	not	not
yet	yet	yet
responded	respond	responded
to	to	to
BlackRock	blackrock	BlackRock
s	s	s
request	request	request
.	.	.
In	in	In
an	an	an
emailed	email	emailed
statement	statement	statement
,	,	,
BlackRock	blackrock	BlackRock
said	said	said
its	it	it
application	applic	application
is	is	is
fair	fair	fair
and	and	and
reasonable	reason	reasonable
,	,	,
and	and	and
consistent	consist	consistent
with	with	with
the	the	the
intent	intent	intent
of	of	of
the	the	the
relevant	relev	relevant
rule	rule	rule
.	.	.
The	the	The
contribution	contribut	contribution
in	in	in
question	question	question
was	was	wa
made	made	made
solely	sole	solely
in	in	in
support	support	support
of	of	of
Mr	mr	Mr
.	.	.
Kasich	kasich	Kasich
s	s	s
presidential	presidenti	presidential
campaign	campaign	campaign
and	and	and
for	for	for
no	no	no
other	other	other
purpose	purpos	purpose
,	,	,
BlackRock	blackrock	BlackRock
spokeswoman	spokeswoman	spokeswoman
Tara	tara	Tara
McDonnell	mcdonnel	McDonnell
said	said	said
in	in	in
the	the	the
statement	statement	statement
.	.	.
Through	through	Through
BlackRock	blackrock	BlackRock
s	s	s
robust	robust	robust
policies	polici	policy
and	and	and
procedures	procedur	procedure
,	,	,
we	we	we
discovered	discov	discovered
the	the	the
contribution	contribut	contribution
in	in	in
question	question	question
,	,	,
and	and	and
both	both	both
BlackRock	blackrock	BlackRock
and	and	and
Mr	mr	Mr
.	.	.
Wiedman	wiedman	Wiedman
worked	work	worked
together	togeth	together
to	to	to
promptly	prompt	promptly
address	address	address
the	the	the
error	error	error
,	,	,
including	includ	including
obtaining	obtain	obtaining
a	a	a
refund	refund	refund
of	of	of
the	the	the
2	2	2
,	,	,
700	700	700
contribution	contribut	contribution
,	,	,
McDonnell	mcdonnel	McDonnell
said	said	said
.	.	.
A	a	A
spokesman	spokesman	spokesman
for	for	for
the	the	the
SEC	sec	SEC
,	,	,
Ryan	ryan	Ryan
White	white	White
,	,	,
declined	declin	declined
to	to	to
comment	comment	comment
on	on	on
the	the	the
filing	file	filing
.	.	.
A	a	A
spokesman	spokesman	spokesman
for	for	for
Kasich	kasich	Kasich
did	did	did
not	not	not
immediately	immedi	immediately
respond	respond	respond
to	to	to
a	a	a
request	request	request
for	for	for
comment	comment	comment
on	on	on
the	the	the
donation	donat	donation
.	.	.
Wiedman	wiedman	Wiedman
is	is	is
global	global	global
head	head	head
of	of	of
iShares	ishar	iShares
and	and	and
index	index	index
investments	invest	investment
,	,	,
a	a	a
booming	boom	booming
business	busi	business
within	within	within
BlackRock	blackrock	BlackRock
that	that	that
includes	includ	includes
its	it	it
exchange	exchang	exchange
-traded	-trade	-traded
funds	fund	fund
.	.	.
The	the	The
iShares	ishar	iShares
brand	brand	brand
brought	brought	brought
in	in	in
nearly	near	nearly
74	74	74
billion	billion	billion
of	of	of
new	new	new
cash	cash	cash
into	into	into
BlackRock	blackrock	BlackRock
in	in	in
the	the	the
second	second	second
quarter	quarter	quarter
.	.	.
BlackRock	blackrock	BlackRock
manages	manag	manages
5	5	5
.	.	.
7	7	7
trillion	trillion	trillion
overall	overal	overall
.	.	.
