KAMPALA	kampala	KAMPALA
Reuters	reuter	Reuters
-	-	-
Ugandan	ugandan	Ugandan
legislators	legisl	legislator
voted	vote	voted
late	late	late
on	on	on
Wednesday	wednesday	Wednesday
to	to	to
amend	amend	amend
the	the	the
country	countri	country
s	s	s
constitution	constitut	constitution
to	to	to
allow	allow	allow
73	73	73
-year-old	-year-old	-year-old
leader	leader	leader
Yoweri	yoweri	Yoweri
Museveni	museveni	Museveni
to	to	to
extend	extend	extend
his	his	his
rule	rule	rule
,	,	,
potentially	potenti	potentially
guaranteeing	guarante	guaranteeing
him	him	him
a	a	a
life	life	life
-time	-time	-time
presidency	presid	presidency
.	.	.
A	a	A
provision	provis	provision
in	in	in
the	the	the
current	current	current
constitution	constitut	constitution
limits	limit	limit
the	the	the
age	age	age
of	of	of
a	a	a
presidential	presidenti	presidential
candidate	candid	candidate
at	at	at
75	75	75
years	year	year
,	,	,
which	which	which
would	would	would
have	have	have
made	made	made
Museveni	museveni	Museveni
ineligible	inelig	ineligible
to	to	to
stand	stand	stand
at	at	at
the	the	the
next	next	next
polls	poll	poll
in	in	in
2021	2021	2021
.	.	.
At	at	At
the	the	the
end	end	end
of	of	of
Wednesday	wednesday	Wednesday
s	s	s
day	day	day
-long	-long	-long
House	hous	House
debate	debat	debate
,	,	,
which	which	which
capped	cap	capped
a	a	a
protracted	protract	protracted
and	and	and
violence	violenc	violence
-marred	-mar	-marred
process	process	process
to	to	to
remove	remov	remove
that	that	that
age	age	age
limit	limit	limit
,	,	,
MPs	mps	MPs
voted	vote	voted
315	315	315
-62	-62	-62
in	in	in
favor	favor	favor
of	of	of
the	the	the
amendment	amend	amendment
.	.	.
The	the	The
bill	bill	bill
passes	pass	pass
,	,	,
said	said	said
speaker	speaker	speaker
Rebecca	rebecca	Rebecca
Kadaga	kadaga	Kadaga
after	after	after
announcing	announc	announcing
tally	talli	tally
results	result	result
,	,	,
prompting	prompt	prompting
raucous	raucous	raucous
celebrations	celebr	celebration
from	from	from
the	the	the
mostly	most	mostly
ruling	rule	ruling
party	parti	party
MPs	mps	MPs
who	who	who
favored	favor	favored
the	the	the
bill	bill	bill
.	.	.
Earlier	earlier	Earlier
in	in	in
the	the	the
day	day	day
,	,	,
two	two	two
lawmakers	lawmak	lawmaker
were	were	were
dragged	drag	dragged
away	away	away
and	and	and
detained	detain	detained
when	when	when
they	they	they
tried	tri	tried
to	to	to
enter	enter	enter
parliament	parliament	parliament
,	,	,
as	as	a
the	the	the
divisive	divis	divisive
debate	debat	debate
proceeded	proceed	proceeded
in	in	in
the	the	the
chamber	chamber	chamber
.	.	.
Police	polic	Police
had	had	had
blocked	block	blocked
some	some	some
legislators	legisl	legislator
from	from	from
entering	enter	entering
the	the	the
building	build	building
,	,	,
and	and	and
live	live	live
television	televis	television
footage	footag	footage
showed	show	showed
two	two	two
of	of	of
them	them	them
being	be	being
driven	driven	driven
away	away	away
in	in	in
security	secur	security
vehicles	vehicl	vehicle
.	.	.
Both	both	Both
opposed	oppos	opposed
the	the	the
bill	bill	bill
.	.	.
The	the	The
legislators	legisl	legislator
blocked	block	blocked
by	by	by
police	polic	police
were	were	were
attempting	attempt	attempting
to	to	to
enter	enter	enter
parliament	parliament	parliament
to	to	to
serve	serv	serve
court	court	court
documents	document	document
on	on	on
House	hous	House
speaker	speaker	speaker
Rebecca	rebecca	Rebecca
Kadaga	kadaga	Kadaga
,	,	,
who	who	who
was	was	wa
presiding	presid	presiding
over	over	over
the	the	the
debate	debat	debate
.	.	.
The	the	The
document	document	document
called	call	called
on	on	on
her	her	her
to	to	to
appear	appear	appear
in	in	in
court	court	court
at	at	at
2	2	2
00	00	00
PM	pm	PM
in	in	in
respect	respect	respect
of	of	of
the	the	the
irregular	irregular	irregular
suspension	suspens	suspension
of	of	of
our	our	our
members	member	member
of	of	of
parliament	parliament	parliament
,	,	,
independent	independ	independent
lawmaker	lawmak	lawmaker
Wilfred	wilfr	Wilfred
Niwagaba	niwagaba	Niwagaba
told	told	told
a	a	a
local	local	local
television	televis	television
station	station	station
minutes	minut	minute
before	befor	before
he	he	he
was	was	wa
detained	detain	detained
.	.	.
Six	six	Six
MPs	mps	MPs
-	-	-
all	all	all
opposed	oppos	opposed
to	to	to
removal	remov	removal
of	of	of
the	the	the
age	age	age
cap	cap	cap
-	-	-
were	were	were
suspended	suspend	suspended
from	from	from
parliamentary	parliamentari	parliamentary
proceedings	proceed	proceeding
on	on	on
Monday	monday	Monday
for	for	for
alleged	alleg	alleged
disorderly	disord	disorderly
conduct	conduct	conduct
and	and	and
refusing	refus	refusing
to	to	to
heed	heed	heed
the	the	the
speaker	speaker	speaker
s	s	s
instructions	instruct	instruction
.	.	.
The	the	The
bill	bill	bill
to	to	to
amend	amend	amend
the	the	the
constitution	constitut	constitution
was	was	wa
introduced	introduc	introduced
in	in	in
parliament	parliament	parliament
on	on	on
October	octob	October
4	4	4
by	by	by
a	a	a
Museveni	museveni	Museveni
loyalist	loyalist	loyalist
,	,	,
after	after	after
two	two	two
consecutive	consecut	consecutive
days	day	day
of	of	of
brawling	brawl	brawling
in	in	in
the	the	the
debating	debat	debating
chamber	chamber	chamber
between	between	between
those	those	those
opposed	oppos	opposed
and	and	and
those	those	those
in	in	in
favor	favor	favor
,	,	,
supported	support	supported
by	by	by
security	secur	security
personnel	personnel	personnel
.	.	.
On	on	On
the	the	the
second	second	second
day	day	day
,	,	,
security	secur	security
personnel	personnel	personnel
who	who	who
some	some	some
MPs	mps	MPs
said	said	said
were	were	were
soldiers	soldier	soldier
from	from	from
an	an	an
elite	elit	elite
military	militari	military
unit	unit	unit
entered	enter	entered
the	the	the
chamber	chamber	chamber
and	and	and
violently	violent	violently
ejected	eject	ejected
at	at	at
least	least	least
25	25	25
MPs	mps	MPs
that	that	that
the	the	the
speaker	speaker	speaker
had	had	had
suspended	suspend	suspended
from	from	from
proceedings	proceed	proceeding
for	for	for
alleged	alleg	alleged
misconduct	misconduct	misconduct
.	.	.
Wednesday	wednesday	Wednesday
s	s	s
vote	vote	vote
was	was	wa
the	the	the
second	second	second
time	time	time
Ugandan	ugandan	Ugandan
parliament	parliament	parliament
has	has	ha
changed	chang	changed
the	the	the
constitution	constitut	constitution
to	to	to
allow	allow	allow
Museveni	museveni	Museveni
extend	extend	extend
his	his	his
rule	rule	rule
.	.	.
In	in	In
2005	2005	2005
,	,	,
they	they	they
voted	vote	voted
to	to	to
remove	remov	remove
a	a	a
limit	limit	limit
of	of	of
two	two	two
five	five	five
-year	-year	-year
terms	term	term
,	,	,
which	which	which
blocked	block	blocked
him	him	him
from	from	from
standing	stand	standing
again	again	again
.	.	.
The	the	The
bill	bill	bill
also	also	also
extended	extend	extended
the	the	the
length	length	length
of	of	of
a	a	a
term	term	term
for	for	for
MPs	mps	MPs
to	to	to
seven	seven	seven
years	year	year
from	from	from
the	the	the
current	current	current
five	five	five
.	.	.
The	the	The
limit	limit	limit
of	of	of
two	two	two
terms	term	term
was	was	wa
also	also	also
re	re	re
-imposed	-impos	-imposed
for	for	for
the	the	the
president	presid	president
,	,	,
although	although	although
that	that	that
only	onli	only
means	mean	mean
Museveni	museveni	Museveni
would	would	would
be	be	be
limited	limit	limited
to	to	to
two	two	two
more	more	more
terms	term	term
,	,	,
starting	start	starting
with	with	with
the	the	the
2021	2021	2021
election	elect	election
.	.	.
Are	are	Are
you	you	you
not	not	not
seeing	see	seeing
what	what	what
happened	happen	happened
in	in	in
Zimbabwe	zimbabw	Zimbabwe
,	,	,
do	do	do
we	we	we
want	want	want
his	his	his
excellency	excel	excellency
to	to	to
end	end	end
like	like	like
Gaddafi	gaddafi	Gaddafi
of	of	of
Libya	libya	Libya
,	,	,
opposition	opposit	opposition
legislator	legisl	legislator
,	,	,
Gilbert	gilbert	Gilbert
Olanya	olanya	Olanya
,	,	,
who	who	who
opposed	oppos	opposed
to	to	to
the	the	the
amendment	amend	amendment
,	,	,
said	said	said
in	in	in
Wednesday	wednesday	Wednesday
s	s	s
debate	debat	debate
as	as	a
he	he	he
attempted	attempt	attempted
to	to	to
persuade	persuad	persuade
colleagues	colleagu	colleague
to	to	to
reject	reject	reject
it	it	it
.	.	.
Several	sever	Several
African	african	African
leaders	leader	leader
have	have	have
amended	amend	amended
laws	law	law
designed	design	designed
to	to	to
limit	limit	limit
their	their	their
tenure	tenur	tenure
.	.	.
Such	such	Such
moves	move	move
have	have	have
fueled	fuel	fueled
violence	violenc	violence
in	in	in
countries	countri	country
including	includ	including
Burundi	burundi	Burundi
,	,	,
Democratic	democrat	Democratic
Republic	republ	Republic
of	of	of
Congo	congo	Congo
and	and	and
South	south	South
Sudan	sudan	Sudan
.	.	.
Initially	initi	Initially
hailed	hail	hailed
for	for	for
restoring	restor	restoring
political	polit	political
order	order	order
and	and	and
fostering	foster	fostering
economic	econom	economic
growth	growth	growth
,	,	,
Museveni	museveni	Museveni
has	has	ha
lately	late	lately
come	come	come
under	under	under
mounting	mount	mounting
pressure	pressur	pressure
fueled	fuel	fueled
by	by	by
runaway	runaway	runaway
corruption	corrupt	corruption
,	,	,
and	and	and
accusations	accus	accusation
he	he	he
uses	use	us
security	secur	security
forces	forc	force
to	to	to
maintain	maintain	maintain
his	his	his
grip	grip	grip
on	on	on
power	power	power
.	.	.
A	a	A
combination	combin	combination
of	of	of
both	both	both
military	militari	military
and	and	and
police	polic	police
personnel	personnel	personnel
were	were	were
heavily	heavili	heavily
deployed	deploy	deployed
around	around	around
parliament	parliament	parliament
this	this	this
week	week	week
,	,	,
which	which	which
opposition	opposit	opposition
MPs	mps	MPs
say	say	say
was	was	wa
meant	meant	meant
to	to	to
intimidate	intimid	intimidate
members	member	member
.	.	.
