ANKARA	ankara	ANKARA
Reuters	reuter	Reuters
-	-	-
Iran	iran	Iran
harshly	harsh	harshly
reacted	react	reacted
to	to	to
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
decision	decis	decision
not	not	not
to	to	to
certify	certifi	certify
its	it	it
nuclear	nuclear	nuclear
deal	deal	deal
with	with	with
six	six	six
major	major	major
powers	power	power
,	,	,
and	and	and
President	presid	President
Hassan	hassan	Hassan
Rouhani	rouhani	Rouhani
said	said	said
Tehran	tehran	Tehran
might	might	might
walk	walk	walk
away	away	away
if	if	if
the	the	the
continuing	continu	continuing
agreement	agreement	agreement
does	doe	doe
not	not	not
serve	serv	serve
the	the	the
country	countri	country
s	s	s
national	nation	national
interests	interest	interest
.	.	.

Defying	defi	Defying
Trump	trump	Trump
,	,	,
Rouhani	rouhani	Rouhani
said	said	said
Tehran	tehran	Tehran
will	will	will
double	doubl	double
its	it	it
efforts	effort	effort
to	to	to
expand	expand	expand
the	the	the
country	countri	country
s	s	s
defense	defens	defense
capabilities	capabl	capability
,	,	,
including	includ	including
the	the	the
country	countri	country
s	s	s
ballistic	ballist	ballistic
missile	missil	missile
program	program	program
despite	despit	despite
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
pressure	pressur	pressure
to	to	to
suspend	suspend	suspend
it	it	it
.	.	.

Trump	trump	Trump
said	said	said
in	in	in
an	an	an
address	address	address
at	at	at
the	the	the
White	white	White
House	hous	House
that	that	that
he	he	he
would	would	would
not	not	not
continue	continu	continue
to	to	to
certify	certifi	certify
the	the	the
multinational	multin	multinational
agreement	agreement	agreement
and	and	and
warned	warn	warned
he	he	he
might	might	might
ultimately	ultim	ultimately
terminate	termin	terminate
it	it	it
.	.	.

No	no	No
president	presid	president
can	can	can
revoke	revok	revoke
an	an	an
international	intern	international
deal	deal	deal
.	.	.
.	.	.
.	.	.

Iran	iran	Iran
will	will	will
continue	continu	continue
to	to	to
respect	respect	respect
it	it	it
as	as	a
long	long	long
as	as	a
it	it	it
serves	serv	serf
our	our	our
interests	interest	interest
,	,	,
Rouhani	rouhani	Rouhani
said	said	said
in	in	in
a	a	a
live	live	live
television	televis	television
address	address	address
,	,	,
adding	ad	adding
that	that	that
Trump	trump	Trump
s	s	s
speech	speech	speech
was	was	wa
full	full	full
of	of	of
insults	insult	insult
and	and	and
fake	fake	fake
accusations	accus	accusation
against	against	against
Iranians	iranian	Iranians
.	.	.

While	while	While
Trump	trump	Trump
did	did	did
not	not	not
pull	pull	pull
the	the	the
United	unit	United
States	state	States
out	out	out
of	of	of
the	the	the
agreement	agreement	agreement
,	,	,
aimed	aim	aimed
at	at	at
preventing	prevent	preventing
Iran	iran	Iran
from	from	from
developing	develop	developing
a	a	a
nuclear	nuclear	nuclear
bomb	bomb	bomb
,	,	,
he	he	he
gave	gave	gave
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Congress	congress	Congress
60	60	60
days	day	day
to	to	to
decide	decid	decide
whether	whether	whether
to	to	to
reimpose	reimpos	reimpose
economic	econom	economic
sanctions	sanction	sanction
on	on	on
Tehran	tehran	Tehran
that	that	that
were	were	were
lifted	lift	lifted
under	under	under
the	the	the
pact	pact	pact
.	.	.

That	that	That
increases	increas	increase
tension	tension	tension
with	with	with
Iran	iran	Iran
as	as	a
well	well	well
as	as	a
putting	put	putting
Washington	washington	Washington
at	at	at
odds	odd	odds
with	with	with
other	other	other
signatories	signatori	signatory
of	of	of
the	the	the
accord	accord	accord
such	such	such
as	as	a
Britain	britain	Britain
,	,	,
France	franc	France
,	,	,
Germany	germani	Germany
,	,	,
Russia	russia	Russia
,	,	,
China	china	China
and	and	and
the	the	the
European	european	European
Union	union	Union
,	,	,
who	who	who
say	say	say
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
cannot	cannot	cannot
unilaterally	unilater	unilaterally
cancel	cancel	cancel
the	the	the
2015	2015	2015
nuclear	nuclear	nuclear
deal	deal	deal
between	between	between
Iran	iran	Iran
and	and	and
world	world	world
powers	power	power
.	.	.

The	the	The
Iranian	iranian	Iranian
nation	nation	nation
has	has	ha
not	not	not
and	and	and
will	will	will
never	never	never
bow	bow	bow
to	to	to
any	ani	any
foreign	foreign	foreign
pressure	pressur	pressure
.	.	.
.	.	.
.	.	.

Iran	iran	Iran
s	s	s
deal	deal	deal
cannot	cannot	cannot
be	be	be
renegotiated	renegoti	renegotiated
,	,	,
Rouhani	rouhani	Rouhani
said	said	said
.	.	.

Trump	trump	Trump
announced	announc	announced
the	the	the
major	major	major
shift	shift	shift
in	in	in
U	u	U
.	.	.
S	s	S
.	.	.
policy	polici	policy
in	in	in
a	a	a
speech	speech	speech
in	in	in
which	which	which
he	he	he
detailed	detail	detailed
a	a	a
more	more	more
confrontational	confront	confrontational
approach	approach	approach
to	to	to
Iran	iran	Iran
over	over	over
its	it	it
nuclear	nuclear	nuclear
and	and	and
ballistic	ballist	ballistic
missile	missil	missile
programs	program	program
and	and	and
its	it	it
support	support	support
for	for	for
extremist	extremist	extremist
groups	group	group
in	in	in
the	the	the
Middle	middl	Middle
East	east	East
.	.	.

Pragmatist	pragmatist	Pragmatist
Rouhani	rouhani	Rouhani
backed	back	backed
Iran	iran	Iran
s	s	s
elite	elit	elite
Islamic	islam	Islamic
Revolutionary	revolutionari	Revolutionary
Guards	guard	Guards
Corps	corp	Corps
IRGC	irgc	IRGC
,	,	,
saying	say	saying
the	the	the
IRGC	irgc	IRGC
will	will	will
continue	continu	continue
its	it	it
fight	fight	fight
against	against	against
regional	region	regional
terrorists	terrorist	terrorist
.	.	.

The	the	The
IRGC	irgc	IRGC
has	has	ha
always	alway	always
protected	protect	protected
our	our	our
nation	nation	nation
against	against	against
terrorists	terrorist	terrorist
.	.	.
.	.	.
.	.	.

It	it	It
will	will	will
continue	continu	continue
to	to	to
help	help	help
oppressed	oppress	oppressed
nations	nation	nation
in	in	in
the	the	the
region	region	region
,	,	,
Rouhani	rouhani	Rouhani
said	said	said
.	.	.

Iran	iran	Iran
accuses	accus	accuses
its	it	it
regional	region	regional
rival	rival	rival
Saudi	saudi	Saudi
Arabia	arabia	Arabia
of	of	of
fuelling	fuell	fuelling
regional	region	regional
tension	tension	tension
and	and	and
the	the	the
Sunni	sunni	Sunni
Muslim	muslim	Muslim
kingdom	kingdom	kingdom
is	is	is
at	at	at
odds	odd	odds
with	with	with
Tehran	tehran	Tehran
s	s	s
revolutionary	revolutionari	revolutionary
Shi	shi	Shi
ite	ite	ite
leaders	leader	leader
in	in	in
struggles	struggl	struggle
across	across	across
the	the	the
Arab	arab	Arab
world	world	world
,	,	,
including	includ	including
Syria	syria	Syria
,	,	,
Yemen	yemen	Yemen
,	,	,
Iraq	iraq	Iraq
,	,	,
Bahrain	bahrain	Bahrain
and	and	and
Lebanon	lebanon	Lebanon
.	.	.

The	the	The
IRGC	irgc	IRGC
is	is	is
Iran	iran	Iran
s	s	s
most	most	most
powerful	power	powerful
security	secur	security
entity	entiti	entity
and	and	and
wields	wield	wields
control	control	control
over	over	over
large	larg	large
swathes	swath	swathe
of	of	of
Iran	iran	Iran
s	s	s
economy	economi	economy
as	as	a
well	well	well
as	as	a
considerable	consider	considerable
influence	influenc	influence
within	within	within
its	it	it
political	polit	political
system	system	system
.	.	.

