Token	Stem	Lemma
WASHINGTON	washington	WASHINGTON
Reuters	reuter	Reuters
The	the	The
top	top	top
U	u	U
S	s	S
intelligence	intellig	intelligence
officer	offic	officer
has	has	ha
asked	ask	asked
Congress	congress	Congress
to	to	to
drop	drop	drop
a	a	a
provision	provis	provision
in	in	in
a	a	a
pending	pend	pending
bill	bill	bill
that	that	that
would	would	would
create	creat	create
a	a	a
special	special	special
committee	committe	committee
to	to	to
combat	combat	combat
Russian	russian	Russian
efforts	effort	effort
to	to	to
exert	exert	exert
covert	covert	covert
influence	influenc	influence
abroad	abroad	abroad
saying	say	saying
such	such	such
a	a	a
panel	panel	panel
would	would	would
duplicate	duplic	duplicate
current	current	current
work	work	work
and	and	and
hinder	hinder	hinder
cooperation	cooper	cooperation
with	with	with
foreign	foreign	foreign
allies	alli	ally
Director	director	Director
of	of	of
National	nation	National
Intelligence	intellig	Intelligence
James	jame	James
Clapper	clapper	Clapper
laid	laid	laid
out	out	out
the	the	the
objections	object	objection
of	of	of
the	the	the
U	u	U
S	s	S
intelligence	intellig	intelligence
community	communiti	community
in	in	in
a	a	a
Sept	sept	Sept
9	9	9
letter	letter	letter
to	to	to
the	the	the
chairmen	chairmen	chairman
and	and	and
top	top	top
Democrats	democrat	Democrats
on	on	on
the	the	the
House	hous	House
of	of	of
Representatives	repres	Representatives
and	and	and
Senate	senat	Senate
intelligence	intellig	intelligence
committees	committe	committee
He	he	He
charged	charg	charged
that	that	that
parts	part	part
of	of	of
the	the	the
bill	bill	bill
amounted	amount	amounted
to	to	to
micromanagement	micromanag	micromanagement
of	of	of
the	the	the
intelligence	intellig	intelligence
community	communiti	community
The	the	The
intelligence	intellig	intelligence
bill	bill	bill
an	an	an
annual	annual	annual
measure	measur	measure
that	that	that
provides	provid	provides
broad	broad	broad
Congressional	congression	Congressional
authorization	author	authorization
for	for	for
a	a	a
wide	wide	wide
range	rang	range
of	of	of
U	u	U
S	s	S
intelligence	intellig	intelligence
activities	activ	activity
and	and	and
agencies	agenc	agency
has	has	ha
already	alreadi	already
been	been	been
approved	approv	approved
by	by	by
both	both	both
intelligence	intellig	intelligence
committees	committe	committee
and	and	and
the	the	the
House	hous	House
of	of	of
Representatives	repres	Representatives
Backers	backer	Backers
in	in	in
the	the	the
Senate	senat	Senate
are	are	are
marshalling	marshal	marshalling
support	support	support
for	for	for
the	the	the
bill	bill	bill
in	in	in
the	the	the
hope	hope	hope
it	it	it
will	will	will
be	be	be
approved	approv	approved
next	next	next
week	week	week
an	an	an
official	offici	official
familiar	familiar	familiar
with	with	with
the	the	the
matter	matter	matter
said	said	said
The	the	The
legislation	legisl	legislation
would	would	would
require	requir	require
the	the	the
creation	creation	creation
of	of	of
an	an	an
interagency	interag	interagency
committee	committe	committee
to	to	to
combat	combat	combat
Russian	russian	Russian
propaganda	propaganda	propaganda
and	and	and
covert	covert	covert
efforts	effort	effort
to	to	to
influence	influenc	influence
people	peopl	people
economic	econom	economic
and	and	and
political	polit	political
decisions	decis	decision
in	in	in
the	the	the
United	unit	United
States	state	States
and	and	and
elsewhere	elsewher	elsewhere
Clapper	clapper	Clapper
s	s	s
letter	letter	letter
seen	seen	seen
by	by	by
