LOS	los	LOS
ANGELES	angel	ANGELES
Reuters	reuter	Reuters
-	-	-
Co	co	Co
-chairman	-chairman	-chairman
Harvey	harvey	Harvey
Weinstein	weinstein	Weinstein
was	was	wa
taking	take	taking
an	an	an
indefinite	indefinit	indefinite
leave	leav	leave
from	from	from
the	the	the
Weinstein	weinstein	Weinstein
Co	co	Co
,	,	,
the	the	the
film	film	film
production	product	production
company	compani	company
said	said	said
on	on	on
Friday	friday	Friday
,	,	,
adding	ad	adding
it	it	it
will	will	will
conduct	conduct	conduct
an	an	an
internal	intern	internal
investigation	investig	investigation
into	into	into
the	the	the
New	new	New
York	york	York
Times	time	Times
report	report	report
of	of	of
sexual	sexual	sexual
harassment	harass	harassment
allegations	alleg	allegation
against	against	against
one	one	one
of	of	of
the	the	the
most	most	most
powerful	power	powerful
men	men	men
in	in	in
Hollywood	hollywood	Hollywood
.	.	.
The	the	The
Weinstein	weinstein	Weinstein
Company	compani	Company
board	board	board
of	of	of
representatives	repres	representative
said	said	said
in	in	in
a	a	a
statement	statement	statement
that	that	that
it	it	it
takes	take	take
extremely	extrem	extremely
seriously	serious	seriously
the	the	the
accusations	accus	accusation
made	made	made
in	in	in
the	the	the
Times	time	Times
story	stori	story
that	that	that
said	said	said
Weinstein	weinstein	Weinstein
had	had	had
made	made	made
eight	eight	eight
settlements	settlement	settlement
with	with	with
women	women	woman
who	who	who
had	had	had
accused	accus	accused
him	him	him
of	of	of
unwanted	unwant	unwanted
physical	physic	physical
contact	contact	contact
and	and	and
sexual	sexual	sexual
harassment	harass	harassment
over	over	over
three	three	three
decades	decad	decade
.	.	.
Meanwhile	meanwhil	Meanwhile
,	,	,
the	the	the
Democratic	democrat	Democratic
National	nation	National
Committee	committe	Committee
DNC	dnc	DNC
and	and	and
several	sever	several
Democratic	democrat	Democratic
politicians	politician	politician
including	includ	including
Senators	senat	Senators
Kamala	kamala	Kamala
Harris	harri	Harris
,	,	,
Cory	cori	Cory
Booker	booker	Booker
and	and	and
Chuck	chuck	Chuck
Schumer	schumer	Schumer
said	said	said
Friday	friday	Friday
they	they	they
will	will	will
re	re	re
-route	-rout	-route
Weinstein	weinstein	Weinstein
s	s	s
political	polit	political
donations	donat	donation
to	to	to
women	women	woman
s	s	s
rights	right	right
groups	group	group
.	.	.
Weinstein	weinstein	Weinstein
Co	co	Co
board	board	board
representatives	repres	representative
called	call	called
it	it	it
essential	essenti	essential
to	to	to
company	compani	company
culture	cultur	culture
that	that	that
all	all	all
women	women	woman
who	who	who
work	work	work
for	for	for
it	it	it
or	or	or
have	have	have
any	ani	any
dealings	deal	dealing
with	with	with
it	it	it
or	or	or
any	ani	any
of	of	of
our	our	our
executives	execut	executive
are	are	are
treated	treat	treated
with	with	with
respect	respect	respect
and	and	and
have	have	have
no	no	no
experience	experi	experience
of	of	of
harassment	harass	harassment
or	or	or
discrimination	discrimin	discrimination
.	.	.
The	the	The
company	compani	company
said	said	said
it	it	it
has	has	ha
retained	retain	retained
an	an	an
outside	outsid	outside
legal	legal	legal
firm	firm	firm
to	to	to
conduct	conduct	conduct
an	an	an
independent	independ	independent
investigation	investig	investigation
into	into	into
the	the	the
allegations	alleg	allegation
.	.	.
Weinstein	weinstein	Weinstein
,	,	,
65	65	65
,	,	,
will	will	will
take	take	take
an	an	an
indefinite	indefinit	indefinite
leave	leav	leave
of	of	of
absence	absenc	absence
,	,	,
the	the	the
