BEIRUT	beirut	BEIRUT
Reuters	reuter	Reuters
-	-	-
The	the	The
Syrian	syrian	Syrian
army	armi	army
said	said	said
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
missile	missil	missile
attack	attack	attack
on	on	on
one	one	one
of	of	of
its	it	it
airbases	airbas	airbases
killed	kill	killed
six	six	six
people	peopl	people
and	and	and
caused	caus	caused
extensive	extens	extensive
damage	damag	damage
,	,	,
adding	ad	adding
it	it	it
would	would	would
respond	respond	respond
by	by	by
continuing	continu	continuing
its	it	it
campaign	campaign	campaign
to	to	to
crush	crush	crush
terrorism	terror	terrorism
and	and	and
restore	restor	restore
peace	peac	peace
and	and	and
security	secur	security
to	to	to
all	all	all
of	of	of
Syria	syria	Syria
.	.	.
A	a	A
statement	statement	statement
from	from	from
the	the	the
army	armi	army
command	command	command
described	describ	described
the	the	the
attack	attack	attack
on	on	on
Friday	friday	Friday
as	as	a
an	an	an
act	act	act
of	of	of
blatant	blatant	blatant
aggression	aggress	aggression
,	,	,
saying	say	saying
it	it	it
had	had	had
made	made	made
the	the	the
United	unit	United
States	state	States
a	a	a
partner	partner	partner
of	of	of
Islamic	islam	Islamic
State	state	State
,	,	,
the	the	the
ex	ex	ex
-Nusra	-nusra	-Nusra
Front	front	Front
and	and	and
other	other	other
terrorist	terrorist	terrorist
organizations	organ	organization
.	.	.
The	the	The
United	unit	United
States	state	States
on	on	on
Friday	friday	Friday
fired	fire	fired
dozens	dozen	dozen
of	of	of
cruise	cruis	cruise
missiles	missil	missile
at	at	at
an	an	an
airbase	airbas	airbase
from	from	from
which	which	which
it	it	it
said	said	said
a	a	a
deadly	dead	deadly
chemical	chemic	chemical
weapons	weapon	weapon
attack	attack	attack
was	was	wa
launched	launch	launched
this	this	this
week	week	week
,	,	,
in	in	in
an	an	an
escalation	escal	escalation
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
military	militari	military
role	role	role
in	in	in
Syria	syria	Syria
that	that	that
directly	direct	directly
raised	rais	raised
tension	tension	tension
with	with	with
Russia	russia	Russia
.	.	.
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
said	said	said
he	he	he
had	had	had
ordered	order	ordered
the	the	the
strikes	strike	strike
in	in	in
America	america	America
s	s	s
national	nation	national
security	secur	security
interest	interest	interest
.	.	.
The	the	The
Syrian	syrian	Syrian
army	armi	army
said	said	said
the	the	the
attack	attack	attack
undermines	undermin	undermines
the	the	the
operation	oper	operation
of	of	of
combating	combat	combating
terrorism	terror	terrorism
that	that	that
the	the	the
Syrian	syrian	Syrian
Arab	arab	Arab
Army	armi	Army
is	is	is
carrying	carri	carrying
out	out	out
.	.	.
The	the	The
United	unit	United
States	state	States
has	has	ha
tried	tri	tried
to	to	to
justify	justifi	justify
this	this	this
aggression	aggress	aggression
under	under	under
the	the	the
pretext	pretext	pretext
of	of	of
the	the	the
Syrian	syrian	Syrian
Arab	arab	Arab
Army	armi	Army
using	use	using
chemical	chemic	chemical
weapons	weapon	weapon
in	in	in
Khan	khan	Khan
Sheikhoun	sheikhoun	Sheikhoun
,	,	,
without	without	without
knowing	know	knowing
the	the	the
reality	realiti	reality
of	of	of
what	what	what
happened	happen	happened
,	,	,
it	it	it
added	ad	added
.	.	.
Washington	washington	Washington
has	has	ha
blamed	blame	blamed
Assad	assad	Assad
s	s	s
forces	forc	force
for	for	for
the	the	the
attack	attack	attack
that	that	that
killed	kill	killed
scores	score	score
of	of	of
people	peopl	people
in	in	in
rebel	rebel	rebel
-held	-held	-held
Khan	khan	Khan
Sheikhoun	sheikhoun	Sheikhoun
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
The	the	The
Syrian	syrian	Syrian
government	govern	government
has	has	ha
strongly	strong	strongly
denied	deni	denied
responsibility	respons	responsibility
and	and	and
blamed	blame	blamed
the	the	the
deaths	death	death
on	on	on
leaks	leak	leak
from	from	from
a	a	a
rebel	rebel	rebel
chemical	chemic	chemical
arms	arm	arm
store	store	store
it	it	it
says	say	say
was	was	wa
hit	hit	hit
by	by	by
a	a	a
Syrian	syrian	Syrian
air	air	air
strike	strike	strike
.	.	.
Rebels	rebel	Rebels
say	say	say
there	there	there
were	were	were
no	no	no
military	militari	military
positions	posit	position
in	in	in
the	the	the
targeted	target	targeted
area	area	area
in	in	in
Khan	khan	Khan
Sheikhoun	sheikhoun	Sheikhoun
and	and	and
that	that	that
they	they	they
have	have	have
no	no	no
chemical	chemic	chemical
weapons	weapon	weapon
.	.	.
The	the	The
army	armi	army
said	said	said
Friday	friday	Friday
s	s	s
U	u	U
.	.	.
S	s	S
.	.	.
attack	attack	attack
sends	send	sends
the	the	the
wrong	wrong	wrong
messages	messag	message
to	to	to
the	the	the
terrorist	terrorist	terrorist
organizations	organ	organization
and	and	and
makes	make	make
them	them	them
go	go	go
further	further	further
in	in	in
using	use	using
chemical	chemic	chemical
weapons	weapon	weapon
in	in	in
the	the	the
future	futur	future
whenever	whenev	whenever
they	they	they
face	face	face
big	big	big
losses	loss	loss
on	on	on
the	the	the
battlefield	battlefield	battlefield
.	.	.
The	the	The
Syrian	syrian	Syrian
government	govern	government
describes	describ	describes
all	all	all
armed	arm	armed
groups	group	group
opposed	oppos	opposed
to	to	to
it	it	it
as	as	a
terrorists	terrorist	terrorist
.	.	.
