SACRAMENTO	sacramento	SACRAMENTO
,	,	,
Calif	calif	Calif
.	.	.

Reuters	reuter	Reuters
-	-	-
About	about	About
38	38	38
percent	percent	percent
of	of	of
California	california	California
Republicans	republican	Republicans
support	support	support
billionaire	billionair	billionaire
Donald	donald	Donald
Trump	trump	Trump
s	s	s
bid	bid	bid
for	for	for
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
presidency	presid	presidency
,	,	,
but	but	but
more	more	more
than	than	than
half	half	half
say	say	say
they	they	they
are	are	are
not	not	not
satisfied	satisfi	satisfied
with	with	with
their	their	their
choices	choic	choice
of	of	of
candidates	candid	candidate
,	,	,
a	a	a
new	new	new
opinion	opinion	opinion
poll	poll	poll
shows	show	show
.	.	.

The	the	The
poll	poll	poll
released	releas	released
by	by	by
the	the	the
Public	public	Public
Policy	polici	Policy
Institute	institut	Institute
of	of	of
California	california	California
on	on	on
Wednesday	wednesday	Wednesday
also	also	also
shows	show	show
that	that	that
among	among	among
Democrats	democrat	Democrats
who	who	who
are	are	are
likely	like	likely
primary	primari	primary
voters	voter	voter
,	,	,
former	former	former
Secretary	secretari	Secretary
of	of	of
State	state	State
Hillary	hillari	Hillary
Clinton	clinton	Clinton
leads	lead	lead
U	u	U
.	.	.
S	s	S
.	.	.
Senator	senat	Senator
Bernie	berni	Bernie
Sanders	sander	Sanders
of	of	of
Vermont	vermont	Vermont
with	with	with
48	48	48
percent	percent	percent
support	support	support
compared	compar	compared
with	with	with
Sanders	sander	Sanders
41	41	41
percent	percent	percent
.	.	.

The	the	The
survey	survey	survey
also	also	also
showed	show	showed
that	that	that
California	california	California
Democrats	democrat	Democrats
are	are	are
much	much	much
more	more	more
likely	like	likely
to	to	to
be	be	be
satisfied	satisfi	satisfied
with	with	with
their	their	their
presidential	presidenti	presidential
choices	choic	choice
than	than	than
Republicans	republican	Republicans
.	.	.

Among	among	Among
Democratic	democrat	Democratic
voters	voter	voter
surveyed	survey	surveyed
,	,	,
65	65	65
percent	percent	percent
said	said	said
they	they	they
were	were	were
satisfied	satisfi	satisfied
with	with	with
their	their	their
choices	choic	choice
of	of	of
candidates	candid	candidate
,	,	,
while	while	while
just	just	just
46	46	46
percent	percent	percent
of	of	of
Republicans	republican	Republicans
say	say	say
they	they	they
were	were	were
satisfied	satisfi	satisfied
with	with	with
the	the	the
field	field	field
.	.	.

Among	among	Among
independents	independ	independent
,	,	,
who	who	who
make	make	make
up	up	up
nearly	near	nearly
a	a	a
quarter	quarter	quarter
of	of	of
registered	regist	registered
voters	voter	voter
in	in	in
the	the	the
most	most	most
populous	popul	populous
U	u	U
.	.	.
S	s	S
.	.	.
state	state	state
,	,	,
satisfaction	satisfact	satisfaction
with	with	with
primary	primari	primary
choices	choic	choice
is	is	is
even	even	even
lower	lower	lower
,	,	,
at	at	at
34	34	34
percent	percent	percent
.	.	.

Democrats	democrat	Democrats
,	,	,
who	who	who
make	make	make
up	up	up
43	43	43
percent	percent	percent
of	of	of
registered	regist	registered
voters	voter	voter
in	in	in
the	the	the
state	state	state
,	,	,
break	break	break
along	along	along
age	age	age
lines	line	line
in	in	in
their	their	their
support	support	support
for	for	for
Clinton	clinton	Clinton
or	or	or
Sanders	sander	Sanders
,	,	,
the	the	the
poll	poll	poll
showed	show	showed
.	.	.

Voters	voter	Voters
aged	age	aged
45	45	45
and	and	and
older	older	older
skewed	skew	skewed
heavily	heavili	heavily
for	for	for
Clinton	clinton	Clinton
at	at	at
63	63	63
percent	percent	percent
,	,	,
while	while	while
the	the	the
same	same	same
percentage	percentag	percentage
of	of	of
voters	voter	voter
below	below	below
age	age	age
45	45	45
said	said	said
they	they	they
support	support	support
Sanders	sander	Sanders
.	.	.

The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
presidential	presidenti	presidential
election	elect	election
is	is	is
on	on	on
Nov	nov	Nov
.	.	.

8	8	8
.	.	.

The	the	The
PPIC	ppic	PPIC
poll	poll	poll
showed	show	showed
an	an	an
increase	increas	increase
in	in	in
support	support	support
for	for	for
Trump	trump	Trump
when	when	when
compared	compar	compared
with	with	with
a	a	a
poll	poll	poll
by	by	by
the	the	the
Field	field	Field
Research	research	Research
Corporation	corpor	Corporation
in	in	in
January	januari	January
.	.	.

In	in	In
that	that	that
survey	survey	survey
,	,	,
Trump	trump	Trump
and	and	and
U	u	U
.	.	.
S	s	S
.	.	.
Senator	senat	Senator
Ted	ted	Ted
Cruz	cruz	Cruz
of	of	of
Texas	texa	Texas
were	were	were
in	in	in
a	a	a
statistical	statist	statistical
tie	tie	tie
at	at	at
roughly	rough	roughly
25	25	25
percent	percent	percent
each	each	each
.	.	.

Since	sinc	Since
then	then	then
,	,	,
however	howev	however
,	,	,
several	sever	several
candidates	candid	candidate
have	have	have
dropped	drop	dropped
out	out	out
of	of	of
the	the	the
crowded	crowd	crowded
Republican	republican	Republican
race	race	race
.	.	.

Nationwide	nationwid	Nationwide
,	,	,
Reuters	reuter	Reuters
polling	poll	polling
conducted	conduct	conducted
on	on	on
Tuesday	tuesday	Tuesday
showed	show	showed
Trump	trump	Trump
with	with	with
a	a	a
commanding	command	commanding
lead	lead	lead
among	among	among
Republicans	republican	Republicans
at	at	at
44	44	44
.	.	.
6	6	6
percent	percent	percent
.	.	.

By	by	By
comparison	comparison	comparison
,	,	,
26	26	26
.	.	.
9	9	9
percent	percent	percent
said	said	said
they	they	they
supported	support	supported
Cruz	cruz	Cruz
and	and	and
19	19	19
.	.	.
8	8	8
percent	percent	percent
supported	support	supported
Ohio	ohio	Ohio
Governor	governor	Governor
John	john	John
Kasich	kasich	Kasich
.	.	.

The	the	The
PPIC	ppic	PPIC
poll	poll	poll
of	of	of
1	1	1
,	,	,
710	710	710
adult	adult	adult
California	california	California
residents	resid	resident
was	was	wa
conducted	conduct	conducted
March	march	March
6	6	6
-15	-15	-15
,	,	,
and	and	and
has	has	ha
a	a	a
margin	margin	margin
of	of	of
error	error	error
of	of	of
3	3	3
.	.	.
6	6	6
percent	percent	percent
.	.	.

Polling	poll	Polling
ended	end	ended
on	on	on
the	the	the
night	night	night
that	that	that
U	u	U
.	.	.
S	s	S
.	.	.
Senator	senat	Senator
Marco	marco	Marco
Rubio	rubio	Rubio
