WASHINGTON	washington	WASHINGTON
Reuters	reuter	Reuters
-	-	-
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
declared	declar	declared
China	china	China
the	the	the
grand	grand	grand
champions	champion	champion
of	of	of
currency	currenc	currency
manipulation	manipul	manipulation
on	on	on
Thursday	thursday	Thursday
,	,	,
just	just	just
hours	hour	hour
after	after	after
his	his	his
new	new	new
Treasury	treasuri	Treasury
secretary	secretari	secretary
pledged	pledg	pledged
a	a	a
more	more	more
methodical	method	methodical
approach	approach	approach
to	to	to
analyzing	analyz	analyzing
Beijing	beij	Beijing
s	s	s
foreign	foreign	foreign
exchange	exchang	exchange
practices	practic	practice
.	.	.
In	in	In
an	an	an
exclusive	exclus	exclusive
interview	interview	interview
with	with	with
Reuters	reuter	Reuters
,	,	,
Trump	trump	Trump
said	said	said
he	he	he
has	has	ha
not	not	not
held	held	held
back	back	back
in	in	in
his	his	his
assessment	assess	assessment
that	that	that
China	china	China
manipulates	manipul	manipulates
its	it	it
yuan	yuan	yuan
currency	currenc	currency
,	,	,
despite	despit	despite
not	not	not
acting	act	acting
on	on	on
a	a	a
campaign	campaign	campaign
promise	promis	promise
to	to	to
declare	declar	declare
it	it	it
a	a	a
currency	currenc	currency
manipulator	manipul	manipulator
on	on	on
his	his	his
first	first	first
day	day	day
in	in	in
office	offic	office
.	.	.
Well	well	Well
they	they	they
,	,	,
I	i	I
think	think	think
they	they	they
re	re	re
grand	grand	grand
champions	champion	champion
at	at	at
manipulation	manipul	manipulation
of	of	of
currency	currenc	currency
.	.	.
So	so	So
I	i	I
haven	haven	haven
t	t	t
held	held	held
back	back	back
,	,	,
Trump	trump	Trump
said	said	said
.	.	.
We	we	We
ll	ll	ll
see	see	see
what	what	what
happens	happen	happens
.	.	.
During	dure	During
his	his	his
presidential	presidenti	presidential
campaign	campaign	campaign
Trump	trump	Trump
frequently	frequent	frequently
accused	accus	accused
China	china	China
of	of	of
keeping	keep	keeping
its	it	it
currency	currenc	currency
artificially	artifici	artificially
low	low	low
against	against	against
the	the	the
dollar	dollar	dollar
to	to	to
make	make	make
Chinese	chines	Chinese
exports	export	export
cheaper	cheaper	cheaper
,	,	,
stealing	steal	stealing
American	american	American
manufacturing	manufactur	manufacturing
jobs	job	job
.	.	.
But	but	But
Treasury	treasuri	Treasury
Secretary	secretari	Secretary
Stephen	stephen	Stephen
Mnuchin	mnuchin	Mnuchin
told	told	told
CNBC	cnbc	CNBC
on	on	on
Thursday	thursday	Thursday
he	he	he
was	was	wa
not	not	not
ready	readi	ready
to	to	to
pass	pass	pas
judgment	judgment	judgment
on	on	on
China	china	China
s	s	s
currency	currenc	currency
practices	practic	practice
.	.	.
Asked	ask	Asked
if	if	if
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Treasury	treasuri	Treasury
was	was	wa
planning	plan	planning
to	to	to
name	name	name
China	china	China
a	a	a
currency	currenc	currency
manipulator	manipul	manipulator
any	ani	any
time	time	time
soon	soon	soon
,	,	,
Mnuchin	mnuchin	Mnuchin
said	said	said
he	he	he
would	would	would
follow	follow	follow
its	it	it
normal	normal	normal
process	process	process
of	of	of
analyzing	analyz	analyzing
the	the	the
currency	currenc	currency
practices	practic	practice
of	of	of
major	major	major
U	u	U
.	.	.
S	s	S
.	.	.
trading	trade	trading
partners	partner	partner
.	.	.
The	the	The
Treasury	treasuri	Treasury
is	is	is
required	requir	required
to	to	to
publish	publish	publish
a	a	a
report	report	report
on	on	on
these	these	these
practices	practic	practice
on	on	on
April	april	April
15	15	15
and	and	and
Oct	oct	Oct
.	.	.
15	15	15
each	each	each
year	year	year
.	.	.
We	we	We
have	have	have
a	a	a
process	process	process
within	within	within
Treasury	treasuri	Treasury
where	where	where
we	we	we
go	go	go
through	through	through
and	and	and
look	look	look
at	at	at
currency	currenc	currency
manipulation	manipul	manipulation
across	across	across
the	the	the
board	board	board
.	.	.
We	we	We
ll	ll	ll
go	go	go
through	through	through
that	that	that
process	process	process
.	.	.
We	we	We
ll	ll	ll
do	do	do
that	that	that
as	as	a
we	we	we
have	have	have
in	in	in
the	the	the
past	past	past
,	,	,
Mnuchin	mnuchin	Mnuchin
said	said	said
in	in	in
his	his	his
first	first	first
televised	televis	televised
interview	interview	interview
since	sinc	since
formally	formal	formally
taking	take	taking
over	over	over
the	the	the
department	depart	department
last	last	last
week	week	week
.	.	.
We	we	We
re	re	re
not	not	not
making	make	making
any	ani	any
judgments	judgment	judgment
until	until	until
we	we	we
go	go	go
continue	continu	continue
that	that	that
process	process	process
.	.	.
A	a	A
formal	formal	formal
declaration	declar	declaration
that	that	that
China	china	China
or	or	or
any	ani	any
other	other	other
country	countri	country
manipulates	manipul	manipulates
its	it	it
currency	currenc	currency
requires	requir	requires
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Treasury	treasuri	Treasury
to	to	to
seek	seek	seek
negotiations	negoti	negotiation
to	to	to
resolve	resolv	resolve
the	the	the
situation	situat	situation
,	,	,
a	a	a
process	process	process
that	that	that
could	could	could
end	end	end
in	in	in
punitive	punit	punitive
tariffs	tariff	tariff
on	on	on
the	the	the
offender	offend	offender
s	s	s
goods	good	good
.	.	.
The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
Treasury	treasuri	Treasury
designated	design	designated
Taiwan	taiwan	Taiwan
and	and	and
South	south	South
Korea	korea	Korea
as	as	a
currency	currenc	currency
manipulators	manipul	manipulator
in	in	in
1988	1988	1988
,	,	,
the	the	the
year	year	year
that	that	that
Congress	congress	Congress
enacted	enact	enacted
the	the	the
currency	currenc	currency
review	review	review
law	law	law
.	.	.
China	china	China
was	was	wa
the	the	the
last	last	last
country	countri	country
to	to	to
get	get	get
the	the	the
designation	design	designation
,	,	,
in	in	in
1994	1994	1994
.	.	.
The	the	The
current	current	current
situation	situat	situation
is	is	is
complicated	complic	complicated
because	becaus	because
China	china	China
s	s	s
central	central	central
bank	bank	bank
has	has	ha
spent	spent	spent
billions	billion	billion
of	of	of
dollars	dollar	dollar
in	in	in
foreign	foreign	foreign
exchange	exchang	exchange
reserves	reserv	reserve
in	in	in
the	the	the
past	past	past
year	year	year
to	to	to
prop	prop	prop
up	up	up
the	the	the
yuan	yuan	yuan
to	to	to
counter	counter	counter
capital	capit	capital
outflows	outflow	outflow
.	.	.
The	the	The
International	intern	International
Monetary	monetari	Monetary
Fund	fund	Fund
said	said	said
last	last	last
year	year	year
that	that	that
the	the	the
yuan	yuan	yuan
s	s	s
value	valu	value
was	was	wa
broadly	broad	broadly
in	in	in
line	line	line
with	with	with
its	it	it
economic	econom	economic
fundamentals	fundament	fundamental
.	.	.
The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
Treasury	treasuri	Treasury
also	also	also
said	said	said
in	in	in
its	it	it
last	last	last
currency	currenc	currency
report	report	report
in	in	in
October	octob	October
that	that	that
its	it	it
view	view	view
of	of	of
China	china	China
s	s	s
external	extern	external
imbalances	imbal	imbalance
had	had	had
improved	improv	improved
somewhat	somewhat	somewhat
.	.	.
Trump	trump	Trump
s	s	s
pronouncements	pronounc	pronouncement
about	about	about
the	the	the
yuan	yuan	yuan
could	could	could
also	also	also
complicate	complic	complicate
matters	matter	matter
for	for	for
Mnuchin	mnuchin	Mnuchin
as	as	a
he	he	he
prepares	prepar	prepares
for	for	for
his	his	his
first	first	first
meeting	meet	meeting
next	next	next
month	month	month
with	with	with
his	his	his
Group	group	Group
of	of	of
20	20	20
finance	financ	finance
minister	minist	minister
counterparts	counterpart	counterpart
in	in	in
Baden	baden	Baden
Baden	baden	Baden
,	,	,
Germany	germani	Germany
.	.	.
