Reuters	reuter	Reuters
-	-	-
Republican	republican	Republican
presidential	presidenti	presidential
frontrunner	frontrunn	frontrunner
Donald	donald	Donald
Trump	trump	Trump
is	is	is
seen	seen	seen
as	as	a
not	not	not
as	as	a
religious	religi	religious
as	as	a
other	other	other
Republican	republican	Republican
candidates	candid	candidate
,	,	,
but	but	but
most	most	most
Republicans	republican	Republicans
think	think	think
he	he	he
could	could	could
be	be	be
a	a	a
good	good	good
president	presid	president
anyway	anyway	anyway
,	,	,
a	a	a
new	new	new
nationwide	nationwid	nationwide
poll	poll	poll
found	found	found
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
A	a	A
Pew	pew	Pew
Research	research	Research
Center	center	Center
poll	poll	poll
found	found	found
just	just	just
44	44	44
percent	percent	percent
of	of	of
Republican	republican	Republican
voters	voter	voter
thought	thought	thought
that	that	that
Trump	trump	Trump
,	,	,
who	who	who
identifies	identifi	identifies
as	as	a
Presbyterian	presbyterian	Presbyterian
,	,	,
was	was	wa
very	veri	very
or	or	or
somewhat	somewhat	somewhat
religious	religi	religious
.	.	.
Another	anoth	Another
24	24	24
percent	percent	percent
found	found	found
the	the	the
thrice	thrice	thrice
-married	-marri	-married
real	real	real
estate	estat	estate
tycoon	tycoon	tycoon
not	not	not
too	too	too
religious	religi	religious
,	,	,
and	and	and
23	23	23
percent	percent	percent
found	found	found
him	him	him
not	not	not
religious	religi	religious
at	at	at
all	all	all
.	.	.
The	the	The
poll	poll	poll
also	also	also
found	found	found
that	that	that
56	56	56
percent	percent	percent
of	of	of
Republican	republican	Republican
voters	voter	voter
thought	thought	thought
Trump	trump	Trump
would	would	would
be	be	be
a	a	a
good	good	good
or	or	or
great	great	great
president	presid	president
,	,	,
even	even	even
though	though	though
voters	voter	voter
view	view	view
being	be	being
religious	religi	religious
as	as	a
an	an	an
asset	asset	asset
for	for	for
U	u	U
.	.	.
S	s	S
.	.	.
presidential	presidenti	presidential
candidates	candid	candidate
,	,	,
especially	especi	especially
for	for	for
Republicans	republican	Republicans
.	.	.
In	in	In
contrast	contrast	contrast
,	,	,
80	80	80
percent	percent	percent
of	of	of
Republican	republican	Republican
voters	voter	voter
found	found	found
contender	contend	contender
Ben	ben	Ben
Carson	carson	Carson
,	,	,
a	a	a
Seventh	seventh	Seventh
-Day	-day	-Day
Adventist	adventist	Adventist
,	,	,
very	veri	very
or	or	or
somewhat	somewhat	somewhat
religious	religi	religious
,	,	,
while	while	while
76	76	76
percent	percent	percent
found	found	found
