BANJA	banja	BANJA
LUKA	luka	LUKA
,	,	,
Bosnia	bosnia	Bosnia
Reuters	reuter	Reuters
-	-	-
Bosnia	bosnia	Bosnia
s	s	s
Serb	serb	Serb
Republic	republ	Republic
on	on	on
Wednesday	wednesday	Wednesday
declared	declar	declared
itself	itself	itself
militarily	militarili	militarily
neutral	neutral	neutral
in	in	in
a	a	a
move	move	move
its	it	it
president	presid	president
said	said	said
was	was	wa
the	the	the
first	first	first
step	step	step
towards	toward	towards
a	a	a
referendum	referendum	referendum
on	on	on
joining	join	joining
NATO	nato	NATO
,	,	,
which	which	which
is	is	is
unpopular	unpopular	unpopular
among	among	among
Serbs	serb	Serbs
after	after	after
its	it	it
1995	1995	1995
and	and	and
1999	1999	1999
bombing	bomb	bombing
campaigns	campaign	campaign
in	in	in
Bosnia	bosnia	Bosnia
and	and	and
Kosovo	kosovo	Kosovo
.	.	.
The	the	The
Serb	serb	Serb
Republic	republ	Republic
is	is	is
one	one	one
of	of	of
two	two	two
autonomous	autonom	autonomous
regions	region	region
created	creat	created
in	in	in
Bosnia	bosnia	Bosnia
after	after	after
its	it	it
war	war	war
in	in	in
the	the	the
1990s	1990s	1990s
during	dure	during
the	the	the
break	break	break
-up	-up	-up
of	of	of
the	the	the
former	former	former
Yugoslavia	yugoslavia	Yugoslavia
.	.	.
It	it	It
is	is	is
tied	tie	tied
with	with	with
the	the	the
Bosniak	bosniak	Bosniak
-Croat	-croat	-Croat
Federation	feder	Federation
via	via	via
a	a	a
weak	weak	weak
central	central	central
government	govern	government
,	,	,
which	which	which
is	is	is
in	in	in
charge	charg	charge
of	of	of
military	militari	military
issues	issu	issue
.	.	.
Bosnia	bosnia	Bosnia
s	s	s
inter	inter	inter
-ethnic	-ethnic	-ethnic
presidency	presid	presidency
,	,	,
its	it	it
central	central	central
government	govern	government
in	in	in
Sarajevo	sarajevo	Sarajevo
and	and	and
the	the	the
Federation	feder	Federation
dominated	domin	dominated
by	by	by
Muslim	muslim	Muslim
Bosniaks	bosniak	Bosniaks
and	and	and
Croats	croat	Croats
have	have	have
long	long	long
said	said	said
joining	join	joining
NATO	nato	NATO
and	and	and
the	the	the
