BEIRUT	beirut	BEIRUT
DUBAI	dubai	DUBAI
Reuters	reuter	Reuters
-	-	-
Iran	iran	Iran
warned	warn	warned
the	the	the
United	unit	United
States	state	States
against	against	against
designating	design	designating
its	it	it
Revolutionary	revolutionari	Revolutionary
Guards	guard	Guards
Corp	corp	Corp
as	as	a
a	a	a
terrorist	terrorist	terrorist
group	group	group
and	and	and
said	said	said
U	u	U
.	.	.
S	s	S
.	.	.
regional	region	regional
military	militari	military
bases	base	base
would	would	would
be	be	be
at	at	at
risk	risk	risk
if	if	if
further	further	further
sanctions	sanction	sanction
were	were	were
passed	pass	passed
.	.	.

The	the	The
warning	warn	warning
came	came	came
after	after	after
the	the	the
White	white	White
House	hous	House
said	said	said
on	on	on
Friday	friday	Friday
that	that	that
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
would	would	would
announce	announc	announce
new	new	new
U	u	U
.	.	.
S	s	S
.	.	.
responses	respons	response
to	to	to
Iran	iran	Iran
s	s	s
missile	missil	missile
tests	test	test
,	,	,
support	support	support
for	for	for
terrorism	terror	terrorism
and	and	and
cyber	cyber	cyber
operations	oper	operation
as	as	a
part	part	part
of	of	of
his	his	his
new	new	new
Iran	iran	Iran
strategy	strategi	strategy
.	.	.

As	as	As
we	we	we
ve	ve	ve
announced	announc	announced
in	in	in
the	the	the
past	past	past
,	,	,
if	if	if
America	america	America
s	s	s
new	new	new
law	law	law
for	for	for
sanctions	sanction	sanction
is	is	is
passed	pass	passed
,	,	,
this	this	this
country	countri	country
will	will	will
have	have	have
to	to	to
move	move	move
their	their	their
regional	region	regional
bases	base	base
outside	outsid	outside
the	the	the
2	2	2
,	,	,
000	000	000
km	km	km
range	rang	range
of	of	of
Iran	iran	Iran
s	s	s
missiles	missil	missile
,	,	,
Guards	guard	Guards
commander	command	commander
Mohammad	mohammad	Mohammad
Ali	ali	Ali
Jafari	jafari	Jafari
said	said	said
,	,	,
according	accord	according
to	to	to
state	state	state
media	media	medium
.	.	.

Jafari	jafari	Jafari
also	also	also
said	said	said
that	that	that
additional	addit	additional
sanctions	sanction	sanction
would	would	would
end	end	end
the	the	the
chances	chanc	chance
for	for	for
future	futur	future
dialogue	dialogu	dialogue
with	with	with
the	the	the
United	unit	United
States	state	States
,	,	,
according	accord	according
to	to	to
state	state	state
media	media	medium
,	,	,
and	and	and
issued	issu	issued
a	a	a
stark	stark	stark
warning	warn	warning
to	to	to
American	american	American
troops	troop	troop
.	.	.

If	if	If
the	the	the
news	news	news
is	is	is
correct	correct	correct
about	about	about
the	the	the
stupidity	stupid	stupidity
of	of	of
the	the	the
American	american	American
government	govern	government
in	in	in
considering	consid	considering
the	the	the
Revolutionary	revolutionari	Revolutionary
Guards	guard	Guards
a	a	a
terrorist	terrorist	terrorist
group	group	group
,	,	,
then	then	then
the	the	the
Revolutionary	revolutionari	Revolutionary
Guards	guard	Guards
will	will	will
consider	consid	consider
the	the	the
American	american	American
army	armi	army
to	to	to
be	be	be
like	like	like
Islamic	islam	Islamic
State	state	State
all	all	all
around	around	around
the	the	the
world	world	world
particularly	particular	particularly
in	in	in
the	the	the
Middle	middl	Middle
East	east	East
,	,	,
Jafari	jafari	Jafari
said	said	said
.	.	.

The	the	The
Revolutionary	revolutionari	Revolutionary
Guards	guard	Guards
IRGC	irgc	IRGC
are	are	are
Iran	iran	Iran
s	s	s
