BEIRUT	beirut	BEIRUT
Reuters	reuter	Reuters
-	-	-
The	the	The
Syrian	syrian	Syrian
army	armi	army
and	and	and
its	it	it
allies	alli	ally
recaptured	recaptur	recaptured
an	an	an
oilfield	oilfield	oilfield
from	from	from
Islamic	islam	Islamic
State	state	State
near	near	near
the	the	the
eastern	eastern	eastern
city	citi	city
of	of	of
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
on	on	on
Saturday	saturday	Saturday
in	in	in
further	further	further
advances	advanc	advance
against	against	against
the	the	the
militants	milit	militant
,	,	,
state	state	state
TV	tv	TV
reported	report	reported
.	.	.

Government	govern	Government
forces	forc	force
also	also	also
seized	seiz	seized
part	part	part
of	of	of
a	a	a
main	main	main
highway	highway	highway
running	run	running
from	from	from
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
down	down	down
to	to	to
the	the	the
city	citi	city
of	of	of
al	al	al
-Mayadeen	-mayadeen	-Mayadeen
,	,	,
to	to	to
which	which	which
many	mani	many
Islamic	islam	Islamic
State	state	State
militants	milit	militant
have	have	have
retreated	retreat	retreated
,	,	,
the	the	the
Syrian	syrian	Syrian
Observatory	observatori	Observatory
for	for	for
Human	human	Human
Rights	right	Rights
monitoring	monitor	monitoring
group	group	group
said	said	said
.	.	.

The	the	The
Syrian	syrian	Syrian
army	armi	army
this	this	this
week	week	week
broke	broke	broke
through	through	through
Islamic	islam	Islamic
State	state	State
lines	line	line
to	to	to
reach	reach	reach
a	a	a
government	govern	government
-held	-held	-held
enclave	enclav	enclave
of	of	of
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
besieged	besieg	besieged
for	for	for
years	year	year
by	by	by
the	the	the
jihadists	jihadist	jihadist
,	,	,
and	and	and
is	is	is
fighting	fight	fighting
to	to	to
reach	reach	reach
a	a	a
nearby	nearbi	nearby
air	air	air
base	base	base
which	which	which
IS	is	IS
still	still	still
surrounds	surround	surround
.	.	.

On	on	On
Saturday	saturday	Saturday
,	,	,
the	the	the
army	armi	army
and	and	and
militias	militia	militia
fighting	fight	fighting
alongside	alongsid	alongside
it	it	it
seized	seiz	seized
the	the	the
Teym	teym	Teym
oilfield	oilfield	oilfield
in	in	in
desert	desert	desert
south	south	south
of	of	of
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
,	,	,
state	state	state
TV	tv	TV
said	said	said
.	.	.

Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
is	is	is
in	in	in
an	an	an
oil	oil	oil
-rich	-rich	-rich
area	area	area
of	of	of
Syria	syria	Syria
.	.	.

To	to	To
the	the	the
east	east	east
of	of	of
Teym	teym	Teym
and	and	and
south	south	south
of	of	of
the	the	the
air	air	air
base	base	base
,	,	,
government	govern	government
forces	forc	force
also	also	also
recaptured	recaptur	recaptured
part	part	part
of	of	of
the	the	the
main	main	main
road	road	road
running	run	running
from	from	from
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
to	to	to
al	al	al
-Mayadeen	-mayadeen	-Mayadeen
,	,	,
downstream	downstream	downstream
along	along	along
the	the	the
Euphrates	euphrat	Euphrates
river	river	river
and	and	and
closer	closer	closer
to	to	to
the	the	the
Iraq	iraq	Iraq
border	border	border
,	,	,
the	the	the
Observatory	observatori	Observatory
reported	report	reported
.	.	.

The	the	The
British	british	British
-based	-base	-based
monitoring	monitor	monitoring
group	group	group
said	said	said
that	that	that
advance	advanc	advance
would	would	would
block	block	block
potential	potenti	potential
Islamic	islam	Islamic
State	state	State
reinforcements	reinforc	reinforcement
from	from	from
al	al	al
-Mayadeen	-mayadeen	-Mayadeen
.	.	.

The	the	The
advances	advanc	advance
put	put	put
yet	yet	yet
more	more	more
pressure	pressur	pressure
on	on	on
Islamic	islam	Islamic
State	state	State
s	s	s
shrinking	shrink	shrinking
caliphate	caliph	caliphate
,	,	,
which	which	which
once	onc	once
stretched	stretch	stretched
across	across	across
northern	northern	northern
and	and	and
eastern	eastern	eastern
Syria	syria	Syria
,	,	,
and	and	and
northwestern	northwestern	northwestern
Iraq	iraq	Iraq
.	.	.

In	in	In
Syria	syria	Syria
,	,	,
the	the	the
group	group	group
holds	hold	hold
much	much	much
of	of	of
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
province	provinc	province
and	and	and
half	half	half
the	the	the
city	citi	city
,	,	,
as	as	a
well	well	well
as	as	a
a	a	a
pocket	pocket	pocket
of	of	of
territory	territori	territory
near	near	near
Hama	hama	Hama
and	and	and
Homs	hom	Homs
in	in	in
the	the	the
west	west	west
of	of	of
the	the	the
country	countri	country
.	.	.

