LONDON	london	LONDON
Reuters	reuter	Reuters
-	-	-
Frenchman	frenchman	Frenchman
Kevin	kevin	Kevin
Mayer	mayer	Mayer
led	led	led
at	at	at
the	the	the
halfway	halfway	halfway
stage	stage	stage
of	of	of
the	the	the
decathlon	decathlon	decathlon
at	at	at
the	the	the
World	world	World
Championships	championship	Championships
on	on	on
Friday	friday	Friday
in	in	in
the	the	the
race	race	race
to	to	to
fill	fill	fill
the	the	the
void	void	void
left	left	left
by	by	by
the	the	the
retirement	retir	retirement
of	of	of
Ashton	ashton	Ashton
Eaton	eaton	Eaton
.	.	.
American	american	American
Eaton	eaton	Eaton
dominated	domin	dominated
the	the	the
sport	sport	sport
in	in	in
recent	recent	recent
years	year	year
,	,	,
winning	win	winning
the	the	the
last	last	last
two	two	two
Olympic	olymp	Olympic
and	and	and
world	world	world
titles	titl	title
.	.	.
Mayer	mayer	Mayer
,	,	,
silver	silver	silver
medallist	medallist	medallist
at	at	at
the	the	the
Olympics	olymp	Olympics
last	last	last
year	year	year
,	,	,
produced	produc	produced
personal	person	personal
bests	best	best
in	in	in
the	the	the
100	100	100
and	and	and
400	400	400
meters	meter	meter
and	and	and
still	still	still
has	has	ha
two	two	two
of	of	of
his	his	his
strongest	strongest	strongest
events	event	event
to	to	to
come	come	come
on	on	on
Saturday	saturday	Saturday
-	-	-
the	the	the
pole	pole	pole
vault	vault	vault
and	and	and
110	110	110
meters	meter	meter
hurdles	hurdl	hurdle
.	.	.
The	the	The
European	european	European
record	record	record
holder	holder	holder
produced	produc	produced
finished	finish	finished
fourth	fourth	fourth
in	in	in
the	the	the
100	100	100
meters	meter	meter
in	in	in
10	10	10
.	.	.
70	70	70
seconds	second	second
,	,	,
the	the	the
first	first	first
of	of	of
the	the	the
10	10	10
disciplines	disciplin	discipline
.	.	.
The	the	The
25	25	25
-year-old	-year-old	-year-old
also	also	also
performed	perform	performed
well	well	well
in	in	in
the	the	the
shot	shot	shot
put	put	put
,	,	,
where	where	where
he	he	he
threw	threw	threw
a	a	a
season	season	season
s	s	s
best	best	best
15	15	15
.	.	.
72	72	72
meters	meter	meter
to	to	to
finish	finish	finish
second	second	second
,	,	,
and	and	and
was	was	wa
fourth	fourth	fourth
in	in	in
the	the	the
long	long	long
jump	jump	jump
with	with	with
7	7	7
.	.	.
52	52	52
meters	meter	meter
.	.	.
After	after	After
coming	come	coming
joint	joint	joint
fifth	fifth	fifth
in	in	in
the	the	the
high	high	high
jump	jump	jump
,	,	,
he	he	he
finished	finish	finished
his	his	his
day	day	day
by	by	by
running	run	running
48	48	48
.	.	.
26	26	26
seconds	second	second
in	in	in
the	the	the
400	400	400
meters	meter	meter
,	,	,
the	the	the
seventh	seventh	seventh
best	best	best
overall	overal	overall
time	time	time
,	,	,
to	to	to
lead	lead	lead
with	with	with
4	4	4
,	,	,
478	478	478
points	point	point
from	from	from
Germans	german	Germans
Kai	kai	Kai
Kazmirek	kazmirek	Kazmirek
,	,	,
on	on	on
4	4	4
,	,	,
421	421	421
,	,	,
and	and	and
Rico	rico	Rico
Freimuth	freimuth	Freimuth
on	on	on
4	4	4
,	,	,
361	361	361
.	.	.
I	i	I
am	am	am
a	a	a
perfectionist	perfectionist	perfectionist
.	.	.
There	there	There
are	are	are
still	still	still
many	mani	many
things	thing	thing
I	i	I
have	have	have
to	to	to
look	look	look
at	at	at
,	,	,
Mayer	mayer	Mayer
said	said	said
.	.	.
There	there	There
is	is	is
still	still	still
a	a	a
long	long	long
way	way	way
to	to	to
go	go	go
until	until	until
the	the	the
last	last	last
event	event	event
.	.	.
Everybody	everybodi	Everybody
keeps	keep	keep
telling	tell	telling
me	me	me
that	that	that
I	i	I
am	am	am
the	the	the
favorite	favorit	favorite
,	,	,
but	but	but
before	befor	before
coming	come	coming
here	here	here
I	i	I
was	was	wa
not	not	not
the	the	the
favorite	favorit	favorite
.	.	.
Kazmirek	kazmirek	Kazmirek
,	,	,
eighth	eighth	eighth
after	after	after
the	the	the
shot	shot	shot
put	put	put
,	,	,
leapt	leapt	leapt
up	up	up
to	to	to
second	second	second
after	after	after
winning	win	winning
both	both	both
the	the	the
high	high	high
jump	jump	jump
2	2	2
.	.	.
11	11	11
meters	meter	meter
and	and	and
the	the	the
400	400	400
meters	meter	meter
47	47	47
.	.	.
19	19	19
seconds	second	second
.	.	.
Canadian	canadian	Canadian
Damian	damian	Damian
Warner	warner	Warner
,	,	,
bronze	bronz	bronze
medallist	medallist	medallist
in	in	in
Rio	rio	Rio
,	,	,
began	began	began
strongly	strong	strongly
by	by	by
winning	win	winning
the	the	the
100	100	100
meters	meter	meter
in	in	in
10	10	10
.	.	.
50	50	50
meters	meter	meter
but	but	but
slipped	slip	slipped
down	down	down
the	the	the
field	field	field
after	after	after
struggling	struggl	struggling
in	in	in
the	the	the
shot	shot	shot
,	,	,
where	where	where
he	he	he
threw	threw	threw
a	a	a
modest	modest	modest
13	13	13
.	.	.
45	45	45
meters	meter	meter
.	.	.
He	he	He
crept	crept	crept
up	up	up
to	to	to
fourth	fourth	fourth
again	again	again
after	after	after
producing	produc	producing
the	the	the
second	second	second
best	best	best
overall	overal	overall
time	time	time
in	in	in
the	the	the
400	400	400
meters	meter	meter
of	of	of
47	47	47
.	.	.
47	47	47
seconds	second	second
.	.	.
