BRUSSELS	brussel	BRUSSELS
Reuters	reuter	Reuters
-	-	-
The	the	The
European	european	European
Commission	commiss	Commission
proposed	propos	proposed
on	on	on
Wednesday	wednesday	Wednesday
a	a	a
package	packag	package
of	of	of
legislative	legisl	legislative
and	and	and
non	non	non
-binding	-bind	-binding
measures	measur	measure
to	to	to
reform	reform	reform
the	the	the
euro	euro	euro
zone	zone	zone
and	and	and
make	make	make
it	it	it
more	more	more
resilient	resili	resilient
to	to	to
future	futur	future
crises	crise	crisis
.	.	.
Below	below	Below
are	are	are
the	the	the
main	main	main
proposals	propos	proposal
The	the	The
euro	euro	euro
zone	zone	zone
bailout	bailout	bailout
fund	fund	fund
,	,	,
the	the	the
European	european	European
Stability	stabil	Stability
Mechanism	mechan	Mechanism
ESM	esm	ESM
should	should	should
be	be	be
transformed	transform	transformed
into	into	into
a	a	a
European	european	European
Monetary	monetari	Monetary
Fund	fund	Fund
EMF	emf	EMF
with	with	with
more	more	more
responsibilities	respons	responsibility
.	.	.
In	in	In
addition	addit	addition
to	to	to
providing	provid	providing
loans	loan	loan
to	to	to
member	member	member
states	state	state
in	in	in
financial	financi	financial
trouble	troubl	trouble
,	,	,
the	the	the
EMF	emf	EMF
would	would	would
be	be	be
a	a	a
backstop	backstop	backstop
for	for	for
the	the	the
euro	euro	euro
zone	zone	zone
s	s	s
lender	lender	lender
-funded	-fund	-funded
bank	bank	bank
resolution	resolut	resolution
fund	fund	fund
,	,	,
the	the	the
Single	singl	Single
Resolution	resolut	Resolution
Fund	fund	Fund
.	.	.
To	to	To
make	make	make
it	it	it
more	more	more
nimble	nimbl	nimble
,	,	,
the	the	the
EMF	emf	EMF
would	would	would
in	in	in
an	an	an
emergency	emerg	emergency
be	be	be
able	abl	able
to	to	to
take	take	take
decisions	decis	decision
with	with	with
a	a	a
majority	major	majority
vote	vote	vote
,	,	,
rather	rather	rather
than	than	than
with	with	with
unanimity	unanim	unanimity
,	,	,
as	as	a
is	is	is
the	the	the
rule	rule	rule
now	now	now
.	.	.
It	it	It
could	could	could
also	also	also
develop	develop	develop
new	new	new
financial	financi	financial
instruments	instrument	instrument
that	that	that
could	could	could
be	be	be
used	use	used
to	to	to
provide	provid	provide
further	further	further
support	support	support
to	to	to
states	state	state
hit	hit	hit
by	by	by
financial	financi	financial
shocks	shock	shock
.	.	.
A	a	A
European	european	European
Minister	minist	Minister
of	of	of
Economy	economi	Economy
and	and	and
Finance	financ	Finance
could	could	could
start	start	start
working	work	working
from	from	from
November	novemb	November
2019	2019	2019
when	when	when
a	a	a
new	new	new
commission	commiss	commission
will	will	will
take	take	take
office	offic	office
.	.	.
The	the	The
minister	minist	minister
would	would	would
be	be	be
at	at	at
the	the	the
same	same	same
time	time	time
a	a	a
vice	vice	vice
president	presid	president
of	of	of
the	the	the
commission	commiss	commission
,	,	,
the	the	the
chair	chair	chair
of	of	of
the	the	the
Eurogroup	eurogroup	Eurogroup
of	of	of
euro	euro	euro
zone	zone	zone
finance	financ	finance
ministers	minist	minister
and	and	and
would	would	would
oversee	overse	oversee
the	the	the
work	work	work
of	of	of
the	the	the
new	new	new
European	european	European
Monetary	monetari	Monetary
Fund	fund	Fund
.	.	.
The	the	The
minister	minist	minister
would	would	would
promote	promot	promote
and	and	and
support	support	support
the	the	the
coordination	coordin	coordination
and	and	and
implementation	implement	implementation
of	of	of
reforms	reform	reform
in	in	in
EU	eu	EU
countries	countri	country
and	and	and
would	would	would
also	also	also
be	be	be
responsible	respons	responsible
for	for	for
identifying	identifi	identifying
an	an	an
appropriate	appropri	appropriate
fiscal	fiscal	fiscal
policy	polici	policy
for	for	for
the	the	the
euro	euro	euro
area	area	area
as	as	a
a	a	a
whole	whole	whole
.	.	.
This	this	This
new	new	new
instrument	instrument	instrument
would	would	would
help	help	help
countries	countri	country
hit	hit	hit
by	by	by
a	a	a
crisis	crisi	crisis
to	to	to
maintain	maintain	maintain
the	the	the
same	same	same
level	level	level
of	of	of
investment	invest	investment
as	as	a
in	in	in
good	good	good
times	time	time
thanks	thank	thanks
to	to	to
EU	eu	EU
financial	financi	financial
support	support	support
.	.	.
This	this	This
could	could	could
accelerate	acceler	accelerate
the	the	the
recovery	recoveri	recovery
of	of	of
troubled	troubl	troubled
states	state	state
.	.	.
An	an	An
ailing	ail	ailing
state	state	state
could	could	could
receive	receiv	receive
automatic	automat	automatic
support	support	support
with	with	with
a	a	a
mix	mix	mix
of	of	of
loans	loan	loan
and	and	and
grants	grant	grant
from	from	from
the	the	the
EU	eu	EU
budget	budget	budget
and	and	and
the	the	the
EMF	emf	EMF
.	.	.
The	the	The
financial	financi	financial
aid	aid	aid
would	would	would
be	be	be
strictly	strict	strictly
conditional	condit	conditional
on	on	on
clear	clear	clear
criteria	criteria	criterion
and	and	and
continuous	continu	continuous
sound	sound	sound
policies	polici	policy
,	,	,
in	in	in
particular	particular	particular
those	those	those
leading	lead	leading
to	to	to
more	more	more
convergence	converg	convergence
within	within	within
the	the	the
euro	euro	euro
area	area	area
.	.	.
EU	eu	EU
states	state	state
will	will	will
be	be	be
encouraged	encourag	encouraged
to	to	to
carry	carri	carry
out	out	out
structural	structur	structural
reforms	reform	reform
with	with	with
funds	fund	fund
from	from	from
the	the	the
EU	eu	EU
budget	budget	budget
that	that	that
could	could	could
be	be	be
made	made	made
available	avail	available
already	alreadi	already
from	from	from
next	next	next
year	year	year
.	.	.
Technical	technic	Technical
and	and	and
financial	financi	financial
support	support	support
would	would	would
be	be	be
provided	provid	provided
to	to	to
the	the	the
EU	eu	EU
countries	countri	country
that	that	that
are	are	are
not	not	not
members	member	member
of	of	of
the	the	the
19	19	19
-state	-state	-state
euro	euro	euro
zone	zone	zone
and	and	and
which	which	which
want	want	want
to	to	to
join	join	join
the	the	the
common	common	common
currency	currenc	currency
area	area	area
.	.	.
The	the	The
intergovernmental	intergovernment	intergovernmental
Fiscal	fiscal	Fiscal
Compact	compact	Compact
treaty	treati	treaty
that	that	that
has	has	ha
introduced	introduc	introduced
stricter	stricter	stricter
budgetary	budgetari	budgetary
rules	rule	rule
for	for	for
all	all	all
EU	eu	EU
countries	countri	country
except	except	except
Croatia	croatia	Croatia
,	,	,
the	the	the
Czech	czech	Czech
Republic	republ	Republic
and	and	and
Britain	britain	Britain
which	which	which
did	did	did
not	not	not
sign	sign	sign
it	it	it
,	,	,
should	should	should
be	be	be
incorporated	incorpor	incorporated
into	into	into
EU	eu	EU
law	law	law
.	.	.
The	the	The
process	process	process
is	is	is
to	to	to
increase	increas	increase
the	the	the
democratic	democrat	democratic
legitimacy	legitimaci	legitimacy
of	of	of
EU	eu	EU
fiscal	fiscal	fiscal
rules	rule	rule
,	,	,
but	but	but
faces	face	face
opposition	opposit	opposition
from	from	from
countries	countri	country
like	like	like
Italy	itali	Italy
that	that	that
fear	fear	fear
the	the	the
tight	tight	tight
provisions	provis	provision
of	of	of
the	the	the
compact	compact	compact
will	will	will
become	becom	become
permanent	perman	permanent
.	.	.
It	it	It
is	is	is
also	also	also
criticized	critic	criticized
in	in	in
Germany	germani	Germany
,	,	,
where	where	where
many	mani	many
fear	fear	fear
it	it	it
could	could	could
lead	lead	lead
to	to	to
a	a	a
softening	soften	softening
of	of	of
the	the	the
current	current	current
fiscal	fiscal	fiscal
rules	rule	rule
.	.	.
