LONDON	london	LONDON
Reuters	reuter	Reuters
-	-	-
U	u	U
.	.	.
S	s	S
.	.	.
Republican	republican	Republican
presidential	presidenti	presidential
candidate	candid	candidate
Donald	donald	Donald
Trump	trump	Trump
said	said	said
Muslims	muslim	Muslims
were	were	were
not	not	not
helping	help	helping
to	to	to
prevent	prevent	prevent
attacks	attack	attack
such	such	such
as	as	a
those	those	those
that	that	that
killed	kill	killed
at	at	at
least	least	least
30	30	30
people	peopl	people
in	in	in
Belgium	belgium	Belgium
,	,	,
drawing	draw	drawing
a	a	a
rebuke	rebuk	rebuke
from	from	from
Britain	britain	Britain
s	s	s
government	govern	government
and	and	and
from	from	from
Muslim	muslim	Muslim
groups	group	group
in	in	in
the	the	the
country	countri	country
.	.	.
In	in	In
an	an	an
interview	interview	interview
broadcast	broadcast	broadcast
on	on	on
Britain	britain	Britain
s	s	s
ITV	itv	ITV
television	televis	television
on	on	on
Wednesday	wednesday	Wednesday
,	,	,
Trump	trump	Trump
was	was	wa
asked	ask	asked
what	what	what
his	his	his
message	messag	message
was	was	wa
for	for	for
British	british	British
Muslims	muslim	Muslims
after	after	after
Tuesday	tuesday	Tuesday
s	s	s
bombings	bomb	bombing
in	in	in
Brussels	brussel	Brussels
and	and	and
the	the	the
attacks	attack	attack
in	in	in
Paris	pari	Paris
last	last	last
November	novemb	November
.	.	.
When	when	When
they	they	they
see	see	see
trouble	troubl	trouble
they	they	they
have	have	have
to	to	to
report	report	report
it	it	it
,	,	,
they	they	they
are	are	are
not	not	not
reporting	report	reporting
it	it	it
,	,	,
they	they	they
are	are	are
absolutely	absolut	absolutely
not	not	not
reporting	report	reporting
it	it	it
and	and	and
that	that	that
s	s	s
a	a	a
big	big	big
problem	problem	problem
,	,	,
Trump	trump	Trump
said	said	said
.	.	.
His	his	His
comments	comment	comment
were	were	were
countered	counter	countered
by	by	by
British	british	British
interior	interior	interior
minister	minist	minister
Theresa	theresa	Theresa
May	may	May
who	who	who
said	said	said
he	he	he
was	was	wa
just	just	just
plain	plain	plain
wrong	wrong	wrong
to	to	to
suggest	suggest	suggest
Muslims	muslim	Muslims
in	in	in
Britain	britain	Britain
were	were	were
failing	fail	failing
to	to	to
report	report	report
suspicious	suspici	suspicious
activity	activ	activity
by	by	by
extremists	extremist	extremist
.	.	.
Trump	trump	Trump
,	,	,
the	the	the
front	front	front
-runner	-runner	-runner
in	in	in
the	the	the
race	race	race
to	to	to
be	be	be
the	the	the
Republican	republican	Republican
candidate	candid	candidate
in	in	in
November	novemb	November
s	s	s
presidential	presidenti	presidential
election	elect	election
,	,	,
has	has	ha
made	made	made
a	a	a
series	seri	series
of	of	of
controversial	controversi	controversial
statements	statement	statement
during	dure	during
his	his	his
campaign	campaign	campaign
.	.	.
His	his	His
supporters	support	supporter
see	see	see
him	him	him
as	as	a
someone	someon	someone
who	who	who
speaks	speak	speaks
uncomfortable	uncomfort	uncomfortable
truths	truth	truth
but	but	but
he	he	he
has	has	ha
outraged	outrag	outraged
many	mani	many
others	other	others
in	in	in
the	the	the
United	unit	United
States	state	States
and	and	and
around	around	around
the	the	the
world	world	world
.	.	.
Trump	trump	Trump
,	,	,
who	who	who
has	has	ha
called	call	called
for	for	for
a	a	a
ban	ban	ban
on	on	on
Muslims	muslim	Muslims
entering	enter	entering
the	the	the
United	unit	United
States	state	States
,	,	,
said	said	said
it	it	it
was	was	wa
a	a	a
disgrace	disgrac	disgrace
that	that	that
one	one	one
of	of	of
the	the	the
suspects	suspect	suspect
behind	behind	behind
last	last	last
November	novemb	November
s	s	s
attacks	attack	attack
in	in	in
Paris	pari	Paris
had	had	had
been	been	been
found	found	found
after	after	after
a	a	a
long	long	long
manhunt	manhunt	manhunt
by	by	by
police	polic	police
in	in	in
an	an	an
area	area	area
of	of	of
Brussels	brussel	Brussels
where	where	where
he	he	he
lived	live	lived
.	.	.
He	he	He
was	was	wa
in	in	in
his	his	his
neighborhood	neighborhood	neighborhood
where	where	where
he	he	he
grew	grew	grew
up	up	up
and	and	and
nobody	nobodi	nobody
even	even	even
turned	turn	turned
him	him	him
in	in	in
and	and	and
supposedly	suppos	supposedly
this	this	this
is	is	is
retribution	retribut	retribution
for	for	for
that	that	that
.	.	.
It	it	It
s	s	s
a	a	a
disgrace	disgrac	disgrace
,	,	,
he	he	he
said	said	said
.	.	.
Trump	trump	Trump
said	said	said
there	there	there
were	were	were
signs	sign	sign
that	that	that
an	an	an
attack	attack	attack
by	by	by
suspected	suspect	suspected
Muslim	muslim	Muslim
extremists	extremist	extremist
in	in	in
California	california	California
in	in	in
December	decemb	December
,	,	,
which	which	which
killed	kill	killed
14	14	14
people	peopl	people
,	,	,
could	could	could
have	have	have
been	been	been
stopped	stop	stopped
.	.	.
A	a	A
lot	lot	lot
of	of	of
people	peopl	people
in	in	in
the	the	the
community	communiti	community
knew	knew	knew
they	they	they
were	were	were
going	go	going
to	to	to
do	do	do
it	it	it
because	becaus	because
in	in	in
their	their	their
apartment	apart	apartment
they	they	they
had	had	had
bombs	bomb	bomb
all	all	all
over	over	over
the	the	the
floor	floor	floor
.	.	.
.	.	.
.	.	.
and	and	and
they	they	they
didn	didn	didn
t	t	t
report	report	report
them	them	them
,	,	,
he	he	he
said	said	said
.	.	.
I	i	I
don	don	don
t	t	t
know	know	know
what	what	what
it	it	it
is	is	is
.	.	.
It	it	It
s	s	s
like	like	like
they	they	they
re	re	re
protecting	protect	protecting
each	each	each
other	other	other
but	but	but
they	they	they
re	re	re
really	realli	really
doing	do	doing
very	veri	very
bad	bad	bad
damage	damag	damage
.	.	.
They	they	They
have	have	have
to	to	to
open	open	open
up	up	up
to	to	to
society	societi	society
,	,	,
they	they	they
have	have	have
to	to	to
report	report	report
the	the	the
bad	bad	bad
ones	one	one
.	.	.
Britain	britain	Britain
s	s	s
May	may	May
told	told	told
parliament	parliament	parliament
that	that	that
Trump	trump	Trump
was	was	wa
mistaken	mistaken	mistaken
.	.	.
I	i	I
understand	understand	understand
he	he	he
said	said	said
that	that	that
Muslims	muslim	Muslims
were	were	were
not	not	not
coming	come	coming
forward	forward	forward
in	in	in
the	the	the
United	unit	United
Kingdom	kingdom	Kingdom
to	to	to
report	report	report
matters	matter	matter
of	of	of
concern	concern	concern
.	.	.
This	this	This
is	is	is
absolutely	absolut	absolutely
not	not	not
the	the	the
case	case	case
-	-	-
he	he	he
is	is	is
just	just	just
plain	plain	plain
wrong	wrong	wrong
,	,	,
she	she	she
said	said	said
.	.	.
