Reuters	reuter	Reuters
-	-	-
A	a	A
U	u	U
.	.	.
S	s	S
.	.	.
judge	judg	judge
ordered	order	ordered
the	the	the
State	state	State
Department	depart	Department
on	on	on
Thursday	thursday	Thursday
to	to	to
release	releas	release
by	by	by
Sept	sept	Sept
.	.	.
13	13	13
any	ani	any
emails	email	email
it	it	it
finds	find	find
between	between	between
Hillary	hillari	Hillary
Clinton	clinton	Clinton
and	and	and
the	the	the
White	white	White
House	hous	House
from	from	from
the	the	the
week	week	week
of	of	of
the	the	the
2012	2012	2012
attack	attack	attack
in	in	in
Benghazi	benghazi	Benghazi
,	,	,
Libya	libya	Libya
,	,	,
among	among	among
the	the	the
thousands	thousand	thousand
of	of	of
additional	addit	additional
emails	email	email
uncovered	uncov	uncovered
by	by	by
federal	feder	federal
investigators	investig	investigator
.	.	.
The	the	The
order	order	order
came	came	came
after	after	after
the	the	the
Federal	feder	Federal
Bureau	bureau	Bureau
of	of	of
Investigation	investig	Investigation
gave	gave	gave
the	the	the
department	depart	department
a	a	a
disc	disc	disc
earlier	earlier	earlier
this	this	this
month	month	month
containing	contain	containing
14	14	14
,	,	,
900	900	900
emails	email	email
to	to	to
and	and	and
from	from	from
Clinton	clinton	Clinton
and	and	and
other	other	other
documents	document	document
it	it	it
said	said	said
it	it	it
had	had	had
recovered	recov	recovered
that	that	that
she	she	she
did	did	did
not	not	not
return	return	return
to	to	to
the	the	the
government	govern	government
.	.	.
Clinton	clinton	Clinton
,	,	,
the	the	the
Democratic	democrat	Democratic
presidential	presidenti	presidential
nominee	nomine	nominee
,	,	,
has	has	ha
been	been	been
criticized	critic	criticized
for	for	for
using	use	using
an	an	an
unauthorized	unauthor	unauthorized
private	privat	private
email	email	email
system	system	system
run	run	run
from	from	from
a	a	a
server	server	server
in	in	in
the	the	the
basement	basement	basement
of	of	of
her	her	her
home	home	home
while	while	while
she	she	she
was	was	wa
secretary	secretari	secretary
of	of	of
state	state	state
from	from	from
2009	2009	2009
to	to	to
2013	2013	2013
,	,	,
a	a	a
decision	decis	decision
she	she	she
says	say	say
was	was	wa
wrong	wrong	wrong
and	and	and
that	that	that
she	she	she
regrets	regret	regret
.	.	.
The	the	The
issue	issu	issue
has	has	ha
hung	hung	hung
over	over	over
her	her	her
campaign	campaign	campaign
for	for	for
the	the	the
White	white	White
House	hous	House
and	and	and
raised	rais	raised
questions	question	question
among	among	among
voters	voter	voter
about	about	about
her	her	her
trustworthiness	trustworthi	trustworthiness
.	.	.
Judge	judg	Judge
William	william	William
Dimitrouleas	dimitroulea	Dimitrouleas
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
District	district	District
Court	court	Court
in	in	in
southern	southern	southern
Florida	florida	Florida
made	made	made
his	his	his
order	order	order
in	in	in
response	respons	response
to	to	to
a	a	a
request	request	request
by	by	by
the	the	the
conservative	conserv	conservative
watchdog	watchdog	watchdog
group	group	group
Judicial	judici	Judicial
Watch	watch	Watch
,	,	,
which	which	which
is	is	is
suing	su	suing
the	the	the
State	state	State
Department	depart	Department
for	for	for
Clinton	clinton	Clinton
-era	-era	-era
records	record	record
under	under	under
freedom	freedom	freedom
of	of	of
information	inform	information
laws	law	law
.	.	.
Spokesmen	spokesmen	Spokesmen
for	for	for
Clinton	clinton	Clinton
did	did	did
not	not	not
respond	respond	respond
to	to	to
requests	request	request
for	for	for
comment	comment	comment
.	.	.
At	at	At
least	least	least
one	one	one
other	other	other
judge	judg	judge
has	has	ha
said	said	said
the	the	the
department	depart	department
will	will	will
eventually	eventu	eventually
have	have	have
to	to	to
release	releas	release
all	all	all
the	the	the
newly	newli	newly
recovered	recov	recovered
work	work	work
emails	email	email
,	,	,
and	and	and
at	at	at
least	least	least
some	some	some
are	are	are
expected	expect	expected
to	to	to
appear	appear	appear
before	befor	before
the	the	the
Nov	nov	Nov
.	.	.
8	8	8
presidential	presidenti	presidential
election	elect	election
.	.	.
After	after	After
the	the	the
system	system	system
s	s	s
existence	exist	existence
became	becam	became
more	more	more
widely	wide	widely
known	known	known
,	,	,
Clinton	clinton	Clinton
returned	return	returned
what	what	what
she	she	she
said	said	said
were	were	were
all	all	all
her	her	her
work	work	work
emails	email	email
to	to	to
the	the	the
State	state	State
Department	depart	Department
in	in	in
2014	2014	2014
,	,	,
and	and	and
the	the	the
department	depart	department
released	releas	released
them	them	them
in	in	in
batches	batch	batch
to	to	to
the	the	the
public	public	public
,	,	,
some	some	some
30	30	30
,	,	,
000	000	000
in	in	in
all	all	all
.	.	.
The	the	The
FBI	fbi	FBI
took	took	took
her	her	her
server	server	server
in	in	in
2015	2015	2015
after	after	after
it	it	it
was	was	wa
discovered	discov	discovered
she	she	she
had	had	had
sent	sent	sent
and	and	and
received	receiv	received
classified	classifi	classified
government	govern	government
secrets	secret	secret
through	through	through
the	the	the
system	system	system
,	,	,
which	which	which
the	the	the
government	govern	government
bans	ban	ban
.	.	.
Clinton	clinton	Clinton
has	has	ha
said	said	said
she	she	she
did	did	did
not	not	not
know	know	know
the	the	the
information	inform	information
was	was	wa
classified	classifi	classified
at	at	at
the	the	the
time	time	time
.	.	.
After	after	After
a	a	a
year	year	year
-long	-long	-long
investigation	investig	investigation
,	,	,
FBI	fbi	FBI
Director	director	Director
James	jame	James
Comey	comey	Comey
said	said	said
last	last	last
month	month	month
that	that	that
Clinton	clinton	Clinton
should	should	should
have	have	have
recognized	recogn	recognized
the	the	the
sensitivity	sensit	sensitivity
of	of	of
the	the	the
information	inform	information
and	and	and
that	that	that
she	she	she
had	had	had
been	been	been
extremely	extrem	extremely
careless	careless	careless
with	with	with
government	govern	government
secrets	secret	secret
.	.	.
But	but	But
he	he	he
said	said	said
there	there	there
were	were	were
not	not	not
enough	enough	enough
grounds	ground	ground
for	for	for
a	a	a
prosecution	prosecut	prosecution
,	,	,
a	a	a
decision	decis	decision
criticized	critic	criticized
by	by	by
Republican	republican	Republican
presidential	presidenti	presidential
nominee	nomine	nominee
Donald	donald	Donald
Trump	trump	Trump
and	and	and
other	other	other
Republicans	republican	Republicans
.	.	.
It	it	It
remained	remain	remained
unclear	unclear	unclear
if	if	if
there	there	there
were	were	were
any	ani	any
newly	newli	newly
discovered	discov	discovered
emails	email	email
that	that	that
related	relat	related
to	to	to
the	the	the
September	septemb	September
2012	2012	2012
attack	attack	attack
on	on	on
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
facility	facil	facility
in	in	in
Benghazi	benghazi	Benghazi
,	,	,
Libya	libya	Libya
,	,	,
in	in	in
which	which	which
four	four	four
Americans	american	Americans
,	,	,
including	includ	including
U	u	U
.	.	.
S	s	S
.	.	.
Ambassador	ambassador	Ambassador
Chris	chris	Chris
Stevens	steven	Stevens
,	,	,
were	were	were
killed	kill	killed
.	.	.
Using	use	Using
broad	broad	broad
search	search	search
terms	term	term
,	,	,
we	we	we
have	have	have
identified	identifi	identified
a	a	a
number	number	number
of	of	of
documents	document	document
potentially	potenti	potentially
responsive	respons	responsive
to	to	to
a	a	a
Benghazi	benghazi	Benghazi
-related	-relat	-related
request	request	request
,	,	,
Elizabeth	elizabeth	Elizabeth
Trudeau	trudeau	Trudeau
,	,	,
a	a	a
State	state	State
Department	depart	Department
spokeswoman	spokeswoman	spokeswoman
,	,	,
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
At	at	At
this	this	this
time	time	time
,	,	,
we	we	we
have	have	have
not	not	not
confirmed	confirm	confirmed
that	that	that
the	the	the
documents	document	document
are	are	are
,	,	,
in	in	in
fact	fact	fact
,	,	,
responsive	respons	responsive
.	.	.
We	we	We
also	also	also
have	have	have
not	not	not
determined	determin	determined
if	if	if
they	they	they
involve	involv	involve
Secretary	secretari	Secretary
Clinton	clinton	Clinton
.	.	.
