BEIJING	beij	BEIJING
TAIPEI	taipei	TAIPEI
Reuters	reuter	Reuters
-	-	-
China	china	China
on	on	on
Tuesday	tuesday	Tuesday
sentenced	sentenc	sentenced
Taiwanese	taiwanes	Taiwanese
rights	right	right
activist	activist	activist
Li	li	Li
Ming	ming	Ming
-che	-che	-che
to	to	to
five	five	five
years	year	year
in	in	in
prison	prison	prison
for	for	for
subverting	subvert	subverting
state	state	state
power	power	power
,	,	,
prompting	prompt	prompting
Taiwan	taiwan	Taiwan
s	s	s
ruling	rule	ruling
political	polit	political
party	parti	party
to	to	to
label	label	label
the	the	the
verdict	verdict	verdict
totally	total	totally
unacceptable	unaccept	unacceptable
.	.	.
Li	li	Li
,	,	,
a	a	a
community	communiti	community
college	colleg	college
lecturer	lectur	lecturer
and	and	and
an	an	an
activist	activist	activist
at	at	at
a	a	a
human	human	human
rights	right	right
non	non	non
-governmental	-government	-governmental
organisation	organis	organisation
in	in	in
Taiwan	taiwan	Taiwan
,	,	,
went	went	went
missing	miss	missing
while	while	while
on	on	on
a	a	a
trip	trip	trip
to	to	to
China	china	China
in	in	in
March	march	March
.	.	.
Chinese	chines	Chinese
authorities	author	authority
later	later	later
charged	charg	charged
him	him	him
with	with	with
subverting	subvert	subverting
state	state	state
power	power	power
.	.	.
In	in	In
the	the	the
first	first	first
hearing	hear	hearing
of	of	of
Li	li	Li
s	s	s
case	case	case
in	in	in
September	septemb	September
,	,	,
he	he	he
confessed	confess	confessed
to	to	to
subversion	subvers	subversion
,	,	,
according	accord	according
to	to	to
videos	video	video
of	of	of
the	the	the
hearing	hear	hearing
,	,	,
though	though	though
his	his	his
wife	wife	wife
refused	refus	refused
to	to	to
recognise	recognis	recognise
the	the	the
court	court	court
s	s	s
authority	author	authority
.	.	.
Tuesday	tuesday	Tuesday
s	s	s
verdict	verdict	verdict
was	was	wa
handed	hand	handed
down	down	down
by	by	by
the	the	the
Yueyang	yueyang	Yueyang
City	citi	City
Intermediate	intermedi	Intermediate
People	peopl	People
s	s	s
Court	court	Court
in	in	in
central	central	central
Hunan	hunan	Hunan
province	provinc	province
,	,	,
according	accord	according
to	to	to
a	a	a
video	video	video
of	of	of
proceedings	proceed	proceeding
released	releas	released
by	by	by
the	the	the
