LONDON	london	LONDON
Reuters	reuter	Reuters
-	-	-
While	while	While
2017	2017	2017
saw	saw	saw
the	the	the
tide	tide	tide
of	of	of
the	the	the
military	militari	military
conflict	conflict	conflict
in	in	in
Syria	syria	Syria
seemingly	seem	seemingly
turn	turn	turn
against	against	against
Islamic	islam	Islamic
State	state	State
forces	forc	force
,	,	,
the	the	the
humanitarian	humanitarian	humanitarian
crisis	crisi	crisis
prompted	prompt	prompted
by	by	by
the	the	the
conflict	conflict	conflict
intensified	intensifi	intensified
in	in	in
severity	sever	severity
and	and	and
in	in	in
the	the	the
breadth	breadth	breadth
of	of	of
the	the	the
areas	area	area
of	of	of
the	the	the
country	countri	country
it	it	it
affects	affect	affect
.	.	.

For	for	For
a	a	a
graphic	graphic	graphic
on	on	on
Syria's	syria	Syria's
population	popul	population
needs	need	need
,	,	,
click	click	click
tmsnrt	tmsnrt	tmsnrt
.	.	.
rs	rs	r
2AGP18C	2agp18c	2AGP18C
As	as	As
a	a	a
result	result	result
of	of	of
the	the	the
conflict	conflict	conflict
,	,	,
more	more	more
than	than	than
13	13	13
million	million	million
Syrian	syrian	Syrian
civilians	civilian	civilian
are	are	are
classified	classifi	classified
as	as	a
being	be	being
in	in	in
need	need	need
-	-	-
over	over	over
5	5	5
.	.	.
5	5	5
million	million	million
of	of	of
them	them	them
in	in	in
acute	acut	acute
need	need	need
-	-	-
and	and	and
are	are	are
facing	face	facing
threats	threat	threat
to	to	to
their	their	their
physical	physic	physical
security	secur	security
,	,	,
basic	basic	basic
rights	right	right
and	and	and
living	live	living
conditions	condit	condition
.	.	.

For	for	For
a	a	a
graphic	graphic	graphic
on	on	on
Syrian	syrian	Syrian
IPD	ipd	IPD
camps	camp	camp
,	,	,
click	click	click
tmsnrt	tmsnrt	tmsnrt
.	.	.
rs	rs	r
2jqdybT	2jqdybt	2jqdybT
These	these	These
Reuters	reuter	Reuters
graphics	graphic	graphic
chart	chart	chart
a	a	a
range	rang	range
of	of	of
measures	measur	measure
of	of	of
the	the	the
effects	effect	effect
of	of	of
Syria	syria	Syria
s	s	s
crisis	crisi	crisis
between	between	between
2016	2016	2016
and	and	and
2017	2017	2017
,	,	,
from	from	from
internally	intern	internally
displaced	displac	displaced
people	peopl	people
to	to	to
the	the	the
severity	sever	severity
of	of	of
humanitarian	humanitarian	humanitarian
needs	need	need
.	.	.

For	for	For
a	a	a
graphic	graphic	graphic
on	on	on
population	popul	population
exposed	expos	exposed
to	to	to
hostilities	hostil	hostility
,	,	,
click	click	click
tmsnrt	tmsnrt	tmsnrt
.	.	.
rs	rs	r
2ApEsHA	2apesha	2ApEsHA
In	in	In
addition	addit	addition
,	,	,
other	other	other
graphics	graphic	graphic
look	look	look
at	at	at
the	the	the
2017	2017	2017
data	data	data
revealing	reveal	revealing
the	the	the
amount	amount	amount
that	that	that
the	the	the
country	countri	country
s	s	s
population	popul	population
that	that	that
has	has	ha
exposed	expos	exposed
to	to	to
hostilities	hostil	hostility
and	and	and
communities	communiti	community
where	where	where
vital	vital	vital
services	servic	service
have	have	have
become	becom	become
overburdened	overburden	overburdened
.	.	.

For	for	For
a	a	a
graphic	graphic	graphic
on	on	on
overburdened	overburden	overburdened
communities	communiti	community
in	in	in
Syria	syria	Syria
,	,	,
click	click	click
tmsnrt	tmsnrt	tmsnrt
.	.	.
rs	rs	r
2A21vHU	2a21vhu	2A21vHU
The	the	The
data	data	data
reveals	reveal	reveals
growth	growth	growth
in	in	in
both	both	both
the	the	the
areas	area	area
of	of	of
the	the	the
country	countri	country
that	that	that
have	have	have
been	been	been
affected	affect	affected
by	by	by
the	the	the
conflict	conflict	conflict
,	,	,
and	and	and
the	the	the
intensity	intens	intensity
of	of	of
the	the	the
humanitarian	humanitarian	humanitarian
situation	situat	situation
in	in	in
those	those	those
areas	area	area
,	,	,
using	use	using
data	data	data
provided	provid	provided
by	by	by
the	the	the
United	unit	United
Nations	nation	Nations
Office	offic	Office
for	for	for
the	the	the
Coordination	coordin	Coordination
of	of	of
Humanitarian	humanitarian	Humanitarian
Affairs	affair	Affairs
.	.	.

