MOSCOW	moscow	MOSCOW
Reuters	reuter	Reuters
-	-	-
Russia	russia	Russia
accused	accus	accused
the	the	the
United	unit	United
States	state	States
on	on	on
Tuesday	tuesday	Tuesday
of	of	of
pretending	pretend	pretending
to	to	to
fight	fight	fight
Islamic	islam	Islamic
State	state	State
and	and	and
of	of	of
deliberately	deliber	deliberately
reducing	reduc	reducing
its	it	it
air	air	air
strikes	strike	strike
in	in	in
Iraq	iraq	Iraq
to	to	to
allow	allow	allow
the	the	the
group	group	group
s	s	s
militants	milit	militant
to	to	to
stream	stream	stream
into	into	into
Syria	syria	Syria
to	to	to
slow	slow	slow
the	the	the
Russian	russian	Russian
-backed	-back	-backed
advance	advanc	advance
of	of	of
the	the	the
Syrian	syrian	Syrian
army	armi	army
.	.	.

The	the	The
Pentagon	pentagon	Pentagon
strongly	strong	strongly
denied	deni	denied
the	the	the
accusations	accus	accusation
,	,	,
saying	say	saying
that	that	that
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
-led	-led	-led
coalition	coalit	coalition
fighting	fight	fighting
Islamic	islam	Islamic
State	state	State
posts	post	post
data	data	data
every	everi	every
day	day	day
on	on	on
the	the	the
number	number	number
and	and	and
result	result	result
of	of	of
strikes	strike	strike
for	for	for
the	the	the
public	public	public
to	to	to
see	see	see
.	.	.

In	in	In
the	the	the
latest	latest	latest
sign	sign	sign
of	of	of
rising	rise	rising
tensions	tension	tension
between	between	between
Moscow	moscow	Moscow
and	and	and
Washington	washington	Washington
,	,	,
the	the	the
Russian	russian	Russian
Defence	defenc	Defence
Ministry	ministri	Ministry
said	said	said
in	in	in
a	a	a
statement	statement	statement
that	that	that
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
-led	-led	-led
coalition	coalit	coalition
had	had	had
sharply	sharpli	sharply
reduced	reduc	reduced
its	it	it
air	air	air
strikes	strike	strike
in	in	in
Iraq	iraq	Iraq
in	in	in
September	septemb	September
when	when	when
Syrian	syrian	Syrian
forces	forc	force
,	,	,
backed	back	backed
by	by	by
Russian	russian	Russian
air	air	air
power	power	power
,	,	,
had	had	had
started	start	started
to	to	to
retake	retak	retake
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
Province	provinc	Province
.	.	.

Everyone	everyon	Everyone
sees	see	see
that	that	that
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
-led	-led	-led
coalition	coalit	coalition
is	is	is
pretending	pretend	pretending
to	to	to
fight	fight	fight
Islamic	islam	Islamic
State	state	State
,	,	,
above	abov	above
all	all	all
in	in	in
Iraq	iraq	Iraq
,	,	,
but	but	but
continuing	continu	continuing
to	to	to
allegedly	alleg	allegedly
fight	fight	fight
Islamic	islam	Islamic
State	state	State
in	in	in
Syria	syria	Syria
actively	activ	actively
for	for	for
some	some	some
reason	reason	reason
,	,	,
said	said	said
Major	major	Major
-General	-gener	-General
Igor	igor	Igor
Konashenkov	konashenkov	Konashenkov
,	,	,
a	a	a
spokesman	spokesman	spokesman
for	for	for
Russia	russia	Russia
s	s	s
defense	defens	defense
ministry	ministri	ministry
.	.	.

The	the	The
result	result	result
,	,	,
he	he	he
said	said	said
,	,	,
had	had	had
been	been	been
that	that	that
militants	milit	militant
had	had	had
moved	move	moved
in	in	in
large	larg	large
numbers	number	number
from	from	from
Iraqi	iraqi	Iraqi
border	border	border
areas	area	area
to	to	to
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
where	where	where
they	they	they
were	were	were
trying	tri	trying
to	to	to
dig	dig	dig
in	in	in
on	on	on
the	the	the
left	left	left
bank	bank	bank
of	of	of
the	the	the
River	river	River
Euphrates	euphrat	Euphrates
.	.	.

The	the	The
actions	action	action
of	of	of
the	the	the
Pentagon	pentagon	Pentagon
and	and	and
the	the	the
coalition	coalit	coalition
demand	demand	demand
an	an	an
explanation	explan	explanation
.	.	.

Is	is	Is
their	their	their
change	chang	change
of	of	of
tack	tack	tack
a	a	a
desire	desir	desire
to	to	to
complicate	complic	complicate
as	as	a
much	much	much
as	as	a
they	they	they
can	can	can
the	the	the
Syrian	syrian	Syrian
army	armi	army
s	s	s
operation	oper	operation
,	,	,
backed	back	backed
by	by	by
the	the	the
Russian	russian	Russian
air	air	air
force	forc	force
,	,	,
to	to	to
take	take	take
back	back	back
Syrian	syrian	Syrian
territory	territori	territory
to	to	to
the	the	the
east	east	east
of	of	of
the	the	the
Euphrates	euphrat	Euphrates
?	?	?
,	,	,
asked	ask	asked
Konashenkov	konashenkov	Konashenkov
.	.	.

Or	or	Or
is	is	is
it	it	it
an	an	an
artful	art	artful
move	move	move
to	to	to
drive	drive	drive
Islamic	islam	Islamic
State	state	State
terrorists	terrorist	terrorist
out	out	out
of	of	of
Iraq	iraq	Iraq
by	by	by
forcing	forc	forcing
them	them	them
into	into	into
Syria	syria	Syria
and	and	and
into	into	into
the	the	the
path	path	path
of	of	of
the	the	the
Russian	russian	Russian
air	air	air
force	forc	force
s	s	s
pinpoint	pinpoint	pinpoint
bombing	bomb	bombing
?	?	?

In	in	In
Washington	washington	Washington
,	,	,
Pentagon	pentagon	Pentagon
spokesman	spokesman	spokesman
Colonel	colonel	Colonel
Robert	robert	Robert
Manning	man	Manning
described	describ	described
the	the	the
Russian	russian	Russian
accusations	accus	accusation
as	as	a
absolutely	absolut	absolutely
false	fals	false
.	.	.

We	we	We
remain	remain	remain
committed	commit	committed
to	to	to
killing	kill	killing
ISIS	isi	ISIS
and	and	and
denying	deni	denying
them	them	them
safe	safe	safe
havens	haven	haven
and	and	and
the	the	the
ability	abil	ability
to	to	to
carry	carri	carry
out	out	out
strikes	strike	strike
in	in	in
the	the	the
region	region	region
or	or	or
globally	global	globally
,	,	,
Manning	man	Manning
said	said	said
,	,	,
using	use	using
an	an	an
acronym	acronym	acronym
for	for	for
Islamic	islam	Islamic
State	state	State
.	.	.

Konashenkov	konashenkov	Konashenkov
added	ad	added
that	that	that
Syrian	syrian	Syrian
troops	troop	troop
were	were	were
in	in	in
the	the	the
midst	midst	midst
of	of	of
trying	tri	trying
to	to	to
push	push	push
Islamic	islam	Islamic
State	state	State
out	out	out
of	of	of
the	the	the
city	citi	city
of	of	of
al	al	al
-Mayadin	-mayadin	-Mayadin
,	,	,
southeast	southeast	southeast
of	of	of
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
,	,	,
but	but	but
that	that	that
IS	is	IS
tried	tri	tried
daily	daili	daily
to	to	to
reinforce	reinforc	reinforce
its	it	it
ranks	rank	rank
there	there	there
with	with	with
foreign	foreign	foreign
mercenaries	mercenari	mercenary
pouring	pour	pouring
in	in	in
from	from	from
Iraq	iraq	Iraq
.	.	.

