SAO	sao	SAO
PAULO	paulo	PAULO
Reuters	reuter	Reuters
-	-	-
The	the	The
Brazilian	brazilian	Brazilian
government	govern	government
is	is	is
looking	look	looking
at	at	at
all	all	all
options	option	option
,	,	,
including	includ	including
large	larg	large
batteries	batteri	battery
,	,	,
to	to	to
help	help	help
northern	northern	northern
Roraima	roraima	Roraima
state	state	state
with	with	with
power	power	power
supplies	suppli	supply
after	after	after
a	a	a
series	seri	series
of	of	of
blackouts	blackout	blackout
in	in	in
recent	recent	recent
months	month	month
largely	larg	largely
related	relat	related
to	to	to
its	it	it
dependency	depend	dependency
on	on	on
cash	cash	cash
-strapped	-strap	-strapped
neighbor	neighbor	neighbor
Venezuela	venezuela	Venezuela
.	.	.
Roraima	roraima	Roraima
is	is	is
the	the	the
only	onli	only
Brazilian	brazilian	Brazilian
state	state	state
not	not	not
connected	connect	connected
to	to	to
the	the	the
national	nation	national
power	power	power
grid	grid	grid
.	.	.
Its	it	Its
capital	capit	capital
,	,	,
Boa	boa	Boa
Vista	vista	Vista
,	,	,
and	and	and
most	most	most
other	other	other
cities	citi	city
in	in	in
the	the	the
state	state	state
are	are	are
supplied	suppli	supplied
by	by	by
power	power	power
produced	produc	produced
in	in	in
Venezuela	venezuela	Venezuela
and	and	and
transmitted	transmit	transmitted
through	through	through
a	a	a
line	line	line
that	that	that
was	was	wa
opened	open	opened
in	in	in
2001	2001	2001
.	.	.
Documents	document	Documents
produced	produc	produced
by	by	by
a	a	a
Brazilian	brazilian	Brazilian
government	govern	government
committee	committe	committee
monitoring	monitor	monitoring
the	the	the
power	power	power
sector	sector	sector
show	show	show
the	the	the
state	state	state
suffered	suffer	suffered
17	17	17
large	larg	large
-scale	-scale	-scale
power	power	power
outages	outag	outage
since	sinc	since
August	august	August
.	.	.
The	the	The
documents	document	document
,	,	,
seen	seen	seen
by	by	by
Reuters	reuter	Reuters
,	,	,
said	said	said
only	onli	only
one	one	one
instance	instanc	instance
was	was	wa
not	not	not
related	relat	related
to	to	to
Venezuela	venezuela	Venezuela
.	.	.
The	the	The
situation	situat	situation
underscores	underscor	underscore
how	how	how
Venezuela	venezuela	Venezuela
s	s	s
economic	econom	economic
collapse	collaps	collapse
is	is	is
affecting	affect	affecting
its	it	it
neighbors	neighbor	neighbor
.	.	.
Roraima	roraima	Roraima
is	is	is
already	alreadi	already
dealing	deal	dealing
with	with	with
a	a	a
flood	flood	flood
of	of	of
Venezuelan	venezuelan	Venezuelan
migrants	migrant	migrant
looking	look	looking
for	for	for
food	food	food
and	and	and
work	work	work
.	.	.
The	the	The
economic	econom	economic
situation	situat	situation
in	in	in
Venezuela	venezuela	Venezuela
is	is	is
precarious	precari	precarious
,	,	,
and	and	and
it	it	it
affects	affect	affect
power	power	power
line	line	line
maintenance	mainten	maintenance
,	,	,
F	f	F
bio	bio	bio
Lopes	lope	Lopes
Alves	alv	Alves
,	,	,
electricity	electr	electricity
secretary	secretari	secretary
at	at	at
Brazil	brazil	Brazil
s	s	s
Energy	energi	Energy
Ministry	ministri	Ministry
,	,	,
told	told	told
Reuters	reuter	Reuters
.	.	.
It	it	It
is	is	is
extremely	extrem	extremely
worrying	worri	worrying
,	,	,
we	we	we
are	are	are
studying	studi	studying
how	how	how
to	to	to
assist	assist	assist
them	them	them
,	,	,
he	he	he
said	said	said
.	.	.
The	the	The
Energy	energi	Energy
and	and	and
the	the	the
Information	inform	Information
ministries	ministri	ministry
in	in	in
Venezuela	venezuela	Venezuela
did	did	did
not	not	not
respond	respond	respond
to	to	to
requests	request	request
for	for	for
comment	comment	comment
.	.	.
A	a	A
source	sourc	source
at	at	at
state	state	state
-controlled	-control	-controlled
Venezuelan	venezuelan	Venezuelan
power	power	power
firm	firm	firm
Corpoelec	corpoelec	Corpoelec
acknowledged	acknowledg	acknowledged
that	that	that
lack	lack	lack
of	of	of
maintenance	mainten	maintenance
is	is	is
hurting	hurt	hurting
Venezuela	venezuela	Venezuela
s	s	s
power	power	power
transmission	transmiss	transmission
system	system	system
.	.	.
The	the	The
dams	dam	dam
are	are	are
full	full	full
of	of	of
water	water	water
,	,	,
the	the	the
rainy	raini	rainy
season	season	season
has	has	ha
filled	fill	filled
