SAN	san	SAN
FRANCISCO	francisco	FRANCISCO
Reuters	reuter	Reuters
-	-	-
An	an	An
international	intern	international
group	group	group
of	of	of
cryptography	cryptographi	cryptography
experts	expert	expert
has	has	ha
forced	forc	forced
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
National	nation	National
Security	secur	Security
Agency	agenc	Agency
to	to	to
back	back	back
down	down	down
over	over	over
two	two	two
data	data	data
encryption	encrypt	encryption
techniques	techniqu	technique
it	it	it
wanted	want	wanted
set	set	set
as	as	a
global	global	global
industry	industri	industry
standards	standard	standard
,	,	,
reflecting	reflect	reflecting
deep	deep	deep
mistrust	mistrust	mistrust
among	among	among
close	close	close
U	u	U
.	.	.
S	s	S
.	.	.
allies	alli	ally
.	.	.

In	in	In
interviews	interview	interview
and	and	and
emails	email	email
seen	seen	seen
by	by	by
Reuters	reuter	Reuters
,	,	,
academic	academ	academic
and	and	and
industry	industri	industry
experts	expert	expert
from	from	from
countries	countri	country
including	includ	including
Germany	germani	Germany
,	,	,
Japan	japan	Japan
and	and	and
Israel	israel	Israel
worried	worri	worried
that	that	that
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
electronic	electron	electronic
spy	spi	spy
agency	agenc	agency
was	was	wa
pushing	push	pushing
the	the	the
new	new	new
techniques	techniqu	technique
not	not	not
because	becaus	because
they	they	they
were	were	were
good	good	good
encryption	encrypt	encryption
tools	tool	tool
,	,	,
but	but	but
because	becaus	because
it	it	it
knew	knew	knew
how	how	how
to	to	to
break	break	break
them	them	them
.	.	.

The	the	The
NSA	nsa	NSA
has	has	ha
now	now	now
agreed	agre	agreed
to	to	to
drop	drop	drop
all	all	all
but	but	but
the	the	the
most	most	most
powerful	power	powerful
versions	version	version
of	of	of
the	the	the
techniques	techniqu	technique
-	-	-
those	those	those
least	least	least
likely	like	likely
to	to	to
be	be	be
vulnerable	vulner	vulnerable
to	to	to
hacks	hack	hack
-	-	-
to	to	to
address	address	address
the	the	the
concerns	concern	concern
.	.	.

The	the	The
dispute	disput	dispute
,	,	,
which	which	which
has	has	ha
played	play	played
out	out	out
in	in	in
a	a	a
series	seri	series
of	of	of
closed	close	closed
-door	-door	-door
meetings	meet	meeting
around	around	around
the	the	the
world	world	world
over	over	over
the	the	the
past	past	past
three	three	three
years	year	year
and	and	and
has	has	ha
not	not	not
been	been	been
previously	previous	previously
reported	report	reported
,	,	,
turns	turn	turn
on	on	on
whether	whether	whether
the	the	the
International	intern	International
Organization	organ	Organization
of	of	of
Standards	standard	Standards
should	should	should
approve	approv	approve
two	two	two
NSA	nsa	NSA
data	data	data
encryption	encrypt	encryption
techniques	techniqu	technique
,	,	,
known	known	known
as	as	a
Simon	simon	Simon
and	and	and
Speck	speck	Speck
.	.	.

The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
delegation	deleg	delegation
to	to	to
the	the	the
ISO	iso	ISO
on	on	on
encryption	encrypt	encryption
issues	issu	issue
includes	includ	includes
a	a	a
handful	hand	handful
of	of	of
NSA	nsa	NSA
officials	offici	official
,	,	,
though	though	though
it	it	it
is	is	is
controlled	control	controlled
by	by	by
an	an	an
American	american	American
standards	standard	standard
body	bodi	body
,	,	,
the	the	the
American	american	American
National	nation	National
Standards	standard	Standards
Institute	institut	Institute
ANSI	ansi	ANSI
.	.	.

The	the	The
presence	presenc	presence
of	of	of
the	the	the
NSA	nsa	NSA
officials	offici	official
and	and	and
former	former	former
NSA	nsa	NSA
contractor	contractor	contractor
