BEIRUT	beirut	BEIRUT
Reuters	reuter	Reuters
-	-	-
U	u	U
.	.	.
S	s	S
.	.	.
-backed	-back	-backed
militias	militia	militia
in	in	in
Syria	syria	Syria
have	have	have
detained	detain	detained
senior	senior	senior
foreign	foreign	foreign
Islamic	islam	Islamic
State	state	State
leaders	leader	leader
in	in	in
months	month	month
of	of	of
fighting	fight	fighting
for	for	for
Raqqa	raqqa	Raqqa
,	,	,
but	but	but
it	it	it
is	is	is
not	not	not
yet	yet	yet
clear	clear	clear
if	if	if
they	they	they
will	will	will
be	be	be
repatriated	repatri	repatriated
after	after	after
facing	face	facing
trial	trial	trial
,	,	,
a	a	a
spokesman	spokesman	spokesman
said	said	said
on	on	on
Thursday	thursday	Thursday
.	.	.
We	we	We
have	have	have
foreign	foreign	foreign
emirs	emir	emir
.	.	.
.	.	.
.	.	.
from	from	from
all	all	all
around	around	around
the	the	the
world	world	world
,	,	,
Talal	talal	Talal
Silo	silo	Silo
of	of	of
the	the	the
SDF	sdf	SDF
told	told	told
Reuters	reuter	Reuters
.	.	.
They	they	They
were	were	were
captured	captur	captured
in	in	in
special	special	special
operations	oper	operation
,	,	,
and	and	and
some	some	some
of	of	of
them	them	them
turned	turn	turned
themselves	themselv	themselves
in	in	in
to	to	to
our	our	our
forces	forc	force
.	.	.
The	the	The
Syrian	syrian	Syrian
Democratic	democrat	Democratic
Forces	forc	Forces
SDF	sdf	SDF
,	,	,
an	an	an
alliance	allianc	alliance
of	of	of
Kurdish	kurdish	Kurdish
and	and	and
Arab	arab	Arab
militias	militia	militia
,	,	,
declared	declar	declared
victory	victori	victory
this	this	this
week	week	week
in	in	in
Raqqa	raqqa	Raqqa
,	,	,
raising	rais	raising
flags	flag	flag
over	over	over
the	the	the
last	last	last
Islamic	islam	Islamic
State	state	State
positions	posit	position
in	in	in
the	the	the
city	citi	city
.	.	.
The	the	The
fall	fall	fall
of	of	of
Raqqa	raqqa	Raqqa
marked	mark	marked
a	a	a
potent	potent	potent
symbol	symbol	symbol
of	of	of
the	the	the
jihadist	jihadist	jihadist
movement	movement	movement
s	s	s
collapsing	collaps	collapsing
fortunes	fortun	fortune
.	.	.
Islamic	islam	Islamic
State	state	State
militants	milit	militant
used	use	used
the	the	the
city	citi	city
as	as	a
a	a	a
planning	plan	planning
and	and	and
operations	oper	operation
center	center	center
for	for	for
its	it	it
warfare	warfar	warfare
in	in	in
the	the	the
Middle	middl	Middle
East	east	East
and	and	and
its	it	it
string	string	string
of	of	of
attacks	attack	attack
overseas	oversea	overseas
.	.	.
The	the	The
United	unit	United
States	state	States
has	has	ha
said	said	said
Raqqa	raqqa	Raqqa
served	serv	served
as	as	a
a	a	a
hub	hub	hub
for	for	for
attacks	attack	attack
abroad	abroad	abroad
.	.	.
In	in	In
November	novemb	November
2015	2015	2015
,	,	,
after	after	after
militants	milit	militant
killed	kill	killed
more	more	more
than	than	than
130	130	130
people	peopl	people
in	in	in
Paris	pari	Paris
,	,	,
France	franc	France
said	said	said
it	it	it
launched	launch	launched
air	air	air
strikes	strike	strike
on	on	on
Islamic	islam	Islamic
State	state	State
targets	target	target
inside	insid	inside
Raqqa	raqqa	Raqqa
.	.	.
Silo	silo	Silo
declined	declin	declined
to	to	to
say	say	say
how	how	how
many	mani	many
high	high	high
-ranking	-rank	-ranking
,	,	,
foreign	foreign	foreign
Islamic	islam	Islamic
State	state	State
prisoners	prison	prisoner
were	were	were
in	in	in
detention	detent	detention
,	,	,
but	but	but
said	said	said
SDF	sdf	SDF
intelligence	intellig	intelligence
was	was	wa
interrogating	interrog	interrogating
them	them	them
.	.	.
There	there	There
are	are	are
prisons	prison	prison
dedicated	dedic	dedicated
just	just	just
for	for	for
Daesh	daesh	Daesh
,	,	,
he	he	he
added	ad	added
,	,	,
using	use	using
the	the	the
Arabic	arab	Arabic
acronym	acronym	acronym
for	for	for
Islamic	islam	Islamic
State	state	State
.	.	.
We	we	We
don	don	don
t	t	t
put	put	put
them	them	them
with	with	with
the	the	the
regular	regular	regular
prisoners	prison	prisoner
.	.	.
They	they	They
are	are	are
being	be	being
investigated	investig	investigated
,	,	,
and	and	and
will	will	will
be	be	be
presented	present	presented
to	to	to
the	the	the
courts	court	court
.	.	.
We	we	We
have	have	have
an	an	an
independent	independ	independent
judicial	judici	judicial
system	system	system
that	that	that
will	will	will
try	tri	try
them	them	them
,	,	,
all	all	all
of	of	of
them	them	them
,	,	,
he	he	he
said	said	said
.	.	.
After	after	After
the	the	the
trials	trial	trial
,	,	,
it	it	it
remained	remain	remained
unclear	unclear	unclear
if	if	if
the	the	the
SDF	sdf	SDF
would	would	would
hand	hand	hand
over	over	over
the	the	the
fighters	fighter	fighter
to	to	to
their	their	their
countries	countri	country
or	or	or
whether	whether	whether
the	the	the
foreign	foreign	foreign
states	state	state
would	would	would
accept	accept	accept
to	to	to
take	take	take
them	them	them
back	back	back
,	,	,
he	he	he
said	said	said
.	.	.
It	it	It
depends	depend	depends
on	on	on
the	the	the
situation	situat	situation
between	between	between
us	us	u
and	and	and
the	the	the
foreign	foreign	foreign
states	state	state
,	,	,
Silo	silo	Silo
said	said	said
.	.	.
There	there	There
may	may	may
be	be	be
an	an	an
agreement	agreement	agreement
.	.	.
.	.	.
.	.	.
there	there	there
may	may	may
be	be	be
consent	consent	consent
to	to	to
handing	hand	handing
them	them	them
over	over	over
,	,	,
and	and	and
there	there	there
may	may	may
not	not	not
be	be	be
.	.	.
With	with	With
air	air	air
strikes	strike	strike
and	and	and
special	special	special
forces	forc	force
from	from	from
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
-led	-led	-led
coalition	coalit	coalition
,	,	,
the	the	the
Kurdish	kurdish	Kurdish
-led	-led	-led
SDF	sdf	SDF
had	had	had
been	been	been
fighting	fight	fighting
since	sinc	since
June	june	June
inside	insid	inside
Raqqa	raqqa	Raqqa
,	,	,
after	after	after
months	month	month
of	of	of
battles	battl	battle
to	to	to
encircle	encircl	encircle
the	the	the
city	citi	city
.	.	.
Raqqa	raqqa	Raqqa
was	was	wa
the	the	the
first	first	first
major	major	major
city	citi	city
Islamic	islam	Islamic
State	state	State
seized	seiz	seized
in	in	in
early	earli	early
2014	2014	2014
,	,	,
before	befor	before
its	it	it
series	seri	series
of	of	of
rapid	rapid	rapid
victories	victori	victory
in	in	in
Iraq	iraq	Iraq
and	and	and
Syria	syria	Syria
brought	brought	brought
millions	million	million
of	of	of
people	peopl	people
under	under	under
the	the	the
rule	rule	rule
of	of	of
its	it	it
self	self	self
-declared	-declar	-declared
caliphate	caliph	caliphate
,	,	,
which	which	which
passed	pass	passed
laws	law	law
and	and	and
issued	issu	issued
passports	passport	passport
and	and	and
money	money	money
.	.	.
