Reuters	reuter	Reuters
-	-	-
A	a	A
U	u	U
.	.	.
S	s	S
.	.	.
congressional	congression	congressional
proposal	propos	proposal
that	that	that
would	would	would
eliminate	elimin	eliminate
income	incom	income
tax	tax	tax
exemptions	exempt	exemption
for	for	for
certain	certain	certain
airlines	airlin	airline
could	could	could
affect	affect	affect
major	major	major
Gulf	gulf	Gulf
carriers	carrier	carrier
,	,	,
potentially	potenti	potentially
worsening	worsen	worsening
an	an	an
international	intern	international
spat	spat	spat
between	between	between
U	u	U
.	.	.
S	s	S
.	.	.
airlines	airlin	airline
and	and	and
their	their	their
Middle	middl	Middle
East	east	East
rivals	rival	rival
.	.	.
U	u	U
.	.	.
S	s	S
.	.	.
airlines	airlin	airline
have	have	have
been	been	been
petitioning	petit	petitioning
the	the	the
federal	feder	federal
government	govern	government
for	for	for
years	year	year
to	to	to
intervene	interven	intervene
in	in	in
what	what	what
they	they	they
see	see	see
as	as	a
unfair	unfair	unfair
competition	competit	competition
by	by	by
the	the	the
three	three	three
major	major	major
Gulf	gulf	Gulf
carriers	carrier	carrier
.	.	.
The	the	The
proposal	propos	proposal
,	,	,
tucked	tuck	tucked
deep	deep	deep
in	in	in
the	the	the
Senate	senat	Senate
tax	tax	tax
-cut	-cut	-cut
plan	plan	plan
,	,	,
calls	call	call
for	for	for
airlines	airlin	airline
headquartered	headquart	headquartered
in	in	in
foreign	foreign	foreign
countries	countri	country
to	to	to
pay	pay	pay
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
incorporate	incorpor	incorporate
tax	tax	tax
rate	rate	rate
if	if	if
1	1	1
the	the	the
carrier	carrier	carrier
s	s	s
home	home	home
country	countri	country
does	doe	doe
not	not	not
have	have	have
an	an	an
income	incom	income
tax	tax	tax
treaty	treati	treaty
with	with	with
the	the	the
United	unit	United
States	state	States
and	and	and
2	2	2
the	the	the
carrier	carrier	carrier
s	s	s
country	countri	country
of	of	of
origin	origin	origin
has	has	ha
fewer	fewer	fewer
than	than	than
two	two	two
arrivals	arriv	arrival
and	and	and
departures	departur	departure
,	,	,
per	per	per
week	week	week
,	,	,
operated	oper	operated
by	by	by
major	major	major
U	u	U
.	.	.
S	s	S
.	.	.
airlines	airlin	airline
.	.	.
Airways	airway	Airways
,	,	,
Emirates	emir	Emirates
EMIRA	emira	EMIRA
.	.	.
UL	ul	UL
and	and	and
Etihad	etihad	Etihad
Airways	airway	Airways
have	have	have
for	for	for
years	year	year
been	been	been
accused	accus	accused
by	by	by
U	u	U
.	.	.
S	s	S
.	.	.
competitors	competitor	competitor
of	of	of
being	be	being
illegally	illeg	illegally
subsidized	subsid	subsidized
by	by	by
their	their	their
governments	govern	government
.	.	.
The	the	The
Gulf	gulf	Gulf
carriers	carrier	carrier
deny	deni	deny
the	the	the
accusation	accus	accusation
.	.	.
They	they	They
could	could	could
not	not	not
immediately	immedi	immediately
be	be	be
reached	reach	reached
for	for	for
comment	comment	comment
on	on	on
Thursday	thursday	Thursday
.	.	.
If	if	If
the	the	the
proposal	propos	proposal
passes	pass	pass
,	,	,
it	it	it
could	could	could
leave	leav	leave
the	the	the
Gulf	gulf	Gulf
carriers	carrier	carrier
more	more	more
vulnerable	vulner	vulnerable
because	becaus	because
their	their	their
home	home	home
countries	countri	country
the	the	the
United	unit	United
Arab	arab	Arab
Emirates	emir	Emirates
and	and	and
Qatar	qatar	Qatar
do	do	do
not	not	not
have	have	have
income	incom	income
tax	tax	tax
treaties	treati	treaty
with	with	with
the	the	the
United	unit	United
States	state	States
,	,	,
according	accord	according
to	to	to
the	the	the
Internal	intern	Internal
Revenue	revenu	Revenue
Service	servic	Service
website	websit	website
.	.	.
A	a	A
number	number	number
of	of	of
nations	nation	nation
could	could	could
possibly	possibl	possibly
also	also	also
be	be	be
affected	affect	affected
at	at	at
a	a	a
time	time	time
when	when	when
perceived	perceiv	perceived
discrepancies	discrep	discrepancy
in	in	in
U	u	U
.	.	.
S	s	S
.	.	.
trade	trade	trade
agreements	agreement	agreement
are	are	are
facing	face	facing
a	a	a
critical	critic	critical
eye	eye	eye
from	from	from
U	u	U
.	.	.
S	s	S
.	.	.
corporations	corpor	corporation
and	and	and
the	the	the
federal	feder	federal
government	govern	government
.	.	.
The	the	The
language	languag	language
in	in	in
the	the	the
Senate	senat	Senate
proposal	propos	proposal
sets	set	set
the	the	the
stage	stage	stage
for	for	for
a	a	a
crackdown	crackdown	crackdown
in	in	in
tax	tax	tax
leniency	lenienc	leniency
for	for	for
these	these	these
and	and	and
other	other	other
airlines	airlin	airline
.	.	.
This	this	This
would	would	would
likely	like	likely
be	be	be
well	well	well
-received	-receiv	-received
by	by	by
American	american	American
carriers	carrier	carrier
,	,	,
which	which	which
have	have	have
for	for	for
years	year	year
petitioned	petit	petitioned
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
government	govern	government
to	to	to
intervene	interven	intervene
in	in	in
the	the	the
dispute	disput	dispute
.	.	.
Under	under	Under
U	u	U
.	.	.
S	s	S
.	.	.
tax	tax	tax
treaties	treati	treaty
,	,	,
entities	entiti	entity
of	of	of
foreign	foreign	foreign
countries	countri	country
are	are	are
either	either	either
exempt	exempt	exempt
or	or	or
pay	pay	pay
a	a	a
reduced	reduc	reduced
rate	rate	rate
on	on	on
their	their	their
income	incom	income
,	,	,
and	and	and
vice	vice	vice
versa	versa	versa
for	for	for
U	u	U
.	.	.
S	s	S
.	.	.
entities	entiti	entity
abroad	abroad	abroad
.	.	.
Reciprocity	reciproc	Reciprocity
agreements	agreement	agreement
,	,	,
however	howev	however
,	,	,
are	are	are
less	less	le
formal	formal	formal
deals	deal	deal
that	that	that
fall	fall	fall
short	short	short
of	of	of
an	an	an
official	offici	official
accord	accord	accord
,	,	,
according	accord	according
to	to	to
tax	tax	tax
attorney	attorney	attorney
Sam	sam	Sam
Brotman	brotman	Brotman
of	of	of
Brotman	brotman	Brotman
Law	law	Law
.	.	.
Reciprocity	reciproc	Reciprocity
agreements	agreement	agreement
are	are	are
usually	usual	usually
with	with	with
countries	countri	country
that	that	that
are	are	are
not	not	not
necessarily	necessarili	necessarily
100	100	100
percent	percent	percent
friendly	friend	friendly
with	with	with
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Brotman	brotman	Brotman
said	said	said
on	on	on
Thursday	thursday	Thursday
.	.	.
We	we	We
ll	ll	ll
call	call	call
it	it	it
a	a	a
handshake	handshak	handshake
deal	deal	deal
.	.	.
The	the	The
bill	bill	bill
s	s	s
wording	word	wording
stands	stand	stand
to	to	to
ramp	ramp	ramp
up	up	up
an	an	an
already	alreadi	already
tense	tens	tense
battle	battl	battle
between	between	between
U	u	U
.	.	.
S	s	S
.	.	.
airlines	airlin	airline
and	and	and
Gulf	gulf	Gulf
carriers	carrier	carrier
.	.	.
The	the	The
addition	addit	addition
was	was	wa
introduced	introduc	introduced
by	by	by
U	u	U
.	.	.
S	s	S
.	.	.
Senator	senat	Senator
Johnny	johnni	Johnny
Isakson	isakson	Isakson
of	of	of
Georgia	georgia	Georgia
.	.	.
Delta	delta	Delta
Air	air	Air
Lines	line	Lines
DAL	dal	DAL
.	.	.
N	n	N
,	,	,
one	one	one
of	of	of
the	the	the
most	most	most
vocal	vocal	vocal
critics	critic	critic
of	of	of
Gulf	gulf	Gulf
carrier	carrier	carrier
practices	practic	practice
,	,	,
is	is	is
headquartered	headquart	headquartered
in	in	in
Atlanta	atlanta	Atlanta
.	.	.
A	a	A
spokeswoman	spokeswoman	spokeswoman
for	for	for
Isakson	isakson	Isakson
did	did	did
not	not	not
mention	mention	mention
the	the	the
Gulf	gulf	Gulf
airlines	airlin	airline
.	.	.
This	this	This
provision	provis	provision
supports	support	support
American	american	American
jobs	job	job
by	by	by
providing	provid	providing
a	a	a
level	level	level
playing	play	playing
field	field	field
and	and	and
mutual	mutual	mutual
fairness	fair	fairness
in	in	in
international	intern	international
passenger	passeng	passenger
aviation	aviat	aviation
,	,	,
Isakson	isakson	Isakson
spokeswoman	spokeswoman	spokeswoman
Marie	mari	Marie
Gordon	gordon	Gordon
said	said	said
in	in	in
an	an	an
email	email	email
on	on	on
Thursday	thursday	Thursday
.	.	.
Foreign	foreign	Foreign
airlines	airlin	airline
should	should	should
not	not	not
receive	receiv	receive
preferential	preferenti	preferential
tax	tax	tax
treatment	treatment	treatment
if	if	if
their	their	their
countries	countri	country
choose	choos	choose
not	not	not
to	to	to
open	open	open
their	their	their
markets	market	market
to	to	to
U	u	U
.	.	.
S	s	S
.	.	.
companies	compani	company
.	.	.
Delta	delta	Delta
declined	declin	declined
to	to	to
comment	comment	comment
.	.	.
