DUBAI	dubai	DUBAI
Reuters	reuter	Reuters
-	-	-
Yemen	yemen	Yemen
s	s	s
Houthi	houthi	Houthi
group	group	group
has	has	ha
buried	buri	buried
the	the	the
body	bodi	body
of	of	of
former	former	former
Yemeni	yemeni	Yemeni
President	presid	President
Ali	ali	Ali
Abdullah	abdullah	Abdullah
Saleh	saleh	Saleh
in	in	in
Sanaa	sanaa	Sanaa
,	,	,
allowing	allow	allowing
only	onli	only
a	a	a
handful	hand	handful
of	of	of
relatives	relat	relative
to	to	to
attend	attend	attend
,	,	,
sources	sourc	source
from	from	from
his	his	his
General	general	General
People	peopl	People
s	s	s
Congress	congress	Congress
GPC	gpc	GPC
party	parti	party
said	said	said
on	on	on
Sunday	sunday	Sunday
.	.	.
Saleh	saleh	Saleh
,	,	,
75	75	75
,	,	,
was	was	wa
killed	kill	killed
by	by	by
the	the	the
Iran	iran	Iran
-aligned	-align	-aligned
Houthis	houthi	Houthis
on	on	on
Monday	monday	Monday
,	,	,
after	after	after
he	he	he
had	had	had
called	call	called
for	for	for
a	a	a
new	new	new
page	page	page
in	in	in
ties	tie	tie
with	with	with
a	a	a
Saudi	saudi	Saudi
-led	-led	-led
coalition	coalit	coalition
that	that	that
his	his	his
supporters	support	supporter
together	togeth	together
with	with	with
the	the	the
Houthis	houthi	Houthis
had	had	had
fought	fought	fought
for	for	for
nearly	near	nearly
three	three	three
years	year	year
.	.	.
A	a	A
GPC	gpc	GPC
source	sourc	source
,	,	,
who	who	who
has	has	ha
asked	ask	asked
not	not	not
to	to	to
be	be	be
identified	identifi	identified
,	,	,
said	said	said
the	the	the
Houthis	houthi	Houthis
allowed	allow	allowed
less	less	le
than	than	than
10	10	10
people	peopl	people
from	from	from
Saleh	saleh	Saleh
s	s	s
relatives	relat	relative
to	to	to
attend	attend	attend
the	the	the
night	night	night
-time	-time	-time
burial	burial	burial
in	in	in
the	the	the
capital	capit	capital
Sanaa	sanaa	Sanaa
,	,	,
but	but	but
gave	gave	gave
no	no	no
details	detail	detail
on	on	on
the	the	the
exact	exact	exact
location	locat	location
.	.	.
GPC	gpc	GPC
Secretary	secretari	Secretary
-General	-gener	-General
Aref	aref	Aref
al	al	al
-Zouka	-zouka	-Zouka
,	,	,
who	who	who
was	was	wa
killed	kill	killed
with	with	with
Saleh	saleh	Saleh
,	,	,
was	was	wa
buried	buri	buried
on	on	on
Saturday	saturday	Saturday
in	in	in
his	his	his
native	nativ	native
al	al	al
-Saeed	-saeed	-Saeed
district	district	district
of	of	of
Shabwa	shabwa	Shabwa
province	provinc	province
in	in	in
southern	southern	southern
Yemen	yemen	Yemen
after	after	after
the	the	the
Houthis	houthi	Houthis
handed	hand	handed
over	over	over
his	his	his
body	bodi	body
to	to	to
tribal	tribal	tribal
leaders	leader	leader
,	,	,
media	media	medium
and	and	and
GPC	gpc	GPC
officials	offici	official
said	said	said
.	.	.
Relatives	relat	Relatives
said	said	said
on	on	on
Thursday	thursday	Thursday
that	that	that
Saleh	saleh	Saleh
s	s	s
family	famili	family
had	had	had
refused	refus	refused
conditions	condit	condition
demanded	demand	demanded
by	by	by
the	the	the
Houthis	houthi	Houthis
for	for	for
handing	hand	handing
over	over	over
the	the	the
body	bodi	body
.	.	.
Some	some	Some
said	said	said
they	they	they
wanted	want	wanted
to	to	to
bury	buri	bury
the	the	the
body	bodi	body
in	in	in
the	the	the
courtyard	courtyard	courtyard
of	of	of
a	a	a
mosque	mosqu	mosque
he	he	he
had	had	had
built	built	built
near	near	near
the	the	the
presidential	presidenti	presidential
compound	compound	compound
in	in	in
southern	southern	southern
Sanaa	sanaa	Sanaa
.	.	.
Saleh	saleh	Saleh
ruled	rule	ruled
Yemen	yemen	Yemen
for	for	for
33	33	33
years	year	year
before	befor	before
being	be	being
forced	forc	forced
to	to	to
step	step	step
down	down	down
in	in	in
2012	2012	2012
in	in	in
a	a	a
Gulf	gulf	Gulf
-brokered	-broker	-brokered
transition	transit	transition
plan	plan	plan
following	follow	following
months	month	month
of	of	of
Arab	arab	Arab
Spring	spring	Spring
protests	protest	protest
demanding	demand	demanding
democracy	democraci	democracy
.	.	.
He	he	He
remained	remain	remained
in	in	in
politics	polit	politics
as	as	a
the	the	the
head	head	head
of	of	of
the	the	the
GPC	gpc	GPC
,	,	,
Yemen	yemen	Yemen
s	s	s
largest	largest	largest
political	polit	political
party	parti	party
,	,	,
and	and	and
in	in	in
2015	2015	2015
he	he	he
joined	join	joined
forces	forc	force
with	with	with
the	the	the
Iran	iran	Iran
-aligned	-align	-aligned
Houthis	houthi	Houthis
after	after	after
they	they	they
captured	captur	captured
the	the	the
capital	capit	capital
Sanaa	sanaa	Sanaa
in	in	in
a	a	a
move	move	move
that	that	that
precipitated	precipit	precipitated
Saudi	saudi	Saudi
-led	-led	-led
military	militari	military
intervention	intervent	intervention
on	on	on
the	the	the
side	side	side
of	of	of
President	presid	President
Abd	abd	Abd
-Rabbu	-rabbu	-Rabbu
Mansour	mansour	Mansour
Hadi	hadi	Hadi
.	.	.
