ADEN	aden	ADEN
Reuters	reuter	Reuters
-	-	-
The	the	The
Saudi	saudi	Saudi
-led	-led	-led
coalition	coalit	coalition
fighting	fight	fighting
in	in	in
Yemen	yemen	Yemen
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
it	it	it
would	would	would
keep	keep	keep
the	the	the
Houthi	houthi	Houthi
-controlled	-control	-controlled
Hodeidah	hodeidah	Hodeidah
port	port	port
,	,	,
vital	vital	vital
for	for	for
aid	aid	aid
,	,	,
open	open	open
for	for	for
a	a	a
month	month	month
despite	despit	despite
a	a	a
fresh	fresh	fresh
missile	missil	missile
attack	attack	attack
against	against	against
Riyadh	riyadh	Riyadh
,	,	,
but	but	but
it	it	it
kept	kept	kept
up	up	up
air	air	air
raids	raid	raid
that	that	that
killed	kill	killed
at	at	at
least	least	least
nine	nine	nine
people	peopl	people
.	.	.

The	the	The
Western	western	Western
-backed	-back	-backed
coalition	coalit	coalition
,	,	,
which	which	which
controls	control	control
Yemen	yemen	Yemen
s	s	s
airspace	airspac	airspace
and	and	and
port	port	port
access	access	access
,	,	,
said	said	said
last	last	last
month	month	month
it	it	it
would	would	would
allow	allow	allow
humanitarian	humanitarian	humanitarian
relief	relief	relief
through	through	through
Hodeidah	hodeidah	Hodeidah
following	follow	following
a	a	a
nearly	near	nearly
three	three	three
-week	-week	-week
blockade	blockad	blockade
imposed	impos	imposed
because	becaus	because
of	of	of
a	a	a
missile	missil	missile
attack	attack	attack
toward	toward	toward
the	the	the
Saudi	saudi	Saudi
capital	capit	capital
s	s	s
international	intern	international
airport	airport	airport
.	.	.

The	the	The
Saudis	saudi	Saudis
say	say	say
the	the	the
Red	red	Red
Sea	sea	Sea
port	port	port
,	,	,
which	which	which
is	is	is
Yemen	yemen	Yemen
s	s	s
main	main	main
entry	entri	entry
point	point	point
for	for	for
food	food	food
and	and	and
humanitarian	humanitarian	humanitarian
supplies	suppli	supply
,	,	,
is	is	is
also	also	also
a	a	a
hub	hub	hub
used	use	used
by	by	by
the	the	the
Houthis	houthi	Houthis
to	to	to
bring	bring	bring
in	in	in
weapons	weapon	weapon
,	,	,
which	which	which
it	it	it
accuses	accus	accuses
Iran	iran	Iran
of	of	of
supplying	suppli	supplying
.	.	.

Tehran	tehran	Tehran
denies	deni	denies
the	the	the
charges	charg	charge
.	.	.

On	on	On
Wednesday	wednesday	Wednesday
,	,	,
the	the	the
coalition	coalit	coalition
confirmed	confirm	confirmed
it	it	it
would	would	would
keep	keep	keep
access	access	access
open	open	open
to	to	to
the	the	the
port	port	port
despite	despit	despite
another	anoth	another
missile	missil	missile
attack	attack	attack
at	at	at
Riyadh	riyadh	Riyadh
on	on	on
Tuesday	tuesday	Tuesday
by	by	by
the	the	the
Houthis	houthi	Houthis
which	which	which
Saudi	saudi	Saudi
forces	forc	force
also	also	also
intercepted	intercept	intercepted
.	.	.

Keen	keen	Keen
to	to	to
maintain	maintain	maintain
humanitarian	humanitarian	humanitarian
aid	aid	aid
to	to	to
the	the	the
brotherly	brother	brotherly
Yemeni	yemeni	Yemeni
people	peopl	people
and	and	and
as	as	a
a	a	a
result	result	result
of	of	of
intensified	intensifi	intensified
inspection	inspect	inspection
measures	measur	measure
,	,	,
the	the	the
coalition	coalit	coalition
command	command	command
announces	announc	announces
that	that	that
Hodeidah	hodeidah	Hodeidah
port	port	port
will	will	will
remain	remain	remain
open	open	open
for	for	for
humanitarian	humanitarian	humanitarian
and	and	and
relief	relief	relief
supplies	suppli	supply
,	,	,
the	the	the
coalition	coalit	coalition
said	said	said
in	in	in
a	a	a
statement	statement	statement
carried	carri	carried
by	by	by
Saudi	saudi	Saudi
state	state	state
news	news	news
agency	agenc	agency
SPA	spa	SPA
on	on	on
Wednesday	wednesday	Wednesday
.	.	.

The	the	The
Saudi	saudi	Saudi
ambassador	ambassador	ambassador
to	to	to
Sanaa	sanaa	Sanaa
said	said	said
the	the	the
coalition	coalit	coalition
would	would	would
also	also	also
allow	allow	allow
the	the	the
provision	provis	provision
of	of	of
four	four	four
cranes	crane	crane
to	to	to
the	the	the
port	port	port
to	to	to
boost	boost	boost
aid	aid	aid
deliveries	deliveri	delivery
to	to	to
the	the	the
war	war	war
-damaged	-damag	-damaged
country	countri	country
.	.	.

The	the	The
ambassador	ambassador	ambassador
,	,	,
Mohammed	moham	Mohammed
al	al	al
-Jaber	-jaber	-Jaber
,	,	,
who	who	who
was	was	wa
speaking	speak	speaking
in	in	in
a	a	a
televised	televis	televised
news	news	news
conference	confer	conference
,	,	,
did	did	did
not	not	not
give	give	give
details	detail	detail
on	on	on
how	how	how
the	the	the
cranes	crane	crane
would	would	would
be	be	be
delivered	deliv	delivered
.	.	.

Earlier	earlier	Earlier
this	this	this
year	year	year
,	,	,
the	the	the
United	unit	United
Nations	nation	Nations
said	said	said
the	the	the
coalition	coalit	coalition
turned	turn	turned
back	back	back
four	four	four
cranes	crane	crane
the	the	the
United	unit	United
States	state	States
donated	donat	donated
to	to	to
the	the	the
World	world	World
Food	food	Food
Programme	programm	Programme
to	to	to
boost	boost	boost
aid	aid	aid
operations	oper	operation
at	at	at
Hodeidah	hodeidah	Hodeidah
.	.	.

The	the	The
cranes	crane	crane
would	would	would
have	have	have
replaced	replac	replaced
parts	part	part
of	of	of
the	the	the
port	port	port
s	s	s
infrastructure	infrastructur	infrastructure
destroyed	destroy	destroyed
by	by	by
coalition	coalit	coalition
air	air	air
strikes	strike	strike
in	in	in
August	august	August
2015	2015	2015
,	,	,
damage	damag	damage
that	that	that
forced	forc	forced
ships	ship	ship
to	to	to
line	line	line
up	up	up
offshore	offshor	offshore
because	becaus	because
they	they	they
could	could	could
not	not	not
be	be	be
unloaded	unload	unloaded
.	.	.

The	the	The
coalition	coalit	coalition
said	said	said
ships	ship	ship
bringing	bring	bringing
in	in	in
fuel	fuel	fuel
and	and	and
food	food	food
would	would	would
also	also	also
be	be	be
allowed	allow	allowed
to	to	to
enter	enter	enter
for	for	for
another	anoth	another
30	30	30
days	day	day
while	while	while
proposals	propos	proposal
made	made	made
by	by	by
the	the	the
United	unit	United
Nations	nation	Nations
envoy	envoy	envoy
to	to	to
Yemen	yemen	Yemen
were	were	were
implemented	implement	implemented
,	,	,
it	it	it
added	ad	added
.	.	.

The	the	The
agency	agenc	agency
did	did	did
not	not	not
elaborate	elabor	elaborate
on	on	on
the	the	the
proposals	propos	proposal
.	.	.

But	but	But
the	the	the
coalition	coalit	coalition
has	has	ha
been	been	been
demanding	demand	demanding
that	that	that
a	a	a
U	u	U
.	.	.
N	n	N
.	.	.
inspection	inspect	inspection
regime	regim	regime
agreed	agre	agreed
in	in	in
2015	2015	2015
be	be	be
further	further	further
tightened	tighten	tightened
to	to	to
prevent	prevent	prevent
weapons	weapon	weapon
from	from	from
reaching	reach	reaching
the	the	the
Houthis	houthi	Houthis
.	.	.

SALMAN	salman	SALMAN
-TRUMP	-trump	-TRUMP
CALL	call	CALL
Saudi	saudi	Saudi
state	state	state
news	news	news
agency	agenc	agency
SPA	spa	SPA
said	said	said
King	king	King
Salman	salman	Salman
discussed	discuss	discussed
in	in	in
a	a	a
telephone	telephon	telephone
call	call	call
with	with	with
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
ways	way	way
to	to	to
hold	hold	hold
the	the	the
Iranian	iranian	Iranian
regime	regim	regime
accountable	account	accountable
for	for	for
its	it	it
hostile	hostil	hostile
acts	act	act
and	and	and
its	it	it
involvement	involv	involvement
in	in	in
supplying	suppli	supplying
the	the	the
Houthi	houthi	Houthi
militia	militia	militia
with	with	with
missiles	missil	missile
to	to	to
threaten	threaten	threaten
the	the	the
security	secur	security
of	of	of
the	the	the
kingdom	kingdom	kingdom
and	and	and
the	the	the
region	region	region
.	.	.

The	the	The
White	white	White
House	hous	House
later	later	later
confirmed	confirm	confirmed
the	the	the
call	call	call
and	and	and
said	said	said
the	the	the
two	two	two
leaders	leader	leader
agreed	agre	agreed
on	on	on
the	the	the
importance	import	importance
of	of	of
reinvigorating	reinvigor	reinvigorating
a	a	a
political	polit	political
process	process	process
to	to	to
end	end	end
the	the	the
war	war	war
in	in	in
Yemen	yemen	Yemen
and	and	and
that	that	that
the	the	the
king	king	king
briefed	brief	briefed
Trump	trump	Trump
on	on	on
a	a	a
Saudi	saudi	Saudi
plan	plan	plan
to	to	to
alleviate	allevi	alleviate
the	the	the
humanitarian	humanitarian	humanitarian
crisis	crisi	crisis
caused	caus	caused
by	by	by
the	the	the
conflict	conflict	conflict
.	.	.

Tuesday	tuesday	Tuesday
s	s	s
missile	missil	missile
attack	attack	attack
took	took	took
place	place	place
as	as	a
the	the	the
Houthis	houthi	Houthis
marked	mark	marked
1	1	1
,	,	,
000	000	000
days	day	day
since	sinc	since
the	the	the
coalition	coalit	coalition
intervened	interven	intervened
in	in	in
the	the	the
Yemen	yemen	Yemen
war	war	war
in	in	in
March	march	March
2015	2015	2015
to	to	to
try	tri	try
to	to	to
restore	restor	restore
President	presid	President
Abd	abd	Abd
-Rabbu	-rabbu	-Rabbu
Mansour	mansour	Mansour
Hadi	hadi	Hadi
after	after	after
a	a	a
Houthi	houthi	Houthi
advance	advanc	advance
on	on	on
his	his	his
base	base	base
in	in	in
Aden	aden	Aden
forced	forc	forced
him	him	him
to	to	to
flee	flee	flee
.	.	.

Saudi	saudi	Saudi
Arabia	arabia	Arabia
said	said	said
that	that	that
since	sinc	since
the	the	the
war	war	war
began	began	began
the	the	the
Houthis	houthi	Houthis
had	had	had
fired	fire	fired
83	83	83
ballistic	ballist	ballistic
missiles	missil	missile
toward	toward	toward
the	the	the
kingdom	kingdom	kingdom
.	.	.

More	more	More
than	than	than
10	10	10
,	,	,
000	000	000
people	peopl	people
have	have	have
been	been	been
killed	kill	killed
and	and	and
a	a	a
humanitarian	humanitarian	humanitarian
crisis	crisi	crisis
unleashed	unleash	unleashed
in	in	in
a	a	a
conflict	conflict	conflict
which	which	which
has	has	ha
intensified	intensifi	intensified
since	sinc	since
former	former	former
President	presid	President
Ali	ali	Ali
Abdullah	abdullah	Abdullah
Saleh	saleh	Saleh
was	was	wa
killed	kill	killed
on	on	on
Dec	dec	Dec
.	.	.

4	4	4
.	.	.

Coalition	coalit	Coalition
forces	forc	force
,	,	,
which	which	which
are	are	are
supported	support	supported
by	by	by
the	the	the
United	unit	United
States	state	States
and	and	and
Britain	britain	Britain
,	,	,
meanwhile	meanwhil	meanwhile
launched	launch	launched
fresh	fresh	fresh
air	air	air
strikes	strike	strike
overnight	overnight	overnight
.	.	.

Residents	resid	Residents
said	said	said
at	at	at
least	least	least
nine	nine	nine
members	member	member
of	of	of
the	the	the
same	same	same
family	famili	family
,	,	,
including	includ	including
at	at	at
least	least	least
five	five	five
children	children	child
,	,	,
were	were	were
killed	kill	killed
in	in	in
one	one	one
air	air	air
strike	strike	strike
which	which	which
hit	hit	hit
their	their	their
home	home	home
in	in	in
Wadi	wadi	Wadi
Khair	khair	Khair
in	in	in
southern	southern	southern
Yemen	yemen	Yemen
s	s	s
Shabwa	shabwa	Shabwa
province	provinc	province
.	.	.

Coalition	coalit	Coalition
aircraft	aircraft	aircraft
have	have	have
been	been	been
providing	provid	providing
air	air	air
support	support	support
for	for	for
southern	southern	southern
fighters	fighter	fighter
and	and	and
pro	pro	pro
-government	-govern	-government
troops	troop	troop
as	as	a
part	part	part
of	of	of
a	a	a
push	push	push
to	to	to
clear	clear	clear
the	the	the
Houthis	houthi	Houthis
from	from	from
Shabwa	shabwa	Shabwa
and	and	and
the	the	the
family	famili	family
were	were	were
killed	kill	killed
in	in	in
an	an	an
apparently	appar	apparently
mistaken	mistaken	mistaken
attack	attack	attack
.	.	.

Residents	resid	Residents
also	also	also
reported	report	reported
that	that	that
coalition	coalit	coalition
aircraft	aircraft	aircraft
bombed	bomb	bombed
a	a	a
new	new	new
parliament	parliament	parliament
chamber	chamber	chamber
,	,	,
part	part	part
of	of	of
a	a	a
government	govern	government
compound	compound	compound
being	be	being
built	built	built
in	in	in
Sanaa	sanaa	Sanaa
,	,	,
causing	caus	causing
damage	damag	damage
but	but	but
no	no	no
casualties	casualti	casualty
.	.	.

The	the	The
coalition	coalit	coalition
had	had	had
no	no	no
immediate	immedi	immediate
comment	comment	comment
on	on	on
the	the	the
report	report	report
but	but	but
says	say	say
it	it	it
does	doe	doe
not	not	not
target	target	target
civilians	civilian	civilian
.	.	.

Similar	similar	Similar
air	air	air
strikes	strike	strike
in	in	in
which	which	which
civilian	civilian	civilian
homes	home	home
,	,	,
markets	market	market
and	and	and
hospitals	hospit	hospital
were	were	were
hit	hit	hit
are	are	are
recurrent	recurr	recurrent
in	in	in
Yemen	yemen	Yemen
.	.	.

On	on	On
Monday	monday	Monday
,	,	,
eight	eight	eight
women	women	woman
and	and	and
two	two	two
children	children	child
from	from	from
the	the	the
same	same	same
family	famili	family
died	die	died
when	when	when
war	war	war
planes	plane	plane
struck	struck	struck
a	a	a
vehicle	vehicl	vehicle
returning	return	returning
from	from	from
a	a	a
wedding	wed	wedding
party	parti	party
in	in	in
Marib	marib	Marib
,	,	,
east	east	east
of	of	of
Sanaa	sanaa	Sanaa
.	.	.

