STOCKHOLM	stockholm	STOCKHOLM
BEIJING	beij	BEIJING
Reuters	reuter	Reuters
-	-	-
A	a	A
Swedish	swedish	Swedish
bookseller	booksel	bookseller
detained	detain	detained
in	in	in
China	china	China
after	after	after
publishing	publish	publishing
books	book	book
on	on	on
the	the	the
personal	person	personal
lives	live	life
of	of	of
President	presid	President
Xi	xi	Xi
Jinping	jinp	Jinping
and	and	and
other	other	other
Communist	communist	Communist
Party	parti	Party
leaders	leader	leader
has	has	ha
been	been	been
released	releas	released
,	,	,
Chinese	chines	Chinese
authorities	author	authority
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
The	the	The
whereabouts	whereabout	whereabouts
of	of	of
Gui	gui	Gui
Minhai	minhai	Minhai
,	,	,
a	a	a
Chinese	chines	Chinese
-born	-born	-born
Swede	swede	Swede
,	,	,
could	could	could
not	not	not
be	be	be
confirmed	confirm	confirmed
,	,	,
however	howev	however
,	,	,
and	and	and
he	he	he
has	has	ha
yet	yet	yet
to	to	to
contact	contact	contact
his	his	his
family	famili	family
.	.	.
Gui	gui	Gui
was	was	wa
abducted	abduct	abducted
in	in	in
Thailand	thailand	Thailand
while	while	while
on	on	on
holiday	holiday	holiday
in	in	in
2015	2015	2015
,	,	,
one	one	one
of	of	of
five	five	five
Hong	hong	Hong
Kong	kong	Kong
booksellers	booksel	bookseller
who	who	who
went	went	went
missing	miss	missing
that	that	that
year	year	year
and	and	and
later	later	later
appeared	appear	appeared
in	in	in
mainland	mainland	mainland
Chinese	chines	Chinese
custody	custodi	custody
.	.	.
The	the	The
four	four	four
others	other	others
have	have	have
returned	return	returned
to	to	to
Hong	hong	Hong
Kong	kong	Kong
.	.	.
Chinese	chines	Chinese
authorities	author	authority
say	say	say
Gui	gui	Gui
was	was	wa
involved	involv	involved
in	in	in
a	a	a
traffic	traffic	traffic
accident	accid	accident
in	in	in
2003	2003	2003
,	,	,
although	although	although
that	that	that
is	is	is
questioned	question	questioned
by	by	by
his	his	his
family	famili	family
.	.	.
According	accord	According
to	to	to
what	what	what
we	we	we
understand	understand	understand
,	,	,
