BUCHAREST	bucharest	BUCHAREST
Reuters	reuter	Reuters
-	-	-
Romania	romania	Romania
s	s	s
justice	justic	justice
minister	minist	minister
proposed	propos	proposed
a	a	a
significant	signific	significant
overhaul	overhaul	overhaul
of	of	of
the	the	the
judicial	judici	judicial
system	system	system
on	on	on
Wednesday	wednesday	Wednesday
which	which	which
the	the	the
president	presid	president
called	call	called
an	an	an
attack	attack	attack
on	on	on
the	the	the
rule	rule	rule
of	of	of
law	law	law
that	that	that
would	would	would
set	set	set
the	the	the
country	countri	country
back	back	back
a	a	a
decade	decad	decade
.	.	.
Romania	romania	Romania
is	is	is
seen	seen	seen
as	as	a
one	one	one
of	of	of
the	the	the
EU	eu	EU
s	s	s
most	most	most
corrupt	corrupt	corrupt
states	state	state
and	and	and
Brussels	brussel	Brussels
keeps	keep	keep
its	it	it
justice	justic	justice
system	system	system
under	under	under
special	special	special
monitoring	monitor	monitoring
.	.	.
Attempts	attempt	Attempts
by	by	by
the	the	the
ruling	rule	ruling
coalition	coalit	coalition
of	of	of
Social	social	Social
Democrats	democrat	Democrats
and	and	and
junior	junior	junior
partner	partner	partner
ALDE	ald	ALDE
to	to	to
weaken	weaken	weaken
a	a	a
crackdown	crackdown	crackdown
on	on	on
high	high	high
-level	-level	-level
corruption	corrupt	corruption
triggered	trigger	triggered
the	the	the
country	countri	country
s	s	s
largest	largest	largest
street	street	street
protests	protest	protest
in	in	in
decades	decad	decade
at	at	at
the	the	the
start	start	start
of	of	of
the	the	the
year	year	year
.	.	.
Justice	justic	Justice
Minister	minist	Minister
Tudorel	tudorel	Tudorel
Toader	toader	Toader
proposed	propos	proposed
a	a	a
slew	slew	slew
of	of	of
changes	chang	change
on	on	on
Wednesday	wednesday	Wednesday
ranging	rang	ranging
from	from	from
the	the	the
way	way	way
chief	chief	chief
prosecutors	prosecutor	prosecutor
are	are	are
appointed	appoint	appointed
to	to	to
setting	set	setting
up	up	up
a	a	a
special	special	special
prosecuting	prosecut	prosecuting
unit	unit	unit
for	for	for
crimes	crime	crime
committed	commit	committed
by	by	by
magistrates	magistr	magistrate
.	.	.
The	the	The
proposals	propos	proposal
.	.	.
.	.	.
.	.	.
constitute	constitut	constitute
an	an	an
attack	attack	attack
against	against	against
the	the	the
rule	rule	rule
of	of	of
law	law	law
,	,	,
the	the	the
independence	independ	independence
and	and	and
proper	proper	proper
functioning	function	functioning
of	of	of
the	the	the
judiciary	judiciari	judiciary
as	as	a
well	well	well
as	as	a
the	the	the
anti	anti	anti
-corruption	-corrupt	-corruption
fight	fight	fight
,	,	,
centrist	centrist	centrist
President	presid	President
Klaus	klaus	Klaus
Iohannis	iohanni	Iohannis
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
If	if	If
this	this	this
mix	mix	mix
of	of	of
measures	measur	measure
is	is	is
adopted	adopt	adopted
by	by	by
the	the	the
government	govern	government
and	and	and
approved	approv	approved
by	by	by
parliament	parliament	parliament
,	,	,
Romania	romania	Romania
s	s	s
efforts	effort	effort
for	for	for
more	more	more
than	than	than
10	10	10
years	year	year
will	will	will
be	be	be
wiped	wipe	wiped
out	out	out
and	and	and
the	the	the
justice	justic	justice
system	system	system
will	will	will
go	go	go
back	back	back
to	to	to
a	a	a
time	time	time
when	when	when
it	it	it
was	was	wa
subordinated	subordin	subordinated
to	to	to
politics	polit	politics
.	.	.
Under	under	Under
Romanian	romanian	Romanian
law	law	law
,	,	,
the	the	the
president	presid	president
appoints	appoint	appoints
chief	chief	chief
prosecutors	prosecutor	prosecutor
who	who	who
have	have	have
been	been	been
proposed	propos	proposed
by	by	by
the	the	the
justice	justic	justice
minister	minist	minister
and	and	and
received	receiv	received
non	non	non
-binding	-bind	-binding
approval	approv	approval
from	from	from
the	the	the
Superior	superior	Superior
Magistrates	magistr	Magistrates
Council	council	Council
CSM	csm	CSM
,	,	,
the	the	the
top	top	top
watchdog	watchdog	watchdog
that	that	that
safeguards	safeguard	safeguard
judicial	judici	judicial
independence	independ	independence
.	.	.
Toader	toader	Toader
also	also	also
proposed	propos	proposed
that	that	that
the	the	the
justice	justic	justice
minister	minist	minister
,	,	,
who	who	who
is	is	is
politically	polit	politically
appointed	appoint	appointed
,	,	,
take	take	take
control	control	control
of	of	of
the	the	the
judicial	judici	judicial
inspection	inspect	inspection
unit	unit	unit
from	from	from
the	the	the
CSM	csm	CSM
.	.	.
Analysts	analyst	Analysts
and	and	and
magistrates	magistr	magistrate
have	have	have
said	said	said
this	this	this
would	would	would
lead	lead	lead
to	to	to
political	polit	political
interference	interfer	interference
in	in	in
the	the	the
justice	justic	justice
system	system	system
.	.	.
The	the	The
Prosecutor	prosecutor	Prosecutor
General	general	General
s	s	s
office	offic	office
said	said	said
these	these	these
proposals	propos	proposal
were	were	were
an	an	an
alarm	alarm	alarm
signal	signal	signal
,	,	,
adding	ad	adding
that	that	that
prosecutors	prosecutor	prosecutor
had	had	had
not	not	not
been	been	been
consulted	consult	consulted
.	.	.
Toader	toader	Toader
declined	declin	declined
to	to	to
answer	answer	answer
questions	question	question
but	but	but
told	told	told
reporters	report	reporter
the	the	the
proposals	propos	proposal
were	were	were
within	within	within
normal	normal	normal
and	and	and
necessary	necessari	necessary
parameters	paramet	parameter
for	for	for
the	the	the
rule	rule	rule
of	of	of
law	law	law
.	.	.
The	the	The
proposals	propos	proposal
will	will	will
be	be	be
send	send	send
to	to	to
the	the	the
CSM	csm	CSM
for	for	for
an	an	an
opinion	opinion	opinion
before	befor	before
being	be	being
submitted	submit	submitted
to	to	to
the	the	the
government	govern	government
and	and	and
ultimately	ultim	ultimately
parliament	parliament	parliament
for	for	for
approval	approv	approval
.	.	.
