BUDAPEST	budapest	BUDAPEST
Reuters	reuter	Reuters
-	-	-
Hungary	hungari	Hungary
will	will	will
not	not	not
change	chang	change
its	it	it
anti	anti	anti
-immigration	-immigr	-immigration
stance	stanc	stance
after	after	after
the	the	the
European	european	European
Union	union	Union
s	s	s
top	top	top
court	court	court
dismissed	dismiss	dismissed
a	a	a
challenge	challeng	challenge
against	against	against
migrant	migrant	migrant
quotas	quota	quota
,	,	,
Prime	prime	Prime
Minister	minist	Minister
Viktor	viktor	Viktor
Orban	orban	Orban
said	said	said
on	on	on
Friday	friday	Friday
.	.	.

The	the	The
EU	eu	EU
s	s	s
highest	highest	highest
court	court	court
ruled	rule	ruled
on	on	on
Wednesday	wednesday	Wednesday
that	that	that
member	member	member
states	state	state
must	must	must
take	take	take
in	in	in
a	a	a
share	share	share
of	of	of
refugees	refuge	refugee
who	who	who
reach	reach	reach
Europe	europ	Europe
,	,	,
dismissing	dismiss	dismissing
the	the	the
challenge	challeng	challenge
by	by	by
Slovakia	slovakia	Slovakia
and	and	and
Hungary	hungari	Hungary
and	and	and
re	re	re
-igniting	-ignit	-igniting
an	an	an
east	east	east
-west	-west	-west
row	row	row
that	that	that
has	has	ha
shaken	shaken	shaken
EU	eu	EU
cohesion	cohes	cohesion
.	.	.

We	we	We
must	must	must
take	take	take
note	note	note
of	of	of
the	the	the
ruling	rule	ruling
as	as	a
we	we	we
cannot	cannot	cannot
erode	erod	erode
the	the	the
foundation	foundat	foundation
of	of	of
the	the	the
EU	eu	EU
-	-	-
and	and	and
respect	respect	respect
of	of	of
law	law	law
is	is	is
the	the	the
foundation	foundat	foundation
of	of	of
the	the	the
EU	eu	EU
-	-	-
but	but	but
at	at	at
the	the	the
same	same	same
time	time	time
this	this	this
court	court	court
ruling	rule	ruling
is	is	is
no	no	no
reason	reason	reason
for	for	for
us	us	u
to	to	to
change	chang	change
our	our	our
policy	polici	policy
,	,	,
which	which	which
rejects	reject	reject
migrants	migrant	migrant
,	,	,
Orban	orban	Orban
told	told	told
state	state	state
radio	radio	radio
.	.	.

The	the	The
Mediterranean	mediterranean	Mediterranean
migrant	migrant	migrant
crisis	crisi	crisis
of	of	of
2015	2015	2015
flooded	flood	flooded
the	the	the
Balkans	balkan	Balkans
,	,	,
Italy	itali	Italy
and	and	and
Greece	greec	Greece
with	with	with
migrants	migrant	migrant
,	,	,
which	which	which
prompted	prompt	prompted
the	the	the
EU	eu	EU
to	to	to
impose	impos	impose
mandatory	mandatori	mandatory
quotas	quota	quota
on	on	on
its	it	it
member	member	member
countries	countri	country
for	for	for
relocating	reloc	relocating
asylum	asylum	asylum
seekers	seeker	seeker
.	.	.

The	the	The
flow	flow	flow
of	of	of
migrants	migrant	migrant
has	has	ha
receded	reced	receded
,	,	,
easing	eas	easing
pressure	pressur	pressure
to	to	to
force	forc	force
compliance	complianc	compliance
on	on	on
nationalist	nationalist	nationalist
leaders	leader	leader
like	like	like
Orban	orban	Orban
,	,	,
who	who	who
is	is	is
benefiting	benefit	benefiting
from	from	from
his	his	his
tough	tough	tough
anti	anti	anti
-immigrant	-immigr	-immigrant
policies	polici	policy
as	as	a
elections	elect	election
approach	approach	approach
in	in	in
2018	2018	2018
.	.	.

Now	now	Now
that	that	that
the	the	the
legal	legal	legal
challenge	challeng	challenge
has	has	ha
failed	fail	failed
,	,	,
Orban	orban	Orban
said	said	said
he	he	he
would	would	would
pursue	pursu	pursue
a	a	a
political	polit	political
fight	fight	fight
to	to	to
force	forc	force
the	the	the
EU	eu	EU
to	to	to
change	chang	change
its	it	it
mandatory	mandatori	mandatory
migrant	migrant	migrant
quotas	quota	quota
.	.	.

The	the	The
whole	whole	whole
issue	issu	issue
raises	rais	raise
a	a	a
very	veri	very
serious	serious	serious
question	question	question
of	of	of
principles	principl	principle
whether	whether	whether
we	we	we
are	are	are
an	an	an
alliance	allianc	alliance
of	of	of
European	european	European
free	free	free
nations	nation	nation
with	with	with
the	the	the
Commission	commiss	Commission
representing	repres	representing
our	our	our
joint	joint	joint
interests	interest	interest
,	,	,
or	or	or
a	a	a
European	european	European
empire	empir	empire
which	which	which
has	has	ha
its	it	it
center	center	center
in	in	in
Brussels	brussel	Brussels
and	and	and
which	which	which
can	can	can
issue	issu	issue
orders	order	order
,	,	,
Orban	orban	Orban
said	said	said
.	.	.

He	he	He
said	said	said
EU	eu	EU
countries	countri	country
which	which	which
let	let	let
in	in	in
migrants	migrant	migrant
,	,	,
unlike	unlik	unlike
Hungary	hungari	Hungary
,	,	,
decided	decid	decided
to	to	to
do	do	do
so	so	so
of	of	of
their	their	their
own	own	own
will	will	will
and	and	and
now	now	now
they	they	they
cannot	cannot	cannot
ask	ask	ask
Hungary	hungari	Hungary
to	to	to
take	take	take
a	a	a
part	part	part
in	in	in
correcting	correct	correcting
their	their	their
mistake	mistak	mistake
.	.	.

It	it	It
is	is	is
not	not	not
us	us	u
Hungarians	hungarian	Hungarians
who	who	who
question	question	question
the	the	the
rules	rule	rule
of	of	of
the	the	the
club	club	club
,	,	,
but	but	but
the	the	the
Commission	commiss	Commission
had	had	had
changed	chang	changed
the	the	the
rules	rule	rule
and	and	and
this	this	this
is	is	is
unacceptable	unaccept	unacceptable
,	,	,
Orban	orban	Orban
added	ad	added
.	.	.

He	he	He
said	said	said
that	that	that
unlike	unlik	unlike
some	some	some
of	of	of
the	the	the
major	major	major
member	member	member
states	state	state
of	of	of
the	the	the
EU	eu	EU
,	,	,
whose	whose	whose
colonial	coloni	colonial
legacy	legaci	legacy
has	has	ha
made	made	made
them	them	them
immigrant	immigr	immigrant
countries	countri	country
,	,	,
Hungary	hungari	Hungary
did	did	did
not	not	not
have	have	have
a	a	a
colonial	coloni	colonial
past	past	past
.	.	.

These	these	These
countries	countri	country
with	with	with
colonial	coloni	colonial
legacy	legaci	legacy
,	,	,
which	which	which
have	have	have
become	becom	become
immigrant	immigr	immigrant
countries	countri	country
by	by	by
now	now	now
,	,	,
want	want	want
to	to	to
impose	impos	impose
on	on	on
us	us	u
Central	central	Central
Europeans	european	Europeans
their	their	their
own	own	own
logic	logic	logic
.	.	.
.	.	.
.	.	.

but	but	but
Hungary	hungari	Hungary
does	doe	doe
not	not	not
want	want	want
to	to	to
become	becom	become
an	an	an
immigrant	immigr	immigrant
country	countri	country
,	,	,
Orban	orban	Orban
said	said	said
.	.	.

At	at	At
the	the	the
same	same	same
time	time	time
,	,	,
he	he	he
said	said	said
Hungary	hungari	Hungary
was	was	wa
committed	commit	committed
to	to	to
EU	eu	EU
membership	membership	membership
,	,	,
because	becaus	because
Hungarians	hungarian	Hungarians
had	had	had
decided	decid	decided
in	in	in
a	a	a
referendum	referendum	referendum
to	to	to
join	join	join
the	the	the
bloc	bloc	bloc
in	in	in
2004	2004	2004
.	.	.

No	no	No
government	govern	government
can	can	can
lead	lead	lead
Hungary	hungari	Hungary
out	out	out
of	of	of
the	the	the
EU	eu	EU
as	as	a
it	it	it
was	was	wa
the	the	the
Hungarian	hungarian	Hungarian
people	peopl	people
which	which	which
decided	decid	decided
to	to	to
be	be	be
inside	insid	inside
and	and	and
this	this	this
is	is	is
right	right	right
.	.	.

