CLEVELAND	cleveland	CLEVELAND
Reuters	reuter	Reuters
-	-	-
Lawmakers	lawmak	Lawmakers
in	in	in
Ohio	ohio	Ohio
on	on	on
Wednesday	wednesday	Wednesday
approved	approv	approved
legislation	legisl	legislation
that	that	that
would	would	would
legalize	legal	legalize
marijuana	marijuana	marijuana
use	use	use
for	for	for
medical	medic	medical
purposes	purpos	purpose
under	under	under
certain	certain	certain
circumstances	circumst	circumstance
,	,	,
less	less	le
than	than	than
a	a	a
year	year	year
after	after	after
recreational	recreat	recreational
marijuana	marijuana	marijuana
use	use	use
was	was	wa
soundly	sound	soundly
defeated	defeat	defeated
by	by	by
Ohio	ohio	Ohio
voters	voter	voter
.	.	.

The	the	The
bill	bill	bill
,	,	,
approved	approv	approved
by	by	by
both	both	both
chambers	chamber	chamber
of	of	of
the	the	the
state	state	state
s	s	s
Republican	republican	Republican
-led	-led	-led
legislature	legislatur	legislature
,	,	,
heads	head	head
to	to	to
Republican	republican	Republican
Governor	governor	Governor
John	john	John
Kasich	kasich	Kasich
for	for	for
his	his	his
signature	signatur	signature
as	as	a
his	his	his
office	offic	office
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
that	that	that
he	he	he
will	will	will
review	review	review
the	the	the
bill	bill	bill
.	.	.

During	dure	During
the	the	the
last	last	last
few	few	few
years	year	year
,	,	,
state	state	state
legislatures	legislatur	legislature
and	and	and
voters	voter	voter
in	in	in
the	the	the
United	unit	United
States	state	States
have	have	have
been	been	been
much	much	much
more	more	more
receptive	recept	receptive
to	to	to
making	make	making
the	the	the
use	use	use
of	of	of
marijuana	marijuana	marijuana
legal	legal	legal
for	for	for
medical	medic	medical
purposes	purpos	purpose
than	than	than
for	for	for
recreational	recreat	recreational
use	use	use
.	.	.

Some	some	Some
24	24	24
states	state	state
and	and	and
Washington	washington	Washington
D	d	D
.	.	.
C	c	C
.	.	.
currently	current	currently
allow	allow	allow
some	some	some
type	type	type
of	of	of
medical	medic	medical
marijuana	marijuana	marijuana
use	use	use
while	while	while
only	onli	only
a	a	a
handful	hand	handful
of	of	of
states	state	state
allow	allow	allow
for	for	for
recreational	recreat	recreational
use	use	use
.	.	.

It	it	It
remains	remain	remains
illegal	illeg	illegal
on	on	on
the	the	the
federal	feder	federal
level	level	level
.	.	.

The	the	The
Ohio	ohio	Ohio
legislation	legisl	legislation
is	is	is
more	more	more
limiting	limit	limiting
than	than	than
some	some	some
in	in	in
that	that	that
it	it	it
only	onli	only
allows	allow	allows
patients	patient	patient
with	with	with
specific	specif	specific
medical	medic	medical
conditions	condit	condition
to	to	to
use	use	use
an	an	an
oil	oil	oil
,	,	,
edible	edibl	edible
,	,	,
tincture	tinctur	tincture
or	or	or
vapor	vapor	vapor
form	form	form
of	of	of
marijuana	marijuana	marijuana
prescribed	prescrib	prescribed
by	by	by
a	a	a
physician	physician	physician
licensed	licens	licensed
in	in	in
the	the	the
state	state	state
,	,	,
starting	start	starting
in	in	in
2017	2017	2017
.	.	.

This	this	This
bill	bill	bill
is	is	is
not	not	not
perfect	perfect	perfect
,	,	,
but	but	but
it	it	it
s	s	s
what	what	what
Ohio	ohio	Ohio
patients	patient	patient
need	need	need
,	,	,
Ohio	ohio	Ohio
Senator	senat	Senator
Kenny	kenni	Kenny
Yuko	yuko	Yuko
,	,	,
a	a	a
Democrat	democrat	Democrat
,	,	,
said	said	said
before	befor	before
his	his	his
house	hous	house
approved	approv	approved
the	the	the
bill	bill	bill
.	.	.

Marijuana	marijuana	Marijuana
is	is	is
not	not	not
a	a	a
gateway	gateway	gateway
drug	drug	drug
,	,	,
but	but	but
a	a	a
gateway	gateway	gateway
off	off	off
drugs	drug	drug
.	.	.
Medical	medic	Medical
marijuana	marijuana	marijuana
users	user	user
would	would	would
not	not	not
be	be	be
allowed	allow	allowed
to	to	to
smoke	smoke	smoke
or	or	or
grow	grow	grow
their	their	their
own	own	own
marijuana	marijuana	marijuana
under	under	under
the	the	the
measure	measur	measure
,	,	,
which	which	which
also	also	also
would	would	would
create	creat	create
a	a	a
commission	commiss	commission
responsible	respons	responsible
for	for	for
regulating	regul	regulating
and	and	and
licensing	licens	licensing
of	of	of
all	all	all
operations	oper	operation
of	of	of
the	the	the
drug	drug	drug
.	.	.

In	in	In
November	novemb	November
,	,	,
Ohio	ohio	Ohio
voters	voter	voter
soundly	sound	soundly
rejected	reject	rejected
a	a	a
measure	measur	measure
that	that	that
would	would	would
have	have	have
made	made	made
it	it	it
the	the	the
first	first	first
U	u	U
.	.	.
S	s	S
.	.	.
Midwestern	midwestern	Midwestern
state	state	state
to	to	to
legalize	legal	legalize
the	the	the
recreational	recreat	recreational
use	use	use
of	of	of
marijuana	marijuana	marijuana
.	.	.

Lawmakers	lawmak	Lawmakers
from	from	from
both	both	both
parties	parti	party
voted	vote	voted
for	for	for
and	and	and
against	against	against
the	the	the
bill	bill	bill
on	on	on
Wednesday	wednesday	Wednesday
.	.	.

Some	some	Some
opponents	oppon	opponent
of	of	of
the	the	the
measure	measur	measure
have	have	have
said	said	said
that	that	that
the	the	the
qualifying	qualifi	qualifying
list	list	list
of	of	of
medical	medic	medical
conditions	condit	condition
is	is	is
too	too	too
limited	limit	limited
.	.	.

The	the	The
measure	measur	measure
was	was	wa
fast	fast	fast
-tracked	-track	-tracked
to	to	to
head	head	head
off	off	off
a	a	a
possible	possibl	possible
less	less	le
-restrictive	-restrict	-restrictive
medical	medic	medical
marijuana	marijuana	marijuana
ballot	ballot	ballot
initiative	initi	initiative
in	in	in
November	novemb	November
.	.	.

In	in	In
a	a	a
poll	poll	poll
released	releas	released
in	in	in
early	earli	early
May	may	May
,	,	,
90	90	90
percent	percent	percent
of	of	of
Ohio	ohio	Ohio
voters	voter	voter
supported	support	supported
the	the	the
legalization	legal	legalization
for	for	for
medical	medic	medical
marijuana	marijuana	marijuana
.	.	.

