Reuters	reuter	Reuters
-	-	-
The	the	The
Trump	trump	Trump
administration	administr	administration
on	on	on
Friday	friday	Friday
dropped	drop	dropped
a	a	a
lawsuit	lawsuit	lawsuit
accusing	accus	accusing
North	north	North
Carolina	carolina	Carolina
of	of	of
discriminating	discrimin	discriminating
against	against	against
LGBT	lgbt	LGBT
residents	resid	resident
after	after	after
the	the	the
state	state	state
replaced	replac	replaced
its	it	it
bathroom	bathroom	bathroom
bill	bill	bill
,	,	,
although	although	although
a	a	a
key	key	key
civil	civil	civil
liberties	liberti	liberty
group	group	group
vowed	vow	vowed
to	to	to
keep	keep	keep
fighting	fight	fighting
the	the	the
new	new	new
law	law	law
in	in	in
court	court	court
.	.	.

In	in	In
a	a	a
two	two	two
-sentence	-sentenc	-sentence
court	court	court
filing	file	filing
the	the	the
Justice	justic	Justice
Department	depart	Department
said	said	said
it	it	it
had	had	had
dropped	drop	dropped
its	it	it
lawsuit	lawsuit	lawsuit
,	,	,
filed	file	filed
last	last	last
year	year	year
by	by	by
the	the	the
Obama	obama	Obama
administration	administr	administration
,	,	,
because	becaus	because
the	the	the
North	north	North
Carolina	carolina	Carolina
legislature	legislatur	legislature
had	had	had
replaced	replac	replaced
it	it	it
with	with	with
a	a	a
new	new	new
law	law	law
called	call	called
House	hous	House
Bill	bill	Bill
142	142	142
.	.	.

The	the	The
filing	file	filing
marks	mark	mark
the	the	the
first	first	first
significant	signific	significant
move	move	move
in	in	in
a	a	a
complicated	complic	complicated
legal	legal	legal
battle	battl	battle
challenging	challeng	challenging
the	the	the
state	state	state
s	s	s
nondiscrimination	nondiscrimin	nondiscrimination
laws	law	law
since	sinc	since
the	the	the
replacement	replac	replacement
of	of	of
the	the	the
original	origin	original
law	law	law
,	,	,
known	known	known
as	as	a
House	hous	House
Bill	bill	Bill
2	2	2
or	or	or
more	more	more
commonly	common	commonly
as	as	a
the	the	the
bathroom	bathroom	bathroom
bill	bill	bill
.	.	.
House	hous	House
Bill	bill	Bill
2	2	2
s	s	s
most	most	most
controversial	controversi	controversial
provision	provis	provision
was	was	wa
the	the	the
requirement	requir	requirement
that	that	that
in	in	in
state	state	state
-run	-run	-run
buildings	build	building
transgender	transgend	transgender
people	peopl	people
use	use	use
the	the	the
bathrooms	bathroom	bathroom
,	,	,
changing	chang	changing
rooms	room	room
and	and	and
showers	shower	shower
that	that	that
corresponded	correspond	corresponded
to	to	to
the	the	the
sex	sex	sex
on	on	on
their	their	their
birth	birth	birth
certificates	certif	certificate
rather	rather	rather
than	than	than
their	their	their
gender	gender	gender
identity	ident	identity
.	.	.

A	a	A
number	number	number
of	of	of
businesses	busi	business
and	and	and
sports	sport	sport
leagues	leagu	league
boycotted	boycot	boycotted
North	north	North
Carolina	carolina	Carolina
because	becaus	because
they	they	they
saw	saw	saw
the	the	the
year	year	year
-old	-old	-old
law	law	law
as	as	a
discriminatory	discriminatori	discriminatory
against	against	against
the	the	the
lesbian	lesbian	lesbian
,	,	,
gay	gay	gay
,	,	,
bisexual	bisexu	bisexual
,	,	,
and	and	and
transgender	transgend	transgender
LGBT	lgbt	LGBT
community	communiti	community
.	.	.

Civil	civil	Civil
liberties	liberti	liberty
groups	group	group
also	also	also
protested	protest	protested
the	the	the
move	move	move
.	.	.

The	the	The
American	american	American
Civil	civil	Civil
Liberties	liberti	Liberties
Union	union	Union
,	,	,
the	the	the
ACLU	aclu	ACLU
of	of	of
North	north	North
Carolina	carolina	Carolina
,	,	,
and	and	and
Lambda	lambda	Lambda
Legal	legal	Legal
filed	file	filed
a	a	a
lawsuit	lawsuit	lawsuit
challenging	challeng	challenging
the	the	the
law	law	law
in	in	in
March	march	March
of	of	of
last	last	last
year	year	year
.	.	.

That	that	That
was	was	wa
followed	follow	followed
in	in	in
May	may	May
by	by	by
the	the	the
Justice	justic	Justice
Department	depart	Department
s	s	s
own	own	own
suit	suit	suit
against	against	against
House	hous	House
Bill	bill	Bill
2	2	2
.	.	.

James	jame	James
Esseks	essek	Esseks
,	,	,
the	the	the
ACLU	aclu	ACLU
s	s	s
LGBT	lgbt	LGBT
Project	project	Project
Director	director	Director
said	said	said
the	the	the
new	new	new
law	law	law
is	is	is
flawed	flaw	flawed
because	becaus	because
it	it	it
keeps	keep	keep
a	a	a
ban	ban	ban
on	on	on
cities	citi	city
and	and	and
counties	counti	county
from	from	from
creating	creat	creating
their	their	their
own	own	own
nondiscriminatory	nondiscriminatori	nondiscriminatory
ordinaces	ordinac	ordinaces
until	until	until
2020	2020	2020
and	and	and
relegates	releg	relegates
to	to	to
the	the	the
state	state	state
legislature	legislatur	legislature
the	the	the
power	power	power
to	to	to
regulate	regul	regulate
bathroom	bathroom	bathroom
access	access	access
.	.	.

The	the	The
legislature	legislatur	legislature
has	has	ha
purposefully	purpos	purposefully
not	not	not
taken	taken	taken
any	ani	any
action	action	action
to	to	to
define	defin	define
access	access	access
,	,	,
he	he	he
said	said	said
.	.	.

House	hous	House
Bill	bill	Bill
142	142	142
leaves	leav	leaf
transgender	transgend	transgender
people	peopl	people
in	in	in
limbo	limbo	limbo
and	and	and
that	that	that
s	s	s
intentional	intent	intentional
,	,	,
Esseks	essek	Esseks
said	said	said
.	.	.

This	this	This
does	doe	doe
not	not	not
fix	fix	fix
the	the	the
problem	problem	problem
.	.	.

It	it	It
creates	creat	creates
confusion	confus	confusion
.	.	.
Esseks	essek	Esseks
said	said	said
his	his	his
group	group	group
planned	plan	planned
to	to	to
amend	amend	amend
their	their	their
lawsuit	lawsuit	lawsuit
soon	soon	soon
to	to	to
challenge	challeng	challenge
the	the	the
new	new	new
bill	bill	bill
.	.	.

