PHNOM	phnom	PHNOM
PENH	penh	PENH
Reuters	reuter	Reuters
-	-	-
The	the	The
United	unit	United
States	state	States
renewed	renew	renewed
a	a	a
call	call	call
for	for	for
Cambodia	cambodia	Cambodia
s	s	s
government	govern	government
to	to	to
release	releas	release
the	the	the
country	countri	country
s	s	s
main	main	main
opposition	opposit	opposition
leader	leader	leader
Kem	kem	Kem
Sokha	sokha	Sokha
from	from	from
prison	prison	prison
,	,	,
after	after	after
parliament	parliament	parliament
voted	vote	voted
to	to	to
change	chang	change
election	elect	election
laws	law	law
that	that	that
would	would	would
re	re	re
-distribute	-distribut	-distribute
his	his	his
party	parti	party
s	s	s
seats	seat	seat
if	if	if
it	it	it
was	was	wa
dissolved	dissolv	dissolved
.	.	.

The	the	The
government	govern	government
is	is	is
seeking	seek	seeking
to	to	to
dissolve	dissolv	dissolve
Kem	kem	Kem
Sokha	sokha	Sokha
s	s	s
Cambodia	cambodia	Cambodia
National	nation	National
Rescue	rescu	Rescue
Party	parti	Party
CNRP	cnrp	CNRP
,	,	,
arguing	argu	arguing
he	he	he
and	and	and
his	his	his
party	parti	party
sought	sought	sought
to	to	to
topple	toppl	topple
the	the	the
government	govern	government
,	,	,
a	a	a
move	move	move
which	which	which
would	would	would
help	help	help
Prime	prime	Prime
Minister	minist	Minister
Hun	hun	Hun
Sen	sen	Sen
extend	extend	extend
his	his	his
32	32	32
-year	-year	-year
rule	rule	rule
at	at	at
the	the	the
next	next	next
election	elect	election
in	in	in
2018	2018	2018
.	.	.
.	.	.

The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
State	state	State
Department	depart	Department
said	said	said
Washington	washington	Washington
was	was	wa
deeply	deepli	deeply
concerned	concern	concerned
by	by	by
parliament	parliament	parliament
s	s	s
passage	passag	passage
of	of	of
the	the	the
amendments	amend	amendment
and	and	and
if	if	if
ratified	ratifi	ratified
would	would	would
effectively	effect	effectively
disenfranchise	disenfranchis	disenfranchise
the	the	the
millions	million	million
of	of	of
people	peopl	people
who	who	who
voted	vote	voted
for	for	for
the	the	the
CNRP	cnrp	CNRP
in	in	in
the	the	the
2013	2013	2013
and	and	and
2017	2017	2017
elections	elect	election
.	.	.

Genuine	genuin	Genuine
competition	competit	competition
is	is	is
essential	essenti	essential
to	to	to
democracy	democraci	democracy
and	and	and
to	to	to
the	the	the
legitimacy	legitimaci	legitimacy
of	of	of
the	the	the
2018	2018	2018
national	nation	national
elections	elect	election
,	,	,
U	u	U
.	.	.
S	s	S
.	.	.
State	state	State
Department	depart	Department
spokesperson	spokesperson	spokesperson
Heather	heather	Heather
Nauert	nauert	Nauert
said	said	said
in	in	in
a	a	a
statement	statement	statement
released	releas	released
in	in	in
Cambodia	cambodia	Cambodia
on	on	on
Tuesday	tuesday	Tuesday
.	.	.

We	we	We
urge	urg	urge
government	govern	government
officials	offici	official
to	to	to
consider	consid	consider
the	the	the
serious	serious	serious
implications	implic	implication
of	of	of
their	their	their
recent	recent	recent
actions	action	action
.	.	.

We	we	We
renew	renew	renew
our	our	our
call	call	call
that	that	that
the	the	the
leader	leader	leader
of	of	of
the	the	the
CNRP	cnrp	CNRP
,	,	,
Kem	kem	Kem
Sokha	sokha	Sokha
,	,	,
be	be	be
released	releas	released
from	from	from
prison	prison	prison
.	.	.

A	a	A
spokesman	spokesman	spokesman
for	for	for
Cambodia	cambodia	Cambodia
s	s	s
ruling	rule	ruling
party	parti	party
said	said	said
the	the	the
U	u	U
.	.	.
S	s	S
State	state	State
Department	depart	Department
s	s	s
statement	statement	statement
was	was	wa
weak	weak	weak
and	and	and
Cambodia	cambodia	Cambodia
was	was	wa
on	on	on
the	the	the
right	right	right
track	track	track
to	to	to
towards	toward	towards
a	a	a
free	free	free
and	and	and
fair	fair	fair
election	elect	election
next	next	next
year	year	year
.	.	.

Their	their	Their
tone	tone	tone
is	is	is
lighter	lighter	lighter
.	.	.

Before	befor	Before
,	,	,
they	they	they
would	would	would
bully	bulli	bully
so	so	so
this	this	this
means	mean	mean
we	we	we
are	are	are
on	on	on
the	the	the
right	right	right
path	path	path
towards	toward	towards
democracy	democraci	democracy
and	and	and
rule	rule	rule
of	of	of
law	law	law
,	,	,
Sok	sok	Sok
Eysan	eysan	Eysan
,	,	,
a	a	a
parliamentarian	parliamentarian	parliamentarian
from	from	from
Hun	hun	Hun
Sen	sen	Sen
s	s	s
ruling	rule	ruling
Cambodian	cambodian	Cambodian
People	peopl	People
s	s	s
Party	parti	Party
CPP	cpp	CPP
,	,	,
told	told	told
Reuters	reuter	Reuters
.	.	.

Cambodia	cambodia	Cambodia
s	s	s
National	nation	National
Assembly	assembl	Assembly
voted	vote	voted
on	on	on
Monday	monday	Monday
to	to	to
change	chang	change
election	elect	election
laws	law	law
to	to	to
re	re	re
-distribute	-distribut	-distribute
seats	seat	seat
to	to	to
other	other	other
parties	parti	party
in	in	in
parliament	parliament	parliament
within	within	within
seven	seven	seven
days	day	day
of	of	of
a	a	a
party	parti	party
being	be	being
