WHITE	white	WHITE
PLAINS	plain	PLAINS
,	,	,
N	n	N
.	.	.
Y	y	Y
.	.	.
Reuters	reuter	Reuters
-	-	-
U	u	U
.	.	.
S	s	S
.	.	.
Democratic	democrat	Democratic
presidential	presidenti	presidential
candidate	candid	candidate
Hillary	hillari	Hillary
Clinton	clinton	Clinton
slammed	slam	slammed
Republican	republican	Republican
rival	rival	rival
Donald	donald	Donald
Trump	trump	Trump
on	on	on
Thursday	thursday	Thursday
for	for	for
talking	talk	talking
about	about	about
things	thing	thing
he	he	he
learned	learn	learned
in	in	in
classified	classifi	classified
intelligence	intellig	intelligence
briefings	brief	briefing
and	and	and
for	for	for
praising	prais	praising
Russia	russia	Russia
s	s	s
Vladimir	vladimir	Vladimir
Putin	putin	Putin
as	as	a
a	a	a
better	better	better
leader	leader	leader
than	than	than
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
.	.	.
Speaking	speak	Speaking
to	to	to
reporters	report	reporter
the	the	the
day	day	day
after	after	after
a	a	a
New	new	New
York	york	York
security	secur	security
forum	forum	forum
featuring	featur	featuring
separate	separ	separate
appearances	appear	appearance
by	by	by
the	the	the
two	two	two
candidates	candid	candidate
,	,	,
Clinton	clinton	Clinton
also	also	also
criticized	critic	criticized
the	the	the
businessman	businessman	businessman
for	for	for
saying	say	saying
U	u	U
.	.	.
S	s	S
.	.	.
generals	general	general
had	had	had
been	been	been
reduced	reduc	reduced
to	to	to
rubble	rubbl	rubble
by	by	by
Obama	obama	Obama
s	s	s
policies	polici	policy
.	.	.
At	at	At
the	the	the
televised	televis	televised
forum	forum	forum
on	on	on
Wednesday	wednesday	Wednesday
night	night	night
,	,	,
Trump	trump	Trump
said	said	said
he	he	he
was	was	wa
shocked	shock	shocked
by	by	by
information	inform	information
he	he	he
got	got	got
during	dure	during
the	the	the
briefing	brief	briefing
.	.	.
What	what	What
I	i	I
did	did	did
learn	learn	learn
is	is	is
that	that	that
our	our	our
leadership	leadership	leadership
,	,	,
Barack	barack	Barack
Obama	obama	Obama
,	,	,
did	did	did
not	not	not
follow	follow	follow
what	what	what
our	our	our
experts	expert	expert
.	.	.
.	.	.
.	.	.
said	said	said
to	to	to
do	do	do
,	,	,
Trump	trump	Trump
said	said	said
.	.	.
Clinton	clinton	Clinton
,	,	,
who	who	who
was	was	wa
secretary	secretari	secretary
of	of	of
state	state	state
during	dure	during
Obama	obama	Obama
s	s	s
first	first	first
term	term	term
,	,	,
said	said	said
Trump	trump	Trump
s	s	s
comments	comment	comment
on	on	on
the	the	the
briefing	brief	briefing
were	were	were
totally	total	totally
inappropriate	inappropri	inappropriate
and	and	and
undisciplined	undisciplin	undisciplined
.	.	.
I	i	I
would	would	would
never	never	never
comment	comment	comment
on	on	on
any	ani	any
aspect	aspect	aspect
of	of	of
an	an	an
intelligence	intellig	intelligence
briefing	brief	briefing
I	i	I
received	receiv	received
,	,	,
Clinton	clinton	Clinton
said	said	said
before	befor	before
boarding	board	boarding
her	her	her
campaign	campaign	campaign
plane	plane	plane
.	.	.
As	as	As
nominees	nomine	nominee
for	for	for
the	the	the
Nov	nov	Nov
.	.	.
8	8	8
presidential	presidenti	presidential
election	elect	election
,	,	,
she	she	she
and	and	and
Trump	trump	Trump
are	are	are
entitled	entitl	entitled
to	to	to
receive	receiv	receive
intelligence	intellig	intelligence
briefings	brief	briefing
.	.	.
Clinton	clinton	Clinton
said	said	said
Trump	trump	Trump
s	s	s
praise	prais	praise
of	of	of
Putin	putin	Putin
as	as	a
a	a	a
better	better	better
leader	leader	leader
than	than	than
Obama	obama	Obama
was	was	wa
not	not	not
just	just	just
unpatriotic	unpatriot	unpatriotic
and	and	and
insulting	insult	insulting
to	to	to
the	the	the
people	peopl	people
of	of	of
our	our	our
country	countri	country
,	,	,
as	as	a
well	well	well
as	as	a
to	to	to
our	our	our
commander	command	commander
in	in	in
chief	chief	chief
,	,	,
it	it	it
is	is	is
scary	scari	scary
.	.	.
It	it	It
suggests	suggest	suggests
he	he	he
will	will	will
let	let	let
Putin	putin	Putin
do	do	do
whatever	whatev	whatever
Putin	putin	Putin
wants	want	want
to	to	to
do	do	do
and	and	and
then	then	then
make	make	make
excuses	excus	excuse
for	for	for
him	him	him
,	,	,
Clinton	clinton	Clinton
said	said	said
.	.	.
Trump	trump	Trump
fired	fire	fired
back	back	back
at	at	at
Clinton	clinton	Clinton
,	,	,
saying	say	saying
her	her	her
comments	comment	comment
were	were	were
an	an	an
effort	effort	effort
to	to	to
make	make	make
up	up	up
for	for	for
a	a	a
poor	poor	poor
performance	perform	performance
during	dure	during
the	the	the
security	secur	security
forum	forum	forum
.	.	.
Hillary	hillari	Hillary
Clinton	clinton	Clinton
is	is	is
always	alway	always
complaining	complain	complaining
about	about	about
what	what	what
s	s	s
wrong	wrong	wrong
,	,	,
he	he	he
said	said	said
during	dure	during
a	a	a
campaign	campaign	campaign
stop	stop	stop
in	in	in
Cleveland	cleveland	Cleveland
,	,	,
where	where	where
he	he	he
visited	visit	visited
a	a	a
charter	charter	charter
school	school	school
and	and	and
proposed	propos	proposed
federal	feder	federal
spending	spend	spending
on	on	on
school	school	school
choice	choic	choice
programs	program	program
.	.	.
I	i	I
just	just	just
watched	watch	watched
her	her	her
on	on	on
the	the	the
tarmac	tarmac	tarmac
.	.	.
She	she	She
tried	tri	tried
to	to	to
make	make	make
up	up	up
for	for	for
her	her	her
horrible	horribl	horrible
performance	perform	performance
last	last	last
night	night	night
,	,	,
Trump	trump	Trump
said	said	said
.	.	.
The	the	The
intensifying	intensifi	intensifying
political	polit	political
combat	combat	combat
came	came	came
as	as	a
Clinton	clinton	Clinton
s	s	s
lead	lead	lead
in	in	in
opinion	opinion	opinion
polls	poll	poll
has	has	ha
slipped	slip	slipped
in	in	in
recent	recent	recent
days	day	day
.	.	.
The	the	The
current	current	current
average	averag	average
of	of	of
polls	poll	poll
by	by	by
website	websit	website
RealClearPolitics	realclearpolit	RealClearPolitics
puts	put	put
her	her	her
at	at	at
