BERLIN	berlin	BERLIN
Reuters	reuter	Reuters
-	-	-
German	german	German
prosecutors	prosecutor	prosecutor
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
they	they	they
were	were	were
pressing	press	pressing
perjury	perjuri	perjury
charges	charg	charge
against	against	against
Frauke	frauk	Frauke
Petry	petri	Petry
,	,	,
former	former	former
leader	leader	leader
of	of	of
the	the	the
far	far	far
-right	-right	-right
Alternative	altern	Alternative
for	for	for
Germany	germani	Germany
AfD	afd	AfD
,	,	,
who	who	who
last	last	last
week	week	week
quit	quit	quit
the	the	the
party	parti	party
and	and	and
will	will	will
sit	sit	sit
in	in	in
the	the	the
national	nation	national
parliament	parliament	parliament
as	as	a
an	an	an
independent	independ	independent
lawmaker	lawmak	lawmaker
.	.	.
Lorenz	lorenz	Lorenz
Haase	haas	Haase
,	,	,
senior	senior	senior
public	public	public
prosecutor	prosecutor	prosecutor
in	in	in
the	the	the
eastern	eastern	eastern
city	citi	city
of	of	of
Dresden	dresden	Dresden
,	,	,
said	said	said
it	it	it
was	was	wa
unlikely	unlik	unlikely
the	the	the
case	case	case
against	against	against
Petry	petri	Petry
would	would	would
proceed	proceed	proceed
quickly	quick	quickly
as	as	a
Dresden	dresden	Dresden
s	s	s
regional	region	regional
court	court	court
would	would	would
need	need	need
to	to	to
apply	appli	apply
to	to	to
lift	lift	lift
her	her	her
immunity	immun	immunity
as	as	a
a	a	a
member	member	member
of	of	of
the	the	the
national	nation	national
parliament	parliament	parliament
.	.	.
Petry	petri	Petry
has	has	ha
been	been	been
dogged	dog	dogged
by	by	by
allegations	alleg	allegation
that	that	that
she	she	she
lied	lie	lied
under	under	under
oath	oath	oath
to	to	to
a	a	a
committee	committe	committee
of	of	of
the	the	the
Saxony	saxoni	Saxony
parliament	parliament	parliament
about	about	about
how	how	how
the	the	the
party	parti	party
s	s	s
campaign	campaign	campaign
for	for	for
the	the	the
2014	2014	2014
election	elect	election
in	in	in
the	the	the
state	state	state
was	was	wa
financed	financ	financed
.	.	.
She	she	She
has	has	ha
denied	deni	denied
the	the	the
allegations	alleg	allegation
.	.	.
In	in	In
August	august	August
the	the	the
regional	region	regional
parliament	parliament	parliament
of	of	of
the	the	the
state	state	state
of	of	of
Saxony	saxoni	Saxony
lifted	lift	lifted
Petry	petri	Petry
s	s	s
immunity	immun	immunity
from	from	from
prosecution	prosecut	prosecution
.	.	.
But	but	But
now	now	now
that	that	that
she	she	she
is	is	is
due	due	due
to	to	to
take	take	take
up	up	up
her	her	her
seat	seat	seat
in	in	in
the	the	the
Bundestag	bundestag	Bundestag
,	,	,
the	the	the
lower	lower	lower
house	hous	house
of	of	of
the	the	the
German	german	German
federal	feder	federal
parliament	parliament	parliament
,	,	,
she	she	she
will	will	will
be	be	be
granted	grant	granted
immunity	immun	immunity
there	there	there
.	.	.
A	a	A
majority	major	majority
of	of	of
lawmakers	lawmak	lawmaker
in	in	in
the	the	the
Bundestag	bundestag	Bundestag
would	would	would
have	have	have
to	to	to
vote	vote	vote
to	to	to
lift	lift	lift
her	her	her
immunity	immun	immunity
.	.	.
The	the	The
first	first	first
session	session	session
of	of	of
the	the	the
lower	lower	lower
house	hous	house
is	is	is
expected	expect	expected
to	to	to
take	take	take
place	place	place
by	by	by
Oct	oct	Oct
.	.	.
24	24	24
at	at	at
the	the	the
latest	latest	latest
.	.	.
Petry	petri	Petry
,	,	,
long	long	long
considered	consid	considered
the	the	the
face	face	face
of	of	of
the	the	the
anti	anti	anti
-immigrant	-immigr	-immigrant
AfD	afd	AfD
,	,	,
had	had	had
for	for	for
months	month	month
been	been	been
on	on	on
the	the	the
losing	lose	losing
side	side	side
of	of	of
a	a	a
dispute	disput	dispute
between	between	between
the	the	the
party	parti	party
s	s	s
warring	war	warring
wings	wing	wing
.	.	.
She	she	She
had	had	had
advocated	advoc	advocated
a	a	a
more	more	more
moderate	moder	moderate
course	cours	course
while	while	while
others	other	others
shifted	shift	shifted
further	further	further
to	to	to
the	the	the
right	right	right
and	and	and
wanted	want	wanted
the	the	the
party	parti	party
to	to	to
focus	focus	focus
on	on	on
a	a	a
role	role	role
in	in	in
opposition	opposit	opposition
rather	rather	rather
than	than	than
trying	tri	trying
to	to	to
govern	govern	govern
.	.	.
Some	some	Some
AfD	afd	AfD
members	member	member
have	have	have
followed	follow	followed
in	in	in
Petry	petri	Petry
s	s	s
footsteps	footstep	footstep
to	to	to
quit	quit	quit
the	the	the
AfD	afd	AfD
and	and	and
she	she	she
now	now	now
plans	plan	plan
to	to	to
set	set	set
up	up	up
a	a	a
new	new	new
party	parti	party
.	.	.
The	the	The
AfD	afd	AfD
won	won	won
12	12	12
.	.	.
6	6	6
percent	percent	percent
of	of	of
the	the	the
vote	vote	vote
in	in	in
the	the	the
Sept	sept	Sept
.	.	.
24	24	24
federal	feder	federal
election	elect	election
,	,	,
making	make	making
it	it	it
the	the	the
first	first	first
far	far	far
-right	-right	-right
party	parti	party
to	to	to
enter	enter	enter
the	the	the
Bundestag	bundestag	Bundestag
in	in	in
more	more	more
than	than	than
half	half	half
a	a	a
century	centuri	century
and	and	and
the	the	the
third	third	third
largest	largest	largest
parliamentary	parliamentari	parliamentary
bloc	bloc	bloc
.	.	.
