BEIRUT	beirut	BEIRUT
Reuters	reuter	Reuters
-	-	-
The	the	The
Syrian	syrian	Syrian
army	armi	army
and	and	and
its	it	it
allies	alli	ally
seized	seiz	seized
an	an	an
oil	oil	oil
pumping	pump	pumping
station	station	station
in	in	in
eastern	eastern	eastern
Syria	syria	Syria
from	from	from
Islamic	islam	Islamic
State	state	State
,	,	,
paving	pave	paving
the	the	the
way	way	way
for	for	for
an	an	an
advance	advanc	advance
towards	toward	towards
the	the	the
jihadists	jihadist	jihadist
last	last	last
remaining	remain	remaining
Syrian	syrian	Syrian
stronghold	stronghold	stronghold
,	,	,
a	a	a
Hezbollah	hezbollah	Hezbollah
-run	-run	-run
news	news	news
service	servic	service
reported	report	reported
on	on	on
Thursday	thursday	Thursday
.	.	.
The	the	The
T2	t2	T2
pumping	pump	pumping
station	station	station
is	is	is
considered	consid	considered
a	a	a
launch	launch	launch
pad	pad	pad
for	for	for
the	the	the
army	armi	army
and	and	and
its	it	it
allies	alli	ally
to	to	to
advance	advanc	advance
towards	toward	towards
the	the	the
town	town	town
of	of	of
Albu	albu	Albu
Kamal	kamal	Kamal
.	.	.
.	.	.
.	.	.
which	which	which
is	is	is
considered	consid	considered
the	the	the
last	last	last
remaining	remain	remaining
stronghold	stronghold	stronghold
of	of	of
the	the	the
Daesh	daesh	Daesh
organization	organ	organization
in	in	in
Syria	syria	Syria
,	,	,
the	the	the
report	report	report
said	said	said
.	.	.
Albu	albu	Albu
Kamal	kamal	Kamal
is	is	is
located	locat	located
in	in	in
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
province	provinc	province
at	at	at
the	the	the
Syrian	syrian	Syrian
border	border	border
with	with	with
Iraq	iraq	Iraq
,	,	,
just	just	just
over	over	over
the	the	the
frontier	frontier	frontier
from	from	from
the	the	the
Iraqi	iraqi	Iraqi
town	town	town
of	of	of
al	al	al
-Qaim	-qaim	-Qaim
.	.	.
Iraq	iraq	Iraq
declared	declar	declared
on	on	on
Thursday	thursday	Thursday
the	the	the
start	start	start
of	of	of
an	an	an
offensive	offens	offensive
to	to	to
capture	captur	capture
al	al	al
-Qaim	-qaim	-Qaim
and	and	and
Rawa	rawa	Rawa
,	,	,
the	the	the
last	last	last
patch	patch	patch
of	of	of
Iraqi	iraqi	Iraqi
territory	territori	territory
still	still	still
in	in	in
IS	is	IS
hands	hand	hand
.	.	.
Islamic	islam	Islamic
State	state	State
s	s	s
self	self	self
-declared	-declar	-declared
caliphate	caliph	caliphate
has	has	ha
crumbled	crumbl	crumbled
this	this	this
year	year	year
with	with	with
the	the	the
fall	fall	fall
of	of	of
the	the	the
Syrian	syrian	Syrian
city	citi	city
of	of	of
Raqqa	raqqa	Raqqa
and	and	and
the	the	the
Iraqi	iraqi	Iraqi
city	citi	city
of	of	of
Mosul	mosul	Mosul
.	.	.
In	in	In
Syria	syria	Syria
,	,	,
the	the	the
group	group	group
is	is	is
now	now	now
mostly	most	mostly
confined	confin	confined
to	to	to
a	a	a
shrinking	shrink	shrinking
strip	strip	strip
of	of	of
territory	territori	territory
in	in	in
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
province	provinc	province
.	.	.
The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
-led	-led	-led
coalition	coalit	coalition
against	against	against
Islamic	islam	Islamic
State	state	State
is	is	is
waging	wage	waging
a	a	a
separate	separ	separate
campaign	campaign	campaign
against	against	against
the	the	the
group	group	group
in	in	in
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
,	,	,
focused	focus	focused
on	on	on
areas	area	area
to	to	to
the	the	the
east	east	east
of	of	of
the	the	the
Euphrates	euphrat	Euphrates
River	river	River
which	which	which
bisects	bisect	bisects
the	the	the
province	provinc	province
.	.	.
Albu	albu	Albu
Kamal	kamal	Kamal
is	is	is
located	locat	located
on	on	on
the	the	the
western	western	western
bank	bank	bank
of	of	of
the	the	the
river	river	river
.	.	.
