VIENNA	vienna	VIENNA
Reuters	reuter	Reuters
-	-	-
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
administration	administr	administration
pledged	pledg	pledged
on	on	on
Tuesday	tuesday	Tuesday
to	to	to
show	show	show
great	great	great
strictness	strict	strictness
over	over	over
restrictions	restrict	restriction
on	on	on
Iran	iran	Iran
s	s	s
nuclear	nuclear	nuclear
activities	activ	activity
imposed	impos	imposed
by	by	by
a	a	a
deal	deal	deal
with	with	with
major	major	major
powers	power	power
,	,	,
but	but	but
gave	gave	gave
little	littl	little
indication	indic	indication
of	of	of
what	what	what
that	that	that
might	might	might
mean	mean	mean
for	for	for
the	the	the
agreement	agreement	agreement
.	.	.
The	the	The
2015	2015	2015
deal	deal	deal
between	between	between
Iran	iran	Iran
and	and	and
six	six	six
major	major	major
powers	power	power
restricts	restrict	restricts
Tehran	tehran	Tehran
s	s	s
nuclear	nuclear	nuclear
program	program	program
in	in	in
exchange	exchang	exchange
for	for	for
the	the	the
lifting	lift	lifting
of	of	of
international	intern	international
economic	econom	economic
sanctions	sanction	sanction
against	against	against
the	the	the
Islamic	islam	Islamic
Republic	republ	Republic
.	.	.
Trump	trump	Trump
has	has	ha
called	call	called
the	the	the
agreement	agreement	agreement
the	the	the
worst	worst	worst
deal	deal	deal
ever	ever	ever
negotiated	negoti	negotiated
.	.	.
His	his	His
administration	administr	administration
is	is	is
now	now	now
carrying	carri	carrying
out	out	out
a	a	a
review	review	review
of	of	of
the	the	the
accord	accord	accord
which	which	which
could	could	could
take	take	take
months	month	month
,	,	,
but	but	but
it	it	it
has	has	ha
said	said	said
little	littl	little
about	about	about
where	where	where
it	it	it
stands	stand	stand
on	on	on
specific	specif	specific
issues	issu	issue
.	.	.
The	the	The
Trump	trump	Trump
administration	administr	administration
also	also	also
gave	gave	gave
few	few	few
clues	clue	clue
about	about	about
any	ani	any
potential	potenti	potential
policy	polici	policy
shift	shift	shift
on	on	on
Tuesday	tuesday	Tuesday
in	in	in
a	a	a
statement	statement	statement
to	to	to
a	a	a
quarterly	quarter	quarterly
meeting	meet	meeting
of	of	of
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
nuclear	nuclear	nuclear
watchdog	watchdog	watchdog
s	s	s
Board	board	Board
of	of	of
Governors	governor	Governors
.	.	.
The	the	The
United	unit	United
States	state	States
will	will	will
approach	approach	approach
questions	question	question
of	of	of
JCPOA	jcpoa	JCPOA
interpretation	interpret	interpretation
,	,	,
implementation	implement	implementation
,	,	,
and	and	and
enforcement	enforc	enforcement
with	with	with
great	great	great
strictness	strict	strictness
indeed	inde	indeed
,	,	,
the	the	the
statement	statement	statement
to	to	to
the	the	the
International	intern	International
Atomic	atom	Atomic
Energy	energi	Energy
Agency	agenc	Agency
s	s	s
IAEA	iaea	IAEA
35	35	35
-nation	-nation	-nation
board	board	board
said	said	said
,	,	,
citing	cite	citing
the	the	the
deal	deal	deal
s	s	s
full	full	full
name	name	name
the	the	the
Joint	joint	Joint
Comprehensive	comprehens	Comprehensive
Plan	plan	Plan
of	of	of
Action	action	Action
.	.	.
But	but	But
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
statement	statement	statement
,	,	,
the	the	the
first	first	first
to	to	to
the	the	the
Board	board	Board
of	of	of
Governors	governor	Governors
since	sinc	since
Trump	trump	Trump
took	took	took
office	offic	office
in	in	in
January	januari	January
,	,	,
also	also	also
repeated	repeat	repeated
language	languag	language
used	use	used
by	by	by
the	the	the
administration	administr	administration
of	of	of
former	former	former
U	u	U
.	.	.
S	s	S
.	.	.
president	presid	president
Barack	barack	Barack
Obama	obama	Obama
,	,	,
for	for	for
whom	whom	whom
the	the	the
deal	deal	deal
was	was	wa
a	a	a
legacy	legaci	legacy
achievement	achiev	achievement
.	.	.
Iran	iran	Iran
must	must	must
strictly	strict	strictly
and	and	and
fully	fulli	fully
adhere	adher	adhere
to	to	to
all	all	all
commitments	commit	commitment
and	and	and
technical	technic	technical
measures	measur	measure
for	for	for
their	their	their
duration	durat	duration
,	,	,
it	it	it
said	said	said
-	-	-
wording	word	wording
identical	ident	identical
to	to	to
that	that	that
used	use	used
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
statement	statement	statement
to	to	to
the	the	the
previous	previous	previous
Board	board	Board
of	of	of
Governors	governor	Governors
meeting	meet	meeting
in	in	in
November	novemb	November
.	.	.
The	the	The
IAEA	iaea	IAEA
,	,	,
which	which	which
polices	polic	police
the	the	the
restrictions	restrict	restriction
on	on	on
Iran	iran	Iran
s	s	s
nuclear	nuclear	nuclear
activities	activ	activity
under	under	under
the	the	the
deal	deal	deal
,	,	,
last	last	last
month	month	month
produced	produc	produced
a	a	a
quarterly	quarter	quarterly
report	report	report
saying	say	saying
that	that	that
Iran	iran	Iran
s	s	s
stock	stock	stock
of	of	of
enriched	enrich	enriched
uranium	uranium	uranium
had	had	had
halved	halv	halved
after	after	after
coming	come	coming
close	close	close
to	to	to
a	a	a
limit	limit	limit
imposed	impos	imposed
by	by	by
the	the	the
agreement	agreement	agreement
.	.	.
That	that	That
report	report	report
was	was	wa
the	the	the
first	first	first
to	to	to
specify	specifi	specify
how	how	how
much	much	much
enriched	enrich	enriched
uranium	uranium	uranium
Iran	iran	Iran
has	has	ha
,	,	,
thanks	thank	thanks
to	to	to
a	a	a
series	seri	series
of	of	of
agreements	agreement	agreement
between	between	between
Tehran	tehran	Tehran
and	and	and
major	major	major
powers	power	power
clarifying	clarifi	clarifying
items	item	item
that	that	that
would	would	would
not	not	not
count	count	count
toward	toward	toward
the	the	the
stock	stock	stock
.	.	.
Some	some	Some
major	major	major
powers	power	power
had	had	had
criticized	critic	criticized
previous	previous	previous
reports	report	report
for	for	for
not	not	not
being	be	being
specific	specif	specific
enough	enough	enough
on	on	on
items	item	item
such	such	such
as	as	a
the	the	the
size	size	size
of	of	of
the	the	the
enriched	enrich	enriched
uranium	uranium	uranium
stock	stock	stock
,	,	,
and	and	and
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
statement	statement	statement
called	call	called
for	for	for
future	futur	future
reports	report	report
to	to	to
be	be	be
as	as	a
detailed	detail	detailed
.	.	.
We	we	We
welcome	welcom	welcome
inclusion	inclus	inclusion
of	of	of
the	the	the
additional	addit	additional
level	level	level
of	of	of
detail	detail	detail
,	,	,
and	and	and
expect	expect	expect
it	it	it
will	will	will
continue	continu	continue
in	in	in
the	the	the
future	futur	future
,	,	,
it	it	it
said	said	said
.	.	.
