WASHINGTON	washington	WASHINGTON
Reuters	reuter	Reuters
-	-	-
Expanding	expand	Expanding
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Navy	navi	Navy
to	to	to
355	355	355
ships	ship	ship
as	as	a
recommended	recommend	recommended
by	by	by
military	militari	military
leaders	leader	leader
and	and	and
backed	back	backed
by	by	by
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
would	would	would
cost	cost	cost
some	some	some
400	400	400
billion	billion	billion
more	more	more
over	over	over
the	the	the
next	next	next
30	30	30
years	year	year
than	than	than
the	the	the
currently	current	currently
planned	plan	planned
308	308	308
-ship	-ship	-ship
fleet	fleet	fleet
,	,	,
according	accord	according
to	to	to
a	a	a
study	studi	study
released	releas	released
on	on	on
Monday	monday	Monday
.	.	.
The	the	The
annual	annual	annual
cost	cost	cost
to	to	to
build	build	build
,	,	,
crew	crew	crew
and	and	and
operate	oper	operate
a	a	a
355	355	355
-ship	-ship	-ship
fleet	fleet	fleet
would	would	would
be	be	be
about	about	about
102	102	102
billion	billion	billion
,	,	,
or	or	or
13	13	13
percent	percent	percent
more	more	more
than	than	than
the	the	the
90	90	90
billion	billion	billion
needed	need	needed
for	for	for
the	the	the
currently	current	currently
planned	plan	planned
Navy	navi	Navy
,	,	,
according	accord	according
to	to	to
the	the	the
study	studi	study
by	by	by
the	the	the
nonpartisan	nonpartisan	nonpartisan
Congressional	congression	Congressional
Budget	budget	Budget
Office	offic	Office
.	.	.
The	the	The
102	102	102
billion	billion	billion
cost	cost	cost
of	of	of
the	the	the
355	355	355
-ship	-ship	-ship
fleet	fleet	fleet
is	is	is
33	33	33
percent	percent	percent
more	more	more
than	than	than
Congress	congress	Congress
appropriated	appropri	appropriated
in	in	in
2016	2016	2016
for	for	for
the	the	the
current	current	current
275	275	275
-ship	-ship	-ship
Navy	navi	Navy
,	,	,
the	the	the
CBO	cbo	CBO
said	said	said
.	.	.
To	to	To
achieve	achiev	achieve
the	the	the
larger	larger	larger
force	forc	force
,	,	,
the	the	the
Navy	navi	Navy
would	would	would
need	need	need
26	26	26
.	.	.
6	6	6
billion	billion	billion
annually	annual	annually
for	for	for
ship	ship	ship
construction	construct	construction
,	,	,
which	which	which
is	is	is
60	60	60
percent	percent	percent
more	more	more
than	than	than
the	the	the
average	averag	average
amount	amount	amount
that	that	that
Congress	congress	Congress
has	has	ha
appropriated	appropri	appropriated
for	for	for
shipbuilding	shipbuild	shipbuilding
in	in	in
the	the	the
past	past	past
30	30	30
years	year	year
,	,	,
the	the	the
CBO	cbo	CBO
study	studi	study
said	said	said
.	.	.
The	the	The
Navy	navi	Navy
s	s	s
2017	2017	2017
shipbuilding	shipbuild	shipbuilding
plan	plan	plan
called	call	called
for	for	for
boosting	boost	boosting
the	the	the
size	size	size
of	of	of
the	the	the
fleet	fleet	fleet
to	to	to
308	308	308
ships	ship	ship
,	,	,
which	which	which
was	was	wa
expected	expect	expected
to	to	to
cost	cost	cost
21	21	21
.	.	.
2	2	2
billion	billion	billion
per	per	per
year	year	year
to	to	to
implement	implement	implement
over	over	over
30	30	30
years	year	year
.	.	.
With	with	With
Trump	trump	Trump
pressing	press	pressing
for	for	for
an	an	an
expansion	expans	expansion
of	of	of
the	the	the
fleet	fleet	fleet
to	to	to
350	350	350
ships	ship	ship
during	dure	during
the	the	the
presidential	presidenti	presidential
campaign	campaign	campaign
last	last	last
year	year	year
,	,	,
the	the	the
Navy	navi	Navy
released	releas	released
a	a	a
new	new	new
force	forc	force
structure	structur	structure
assessment	assess	assessment
in	in	in
December	decemb	December
seeking	seek	seeking
a	a	a
355	355	355
-ship	-ship	-ship
Navy	navi	Navy
.	.	.
Taking	take	Taking
into	into	into
consideration	consider	consideration
older	older	older
ships	ship	ship
being	be	being
retired	retir	retired
,	,	,
creating	creat	creating
a	a	a
355	355	355
-ship	-ship	-ship
fleet	fleet	fleet
would	would	would
require	requir	require
the	the	the
Navy	navi	Navy
to	to	to
buy	buy	buy
about	about	about
329	329	329
new	new	new
ships	ship	ship
over	over	over
30	30	30
years	year	year
,	,	,
compared	compar	compared
with	with	with
254	254	254
under	under	under
its	it	it
previous	previous	previous
plan	plan	plan
for	for	for
a	a	a
308	308	308
-ship	-ship	-ship
fleet	fleet	fleet
,	,	,
the	the	the
CBO	cbo	CBO
study	studi	study
found	found	found
.	.	.
The	the	The
Navy	navi	Navy
would	would	would
have	have	have
to	to	to
buy	buy	buy
about	about	about
12	12	12
ships	ship	ship
per	per	per
year	year	year
under	under	under
the	the	the
larger	larger	larger
fleet	fleet	fleet
plan	plan	plan
,	,	,
versus	versus	versus
about	about	about
eight	eight	eight
per	per	per
year	year	year
under	under	under
the	the	the
earlier	earlier	earlier
plan	plan	plan
.	.	.
The	the	The
larger	larger	larger
fleet	fleet	fleet
would	would	would
require	requir	require
more	more	more
civilian	civilian	civilian
and	and	and
uniformed	uniform	uniformed
personnel	personnel	personnel
and	and	and
more	more	more
aircraft	aircraft	aircraft
,	,	,
pushing	push	pushing
up	up	up
overall	overal	overall
operating	oper	operating
costs	cost	cost
,	,	,
the	the	the
CBO	cbo	CBO
said	said	said
.	.	.
The	the	The
increase	increas	increase
in	in	in
shipbuilding	shipbuild	shipbuilding
would	would	would
force	forc	force
all	all	all
seven	seven	seven
U	u	U
.	.	.
S	s	S
.	.	.
shipyards	shipyard	shipyard
to	to	to
expand	expand	expand
their	their	their
work	work	work
forces	forc	force
and	and	and
improve	improv	improve
their	their	their
infrastructure	infrastructur	infrastructure
in	in	in
order	order	order
to	to	to
meet	meet	meet
the	the	the
demand	demand	demand
for	for	for
vessels	vessel	vessel
,	,	,
the	the	the
CBO	cbo	CBO
said	said	said
.	.	.
The	the	The
greatest	greatest	greatest
challenge	challeng	challenge
would	would	would
be	be	be
building	build	building
submarines	submarin	submarine
to	to	to
meet	meet	meet
the	the	the
force	forc	force
structure	structur	structure
requirements	requir	requirement
,	,	,
the	the	the
report	report	report
said	said	said
.	.	.
The	the	The
study	studi	study
said	said	said
the	the	the
earliest	earliest	earliest
the	the	the
Navy	navi	Navy
could	could	could
achieve	achiev	achieve
a	a	a
355	355	355
-ship	-ship	-ship
fleet	fleet	fleet
would	would	would
be	be	be
the	the	the
year	year	year
2035	2035	2035
,	,	,
or	or	or
18	18	18
years	year	year
from	from	from
now	now	now
.	.	.
