CHICAGO	chicago	CHICAGO
Reuters	reuter	Reuters
-	-	-
Vaccination	vaccin	Vaccination
skeptic	skeptic	skeptic
Robert	robert	Robert
F	f	F
.	.	.

Kennedy	kennedi	Kennedy
Jr	jr	Jr
.	.	.
said	said	said
he	he	he
would	would	would
chair	chair	chair
a	a	a
presidential	presidenti	presidential
panel	panel	panel
to	to	to
review	review	review
vaccine	vaccin	vaccine
safety	safeti	safety
and	and	and
science	scienc	science
at	at	at
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
-elect	-elect	-elect
Donald	donald	Donald
Trump	trump	Trump
s	s	s
request	request	request
,	,	,
drawing	draw	drawing
fierce	fierc	fierce
criticism	critic	criticism
from	from	from
vaccine	vaccin	vaccine
experts	expert	expert
who	who	who
fear	fear	fear
such	such	such
a	a	a
panel	panel	panel
would	would	would
give	give	give
credence	credenc	credence
to	to	to
debunked	debunk	debunked
theories	theori	theory
tying	tie	tying
childhood	childhood	childhood
immunizations	immun	immunization
to	to	to
autism	autism	autism
.	.	.

President	presid	President
-elect	-elect	-elect
Trump	trump	Trump
has	has	ha
some	some	some
doubts	doubt	doubt
about	about	about
the	the	the
current	current	current
vaccine	vaccin	vaccine
policy	polici	policy
,	,	,
and	and	and
he	he	he
has	has	ha
questions	question	question
about	about	about
it	it	it
,	,	,
Kennedy	kennedi	Kennedy
,	,	,
who	who	who
has	has	ha
raised	rais	raised
questions	question	question
about	about	about
the	the	the
safety	safeti	safety
of	of	of
vaccines	vaccin	vaccine
,	,	,
told	told	told
reporters	report	reporter
after	after	after
a	a	a
meeting	meet	meeting
with	with	with
Trump	trump	Trump
in	in	in
New	new	New
York	york	York
on	on	on
Tuesday	tuesday	Tuesday
.	.	.

He	he	He
asked	ask	asked
me	me	me
to	to	to
chair	chair	chair
a	a	a
commission	commiss	commission
on	on	on
vaccine	vaccin	vaccine
safety	safeti	safety
and	and	and
scientific	scientif	scientific
integrity	integr	integrity
.	.	.

I	i	I
said	said	said
I	i	I
would	would	would
,	,	,
said	said	said
Kennedy	kennedi	Kennedy
.	.	.

However	howev	However
,	,	,
Trump	trump	Trump
spokeswoman	spokeswoman	spokeswoman
Hope	hope	Hope
Hicks	hick	Hicks
later	later	later
told	told	told
Reuters	reuter	Reuters
that	that	that
,	,	,
while	while	while
the	the	the
president	presid	president
-elect	-elect	-elect
was	was	wa
exploring	explor	exploring
the	the	the
possibility	possibl	possibility
of	of	of
forming	form	forming
a	a	a
committee	committe	committee
on	on	on
autism	autism	autism
,	,	,
no	no	no
decisions	decis	decision
have	have	have
been	been	been
made	made	made
at	at	at
this	this	this
time	time	time
.	.	.
Kennedy	kennedi	Kennedy
,	,	,
an	an	an
environmentalist	environmentalist	environmentalist
and	and	and
lawyer	lawyer	lawyer
,	,	,
is	is	is
the	the	the
son	son	son
of	of	of
the	the	the
late	late	late
U	u	U
.	.	.
S	s	S
.	.	.
Senator	senat	Senator
Robert	robert	Robert
F	f	F
.	.	.

Kennedy	kennedi	Kennedy
of	of	of
New	new	New
York	york	York
and	and	and
the	the	the
nephew	nephew	nephew
of	of	of
assassinated	assassin	assassinated
Democratic	democrat	Democratic
President	presid	President
John	john	John
F	f	F
.	.	.

Kennedy	kennedi	Kennedy
.	.	.

Vaccine	vaccin	Vaccine
experts	expert	expert
decried	decri	decried
the	the	the
announcement	announc	announcement
by	by	by
a	a	a
vaccination	vaccin	vaccination
skeptic	skeptic	skeptic
that	that	that
he	he	he
would	would	would
head	head	head
a	a	a
panel	panel	panel
to	to	to
explore	explor	explore
the	the	the
safety	safeti	safety
of	of	of
vaccines	vaccin	vaccine
and	and	and
their	their	their
purported	purport	purported
link	link	link
with	with	with
autism	autism	autism
.	.	.

The	the	The
association	associ	association
was	was	wa
raised	rais	raised
by	by	by
a	a	a
paper	paper	paper
published	publish	published
in	in	in
the	the	the
British	british	British
medical	medic	medical
journal	journal	journal
in	in	in
The	the	The
Lancet	lancet	Lancet
in	in	in
1998	1998	1998
that	that	that
claimed	claim	claimed
to	to	to
find	find	find
a	a	a
connection	connect	connection
between	between	between
the	the	the
measles	measl	measles
,	,	,
mumps	mump	mumps
and	and	and
rubella	rubella	rubella
MMR	mmr	MMR
vaccine	vaccin	vaccine
and	and	and
autism	autism	autism
.	.	.

That	that	That
paper	paper	paper
has	has	ha
been	been	been
debunked	debunk	debunked
,	,	,
and	and	and
The	the	The
Lancet	lancet	Lancet
withdrew	withdrew	withdrew
the	the	the
study	studi	study
.	.	.

Since	sinc	Since
then	then	then
,	,	,
numerous	numer	numerous
studies	studi	study
have	have	have
affirmed	affirm	affirmed
the	the	the
safety	safeti	safety
of	of	of
the	the	the
vaccine	vaccin	vaccine
.	.	.

The	the	The
American	american	American
Academy	academi	Academy
of	of	of
Pediatrics	pediatr	Pediatrics
said	said	said
vaccines	vaccin	vaccine
are	are	are
the	the	the
most	most	most
significant	signific	significant
medical	medic	medical
innovation	innov	innovation
of	of	of
our	our	our
time	time	time
,	,	,
adding	ad	adding
that	that	that
claims	claim	claim
that	that	that
vaccines	vaccin	vaccine
are	are	are
linked	link	linked
to	to	to
autism	autism	autism
or	or	or
are	are	are
unsafe	unsaf	unsafe
have	have	have
been	been	been
disproven	disproven	disproven
by	by	by
a	a	a
robust	robust	robust
body	bodi	body
of	of	of
medical	medic	medical
literature	literatur	literature
.	.	.
In	in	In
addition	addit	addition
to	to	to
measles	measl	measles
,	,	,
mumps	mump	mumps
and	and	and
rubella	rubella	rubella
,	,	,
vaccines	vaccin	vaccine
protect	protect	protect
children	children	child
and	and	and
adults	adult	adult
against	against	against
a	a	a
wide	wide	wide
variety	varieti	variety
of	of	of
deadly	dead	deadly
or	or	or
crippling	crippl	crippling
diseases	diseas	disease
,	,	,
including	includ	including
polio	polio	polio
,	,	,
typhoid	typhoid	typhoid
,	,	,
diphtheria	diphtheria	diphtheria
and	and	and
tetanus	tetanus	tetanus
.	.	.

Dr	dr	Dr
.	.	.
William	william	William
Schaffner	schaffner	Schaffner
,	,	,
an	an	an
infectious	infecti	infectious
disease	diseas	disease
expert	expert	expert
at	at	at
Vanderbilt	vanderbilt	Vanderbilt
University	univers	University
s	s	s
medical	medic	medical
school	school	school
in	in	in
Nashville	nashvill	Nashville
,	,	,
Tennessee	tennesse	Tennessee
,	,	,
who	who	who
advises	advis	advises
the	the	the
federal	feder	federal
panel	panel	panel
that	that	that
sets	set	set
U	u	U
.	.	.
S	s	S
.	.	.
vaccine	vaccin	vaccine
policy	polici	policy
,	,	,
said	said	said
the	the	the
Kennedy	kennedi	Kennedy
news	news	news
reinforces	reinforc	reinforces
the	the	the
concerns	concern	concern
of	of	of
public	public	public
health	health	health
officials	offici	official
,	,	,
pediatricians	pediatrician	pediatrician
and	and	and
family	famili	family
doctors	doctor	doctor
.	.	.

Schaffner	schaffner	Schaffner
said	said	said
Kennedy	kennedi	Kennedy
has	has	ha
raised	rais	raised
issues	issu	issue
that	that	that
have	have	have
been	been	been
settled	settl	settled
securely	secur	securely
and	and	and
completely	complet	completely
by	by	by
good	good	good
science	scienc	science
.	.	.
Nevertheless	nevertheless	Nevertheless
,	,	,
concerns	concern	concern
have	have	have
persisted	persist	persisted
over	over	over
a	a	a
link	link	link
between	between	between
vaccines	vaccin	vaccine
and	and	and
autism	autism	autism
,	,	,
a	a	a
range	rang	range
of	of	of
symptoms	symptom	symptom
that	that	that
often	often	often
includes	includ	includes
difficulties	difficulti	difficulty
with	with	with
communication	communic	communication
and	and	and
social	social	social
interaction	interact	interaction
.	.	.

Kennedy	kennedi	Kennedy
,	,	,
62	62	62
,	,	,
said	said	said
Trump	trump	Trump
,	,	,
70	70	70
,	,	,
was	was	wa
very	veri	very
pro	pro	pro
-vaccine	-vaccin	-vaccine
,	,	,
as	as	a
am	am	am
I	i	I
,	,	,
but	but	but
said	said	said
,	,	,
Everybody	everybodi	Everybody
ought	ought	ought
to	to	to
be	be	be
able	abl	able
to	to	to
be	be	be
assured	assur	assured
that	that	that
the	the	the
vaccines	vaccin	vaccine
that	that	that
we	we	we
have	have	have
are	are	are
.	.	.
.	.	.
.	.	.

as	as	a
safe	safe	safe
as	as	a
they	they	they
possibly	possibl	possibly
can	can	can
be	be	be
.	.	.
In	in	In
2014	2014	2014
,	,	,
Trump	trump	Trump
,	,	,
a	a	a
New	new	New
York	york	York
businessman	businessman	businessman
who	who	who
was	was	wa
not	not	not
yet	yet	yet
a	a	a
presidential	presidenti	presidential
candidate	candid	candidate
,	,	,
posted	post	posted
on	on	on
Twitter	twitter	Twitter
,	,	,
I	i	I
believe	believ	believe
in	in	in
vaccinations	vaccin	vaccination
but	but	but
not	not	not
massive	massiv	massive
,	,	,
all	all	all
at	at	at
once	onc	once
,	,	,
shots	shot	shot
.	.	.

Too	too	Too
much	much	much
for	for	for
small	small	small
child	child	child
to	to	to
handle	handl	handle
.	.	.

Govt	govt	Govt
.	.	.

should	should	should
stop	stop	stop
NOW	now	NOW
!	!	!
Kennedy	kennedi	Kennedy
in	in	in
2005	2005	2005
wrote	wrote	wrote
an	an	an
article	articl	article
for	for	for
Rolling	roll	Rolling
Stone	stone	Stone
magazine	magazin	magazine
and	and	and
the	the	the
Salon	salon	Salon
.	.	.
com	com	com
website	websit	website
asserting	assert	asserting
that	that	that
the	the	the
government	govern	government
was	was	wa
conspiring	conspir	conspiring
to	to	to
cover	cover	cover
up	up	up
the	the	the
connections	connect	connection
between	between	between
autism	autism	autism
and	and	and
thimerosal	thimeros	thimerosal
,	,	,
a	a	a
mercury	mercuri	mercury
-based	-base	-based
preservative	preserv	preservative
formerly	former	formerly
used	use	used
in	in	in
vaccines	vaccin	vaccine
.	.	.

Salon	salon	Salon
.	.	.
com	com	com
later	later	later
retracted	retract	retracted
the	the	the
article	articl	article
because	becaus	because
of	of	of
factual	factual	factual
errors	error	error
,	,	,
and	and	and
Rolling	roll	Rolling
Stone	stone	Stone
deleted	delet	deleted
it	it	it
.	.	.

According	accord	According
to	to	to
the	the	the
Centers	center	Centers
for	for	for
Disease	diseas	Disease
Control	control	Control
and	and	and
Prevention	prevent	Prevention
,	,	,
there	there	there
is	is	is
no	no	no
evidence	evid	evidence
of	of	of
harm	harm	harm
caused	caus	caused
by	by	by
thimerosal	thimeros	thimerosal
in	in	in
vaccines	vaccin	vaccine
.	.	.

Thimerosal	thimeros	Thimerosal
was	was	wa
never	never	never
used	use	used
in	in	in
the	the	the
MMR	mmr	MMR
vaccine	vaccin	vaccine
.	.	.

CDC	cdc	CDC
said	said	said
research	research	research
does	doe	doe
not	not	not
show	show	show
a	a	a
link	link	link
between	between	between
thimerosal	thimeros	thimerosal
in	in	in
vaccines	vaccin	vaccine
and	and	and
autism	autism	autism
.	.	.

As	as	As
a	a	a
precaution	precaut	precaution
,	,	,
it	it	it
was	was	wa
removed	remov	removed
from	from	from
childhood	childhood	childhood
vaccines	vaccin	vaccine
in	in	in
the	the	the
United	unit	United
States	state	States
in	in	in
2001	2001	2001
.	.	.

Daniel	daniel	Daniel
Johnson	johnson	Johnson
,	,	,
a	a	a
pediatric	pediatr	pediatric
infectious	infecti	infectious
disease	diseas	disease
expert	expert	expert
at	at	at
University	univers	University
of	of	of
Chicago	chicago	Chicago
Medicine	medicin	Medicine
,	,	,
said	said	said
he	he	he
thought	thought	thought
yet	yet	yet
another	anoth	another
investigation	investig	investigation
into	into	into
vaccine	vaccin	vaccine
safety	safeti	safety
was	was	wa
a	a	a
waste	wast	waste
of	of	of
public	public	public
money	money	money
.	.	.

There	there	There
s	s	s
already	alreadi	already
many	mani	many
systems	system	system
in	in	in
place	place	place
to	to	to
provide	provid	provide
oversight	oversight	oversight
,	,	,
to	to	to
record	record	record
data	data	data
,	,	,
which	which	which
is	is	is
constantly	constant	constantly
being	be	being
reviewed	review	reviewed
by	by	by
many	mani	many
in	in	in
government	govern	government
and	and	and
the	the	the
scientific	scientif	scientific
community	communiti	community
,	,	,
Johnson	johnson	Johnson
said	said	said
.	.	.

There	there	There
is	is	is
no	no	no
need	need	need
for	for	for
still	still	still
yet	yet	yet
another	anoth	another
system	system	system
for	for	for
doing	do	doing
this	this	this
.	.	.
Johnson	johnson	Johnson
said	said	said
he	he	he
was	was	wa
very	veri	very
concerned	concern	concerned
that	that	that
parents	parent	parent
may	may	may
delay	delay	delay
getting	get	getting
their	their	their
children	children	child
vaccinated	vaccin	vaccinated
as	as	a
they	they	they
await	await	await
word	word	word
from	from	from
a	a	a
vaccination	vaccin	vaccination
safety	safeti	safety
panel	panel	panel
,	,	,
which	which	which
could	could	could
result	result	result
in	in	in
increased	increas	increased
harm	harm	harm
,	,	,
illness	ill	illness
and	and	and
potentially	potenti	potentially
death	death	death
of	of	of
children	children	child
from	from	from
diseases	diseas	disease
that	that	that
could	could	could
be	be	be
prevented	prevent	prevented
by	by	by
vaccines	vaccin	vaccine
.	.	.

