Melbourne	melbourn	Melbourne
Reuters	reuter	Reuters
-	-	-
Australia	australia	Australia
s	s	s
High	high	High
Court	court	Court
rejected	reject	rejected
two	two	two
legal	legal	legal
challenges	challeng	challenge
on	on	on
Thursday	thursday	Thursday
against	against	against
a	a	a
proposed	propos	proposed
postal	postal	postal
ballot	ballot	ballot
on	on	on
whether	whether	whether
to	to	to
legalize	legal	legalize
same	same	same
-sex	-sex	-sex
marriage	marriag	marriage
,	,	,
clearing	clear	clearing
the	the	the
way	way	way
for	for	for
a	a	a
vote	vote	vote
on	on	on
an	an	an
issue	issu	issue
that	that	that
has	has	ha
wide	wide	wide
support	support	support
but	but	but
which	which	which
has	has	ha
also	also	also
threatened	threaten	threatened
to	to	to
divide	divid	divide
the	the	the
government	govern	government
.	.	.

Australians	australian	Australians
will	will	will
now	now	now
begin	begin	begin
voting	vote	voting
in	in	in
the	the	the
non	non	non
-compulsory	-compulsori	-compulsory
ballot	ballot	ballot
as	as	a
early	earli	early
as	as	a
next	next	next
week	week	week
,	,	,
with	with	with
a	a	a
result	result	result
expected	expect	expected
some	some	some
time	time	time
in	in	in
November	novemb	November
.	.	.

The	the	The
court	court	court
s	s	s
decision	decis	decision
to	to	to
reject	reject	reject
the	the	the
legal	legal	legal
challenges	challeng	challenge
,	,	,
both	both	both
of	of	of
which	which	which
argued	argu	argued
that	that	that
the	the	the
center	center	center
-right	-right	-right
government	govern	government
needed	need	needed
the	the	the
support	support	support
of	of	of
parliament	parliament	parliament
to	to	to
hold	hold	hold
the	the	the
ballot	ballot	ballot
,	,	,
comes	come	come
as	as	a
a	a	a
welcome	welcom	welcome
relief	relief	relief
for	for	for
Prime	prime	Prime
Minister	minist	Minister
Malcolm	malcolm	Malcolm
Turnbull	turnbul	Turnbull
.	.	.

Turnbull	turnbul	Turnbull
supports	support	support
same	same	same
-sex	-sex	-sex
marriage	marriag	marriage
,	,	,
as	as	a
do	do	do
two	two	two
-thirds	-third	-thirds
of	of	of
Australians	australian	Australians
,	,	,
but	but	but
his	his	his
government	govern	government
holds	hold	hold
a	a	a
razor	razor	razor
-thin	-thin	-thin
majority	major	majority
and	and	and
more	more	more
conservative	conserv	conservative
elements	element	element
in	in	in
his	his	his
Liberal	liber	Liberal
-National	-nation	-National
coalition	coalit	coalition
have	have	have
used	use	used
the	the	the
issue	issu	issue
to	to	to
threaten	threaten	threaten
his	his	his
leadership	leadership	leadership
.	.	.

Some	some	Some
conservative	conserv	conservative
lawmakers	lawmak	lawmaker
threatened	threaten	threatened
to	to	to
resign	resign	resign
if	if	if
the	the	the
court	court	court
ruled	rule	ruled
against	against	against
the	the	the
proposal	propos	proposal
,	,	,
while	while	while
more	more	more
liberal	liber	liberal
members	member	member
said	said	said
they	they	they
would	would	would
side	side	side
with	with	with
the	the	the
Labor	labor	Labor
opposition	opposit	opposition
to	to	to
secure	secur	secure
same	same	same
-sex	-sex	-sex
marriage	marriag	marriage
before	befor	before
Turnbull	turnbul	Turnbull
offered	offer	offered
the	the	the
postal	postal	postal
vote	vote	vote
as	as	a
an	an	an
alternative	altern	alternative
.	.	.

A	a	A
rejection	reject	rejection
would	would	would
have	have	have
led	led	led
to	to	to
increased	increas	increased
pressure	pressur	pressure
on	on	on
Turnbull	turnbul	Turnbull
to	to	to
hold	hold	hold
a	a	a
vote	vote	vote
in	in	in
parliament	parliament	parliament
,	,	,
which	which	which
has	has	ha
already	alreadi	already
twice	twice	twice
rejected	reject	rejected
a	a	a
national	nation	national
ballot	ballot	ballot
.	.	.

Every	everi	Every
Australian	australian	Australian
can	can	can
have	have	have
a	a	a
say	say	say
and	and	and
we	we	we
can	can	can
,	,	,
as	as	a
a	a	a
Commonwealth	commonwealth	Commonwealth
of	of	of
Australia	australia	Australia
,	,	,
embrace	embrac	embrace
this	this	this
important	import	important
social	social	social
change	chang	change
,	,	,
Turnbull	turnbul	Turnbull
told	told	told
parliament	parliament	parliament
in	in	in
Canberra	canberra	Canberra
after	after	after
the	the	the
court	court	court
s	s	s
decision	decis	decision
was	was	wa
announced	announc	announced
.	.	.

Turnbull	turnbul	Turnbull
has	has	ha
said	said	said
Australia	australia	Australia
s	s	s
Marriage	marriag	Marriage
Act	act	Act
would	would	would
be	be	be
changed	chang	changed
by	by	by
the	the	the
end	end	end
of	of	of
the	the	the
year	year	year
if	if	if
the	the	the
public	public	public
backed	back	backed
same	same	same
-sex	-sex	-sex
marriage	marriag	marriage
in	in	in
the	the	the
postal	postal	postal
ballot	ballot	ballot
.	.	.

Although	although	Although
the	the	the
court	court	court
s	s	s
verdict	verdict	verdict
provides	provid	provides
a	a	a
viable	viabl	viable
pathway	pathway	pathway
to	to	to
same	same	same
-sex	-sex	-sex
marriage	marriag	marriage
,	,	,
advocates	advoc	advocate
fear	fear	fear
an	an	an
escalation	escal	escalation
in	in	in
an	an	an
already	alreadi	already
vitriolic	vitriol	vitriolic
campaign	campaign	campaign
.	.	.

Turnbull	turnbul	Turnbull
called	call	called
for	for	for
mutual	mutual	mutual
respect	respect	respect
last	last	last
month	month	month
as	as	a
the	the	the
issue	issu	issue
gathered	gather	gathered
heat	heat	heat
.	.	.

Opponents	oppon	Opponents
of	of	of
same	same	same
-sex	-sex	-sex
marriage	marriag	marriage
launched	launch	launched
a	a	a
contentious	contenti	contentious
No	no	No
campaign	campaign	campaign
advertisement	advertis	advertisement
last	last	last
week	week	week
that	that	that
the	the	the
government	govern	government
immediately	immedi	immediately
rejected	reject	rejected
as	as	a
inaccurate	inaccur	inaccurate
.	.	.

Activists	activist	Activists
fear	fear	fear
a	a	a
surge	surg	surge
in	in	in
malicious	malici	malicious
campaigning	campaign	campaigning
for	for	for
the	the	the
ballot	ballot	ballot
,	,	,
which	which	which
is	is	is
not	not	not
a	a	a
formal	formal	formal
election	elect	election
and	and	and
is	is	is
therefore	therefor	therefore
not	not	not
subject	subject	subject
to	to	to
the	the	the
usual	usual	usual
rules	rule	rule
on	on	on
political	polit	political
advertisements	advertis	advertisement
.	.	.

Many	mani	Many
supporters	support	supporter
of	of	of
same	same	same
-sex	-sex	-sex
marriage	marriag	marriage
in	in	in
Australia	australia	Australia
had	had	had
backed	back	backed
the	the	the
legal	legal	legal
challenges	challeng	challenge
,	,	,
insisting	insist	insisting
that	that	that
the	the	the
campaign	campaign	campaign
would	would	would
hurt	hurt	hurt
people	peopl	people
who	who	who
were	were	were
already	alreadi	already
vulnerable	vulner	vulnerable
,	,	,
but	but	but
said	said	said
they	they	they
would	would	would
now	now	now
support	support	support
the	the	the
ballot	ballot	ballot
.	.	.

We	we	We
now	now	now
get	get	get
out	out	out
there	there	there
and	and	and
campaign	campaign	campaign
long	long	long
and	and	and
hard	hard	hard
for	for	for
a	a	a
Yes	yes	Yes
vote	vote	vote
,	,	,
Alex	alex	Alex
Greenwich	greenwich	Greenwich
,	,	,
co	co	co
-chair	-chair	-chair
of	of	of
Australian	australian	Australian
Marriage	marriag	Marriage
Equality	equal	Equality
,	,	,
told	told	told
reporters	report	reporter
in	in	in
Melbourne	melbourn	Melbourne
.	.	.

When	when	When
we	we	we
win	win	win
this	this	this
,	,	,
we	we	we
can	can	can
all	all	all
come	come	come
together	togeth	together
,	,	,
having	have	having
finally	final	finally
achieved	achiev	achieved
marriage	marriag	marriage
equality	equal	equality
.	.	.

