ERBIL	erbil	ERBIL
,	,	,
Iraq	iraq	Iraq
Reuters	reuter	Reuters
-	-	-
Iraq	iraq	Iraq
s	s	s
autonomous	autonom	autonomous
Kurdistan	kurdistan	Kurdistan
region	region	region
announced	announc	announced
on	on	on
Tuesday	tuesday	Tuesday
it	it	it
was	was	wa
calling	call	calling
presidential	presidenti	presidential
and	and	and
parliamentary	parliamentari	parliamentary
elections	elect	election
for	for	for
Nov	nov	Nov
.	.	.
1	1	1
as	as	a
the	the	the
Kurdish	kurdish	Kurdish
leadership	leadership	leadership
moved	move	moved
to	to	to
capitalize	capit	capitalize
on	on	on
a	a	a
referendum	referendum	referendum
that	that	that
delivered	deliv	delivered
huge	huge	huge
support	support	support
for	for	for
independence	independ	independence
.	.	.
The	the	The
central	central	central
government	govern	government
in	in	in
Baghdad	baghdad	Baghdad
imposed	impos	imposed
further	further	further
punitive	punit	punitive
measures	measur	measure
in	in	in
retaliation	retali	retaliation
for	for	for
the	the	the
independence	independ	independence
vote	vote	vote
last	last	last
month	month	month
by	by	by
slapping	slap	slapping
sanctions	sanction	sanction
on	on	on
Kurdish	kurdish	Kurdish
banks	bank	bank
and	and	and
halting	halt	halting
foreign	foreign	foreign
currency	currenc	currency
transfers	transfer	transfer
to	to	to
the	the	the
Kurdish	kurdish	Kurdish
region	region	region
.	.	.
The	the	The
referendum	referendum	referendum
in	in	in
the	the	the
country	countri	country
s	s	s
Kurdish	kurdish	Kurdish
-held	-held	-held
northern	northern	northern
regions	region	region
raised	rais	raised
fears	fear	fear
in	in	in
Iraq	iraq	Iraq
and	and	and
abroad	abroad	abroad
of	of	of
ethnic	ethnic	ethnic
strains	strain	strain
and	and	and
a	a	a
weakening	weaken	weakening
of	of	of
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
-backed	-back	-backed
campaign	campaign	campaign
against	against	against
Islamic	islam	Islamic
State	state	State
.	.	.
The	the	The
elections	elect	election
would	would	would
be	be	be
calculated	calcul	calculated
to	to	to
reinforce	reinforc	reinforce
the	the	the
legitimacy	legitimaci	legitimacy
of	of	of
the	the	the
Kurdish	kurdish	Kurdish
leadership	leadership	leadership
before	befor	before
a	a	a
drive	drive	drive
for	for	for
outright	outright	outright
independence	independ	independence
and	and	and
any	ani	any
negotiations	negoti	negotiation
that	that	that
might	might	might
involve	involv	involve
.	.	.
Turkish	turkish	Turkish
President	presid	President
Tayyip	tayyip	Tayyip
Erdogan	erdogan	Erdogan
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
that	that	that
his	his	his
country	countri	country
would	would	would
impose	impos	impose
further	further	further
sanctions	sanction	sanction
on	on	on
northern	northern	northern
Iraq	iraq	Iraq
over	over	over
the	the	the
referendum	referendum	referendum
.	.	.
Powerful	power	Powerful
neighbors	neighbor	neighbor
Ankara	ankara	Ankara
and	and	and
Tehran	tehran	Tehran
fear	fear	fear
it	it	it
could	could	could
fuel	fuel	fuel
Kurdish	kurdish	Kurdish
separatism	separat	separatism
within	within	within
their	their	their
own	own	own
borders	border	border
.	.	.
The	the	The
Kurdistan	kurdistan	Kurdistan
Regional	region	Regional
Government	govern	Government
KRG	krg	KRG
has	has	ha
not	not	not
declared	declar	declared
independence	independ	independence
.	.	.
The	the	The
November	novemb	November
polls	poll	poll
are	are	are
for	for	for
the	the	the
parliament	parliament	parliament
and	and	and
presidency	presid	presidency
of	of	of
the	the	the
region	region	region
,	,	,
not	not	not
for	for	for
an	an	an
independent	independ	independent
state	state	state
.	.	.
Baghdad	baghdad	Baghdad
retaliated	retali	retaliated
against	against	against
the	the	the
referendum	referendum	referendum
with	with	with
an	an	an
international	intern	international
flights	flight	flight
ban	ban	ban
on	on	on
Kurdish	kurdish	Kurdish
airports	airport	airport
,	,	,
while	while	while
Iran	iran	Iran
and	and	and
Turkey	turkey	Turkey
launched	launch	launched
joint	joint	joint
military	militari	military
exercises	exercis	exercise
with	with	with
Iraqi	iraqi	Iraqi
troops	troop	troop
at	at	at
their	their	their
borders	border	border
with	with	with
Iraqi	iraqi	Iraqi
Kurdistan	kurdistan	Kurdistan
.	.	.
The	the	The
Shi	shi	Shi
ite	ite	ite
Arab	arab	Arab
-led	-led	-led
Iraqi	iraqi	Iraqi
government	govern	government
has	has	ha
rejected	reject	rejected
a	a	a
KRG	krg	KRG
offer	offer	offer
to	to	to
discuss	discuss	discus
independence	independ	independence
.	.	.
It	it	It
demanded	demand	demanded
Kurdish	kurdish	Kurdish
leaders	leader	leader
cancel	cancel	cancel
the	the	the
result	result	result
of	of	of
the	the	the
referendum	referendum	referendum
or	or	or
face	face	face
continued	continu	continued
sanctions	sanction	sanction
,	,	,
international	intern	international
isolation	isol	isolation
and	and	and
possible	possibl	possible
military	militari	military
intervention	intervent	intervention
.	.	.
On	on	On
Tuesday	tuesday	Tuesday
,	,	,
Iraq	iraq	Iraq
s	s	s
central	central	central
bank	bank	bank
told	told	told
the	the	the
KRG	krg	KRG
that	that	that
it	it	it
would	would	would
no	no	no
longer	longer	longer
sell	sell	sell
dollars	dollar	dollar
to	to	to
four	four	four
leading	lead	leading
Kurdish	kurdish	Kurdish
banks	bank	bank
and	and	and
would	would	would
stop	stop	stop
all	all	all
foreign	foreign	foreign
currency	currenc	currency
transfers	transfer	transfer
to	to	to
the	the	the
region	region	region
,	,	,
banking	bank	banking
and	and	and
government	govern	government
sources	sourc	source
told	told	told
Reuters	reuter	Reuters
.	.	.
Businesses	busi	Businesses
in	in	in
need	need	need
of	of	of
foreign	foreign	foreign
currency	currenc	currency
and	and	and
foreign	foreign	foreign
workers	worker	worker
,	,	,
whose	whose	whose
salaries	salari	salary
are	are	are
usually	usual	usually
paid	paid	paid
in	in	in
dollars	dollar	dollar
,	,	,
will	will	will
be	be	be
hardest	hardest	hardest
hit	hit	hit
by	by	by
the	the	the
measure	measur	measure
.	.	.
The	the	The
Iraqi	iraqi	Iraqi
dinar	dinar	dinar
is	is	is
not	not	not
accepted	accept	accepted
outside	outsid	outside
the	the	the
country	countri	country
.	.	.
In	in	In
a	a	a
further	further	further
attempt	attempt	attempt
to	to	to
assert	assert	assert
Baghdad	baghdad	Baghdad
s	s	s
authority	author	authority
,	,	,
Iraqi	iraqi	Iraqi
Prime	prime	Prime
Minister	minist	Minister
Haider	haider	Haider
al	al	al
-Abadi	-abadi	-Abadi
called	call	called
for	for	for
a	a	a
joint	joint	joint
administration	administr	administration
in	in	in
the	the	the
multi	multi	multi
-ethnic	-ethnic	-ethnic
northern	northern	northern
city	citi	city
of	of	of
Kirkuk	kirkuk	Kirkuk
and	and	and
other	other	other
areas	area	area
claimed	claim	claimed
by	by	by
his	his	his
both	both	both
his	his	his
government	govern	government
and	and	and
the	the	the
KRG	krg	KRG
,	,	,
provided	provid	provided
that	that	that
Baghdad	baghdad	Baghdad
held	held	held
the	the	the
top	top	top
role	role	role
in	in	in
such	such	such
an	an	an
arrangement	arrang	arrangement
.	.	.
Earlier	earlier	Earlier
,	,	,
the	the	the
federal	feder	federal
parliament	parliament	parliament
in	in	in
Baghdad	baghdad	Baghdad
raised	rais	raised
the	the	the
threat	threat	threat
of	of	of
excluding	exclud	excluding
Kurdish	kurdish	Kurdish
members	member	member
who	who	who
took	took	took
part	part	part
in	in	in
the	the	the
referendum	referendum	referendum
,	,	,
on	on	on
the	the	the
basis	basi	basis
that	that	that
it	it	it
was	was	wa
unconstitutional	unconstitut	unconstitutional
.	.	.
The	the	The
parliament	parliament	parliament
decided	decid	decided
to	to	to
collect	collect	collect
the	the	the
names	name	name
of	of	of
those	those	those
who	who	who
voted	vote	voted
in	in	in
the	the	the
referendum	referendum	referendum
as	as	a
a	a	a
step	step	step
towards	toward	towards
their	their	their
impeachment	impeach	impeachment
by	by	by
the	the	the
Higher	higher	Higher
Federal	feder	Federal
Court	court	Court
,	,	,
Speaker	speaker	Speaker
Salim	salim	Salim
al	al	al
-Jabouri	-jabouri	-Jabouri
told	told	told
a	a	a
news	news	news
conference	confer	conference
after	after	after
the	the	the
session	session	session
,	,	,
boycotted	boycot	boycotted
by	by	by
most	most	most
Kurdish	kurdish	Kurdish
MPs	mps	MPs
.	.	.
Jabouri	jabouri	Jabouri
said	said	said
he	he	he
was	was	wa
willing	will	willing
to	to	to
open	open	open
a	a	a
dialogue	dialogu	dialogue
with	with	with
the	the	the
KRG	krg	KRG
to	to	to
resolve	resolv	resolve
disputes	disput	dispute
but	but	but
ruled	rule	ruled
out	out	out
talks	talk	talk
on	on	on
independence	independ	independence
.	.	.
Masoud	masoud	Masoud
Barzani	barzani	Barzani
,	,	,
the	the	the
heir	heir	heir
of	of	of
a	a	a
dynasty	dynasti	dynasty
which	which	which
has	has	ha
led	led	led
a	a	a
Kurdish	kurdish	Kurdish
struggle	struggl	struggle
for	for	for
independence	independ	independence
for	for	for
over	over	over
a	a	a
century	centuri	century
,	,	,
has	has	ha
held	held	held
the	the	the
KRG	krg	KRG
presidency	presid	presidency
since	sinc	since
its	it	it
establishment	establish	establishment
in	in	in
2005	2005	2005
,	,	,
two	two	two
years	year	year
after	after	after
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
-led	-led	-led
invasion	invas	invasion
toppled	toppl	toppled
Iraqi	iraqi	Iraqi
dictator	dictat	dictator
Saddam	saddam	Saddam
Hussein	hussein	Hussein
.	.	.
Barzani	barzani	Barzani
s	s	s
tenure	tenur	tenure
was	was	wa
extended	extend	extended
beyond	beyond	beyond
his	his	his
second	second	second
term	term	term
in	in	in
2013	2013	2013
as	as	a
fresh	fresh	fresh
turmoil	turmoil	turmoil
engulfed	engulf	engulfed
the	the	the
region	region	region
and	and	and
Islamic	islam	Islamic
State	state	State
overran	overran	overran
about	about	about
a	a	a
third	third	third
of	of	of
Iraq	iraq	Iraq
the	the	the
following	follow	following
year	year	year
,	,	,
threatening	threaten	threatening
the	the	the
Kurdish	kurdish	Kurdish
region	region	region
.	.	.
It	it	It
was	was	wa
unclear	unclear	unclear
whether	whether	whether
Barzani	barzani	Barzani
would	would	would
or	or	or
