DETROIT	detroit	DETROIT
WASHINGTON	washington	WASHINGTON
Reuters	reuter	Reuters
-	-	-
U	u	U
.	.	.
S	s	S
.	.	.
Senators	senat	Senators
Edward	edward	Edward
Markey	markey	Markey
and	and	and
Richard	richard	Richard
Blumenthal	blumenth	Blumenthal
on	on	on
Wednesday	wednesday	Wednesday
renewed	renew	renewed
their	their	their
call	call	call
for	for	for
the	the	the
National	nation	National
Highway	highway	Highway
Traffic	traffic	Traffic
Safety	safeti	Safety
Administration	administr	Administration
to	to	to
accelerate	acceler	accelerate
the	the	the
recall	recal	recall
of	of	of
potentially	potenti	potentially
defective	defect	defective
Takata	takata	Takata
Corp	corp	Corp
air	air	air
bags	bag	bag
.	.	.
The	the	The
lawmakers	lawmak	lawmaker
cited	cite	cited
a	a	a
report	report	report
on	on	on
Tuesday	tuesday	Tuesday
by	by	by
the	the	the
Senate	senat	Senate
Commerce	commerc	Commerce
Committee	committe	Committee
alleging	alleg	alleging
Takata	takata	Takata
falsified	falsifi	falsified
data	data	data
to	to	to
cover	cover	cover
up	up	up
problems	problem	problem
with	with	with
its	it	it
air	air	air
bags	bag	bag
,	,	,
and	and	and
said	said	said
the	the	the
Japanese	japanes	Japanese
supplier	supplier	supplier
might	might	might
have	have	have
lied	lie	lied
to	to	to
safety	safeti	safety
regulators	regul	regulator
for	for	for
years	year	year
.	.	.
On	on	On
Wednesday	wednesday	Wednesday
,	,	,
NHTSA	nhtsa	NHTSA
spokesman	spokesman	spokesman
Gordon	gordon	Gordon
Trowbridge	trowbridg	Trowbridge
said	said	said
the	the	the
agency	agenc	agency
has	has	ha
taken	taken	taken
unprecedented	unpreced	unprecedented
efforts	effort	effort
to	to	to
address	address	address
the	the	the
Takata	takata	Takata
issue	issu	issue
,	,	,
including	includ	including
the	the	the
first	first	first
use	use	use
of	of	of
the	the	the
agency	agenc	agency
s	s	s
accelerated	acceler	accelerated
remedy	remedi	remedy
authority	author	authority
,	,	,
and	and	and
that	that	that
it	it	it
will	will	will
continue	continu	continue
to	to	to
use	use	use
every	everi	every
tool	tool	tool
available	avail	available
to	to	to
make	make	make
sure	sure	sure
every	everi	every
American	american	American
vehicle	vehicl	vehicle
has	has	ha
safe	safe	safe
air	air	air
bags	bag	bag
.	.	.
Reuters	reuter	Reuters
reported	report	reported
on	on	on
Monday	monday	Monday
that	that	that
NHTSA	nhtsa	NHTSA
continues	continu	continues
to	to	to
investigate	investig	investigate
whether	whether	whether
the	the	the
recalls	recal	recall
of	of	of
nearly	near	nearly
29	29	29
million	million	million
defective	defect	defective
Takata	takata	Takata
inflators	inflat	inflator
in	in	in
the	the	the
United	unit	United
States	state	States
should	should	should
be	be	be
expanded	expand	expanded
to	to	to
include	includ	include
another	anoth	another
70	70	70
million	million	million
to	to	to
90	90	90
million	million	million
inflators	inflat	inflator
with	with	with
ammonium	ammonium	ammonium
nitrate	nitrat	nitrate
.	.	.
In	in	In
a	a	a
statement	statement	statement
,	,	,
Markey	markey	Markey
and	and	and
Blumenthal	blumenth	Blumenthal
described	describ	described
the	the	the
additional	addit	additional
air	air	air
bags	bag	bag
as	as	a
potentially	potenti	potentially
lethal	lethal	lethal
and	and	and
ticking	tick	ticking
