PHNOM	phnom	PHNOM
PENH	penh	PENH
Reuters	reuter	Reuters
-	-	-
Cambodian	cambodian	Cambodian
Prime	prime	Prime
Minister	minist	Minister
Hun	hun	Hun
Sen	sen	Sen
has	has	ha
warned	warn	warned
his	his	his
party	parti	party
it	it	it
could	could	could
still	still	still
lose	lose	lose
next	next	next
year	year	year
s	s	s
election	elect	election
even	even	even
after	after	after
the	the	the
banning	ban	banning
of	of	of
the	the	the
opposition	opposit	opposition
and	and	and
demanded	demand	demanded
that	that	that
it	it	it
improve	improv	improve
its	it	it
image	imag	image
,	,	,
according	accord	according
to	to	to
a	a	a
recording	record	recording
leaked	leak	leaked
online	onlin	online
on	on	on
Thursday	thursday	Thursday
.	.	.

Hun	hun	Hun
Sen	sen	Sen
s	s	s
Cambodian	cambodian	Cambodian
People	peopl	People
s	s	s
Party	parti	Party
CPP	cpp	CPP
played	play	played
down	down	down
the	the	the
importance	import	importance
of	of	of
the	the	the
message	messag	message
,	,	,
in	in	in
which	which	which
Hun	hun	Hun
Sen	sen	Sen
tells	tell	tell
senior	senior	senior
officials	offici	official
they	they	they
must	must	must
stop	stop	stop
corruption	corrupt	corruption
,	,	,
extortion	extort	extortion
and	and	and
other	other	other
illegal	illeg	illegal
practices	practic	practice
and	and	and
start	start	start
making	make	making
people	peopl	people
happy	happi	happy
.	.	.

The	the	The
opposition	opposit	opposition
Cambodia	cambodia	Cambodia
National	nation	National
Rescue	rescu	Rescue
Party	parti	Party
CNRP	cnrp	CNRP
was	was	wa
banned	ban	banned
at	at	at
the	the	the
government	govern	government
s	s	s
request	request	request
last	last	last
week	week	week
,	,	,
deepening	deepen	deepening
Hun	hun	Hun
Sen	sen	Sen
s	s	s
fight	fight	fight
with	with	with
Western	western	Western
donors	donor	donor
who	who	who
accuse	accus	accuse
him	him	him
of	of	of
demolishing	demolish	demolishing
democracy	democraci	democracy
in	in	in
the	the	the
country	countri	country
he	he	he
has	has	ha
ruled	rule	ruled
for	for	for
over	over	over
32	32	32
years	year	year
.	.	.

It	it	It
doesn	doesn	doesn
t	t	t
mean	mean	mean
that	that	that
now	now	now
the	the	the
opposition	opposit	opposition
is	is	is
dissolved	dissolv	dissolved
we	we	we
can	can	can
be	be	be
careless	careless	careless
,	,	,
Hun	hun	Hun
Sen	sen	Sen
says	say	say
in	in	in
the	the	the
12	12	12
-minute	-minut	-minute
recording	record	recording
of	of	of
a	a	a
message	messag	message
to	to	to
party	parti	party
officials	offici	official
,	,	,
warning	warn	warning
that	that	that
his	his	his
opponents	oppon	opponent
could	could	could
start	start	start
a	a	a
new	new	new
party	parti	party
and	and	and
should	should	should
not	not	not
be	be	be
underestimated	underestim	underestimated
.	.	.

If	if	If
we	we	we
get	get	get
bad	bad	bad
results	result	result
and	and	and
lose	lose	lose
it	it	it
would	would	would
be	be	be
twice	twice	twice
as	as	a
bad	bad	bad
after	after	after
we	we	we
already	alreadi	already
dissolved	dissolv	dissolved
the	the	the
opposition	opposit	opposition
party	parti	party
.	.	.
.	.	.
.	.	.

People	peopl	People
can	can	can
also	also	also
dissolve	dissolv	dissolve
us	us	u
through	through	through
an	an	an
election	elect	election
.	.	.

He	he	He
said	said	said
the	the	the
international	intern	international
community	communiti	community
could	could	could
try	tri	try
to	to	to
revive	reviv	revive
their	their	their
puppets	puppet	puppet
and	and	and
channel	channel	channel
funding	fund	funding
to	to	to
Cambodia	cambodia	Cambodia
despite	despit	despite
a	a	a
five	five	five
-year	-year	-year
political	polit	political
ban	ban	ban
on	on	on
118	118	118
CNRP	cnrp	CNRP
politicians	politician	politician
.	.	.

The	the	The
CNRP	cnrp	CNRP
was	was	wa
banned	ban	banned
after	after	after
its	it	it
leader	leader	leader
,	,	,
Kem	kem	Kem
Sokha	sokha	Sokha
,	,	,
was	was	wa
arrested	arrest	arrested
for	for	for
allegedly	alleg	allegedly
plotting	plot	plotting
treason	treason	treason
with	with	with
American	american	American
help	help	help
.	.	.

He	he	He
has	has	ha
rejected	reject	rejected
the	the	the
accusations	accus	accusation
as	as	a
a	a	a
ploy	ploy	ploy
to	to	to
let	let	let
Hun	hun	Hun
Sen	sen	Sen
win	win	win
next	next	next
year	year	year
s	s	s
election	elect	election
.	.	.

In	in	In
his	his	his
message	messag	message
,	,	,
Hun	hun	Hun
Sen	sen	Sen
called	call	called
on	on	on
party	parti	party
officials	offici	official
to	to	to
stop	stop	stop
corruption	corrupt	corruption
,	,	,
extortion	extort	extortion
,	,	,
illegal	illeg	illegal
logging	log	logging
and	and	and
other	other	other
irregularities	irregular	irregularity
that	that	that
had	had	had
pushed	push	pushed
Cambodians	cambodian	Cambodians
to	to	to
vote	vote	vote
for	for	for
the	the	the
opposition	opposit	opposition
.	.	.

Votes	vote	Votes
were	were	were
cast	cast	cast
because	becaus	because
of	of	of
anger	anger	anger
due	due	due
to	to	to
our	our	our
mistakes	mistak	mistake
in	in	in
the	the	the
past	past	past
and	and	and
that	that	that
cannot	cannot	cannot
happen	happen	happen
