BERLIN	berlin	BERLIN
Reuters	reuter	Reuters
-	-	-
None	none	None
of	of	of
the	the	the
German	german	German
parties	parti	party
involved	involv	involved
in	in	in
exploratory	exploratori	exploratory
coalition	coalit	coalition
talks	talk	talk
support	support	support
French	french	French
President	presid	President
Emmanuel	emmanuel	Emmanuel
Macron	macron	Macron
s	s	s
idea	idea	idea
to	to	to
create	creat	create
a	a	a
separate	separ	separate
budget	budget	budget
for	for	for
the	the	the
euro	euro	euro
zone	zone	zone
,	,	,
a	a	a
negotiator	negoti	negotiator
for	for	for
the	the	the
Greens	green	Greens
party	parti	party
told	told	told
Reuters	reuter	Reuters
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
Reinhard	reinhard	Reinhard
Buetikofer	buetikof	Buetikofer
,	,	,
who	who	who
participated	particip	participated
in	in	in
a	a	a
late	late	late
-night	-night	-night
negotiating	negoti	negotiating
session	session	session
on	on	on
European	european	European
policy	polici	policy
on	on	on
Tuesday	tuesday	Tuesday
with	with	with
German	german	German
Chancellor	chancellor	Chancellor
Angela	angela	Angela
Merkel	merkel	Merkel
s	s	s
conservatives	conserv	conservative
and	and	and
the	the	the
Free	free	Free
Democrats	democrat	Democrats
FDP	fdp	FDP
,	,	,
said	said	said
the	the	the
Greens	green	Greens
supported	support	supported
the	the	the
idea	idea	idea
of	of	of
more	more	more
investment	invest	investment
in	in	in
infrastructure	infrastructur	infrastructure
but	but	but
not	not	not
a	a	a
new	new	new
budget	budget	budget
.	.	.
None	none	None
of	of	of
the	the	the
participating	particip	participating
parties	parti	party
support	support	support
a	a	a
euro	euro	euro
zone	zone	zone
budget	budget	budget
,	,	,
Buetikofer	buetikof	Buetikofer
,	,	,
a	a	a
member	member	member
of	of	of
the	the	the
European	european	European
Parliament	parliament	Parliament
said	said	said
.	.	.
We	we	We
Greens	green	Greens
fully	fulli	fully
support	support	support
the	the	the
idea	idea	idea
of	of	of
finding	find	finding
ways	way	way
,	,	,
within	within	within
the	the	the
framework	framework	framework
of	of	of
the	the	the
existing	exist	existing
EU	eu	EU
budget	budget	budget
,	,	,
to	to	to
boost	boost	boost
investment	invest	investment
in	in	in
infrastructure	infrastructur	infrastructure
.	.	.
We	we	We
share	share	share
Macron	macron	Macron
s	s	s
aim	aim	aim
of	of	of
increasing	increas	increasing
investment	invest	investment
.	.	.
The	the	The
news	news	news
is	is	is
a	a	a
blow	blow	blow
to	to	to
Macron	macron	Macron
,	,	,
who	who	who
has	has	ha
called	call	called
for	for	for
the	the	the
creation	creation	creation
of	of	of
a	a	a
euro	euro	euro
zone	zone	zone
budget	budget	budget
of	of	of
several	sever	several
hundred	hundr	hundred
billions	billion	billion
of	of	of
euros	euro	euro
to	to	to
help	help	help
the	the	the
single	singl	single
currency	currenc	currency
bloc	bloc	bloc
cope	cope	cope
with	with	with
economic	econom	economic
shocks	shock	shock
.	.	.
The	the	The
Greens	green	Greens
are	are	are
seen	seen	seen
as	as	a
the	the	the
biggest	biggest	biggest
supporters	support	supporter
of	of	of
Macron	macron	Macron
s	s	s
ideas	idea	idea
among	among	among
the	the	the
German	german	German
parties	parti	party
considering	consid	considering
a	a	a
coalition	coalit	coalition
.	.	.
