TUNIS	tuni	TUNIS
TRIPOLI	tripoli	TRIPOLI
Reuters	reuter	Reuters
-	-	-
U	u	U
.	.	.
N	n	N
.	.	.
agencies	agenc	agency
said	said	said
on	on	on
Monday	monday	Monday
they	they	they
were	were	were
trying	tri	trying
to	to	to
provide	provid	provide
urgent	urgent	urgent
help	help	help
to	to	to
large	larg	large
numbers	number	number
of	of	of
migrants	migrant	migrant
held	held	held
and	and	and
then	then	then
stranded	strand	stranded
in	in	in
the	the	the
smuggling	smuggl	smuggling
hub	hub	hub
of	of	of
Sabratha	sabratha	Sabratha
as	as	a
rival	rival	rival
factions	faction	faction
battled	battl	battled
for	for	for
control	control	control
of	of	of
the	the	the
city	citi	city
.	.	.
At	at	At
least	least	least
4	4	4
,	,	,
000	000	000
migrants	migrant	migrant
,	,	,
including	includ	including
pregnant	pregnant	pregnant
women	women	woman
,	,	,
newborn	newborn	newborn
babies	babi	baby
and	and	and
unaccompanied	unaccompani	unaccompanied
children	children	child
,	,	,
have	have	have
been	been	been
transferred	transfer	transferred
from	from	from
informal	inform	informal
camps	camp	camp
and	and	and
housing	hous	housing
to	to	to
a	a	a
hangar	hangar	hangar
in	in	in
the	the	the
city	citi	city
since	sinc	since
the	the	the
clashes	clash	clash
ended	end	ended
on	on	on
Friday	friday	Friday
,	,	,
the	the	the
International	intern	International
Organization	organ	Organization
for	for	for
Migration	migrat	Migration
IOM	iom	IOM
said	said	said
.	.	.
The	the	The
U	u	U
.	.	.
N	n	N
.	.	.
refugee	refuge	refugee
agency	agenc	agency
,	,	,
UNHCR	unhcr	UNHCR
,	,	,
said	said	said
some	some	some
6	6	6
,	,	,
000	000	000
had	had	had
been	been	been
held	held	held
at	at	at
the	the	the
informal	inform	informal
sites	site	site
.	.	.
Hundreds	hundr	Hundreds
of	of	of
migrants	migrant	migrant
who	who	who
had	had	had
left	left	left
Sabratha	sabratha	Sabratha
arrived	arriv	arrived
in	in	in
Zuwara	zuwara	Zuwara
,	,	,
about	about	about
25	25	25
km	km	km
15	15	15
miles	mile	mile
to	to	to
the	the	the
west	west	west
,	,	,
on	on	on
foot	foot	foot
along	along	along
the	the	the
beach	beach	beach
,	,	,
said	said	said
Sadeeq	sadeeq	Sadeeq
Al	al	Al
-Jayash	-jayash	-Jayash
,	,	,
head	head	head
of	of	of
Zuwara	zuwara	Zuwara
s	s	s
emergency	emerg	emergency
committee	committe	committee
.	.	.
They	they	They
come	come	come
walking	walk	walking
in	in	in
groups	group	group
.	.	.
.	.	.
.	.	.
for	for	for
example	exampl	example
there	there	there
were	were	were
various	various	various
groups	group	group
that	that	that
came	came	came
on	on	on
Sunday	sunday	Sunday
50	50	50
,	,	,
then	then	then
100	100	100
and	and	and
200	200	200
at	at	at
night	night	night
,	,	,
said	said	said
Jayash	jayash	Jayash
.	.	.
There	there	There
were	were	were
about	about	about
1	1	1
,	,	,
700	700	700
migrants	migrant	migrant
currently	current	currently
in	in	in
Zuwara	zuwara	Zuwara
in	in	in
desperate	desper	desperate
need	need	need
of	of	of
help	help	help
,	,	,
he	he	he
said	said	said
.	.	.
Sabratha	sabratha	Sabratha
has	has	ha
been	been	been
the	the	the
most	most	most
common	common	common
point	point	point
of	of	of
departure	departur	departure
for	for	for
mostly	most	mostly
sub	sub	sub
-Saharan	-saharan	-Saharan
African	african	African
migrants	migrant	migrant
trying	tri	trying
to	to	to
cross	cross	cross
the	the	the
Mediterranean	mediterranean	Mediterranean
by	by	by
boat	boat	boat
from	from	from
Libya	libya	Libya
.	.	.
But	but	But
the	the	the
number	number	number
of	of	of
crossings	cross	crossing
dropped	drop	dropped
sharply	sharpli	sharply
in	in	in
July	juli	July
after	after	after
an	an	an
armed	arm	armed
group	group	group
struck	struck	struck
a	a	a
deal	deal	deal
with	with	with
officials	offici	official
from	from	from
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
-backed	-back	-backed
government	govern	government
in	in	in
Tripoli	tripoli	Tripoli
to	to	to
block	block	block
departures	departur	departure
,	,	,
under	under	under
pressure	pressur	pressure
from	from	from
Italy	itali	Italy
and	and	and
other	other	other
European	european	European
Union	union	Union
member	member	member
states	state	state
.	.	.
That	that	That
set	set	set
off	off	off
three	three	three
weeks	week	week
of	of	of
fighting	fight	fighting
among	among	among
rival	rival	rival
factions	faction	faction
that	that	that
left	left	left
at	at	at
least	least	least
43	43	43
dead	dead	dead
and	and	and
340	340	340
wounded	wound	wounded
,	,	,
according	accord	according
to	to	to
a	a	a
