WASHINGTON	washington	WASHINGTON
HAVANA	havana	HAVANA
Reuters	reuter	Reuters
-	-	-
The	the	The
United	unit	United
States	state	States
has	has	ha
recovered	recov	recovered
an	an	an
inert	inert	inert
Hellfire	hellfir	Hellfire
air	air	air
-to-ground	-to-ground	-to-ground
missile	missil	missile
that	that	that
had	had	had
mistakenly	mistaken	mistakenly
ended	end	ended
up	up	up
in	in	in
Cuba	cuba	Cuba
,	,	,
U	u	U
.	.	.
S	s	S
.	.	.
and	and	and
Cuban	cuban	Cuban
officials	offici	official
said	said	said
on	on	on
Saturday	saturday	Saturday
.	.	.
The	the	The
laser	laser	laser
-guided	-guid	-guided
AGM	agm	AGM
114	114	114
Hellfire	hellfir	Hellfire
mistakenly	mistaken	mistakenly
arrived	arriv	arrived
in	in	in
Cuba	cuba	Cuba
in	in	in
June	june	June
2014	2014	2014
and	and	and
was	was	wa
retrieved	retriev	retrieved
on	on	on
Saturday	saturday	Saturday
by	by	by
U	u	U
.	.	.
S	s	S
.	.	.
officials	offici	official
and	and	and
representatives	repres	representative
of	of	of
Lockheed	lockhe	Lockheed
Martin	martin	Martin
Corp	corp	Corp
,	,	,
the	the	the
missile	missil	missile
s	s	s
owner	owner	owner
,	,	,
the	the	the
Cuban	cuban	Cuban
foreign	foreign	foreign
ministry	ministri	ministry
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
We	we	We
can	can	can
say	say	say
,	,	,
without	without	without
speaking	speak	speaking
to	to	to
specifics	specif	specific
,	,	,
that	that	that
the	the	the
inert	inert	inert
training	train	training
missile	missil	missile
has	has	ha
been	been	been
returned	return	returned
with	with	with
the	the	the
cooperation	cooper	cooperation
of	of	of
the	the	the
Cuban	cuban	Cuban
government	govern	government
,	,	,
State	state	State
Department	depart	Department
spokesman	spokesman	spokesman
Mark	mark	Mark
Toner	toner	Toner
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
Lockheed	lockhe	Lockheed
Martin	martin	Martin
spokesman	spokesman	spokesman
Bill	bill	Bill
Phelps	phelp	Phelps
declined	declin	declined
comment	comment	comment
.	.	.
The	the	The
missile	missil	missile
had	had	had
been	been	been
sent	sent	sent
to	to	to
Europe	europ	Europe
for	for	for
a	a	a
training	train	training
exercise	exercis	exercise
in	in	in
2014	2014	2014
but	but	but
somehow	somehow	somehow
ended	end	ended
up	up	up
in	in	in
Cuba	cuba	Cuba
in	in	in
an	an	an
embarrassing	embarrass	embarrassing
loss	loss	loss
of	of	of
military	militari	military
technology	technolog	technology
,	,	,
the	the	the
Wall	wall	Wall
Street	street	Street
Journal	journal	Journal
reported	report	reported
last	last	last
month	month	month
.	.	.
The	the	The
department	depart	department
is	is	is
restricted	restrict	restricted
under	under	under
federal	feder	federal
law	law	law
and	and	and
regulations	regul	regulation
from	from	from
commenting	comment	commenting
on	on	on
specific	specif	specific
defense	defens	defense
trade	trade	trade
licensing	licens	licensing
cases	case	case
and	and	and
compliance	complianc	compliance
matters	matter	matter
,	,	,
so	so	so
we	we	we
cannot	cannot	cannot
provide	provid	provide
further	further	further
details	detail	detail
,	,	,
Toner	toner	Toner
said	said	said
.	.	.
But	but	But
he	he	he
said	said	said
reestablished	reestablish	reestablished
diplomatic	diplomat	diplomatic
relations	relat	relation
between	between	between
the	the	the
two	two	two
countries	countri	country
have	have	have
helped	help	helped
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
engage	engag	engage
with	with	with
the	the	the
Cuban	cuban	Cuban
government	govern	government
on	on	on
issues	issu	issue
of	of	of
mutual	mutual	mutual
interest	interest	interest
.	.	.
Cuba	cuba	Cuba
said	said	said
the	the	the
missile	missil	missile
arrived	arriv	arrived
by	by	by
mistake	mistak	mistake
or	or	or
mishandling	mishandl	mishandling
on	on	on
a	a	a
commercial	commerci	commercial
flight	flight	flight
from	from	from
Paris	pari	Paris
and	and	and
was	was	wa
not	not	not
listed	list	listed
on	on	on
the	the	the
cargo	cargo	cargo
manifest	manifest	manifest
,	,	,
and	and	and
that	that	that
it	it	it
was	was	wa
discovered	discov	discovered
by	by	by
customs	custom	custom
inspectors	inspector	inspector
.	.	.
Once	onc	Once
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
government	govern	government
officially	offici	officially
informed	inform	informed
the	the	the
Cuban	cuban	Cuban
government	govern	government
that	that	that
a	a	a
training	train	training
missile	missil	missile
belonging	belong	belonging
to	to	to
the	the	the
company	compani	company
Lockheed	lockhe	Lockheed
Martin	martin	Martin
was	was	wa
mistakenly	mistaken	mistakenly
sent	sent	sent
to	to	to
our	our	our
country	countri	country
and	and	and
expressed	express	expressed
its	it	it
interest	interest	interest
in	in	in
recovering	recov	recovering
it	it	it
,	,	,
Cuba	cuba	Cuba
communicated	communic	communicated
the	the	the
decision	decis	decision
to	to	to
hand	hand	hand
it	it	it
over	over	over
and	and	and
started	start	started
arrangements	arrang	arrangement
for	for	for
its	it	it
return	return	return
,	,	,
the	the	the
Cuban	cuban	Cuban
statement	statement	statement
said	said	said
,	,	,
without	without	without
revealing	reveal	revealing
when	when	when
the	the	the
United	unit	United
States	state	States
made	made	made
the	the	the
request	request	request
.	.	.
A	a	A
team	team	team
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
government	govern	government
and	and	and
Lockheed	lockhe	Lockheed
Martin	martin	Martin
experts	expert	expert
took	took	took
the	the	the
missile	missil	missile
back	back	back
to	to	to
the	the	the
United	unit	United
States	state	States
on	on	on
Saturday	saturday	Saturday
,	,	,
Cuba	cuba	Cuba
said	said	said
.	.	.
