BERLIN	berlin	BERLIN
Reuters	reuter	Reuters
-	-	-
European	european	European
aviation	aviat	aviation
safety	safeti	safety
authorities	author	authority
have	have	have
urged	urg	urged
airlines	airlin	airline
to	to	to
remind	remind	remind
passengers	passeng	passenger
about	about	about
how	how	how
best	best	best
to	to	to
transport	transport	transport
electronic	electron	electronic
devices	devic	device
containing	contain	containing
lithium	lithium	lithium
ion	ion	ion
batteries	batteri	battery
over	over	over
the	the	the
busy	busi	busy
Christmas	christma	Christmas
travel	travel	travel
period	period	period
.	.	.

Lithium	lithium	Lithium
ion	ion	ion
batteries	batteri	battery
,	,	,
found	found	found
in	in	in
devices	devic	device
such	such	such
as	as	a
laptops	laptop	laptop
,	,	,
mobile	mobil	mobile
phones	phone	phone
,	,	,
tablets	tablet	tablet
,	,	,
and	and	and
electronic	electron	electronic
cigarettes	cigarett	cigarette
,	,	,
are	are	are
seen	seen	seen
as	as	a
a	a	a
fire	fire	fire
risk	risk	risk
,	,	,
and	and	and
there	there	there
are	are	are
concerns	concern	concern
that	that	that
if	if	if
a	a	a
fire	fire	fire
were	were	were
to	to	to
start	start	start
in	in	in
the	the	the
hold	hold	hold
of	of	of
a	a	a
plane	plane	plane
,	,	,
it	it	it
could	could	could
not	not	not
easily	easili	easily
be	be	be
extinguished	extinguish	extinguished
.	.	.

It	it	It
is	is	is
important	import	important
that	that	that
airlines	airlin	airline
inform	inform	inform
their	their	their
passengers	passeng	passenger
that	that	that
large	larg	large
personal	person	personal
electronic	electron	electronic
devices	devic	device
should	should	should
be	be	be
carried	carri	carried
in	in	in
the	the	the
passenger	passeng	passenger
cabin	cabin	cabin
whenever	whenev	whenever
possible	possibl	possible
,	,	,
the	the	the
European	european	European
Aviation	aviat	Aviation
Safety	safeti	Safety
Agency	agenc	Agency
EASA	easa	EASA
said	said	said
in	in	in
a	a	a
statement	statement	statement
on	on	on
Tuesday	tuesday	Tuesday
.	.	.

Many	mani	Many
airlines	airlin	airline
in	in	in
Europe	europ	Europe
already	alreadi	already
have	have	have
their	their	their
own	own	own
procedures	procedur	procedure
in	in	in
place	place	place
,	,	,
such	such	such
as	as	a
telling	tell	telling
passengers	passeng	passenger
that	that	that
laptops	laptop	laptop
should	should	should
not	not	not
be	be	be
carried	carri	carried
in	in	in
hold	hold	hold
baggage	baggag	baggage
.	.	.

EASA	easa	EASA
said	said	said
that	that	that
where	where	where
such	such	such
items	item	item
are	are	are
too	too	too
large	larg	large
to	to	to
be	be	be
carried	carri	carried
in	in	in
the	the	the
cabin	cabin	cabin
,	,	,
then	then	then
they	they	they
must	must	must
be	be	be
completely	complet	completely
switched	switch	switched
off	off	off
,	,	,
protected	protect	protected
from	from	from
accidental	accident	accidental
activation	activ	activation
,	,	,
and	and	and
packaged	packag	packaged
suitably	suitabl	suitably
to	to	to
avoid	avoid	avoid
damage	damag	damage
.	.	.

They	they	They
should	should	should
also	also	also
not	not	not
be	be	be
carried	carri	carried
in	in	in
the	the	the
same	same	same
bag	bag	bag
as	as	a
flammable	flammabl	flammable
items	item	item
such	such	such
as	as	a
perfume	perfum	perfume
or	or	or
aerosols	aerosol	aerosol
.	.	.

EASA	easa	EASA
also	also	also
said	said	said
that	that	that
if	if	if
devices	devic	device
cannot	cannot	cannot
be	be	be
carried	carri	carried
in	in	in
the	the	the
cabin	cabin	cabin
,	,	,
such	such	such
as	as	a
when	when	when
passengers	passeng	passenger
have	have	have
to	to	to
put	put	put
carry	carri	carry
-on	-on	-on
bags	bag	bag
in	in	in
the	the	the
hold	hold	hold
due	due	due
to	to	to
a	a	a
lack	lack	lack
of	of	of
space	space	space
in	in	in
the	the	the
cabin	cabin	cabin
,	,	,
airlines	airlin	airline
should	should	should
remember	rememb	remember
to	to	to
ask	ask	ask
passengers	passeng	passenger
to	to	to
remove	remov	remove
any	ani	any
spare	spare	spare
batteries	batteri	battery
or	or	or
e	e	e
-cigarettes	-cigarett	-cigarettes
.	.	.

Lithium	lithium	Lithium
ion	ion	ion
batteries	batteri	battery
are	are	are
also	also	also
used	use	used
to	to	to
power	power	power
so	so	so
-called	-call	-called
smart	smart	smart
bags	bag	bag
,	,	,
suitcases	suitcas	suitcase
which	which	which
offer	offer	offer
GPS	gps	GPS
tracking	track	tracking
and	and	and
can	can	can
charge	charg	charge
devices	devic	device
,	,	,
weigh	weigh	weigh
themselves	themselv	themselves
or	or	or
be	be	be
locked	lock	locked
remotely	remot	remotely
using	use	using
mobile	mobil	mobile
phones	phone	phone
.	.	.

