NAIROBI	nairobi	NAIROBI
Reuters	reuter	Reuters
-	-	-
Swearing	swear	Swearing
in	in	in
an	an	an
alternative	altern	alternative
president	presid	president
of	of	of
Kenya	kenya	Kenya
would	would	would
be	be	be
an	an	an
act	act	act
of	of	of
treason	treason	treason
,	,	,
the	the	the
country	countri	country
s	s	s
attorney	attorney	attorney
general	general	general
said	said	said
on	on	on
Thursday	thursday	Thursday
,	,	,
days	day	day
before	befor	before
an	an	an
opposition	opposit	opposition
leader	leader	leader
expects	expect	expects
to	to	to
be	be	be
inaugurated	inaugur	inaugurated
by	by	by
an	an	an
unofficial	unoffici	unofficial
people	peopl	people
s	s	s
assembly	assembl	assembly
.	.	.

Such	such	Such
an	an	an
inauguration	inaugur	inauguration
would	would	would
worsen	worsen	worsen
the	the	the
rifts	rift	rift
opened	open	opened
by	by	by
an	an	an
acrimonious	acrimoni	acrimonious
election	elect	election
season	season	season
,	,	,
when	when	when
more	more	more
than	than	than
70	70	70
people	peopl	people
died	die	died
in	in	in
political	polit	political
violence	violenc	violence
.	.	.

The	the	The
extended	extend	extended
campaigns	campaign	campaign
eventually	eventu	eventually
led	led	led
to	to	to
President	presid	President
Uhuru	uhuru	Uhuru
Kenyatta	kenyatta	Kenyatta
s	s	s
re	re	re
-election	-elect	-election
.	.	.

Attorney	attorney	Attorney
General	general	General
Githu	githu	Githu
Muigai	muigai	Muigai
did	did	did
not	not	not
name	name	name
anyone	anyon	anyone
,	,	,
but	but	but
opposition	opposit	opposition
leader	leader	leader
Raila	raila	Raila
Odinga	odinga	Odinga
said	said	said
last	last	last
month	month	month
that	that	that
he	he	he
would	would	would
be	be	be
inaugurated	inaugur	inaugurated
by	by	by
a	a	a
people	peopl	people
s	s	s
assembly	assembl	assembly
on	on	on
Dec	dec	Dec
.	.	.

12	12	12
-	-	-
Kenya	kenya	Kenya
s	s	s
Independence	independ	Independence
Day	day	Day
.	.	.

Unless	unless	Unless
a	a	a
candidate	candid	candidate
was	was	wa
declared	declar	declared
the	the	the
victor	victor	victor
in	in	in
an	an	an
election	elect	election
by	by	by
the	the	the
Independent	independ	Independent
Electoral	elector	Electoral
and	and	and
Boundaries	boundari	Boundaries
Commission	commiss	Commission
and	and	and
the	the	the
swearing	swear	swearing
-in	-in	-in
was	was	wa
conducted	conduct	conducted
by	by	by
the	the	the
Kenyan	kenyan	Kenyan
chief	chief	chief
justice	justic	justice
,	,	,
Muigai	muigai	Muigai
told	told	told
a	a	a
news	news	news
conference	confer	conference
,	,	,
such	such	such
a	a	a
inauguration	inaugur	inauguration
is	is	is
a	a	a
process	process	process
wholly	wholli	wholly
unanticipated	unanticip	unanticipated
by	by	by
the	the	the
constitution	constitut	constitution
and	and	and
is	is	is
null	null	null
and	and	and
void	void	void
.	.	.

The	the	The
criminal	crimin	criminal
law	law	law
of	of	of
the	the	the
Republic	republ	Republic
of	of	of
Kenya	kenya	Kenya
stipulates	stipul	stipulates
that	that	that
sort	sort	sort
of	of	of
process	process	process
is	is	is
high	high	high
treason	treason	treason
,	,	,
he	he	he
said	said	said
.	.	.

It	it	It
is	is	is
high	high	high
treason	treason	treason
of	of	of
the	the	the
persons	person	person
involved	involv	involved
,	,	,
and	and	and
any	ani	any
other	other	other
person	person	person
facilitating	facilit	facilitating
that	that	that
process	process	process
.	.	.

Under	under	Under
Kenyan	kenyan	Kenyan
law	law	law
,	,	,
treason	treason	treason
is	is	is
punishable	punish	punishable
by	by	by
death	death	death
.	.	.

Muigai	muigai	Muigai
said	said	said
people	peopl	people
s	s	s
assemblies	assembl	assembly
proposed	propos	proposed
by	by	by
the	the	the
National	nation	National
Super	super	Super
Alliance	allianc	Alliance
,	,	,
Odinga	odinga	Odinga
s	s	s
opposition	opposit	opposition
coalition	coalit	coalition
,	,	,
were	were	were
illegal	illeg	illegal
as	as	a
well	well	well
.	.	.

These	these	These
institutions	institut	institution
are	are	are
unconstitutional	unconstitut	unconstitutional
they	they	they
are	are	are
illegal	illeg	illegal
,	,	,
they	they	they
are	are	are
null	null	null
and	and	and
void	void	void
.	.	.

The	the	The
persons	person	person
involved	involv	involved
in	in	in
their	their	their
creation	creation	creation
are	are	are
involved	involv	involved
in	in	in
extra	extra	extra
-constitutional	-constitut	-constitutional
activity	activ	activity
and	and	and
may	may	may
be	be	be
visited	visit	visited
by	by	by
the	the	the
full	full	full
force	forc	force
of	of	of
the	the	the
law	law	law
,	,	,
he	he	he
said	said	said
.	.	.

So	so	So
far	far	far
,	,	,
12	12	12
Kenyan	kenyan	Kenyan
counties	counti	county
have	have	have
passed	pass	passed
motions	motion	motion
supporting	support	supporting
the	the	the
formation	format	formation
of	of	of
a	a	a
people	peopl	people
s	s	s
assembly	assembl	assembly
,	,	,
most	most	most
of	of	of
them	them	them
counties	counti	county
that	that	that
had	had	had
backed	back	backed
the	the	the
opposition	opposit	opposition
in	in	in
Kenya	kenya	Kenya
s	s	s
protracted	protract	protracted
voting	vote	voting
.	.	.

Odinga	odinga	Odinga
and	and	and
Kenyatta	kenyatta	Kenyatta
faced	face	faced
off	off	off
in	in	in
an	an	an
election	elect	election
in	in	in
August	august	August
that	that	that
Kenyatta	kenyatta	Kenyatta
won	won	won
.	.	.

But	but	But
the	the	the
Supreme	suprem	Supreme
Court	court	Court
nullified	nullifi	nullified
the	the	the
result	result	result
,	,	,
and	and	and
a	a	a
repeat	repeat	repeat
election	elect	election
was	was	wa
held	held	held
on	on	on
Oct	oct	Oct
.	.	.

26	26	26
.	.	.

Odinga	odinga	Odinga
boycotted	boycot	boycotted
that	that	that
vote	vote	vote
,	,	,
saying	say	saying
reforms	reform	reform
needed	need	needed
to	to	to
avoid	avoid	avoid
illegalities	illeg	illegality
and	and	and
irregularities	irregular	irregularity
had	had	had
not	not	not
been	been	been
made	made	made
.	.	.

Kenyatta	kenyatta	Kenyatta
won	won	won
again	again	again
,	,	,
with	with	with
98	98	98
percent	percent	percent
of	of	of
the	the	the
vote	vote	vote
.	.	.

The	the	The
United	unit	United
States	state	States
had	had	had
urged	urg	urged
opposition	opposit	opposition
leaders	leader	leader
to	to	to
work	work	work
within	within	within
the	the	the
law	law	law
and	and	and
avoid	avoid	avoid
actions	action	action
like	like	like
the	the	the
proposed	propos	proposed
inauguration	inaugur	inauguration
ceremony	ceremoni	ceremony
,	,	,
a	a	a
statement	statement	statement
from	from	from
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Embassy	embassi	Embassy
in	in	in
Nairobi	nairobi	Nairobi
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
,	,	,
following	follow	following
a	a	a
visit	visit	visit
to	to	to
Kenya	kenya	Kenya
by	by	by
Donald	donald	Donald
Yamamoto	yamamoto	Yamamoto
,	,	,
the	the	the
acting	act	acting
assistant	assist	assistant
secretary	secretari	secretary
of	of	of
state	state	state
for	for	for
African	african	African
affairs	affair	affair
.	.	.

Without	without	Without
directly	direct	directly
mentioning	mention	mentioning
the	the	the
ceremony	ceremoni	ceremony
or	or	or
the	the	the
United	unit	United
States	state	States
,	,	,
Odinga	odinga	Odinga
said	said	said
on	on	on
Thursday	thursday	Thursday
that	that	that
Kenyans	kenyan	Kenyans
should	should	should
be	be	be
left	left	left
to	to	to
solve	solv	solve
their	their	their
own	own	own
problems	problem	problem
.	.	.

Our	our	Our
friends	friend	friend
can	can	can
give	give	give
us	us	u
advice	advic	advice
.	.	.
.	.	.
.	.	.

in	in	in
privacy	privaci	privacy
.	.	.

Don	don	Don
t	t	t
come	come	come
and	and	and
shout	shout	shout
at	at	at
us	us	u
,	,	,
and	and	and
tell	tell	tell
us	us	u
that	that	that
we	we	we
are	are	are
going	go	going
to	to	to
violate	violat	violate
the	the	the
constitution	constitut	constitution
.	.	.

Which	which	Which
constitution	constitut	constitution
,	,	,
my	my	my
foot	foot	foot
,	,	,
Odinga	odinga	Odinga
told	told	told
reporters	report	reporter
in	in	in
Nairobi	nairobi	Nairobi
.	.	.

