WASHINGTON	washington	WASHINGTON
Reuters	reuter	Reuters
-	-	-
Repealing	repeal	Repealing
Obamacare	obamacar	Obamacare
could	could	could
take	take	take
months	month	month
and	and	and
developing	develop	developing
replacement	replac	replacement
health	health	health
insurance	insur	insurance
plans	plan	plan
could	could	could
take	take	take
years	year	year
,	,	,
senior	senior	senior
Republican	republican	Republican
aides	aid	aide
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Congress	congress	Congress
said	said	said
on	on	on
Thursday	thursday	Thursday
,	,	,
discouraging	discourag	discouraging
talk	talk	talk
of	of	of
a	a	a
quick	quick	quick
end	end	end
to	to	to
the	the	the
program	program	program
after	after	after
President	presid	President
-elect	-elect	-elect
Donald	donald	Donald
Trump	trump	Trump
takes	take	take
office	offic	office
on	on	on
Jan	jan	Jan
.	.	.

20	20	20
.	.	.

Trump	trump	Trump
has	has	ha
promised	promis	promised
to	to	to
repeal	repeal	repeal
Obamacare	obamacar	Obamacare
,	,	,
and	and	and
Republican	republican	Republican
lawmakers	lawmak	lawmaker
have	have	have
said	said	said
repealing	repeal	repealing
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
s	s	s
signature	signatur	signature
domestic	domest	domestic
initiative	initi	initiative
will	will	will
be	be	be
the	the	the
first	first	first
thing	thing	thing
they	they	they
take	take	take
up	up	up
in	in	in
the	the	the
new	new	new
year	year	year
,	,	,
saying	say	saying
it	it	it
should	should	should
be	be	be
rushed	rush	rushed
to	to	to
Trump	trump	Trump
s	s	s
desk	desk	desk
for	for	for
signing	sign	signing
into	into	into
law	law	law
.	.	.

But	but	But
the	the	the
project	project	project
is	is	is
going	go	going
to	to	to
take	take	take
time	time	time
,	,	,
said	said	said
senior	senior	senior
Republican	republican	Republican
aides	aid	aide
in	in	in
the	the	the
House	hous	House
of	of	of
Representatives	repres	Representatives
,	,	,
asking	ask	asking
not	not	not
to	to	to
be	be	be
named	name	named
.	.	.

We	we	We
are	are	are
talking	talk	talking
a	a	a
matter	matter	matter
of	of	of
weeks	week	week
,	,	,
in	in	in
two	two	two
months	month	month
-	-	-
but	but	but
not	not	not
a	a	a
matter	matter	matter
of	of	of
many	mani	many
months	month	month
for	for	for
Congress	congress	Congress
to	to	to
pass	pass	pas
a	a	a
repeal	repeal	repeal
,	,	,
one	one	one
aide	aid	aide
said	said	said
,	,	,
adding	ad	adding
that	that	that
Republicans	republican	Republicans
certainly	certain	certainly
hope	hope	hope
Trump	trump	Trump
will	will	will
sign	sign	sign
the	the	the
repeal	repeal	repeal
into	into	into
law	law	law
in	in	in
the	the	the
first	first	first
half	half	half
of	of	of
2017	2017	2017
.	.	.

Congressional	congression	Congressional
Republicans	republican	Republicans
are	are	are
consulting	consult	consulting
with	with	with
the	the	the
Trump	trump	Trump
transition	transit	transition
team	team	team
on	on	on
when	when	when
the	the	the
effective	effect	effective
date	date	date
of	of	of
the	the	the
repeal	repeal	repeal
should	should	should
be	be	be
,	,	,
another	anoth	another
aide	aid	aide
said	said	said
.	.	.

Setting	set	Setting
it	it	it
a	a	a
few	few	few
years	year	year
out	out	out
will	will	will
provide	provid	provide
lawmakers	lawmak	lawmaker
time	time	time
to	to	to
debate	debat	debate
whether	whether	whether
and	and	and
how	how	how
to	to	to
replace	replac	replace
some	some	some
elements	element	element
of	of	of
the	the	the
Obamacare	obamacar	Obamacare
law	law	law
.	.	.

The	the	The
effective	effect	effective
date	date	date
of	of	of
repeal	repeal	repeal
can	can	can
be	be	be
as	as	a
short	short	short
as	as	a
two	two	two
years	year	year
,	,	,
it	it	it
can	can	can
be	be	be
as	as	a
long	long	long
as	as	a
three	three	three
or	or	or
four	four	four
.	.	.

We	we	We
have	have	have
to	to	to
see	see	see
where	where	where
the	the	the
Trump	trump	Trump
administration	administr	administration
wants	want	want
to	to	to
go	go	go
in	in	in
terms	term	term
of	of	of
how	how	how
much	much	much
time	time	time
they	they	they
need	need	need
on	on	on
this	this	this
,	,	,
the	the	the
second	second	second
House	hous	House
aide	aid	aide
said	said	said
.	.	.

Some	some	Some
20	20	20
million	million	million
previously	previous	previously
uninsured	uninsur	uninsured
Americans	american	Americans
gained	gain	gained
health	health	health
coverage	coverag	coverage
through	through	through
the	the	the
Affordable	afford	Affordable
Care	care	Care
Act	act	Act
,	,	,
as	as	a
Obamacare	obamacar	Obamacare
is	is	is
officially	offici	officially
called	call	called
.	.	.

Coverage	coverag	Coverage
was	was	wa
extended	extend	extended
by	by	by
expanding	expand	expanding
Medicaid	medicaid	Medicaid
and	and	and
through	through	through
online	onlin	online
exchanges	exchang	exchange
where	where	where
consumers	consum	consumer
can	can	can
receive	receiv	receive
income	incom	income
-based	-base	-based
subsidies	subsidi	subsidy
.	.	.

Republicans	republican	Republicans
have	have	have
launched	launch	launched
repeated	repeat	repeated
legal	legal	legal
and	and	and
legislative	legisl	legislative
efforts	effort	effort
to	to	to
dismantle	dismantl	dismantle
the	the	the
law	law	law
,	,	,
criticizing	critic	criticizing
it	it	it
as	as	a
government	govern	government
overreach	overreach	overreach
.	.	.

They	they	They
say	say	say
they	they	they
want	want	want
to	to	to
replace	replac	replace
it	it	it
by	by	by
giving	give	giving
states	state	state
,	,	,
not	not	not
the	the	the
federal	feder	federal
government	govern	government
,	,	,
more	more	more
control	control	control
.	.	.

Talk	talk	Talk
that	that	that
the	the	the
Republican	republican	Republican
-majority	-major	-majority
Congress	congress	Congress
could	could	could
repeal	repeal	repeal
the	the	the
program	program	program
in	in	in
January	januari	January
was	was	wa
not	not	not
based	base	based
on	on	on
careful	care	careful
consideration	consider	consideration
of	of	of
the	the	the
process	process	process
or	or	or
politics	polit	politics
,	,	,
said	said	said
Joe	joe	Joe
Antos	anto	Antos
,	,	,
a	a	a
health	health	health
policy	polici	policy
expert	expert	expert
at	at	at
the	the	the
conservative	conserv	conservative
American	american	American
Enterprise	enterpris	Enterprise
Institute	institut	Institute
.	.	.

I	i	I
can	can	can
see	see	see
repeal	repeal	repeal
relatively	relat	relatively
quickly	quick	quickly
,	,	,
Antos	anto	Antos
said	said	said
,	,	,
although	although	although
not	not	not
within	within	within
a	a	a
few	few	few
weeks	week	week
,	,	,
but	but	but
replace	replac	replace
is	is	is
harder	harder	harder
.	.	.
Democrats	democrat	Democrats
will	will	will
put	put	put
up	up	up
every	everi	every
procedural	procedur	procedural
hurdle	hurdl	hurdle
they	they	they
can	can	can
to	to	to
repeal	repeal	repeal
,	,	,
said	said	said
Tevi	tevi	Tevi
Troy	troy	Troy
,	,	,
head	head	head
of	of	of
the	the	the
American	american	American
Health	health	Health
Policy	polici	Policy
Institute	institut	Institute
.	.	.

Stuart	stuart	Stuart
Butler	butler	Butler
,	,	,
a	a	a
senior	senior	senior
fellow	fellow	fellow
at	at	at
the	the	the
Brookings	brook	Brookings
Institution	institut	Institution
,	,	,
noted	note	noted
that	that	that
a	a	a
four	four	four
-year	-year	-year
effective	effect	effective
date	date	date
of	of	of
repeal	repeal	repeal
could	could	could
fall	fall	fall
after	after	after
the	the	the
next	next	next
presidential	presidenti	presidential
election	elect	election
.	.	.

Somehow	somehow	Somehow
I	i	I
doubt	doubt	doubt
people	peopl	people
will	will	will
see	see	see
that	that	that
as	as	a
a	a	a
fulfilled	fulfil	fulfilled
campaign	campaign	campaign
promise	promis	promise
,	,	,
he	he	he
said	said	said
.	.	.

