LONDON	london	LONDON
Reuters	reuter	Reuters
-	-	-
The	the	The
deputy	deputi	deputy
head	head	head
of	of	of
Iran	iran	Iran
s	s	s
Revolutionary	revolutionari	Revolutionary
Guards	guard	Guards
warned	warn	warned
Europe	europ	Europe
that	that	that
if	if	if
it	it	it
threatens	threaten	threatens
Tehran	tehran	Tehran
,	,	,
the	the	the
Guards	guard	Guards
will	will	will
increase	increas	increase
the	the	the
range	rang	range
of	of	of
missiles	missil	missile
to	to	to
above	abov	above
2	2	2
,	,	,
000	000	000
kilometers	kilomet	kilometer
,	,	,
the	the	the
Fars	far	Fars
news	news	news
agency	agenc	agency
reported	report	reported
on	on	on
Saturday	saturday	Saturday
.	.	.

France	franc	France
has	has	ha
called	call	called
for	for	for
an	an	an
uncompromising	uncompromis	uncompromising
dialogue	dialogu	dialogue
with	with	with
Iran	iran	Iran
about	about	about
its	it	it
ballistic	ballist	ballistic
missile	missil	missile
program	program	program
and	and	and
a	a	a
possible	possibl	possible
negotiation	negoti	negotiation
over	over	over
the	the	the
issue	issu	issue
separate	separ	separate
from	from	from
Tehran	tehran	Tehran
s	s	s
2015	2015	2015
nuclear	nuclear	nuclear
deal	deal	deal
with	with	with
world	world	world
powers	power	power
.	.	.

Iran	iran	Iran
has	has	ha
repeatedly	repeat	repeatedly
said	said	said
its	it	it
missile	missil	missile
program	program	program
is	is	is
defensive	defens	defensive
and	and	and
not	not	not
negotiable	negoti	negotiable
.	.	.

If	if	If
we	we	we
have	have	have
kept	kept	kept
the	the	the
range	rang	range
of	of	of
our	our	our
missiles	missil	missile
to	to	to
2	2	2
,	,	,
000	000	000
kilometers	kilomet	kilometer
,	,	,
it	it	it
s	s	s
not	not	not
due	due	due
to	to	to
lack	lack	lack
of	of	of
technology	technolog	technology
.	.	.

.	.	.
.	.	.
.	.	.

We	we	We
are	are	are
following	follow	following
a	a	a
strategic	strateg	strategic
doctrine	doctrin	doctrine
,	,	,
Brigadier	brigadi	Brigadier
General	general	General
Hossein	hossein	Hossein
Salami	salami	Salami
said	said	said
,	,	,
according	accord	according
to	to	to
Fars	far	Fars
.	.	.

So	so	So
far	far	far
we	we	we
have	have	have
felt	felt	felt
that	that	that
Europe	europ	Europe
is	is	is
not	not	not
a	a	a
threat	threat	threat
,	,	,
so	so	so
we	we	we
did	did	did
not	not	not
increase	increas	increase
the	the	the
range	rang	range
of	of	of
our	our	our
missiles	missil	missile
.	.	.

But	but	But
if	if	if
Europe	europ	Europe
wants	want	want
to	to	to
turn	turn	turn
into	into	into
a	a	a
threat	threat	threat
,	,	,
we	we	we
will	will	will
increase	increas	increase
the	the	the
range	rang	range
of	of	of
our	our	our
missiles	missil	missile
,	,	,
he	he	he
added	ad	added
.	.	.

The	the	The
head	head	head
of	of	of
Iran	iran	Iran
s	s	s
Revolutionary	revolutionari	Revolutionary
Guards	guard	Guards
military	militari	military
force	forc	force
,	,	,
Major	major	Major
General	general	General
Mohammad	mohammad	Mohammad
Ali	ali	Ali
Jafari	jafari	Jafari
,	,	,
said	said	said
last	last	last
month	month	month
that	that	that
Iran	iran	Iran
s	s	s
2	2	2
,	,	,
000	000	000
-kilometre	-kilometr	-kilometre
missile	missil	missile
range	rang	range
could	could	could
cover	cover	cover
most	most	most
of	of	of
American	american	American
interest	interest	interest
and	and	and
forces	forc	force
within	within	within
the	the	the
region	region	region
,	,	,
so	so	so
Iran	iran	Iran
did	did	did
not	not	not
need	need	need
to	to	to
extend	extend	extend
it	it	it
.	.	.

Jafari	jafari	Jafari
said	said	said
the	the	the
ballistic	ballist	ballistic
missile	missil	missile
range	rang	range
was	was	wa
based	base	based
on	on	on
the	the	the
limits	limit	limit
set	set	set
by	by	by
the	the	the
country	countri	country
s	s	s
Supreme	suprem	Supreme
Leader	leader	Leader
Ayatollah	ayatollah	Ayatollah
Ali	ali	Ali
Khamenei	khamenei	Khamenei
,	,	,
who	who	who
is	is	is
the	the	the
head	head	head
of	of	of
armed	arm	armed
forces	forc	force
.	.	.

Iran	iran	Iran
has	has	ha
one	one	one
of	of	of
the	the	the
Middle	middl	Middle
East	east	East
s	s	s
largest	largest	largest
missile	missil	missile
programs	program	program
and	and	and
some	some	some
of	of	of
its	it	it
precision	precis	precision
-guided	-guid	-guided
missiles	missil	missile
have	have	have
the	the	the
range	rang	range
to	to	to
strike	strike	strike
Israel	israel	Israel
.	.	.

The	the	The
United	unit	United
States	state	States
accused	accus	accused
Iran	iran	Iran
this	this	this
month	month	month
of	of	of
supplying	suppli	supplying
Yemen	yemen	Yemen
s	s	s
Houthi	houthi	Houthi
rebels	rebel	rebel
with	with	with
a	a	a
missile	missil	missile
that	that	that
was	was	wa
fired	fire	fired
into	into	into
Saudi	saudi	Saudi
Arabia	arabia	Arabia
in	in	in
July	juli	July
and	and	and
called	call	called
for	for	for
the	the	the
United	unit	United
Nations	nation	Nations
to	to	to
hold	hold	hold
Tehran	tehran	Tehran
accountable	account	accountable
for	for	for
violating	violat	violating
two	two	two
U	u	U
.	.	.
N	n	N
.	.	.
Security	secur	Security
Council	council	Council
resolutions	resolut	resolution
.	.	.

Iran	iran	Iran
has	has	ha
denied	deni	denied
supplying	suppli	supplying
the	the	the
Houthis	houthi	Houthis
with	with	with
missiles	missil	missile
and	and	and
weapons	weapon	weapon
.	.	.

Yemen	yemen	Yemen
is	is	is
in	in	in
total	total	total
blockade	blockad	blockade
.	.	.

How	how	How
could	could	could
we	we	we
have	have	have
given	given	given
them	them	them
any	ani	any
missile	missil	missile
?	?	?

Salami	salami	Salami
said	said	said
,	,	,
according	accord	according
to	to	to
the	the	the
Fars	far	Fars
report	report	report
on	on	on
Saturday	saturday	Saturday
.	.	.

If	if	If
Iran	iran	Iran
can	can	can
send	send	send
a	a	a
missile	missil	missile
to	to	to
Yemen	yemen	Yemen
,	,	,
it	it	it
shows	show	show
the	the	the
incapability	incap	incapability
of	of	of
the	the	the
Saudi	saudi	Saudi
coalition	coalit	coalition
.	.	.

But	but	But
we	we	we
have	have	have
not	not	not
given	given	given
them	them	them
missiles	missil	missile
.	.	.

Salami	salami	Salami
said	said	said
the	the	the
Houthis	houthi	Houthis
managed	manag	managed
to	to	to
increase	increas	increase
the	the	the
range	rang	range
and	and	and
precision	precis	precision
of	of	of
their	their	their
missiles	missil	missile
in	in	in
a	a	a
scientific	scientif	scientific
breakthrough	breakthrough	breakthrough
.	.	.

Jafari	jafari	Jafari
,	,	,
the	the	the
head	head	head
of	of	of
the	the	the
Revolutionary	revolutionari	Revolutionary
Guards	guard	Guards
,	,	,
said	said	said
on	on	on
Thursday	thursday	Thursday
that	that	that
Iran	iran	Iran
only	onli	only
provides	provid	provides
advisory	advisori	advisory
and	and	and
spiritual	spiritu	spiritual
assistances	assist	assistance
to	to	to
the	the	the
Houthis	houthi	Houthis
.	.	.

Iran	iran	Iran
long	long	long
denied	deni	denied
sending	send	sending
fighters	fighter	fighter
to	to	to
Syria	syria	Syria
to	to	to
help	help	help
President	presid	President
Bashar	bashar	Bashar
al	al	al
-Assad	-assad	-Assad
in	in	in
the	the	the
fight	fight	fight
against	against	against
the	the	the
rebels	rebel	rebel
,	,	,
and	and	and
said	said	said
the	the	the
Revolutionary	revolutionari	Revolutionary
Guards	guard	Guards
presence	presenc	presence
on	on	on
the	the	the
ground	ground	ground
was	was	wa
advisory	advisori	advisory
In	in	In
what	what	what
seemed	seem	seemed
to	to	to
be	be	be
a	a	a
correction	correct	correction
of	of	of
Jafari	jafari	Jafari
s	s	s
comments	comment	comment
,	,	,
Salami	salami	Salami
said	said	said
on	on	on
Saturday	saturday	Saturday
that	that	that
Iran	iran	Iran
s	s	s
support	support	support
for	for	for
the	the	the
Houthis	houthi	Houthis
was	was	wa
political	polit	political
and	and	and
spiritual	spiritu	spiritual
.	.	.

The	the	The
United	unit	United
States	state	States
has	has	ha
imposed	impos	imposed
unilateral	unilater	unilateral
sanctions	sanction	sanction
on	on	on
Iran	iran	Iran
,	,	,
saying	say	saying
its	it	it
missile	missil	missile
tests	test	test
violate	violat	violate
a	a	a
U	u	U
.	.	.
N	n	N
.	.	.
resolution	resolut	resolution
that	that	that
calls	call	call
on	on	on
Tehran	tehran	Tehran
not	not	not
to	to	to
undertake	undertak	undertake
activities	activ	activity
related	relat	related
to	to	to
missiles	missil	missile
capable	capabl	capable
of	of	of
delivering	deliv	delivering
nuclear	nuclear	nuclear
weapons	weapon	weapon
.	.	.

The	the	The
United	unit	United
States	state	States
says	say	say
Iran	iran	Iran
s	s	s
missile	missil	missile
program	program	program
is	is	is
a	a	a
breach	breach	breach
of	of	of
international	intern	international
law	law	law
because	becaus	because
the	the	the
missiles	missil	missile
could	could	could
carry	carri	carry
nuclear	nuclear	nuclear
warheads	warhead	warhead
in	in	in
the	the	the
future	futur	future
.	.	.

Iran	iran	Iran
denies	deni	denies
it	it	it
is	is	is
seeking	seek	seeking
nuclear	nuclear	nuclear
weapons	weapon	weapon
and	and	and
says	say	say
its	it	it
nuclear	nuclear	nuclear
program	program	program
is	is	is
for	for	for
civilian	civilian	civilian
uses	use	us
only	onli	only
.	.	.

