BEIJING	beij	BEIJING
Reuters	reuter	Reuters
-	-	-
Chinese	chines	Chinese
authorities	author	authority
on	on	on
Monday	monday	Monday
arrested	arrest	arrested
a	a	a
Japanese	japanes	Japanese
citizen	citizen	citizen
suspected	suspect	suspected
of	of	of
spying	spi	spying
,	,	,
local	local	local
state	state	state
media	media	medium
said	said	said
.	.	.
The	the	The
arrest	arrest	arrest
was	was	wa
made	made	made
in	in	in
the	the	the
port	port	port
city	citi	city
of	of	of
Dalian	dalian	Dalian
in	in	in
the	the	the
northeastern	northeastern	northeastern
Liaoning	liaon	Liaoning
province	provinc	province
,	,	,
which	which	which
borders	border	border
North	north	North
Korea	korea	Korea
,	,	,
the	the	the
official	offici	official
Dalian	dalian	Dalian
Daily	daili	Daily
s	s	s
online	onlin	online
report	report	report
said	said	said
.	.	.
The	the	The
report	report	report
said	said	said
Ken	ken	Ken
Higuchi	higuchi	Higuchi
was	was	wa
being	be	being
investigated	investig	investigated
by	by	by
the	the	the
Dalian	dalian	Dalian
City	citi	City
National	nation	National
Security	secur	Security
Bureau	bureau	Bureau
on	on	on
suspicion	suspicion	suspicion
of	of	of
spying	spi	spying
against	against	against
China	china	China
,	,	,
and	and	and
that	that	that
prosecutors	prosecutor	prosecutor
had	had	had
approved	approv	approved
his	his	his
arrest	arrest	arrest
.	.	.
The	the	The
character	charact	character
given	given	given
for	for	for
Higuchi	higuchi	Higuchi
s	s	s
first	first	first
name	name	name
could	could	could
also	also	also
be	be	be
the	the	the
names	name	name
Takeshi	takeshi	Takeshi
or	or	or
Takeru	takeru	Takeru
.	.	.
It	it	It
was	was	wa
unclear	unclear	unclear
from	from	from
the	the	the
report	report	report
,	,	,
however	howev	however
,	,	,
whether	whether	whether
Higuchi	higuchi	Higuchi
was	was	wa
a	a	a
new	new	new
case	case	case
or	or	or
whether	whether	whether
he	he	he
had	had	had
been	been	been
detained	detain	detained
earlier	earlier	earlier
,	,	,
and	and	and
the	the	the
latest	latest	latest
development	develop	development
was	was	wa
his	his	his
formal	formal	formal
arrest	arrest	arrest
.	.	.
China	china	China
detained	detain	detained
six	six	six
Japanese	japanes	Japanese
nationals	nation	national
in	in	in
March	march	March
on	on	on
suspicion	suspicion	suspicion
of	of	of
illegal	illeg	illegal
activities	activ	activity
.	.	.
Four	four	Four
of	of	of
the	the	the
six	six	six
returned	return	returned
to	to	to
Japan	japan	Japan
in	in	in
July	juli	July
,	,	,
three	three	three
of	of	of
whom	whom	whom
were	were	were
there	there	there
doing	do	doing
geological	geolog	geological
research	research	research
into	into	into
hotsprings	hotspr	hotsprings
,	,	,
according	accord	according
to	to	to
their	their	their
employer	employ	employer
.	.	.
China	china	China
s	s	s
foreign	foreign	foreign
ministry	ministri	ministry
also	also	also
in	in	in
July	juli	July
said	said	said
that	that	that
a	a	a
single	singl	single
Japanese	japanes	Japanese
citizen	citizen	citizen
was	was	wa
being	be	being
investigated	investig	investigated
on	on	on
suspicion	suspicion	suspicion
of	of	of
harming	harm	harming
China	china	China
s	s	s
national	nation	national
security	secur	security
.	.	.
Reuters	reuter	Reuters
was	was	wa
unable	unabl	unable
to	to	to
contact	contact	contact
Japan	japan	Japan
s	s	s
foreign	foreign	foreign
ministry	ministri	ministry
by	by	by
telephone	telephon	telephone
.	.	.
Monday	monday	Monday
was	was	wa
a	a	a
national	nation	national
holiday	holiday	holiday
in	in	in
Japan	japan	Japan
.	.	.
China	china	China
s	s	s
relationship	relationship	relationship
with	with	with
Japan	japan	Japan
has	has	ha
been	been	been
strained	strain	strained
for	for	for
decades	decad	decade
over	over	over
the	the	the
legacy	legaci	legacy
of	of	of
Japan	japan	Japan
s	s	s
wartime	wartim	wartime
aggression	aggress	aggression
,	,	,
while	while	while
a	a	a
maritime	maritim	maritime
territorial	territori	territorial
dispute	disput	dispute
over	over	over
small	small	small
islands	island	island
in	in	in
the	the	the
East	east	East
China	china	China
Sea	sea	Sea
has	has	ha
in	in	in
recent	recent	recent
years	year	year
added	ad	added
to	to	to
the	the	the
suspicion	suspicion	suspicion
between	between	between
the	the	the
two	two	two
sides	side	side
.	.	.
In	in	In
2010	2010	2010
,	,	,
four	four	four
Japanese	japanes	Japanese
nationals	nation	national
were	were	were
detained	detain	detained
in	in	in
China	china	China
on	on	on
suspicion	suspicion	suspicion
of	of	of
entering	enter	entering
a	a	a
military	militari	military
zone	zone	zone
and	and	and
taking	take	taking
photographs	photograph	photograph
without	without	without
permission	permiss	permission
.	.	.
At	at	At
least	least	least
two	two	two
Japanese	japanes	Japanese
citizens	citizen	citizen
were	were	were
arrested	arrest	arrested
on	on	on
suspicion	suspicion	suspicion
of	of	of
espionage	espionag	espionage
in	in	in
2015	2015	2015
.	.	.
Last	last	Last
year	year	year
,	,	,
China	china	China
said	said	said
it	it	it
was	was	wa
investigating	investig	investigating
a	a	a
Japanese	japanes	Japanese
citizen	citizen	citizen
on	on	on
suspicion	suspicion	suspicion
of	of	of
endangering	endang	endangering
national	nation	national
security	secur	security
.	.	.
