AUSTIN	austin	AUSTIN
,	,	,
Texas	texa	Texas
Reuters	reuter	Reuters
-	-	-
The	the	The
Texas	texa	Texas
Court	court	Court
of	of	of
Criminal	crimin	Criminal
Appeals	appeal	Appeals
on	on	on
Wednesday	wednesday	Wednesday
dismissed	dismiss	dismissed
an	an	an
abuse	abus	abuse
of	of	of
power	power	power
indictment	indict	indictment
against	against	against
Rick	rick	Rick
Perry	perri	Perry
,	,	,
ending	end	ending
a	a	a
case	case	case
that	that	that
dragged	drag	dragged
on	on	on
the	the	the
former	former	former
Texas	texa	Texas
governor	governor	governor
s	s	s
unsuccessful	unsuccess	unsuccessful
bid	bid	bid
for	for	for
the	the	the
2016	2016	2016
Republican	republican	Republican
presidential	presidenti	presidential
nomination	nomin	nomination
.	.	.

Perry	perri	Perry
,	,	,
who	who	who
campaigned	campaign	campaigned
for	for	for
the	the	the
nomination	nomin	nomination
in	in	in
2012	2012	2012
and	and	and
2016	2016	2016
,	,	,
faced	face	faced
a	a	a
first	first	first
-degree	-degre	-degree
felony	feloni	felony
charge	charg	charge
in	in	in
state	state	state
courts	court	court
that	that	that
could	could	could
have	have	have
brought	brought	brought
up	up	up
to	to	to
99	99	99
years	year	year
in	in	in
prison	prison	prison
because	becaus	because
of	of	of
a	a	a
funding	fund	funding
veto	veto	veto
he	he	he
made	made	made
in	in	in
2013	2013	2013
seen	seen	seen
as	as	a
being	be	being
intended	intend	intended
to	to	to
force	forc	force
a	a	a
Texas	texa	Texas
county	counti	county
district	district	district
attorney	attorney	attorney
to	to	to
resign	resign	resign
.	.	.

When	when	When
the	the	the
only	onli	only
act	act	act
that	that	that
is	is	is
being	be	being
prosecuted	prosecut	prosecuted
is	is	is
a	a	a
veto	veto	veto
,	,	,
then	then	then
the	the	the
prosecution	prosecut	prosecution
itself	itself	itself
violates	violat	violates
separation	separ	separation
of	of	of
powers	power	power
,	,	,
the	the	the
court	court	court
said	said	said
.	.	.

The	the	The
longest	longest	longest
serving	serv	serving
governor	governor	governor
in	in	in
Texas	texa	Texas
history	histori	history
,	,	,
Perry	perri	Perry
,	,	,
65	65	65
,	,	,
was	was	wa
indicted	indict	indicted
on	on	on
the	the	the
two	two	two
charges	charg	charge
in	in	in
August	august	August
2014	2014	2014
by	by	by
a	a	a
grand	grand	grand
jury	juri	jury
in	in	in
Travis	travi	Travis
County	counti	County
,	,	,
a	a	a
Democratic	democrat	Democratic
stronghold	stronghold	stronghold
in	in	in
the	the	the
heavily	heavili	heavily
Republican	republican	Republican
state	state	state
.	.	.

The	the	The
court	court	court
s	s	s
decision	decis	decision
today	today	today
proves	prove	prof
that	that	that
this	this	this
indictment	indict	indictment
was	was	wa
nothing	noth	nothing
less	less	le
than	than	than
a	a	a
baseless	baseless	baseless
political	polit	political
attack	attack	attack
,	,	,
Perry	perri	Perry
told	told	told
a	a	a
news	news	news
conference	confer	conference
.	.	.

I	i	I
have	have	have
always	alway	always
known	known	known
that	that	that
the	the	the
actions	action	action
that	that	that
I	i	I
took	took	took
were	were	were
not	not	not
only	onli	only
lawful	law	lawful
and	and	and
legal	legal	legal
-	-	-
they	they	they
were	were	were
right	right	right
.	.	.
He	he	He
first	first	first
threatened	threaten	threatened
and	and	and
then	then	then
vetoed	veto	vetoed
7	7	7
.	.	.
5	5	5
million	million	million
for	for	for
an	an	an
integrity	integr	integrity
unit	unit	unit
in	in	in
the	the	the
Travis	travi	Travis
County	counti	County
District	district	District
Attorney	attorney	Attorney
s	s	s
office	offic	office
.	.	.

Many	mani	Many
said	said	said
Perry	perri	Perry
played	play	played
hardball	hardbal	hardball
politics	polit	politics
to	to	to
force	forc	force
out	out	out
county	counti	county
District	district	District
Attorney	attorney	Attorney
Rosemary	rosemari	Rosemary
Lehmberg	lehmberg	Lehmberg
,	,	,
a	a	a
Democrat	democrat	Democrat
,	,	,
after	after	after
she	she	she
pleaded	plead	pleaded
guilty	guilti	guilty
to	to	to
drunken	drunken	drunken
driving	drive	driving
.	.	.

In	in	In
July	juli	July
2015	2015	2015
,	,	,
a	a	a
Texas	texa	Texas
state	state	state
appeals	appeal	appeal
court	court	court
threw	threw	threw
out	out	out
a	a	a
lesser	lesser	lesser
charge	charg	charge
against	against	against
Perry	perri	Perry
for	for	for
coercion	coercion	coercion
of	of	of
a	a	a
public	public	public
official	offici	official
,	,	,
leaving	leav	leaving
only	onli	only
the	the	the
abuse	abus	abuse
-of-power	-of-pow	-of-power
charge	charg	charge
.	.	.

Lawyers	lawyer	Lawyers
for	for	for
Perry	perri	Perry
,	,	,
whose	whose	whose
term	term	term
ended	end	ended
at	at	at
the	the	the
start	start	start
of	of	of
2015	2015	2015
,	,	,
have	have	have
argued	argu	argued
the	the	the
governor	governor	governor
was	was	wa
acting	act	acting
within	within	within
his	his	his
powers	power	power
when	when	when
he	he	he
made	made	made
the	the	the
funding	fund	funding
cut	cut	cut
.	.	.

A	a	A
prosecutor	prosecutor	prosecutor
in	in	in
the	the	the
case	case	case
said	said	said
that	that	that
Perry	perri	Perry
acted	act	acted
unlawfully	unlaw	unlawfully
to	to	to
pressure	pressur	pressure
Lehmberg	lehmberg	Lehmberg
by	by	by
threatening	threaten	threatening
the	the	the
funding	fund	funding
cut	cut	cut
.	.	.

Lehmberg	lehmberg	Lehmberg
remained	remain	remained
in	in	in
office	offic	office
.	.	.

In	in	In
September	septemb	September
2015	2015	2015
,	,	,
Perry	perri	Perry
,	,	,
struggling	struggl	struggling
to	to	to
raise	rais	raise
money	money	money
and	and	and
languishing	languish	languishing
near	near	near
the	the	the
bottom	bottom	bottom
in	in	in
presidential	presidenti	presidential
opinion	opinion	opinion
polls	poll	poll
,	,	,
became	becam	became
the	the	the
first	first	first
member	member	member
of	of	of
the	the	the
crowded	crowd	crowded
Republican	republican	Republican
field	field	field
to	to	to
drop	drop	drop
out	out	out
of	of	of
the	the	the
2016	2016	2016
White	white	White
House	hous	House
race	race	race
.	.	.

On	on	On
the	the	the
campaign	campaign	campaign
trail	trail	trail
,	,	,
Perry	perri	Perry
tried	tri	tried
to	to	to
rally	ralli	rally
support	support	support
among	among	among
Republican	republican	Republican
voters	voter	voter
by	by	by
saying	say	saying
the	the	the
indictment	indict	indictment
was	was	wa
the	the	the
result	result	result
of	of	of
a	a	a
partisan	partisan	partisan
attack	attack	attack
by	by	by
Democrats	democrat	Democrats
.	.	.

Analysts	analyst	Analysts
noted	note	noted
,	,	,
however	howev	however
,	,	,
the	the	the
threat	threat	threat
of	of	of
a	a	a
trial	trial	trial
during	dure	during
his	his	his
campaign	campaign	campaign
likely	like	likely
scared	scare	scared
away	away	away
major	major	major
donors	donor	donor
,	,	,
dooming	doom	dooming
a	a	a
campaign	campaign	campaign
seen	seen	seen
as	as	a
a	a	a
long	long	long
-shot	-shot	-shot
.	.	.

Perry	perri	Perry
dropped	drop	dropped
out	out	out
of	of	of
a	a	a
gaffe	gaff	gaffe
-filled	-fill	-filled
campaign	campaign	campaign
for	for	for
the	the	the
2012	2012	2012
Republican	republican	Republican
presidential	presidenti	presidential
nomination	nomin	nomination
.	.	.

