LONDON	london	LONDON
Reuters	reuter	Reuters
-	-	-
Britain	britain	Britain
s	s	s
foreign	foreign	foreign
minister	minist	minister
Boris	bori	Boris
Johnson	johnson	Johnson
was	was	wa
accused	accus	accused
by	by	by
cabinet	cabinet	cabinet
colleagues	colleagu	colleague
on	on	on
Sunday	sunday	Sunday
of	of	of
backseat	backseat	backseat
driving	drive	driving
on	on	on
Brexit	brexit	Brexit
after	after	after
setting	set	setting
out	out	out
his	his	his
own	own	own
vision	vision	vision
of	of	of
the	the	the
country	countri	country
s	s	s
future	futur	future
outside	outsid	outside
the	the	the
European	european	European
Union	union	Union
.	.	.
Only	onli	Only
days	day	day
before	befor	before
Prime	prime	Prime
Minister	minist	Minister
Theresa	theresa	Theresa
May	may	May
is	is	is
due	due	due
to	to	to
speak	speak	speak
in	in	in
Italy	itali	Italy
about	about	about
Britain	britain	Britain
s	s	s
planned	plan	planned
EU	eu	EU
departure	departur	departure
,	,	,
Johnson	johnson	Johnson
on	on	on
Saturday	saturday	Saturday
published	publish	published
a	a	a
4	4	4
,	,	,
300	300	300
-word	-word	-word
newspaper	newspap	newspaper
article	articl	article
that	that	that
roamed	roam	roamed
well	well	well
beyond	beyond	beyond
his	his	his
ministerial	ministeri	ministerial
brief	brief	brief
and	and	and
,	,	,
in	in	in
some	some	some
cases	case	case
,	,	,
the	the	the
approach	approach	approach
set	set	set
out	out	out
by	by	by
the	the	the
government	govern	government
.	.	.
Interior	interior	Interior
minister	minist	minister
Amber	amber	Amber
Rudd	rudd	Rudd
said	said	said
it	it	it
was	was	wa
absolutely	absolut	absolutely
fine	fine	fine
for	for	for
the	the	the
foreign	foreign	foreign
secretary	secretari	secretary
to	to	to
intervene	interven	intervene
publicly	public	publicly
but	but	but
that	that	that
she	she	she
did	did	did
not	not	not
want	want	want
him	him	him
managing	manag	managing
the	the	the
Brexit	brexit	Brexit
process	process	process
.	.	.
What	what	What
we	we	we
ve	ve	ve
got	got	got
is	is	is
Theresa	theresa	Theresa
May	may	May
managing	manag	managing
that	that	that
process	process	process
,	,	,
she	she	she
s	s	s
driving	drive	driving
the	the	the
car	car	car
,	,	,
Rudd	rudd	Rudd
told	told	told
the	the	the
BBC	bbc	BBC
s	s	s
Andrew	andrew	Andrew
Marr	marr	Marr
on	on	on
Sunday	sunday	Sunday
.	.	.
Asked	ask	Asked
if	if	if
Johnson	johnson	Johnson
was	was	wa
backseat	backseat	backseat
driving	drive	driving
,	,	,
she	she	she
replied	repli	replied
Yes	yes	Yes
,	,	,
you	you	you
could	could	could
call	call	call
it	it	it
backseat	backseat	backseat
driving	drive	driving
,	,	,
absolutely	absolut	absolutely
.	.	.
Johnson	johnson	Johnson
s	s	s
article	articl	article
re	re	re
-ignited	-ignit	-ignited
speculation	specul	speculation
that	that	that
he	he	he
would	would	would
challenge	challeng	challenge
May	may	May
for	for	for
the	the	the
leadership	leadership	leadership
of	of	of
the	the	the
Conservative	conserv	Conservative
Party	parti	Party
.	.	.
Rudd	rudd	Rudd
,	,	,
however	howev	however
,	,	,
said	said	said
she	she	she
did	did	did
not	not	not
think	think	think
Johnson	johnson	Johnson
was	was	wa
laying	lay	laying
the	the	the
groundwork	groundwork	groundwork
to	to	to
challenge	challeng	challenge
May	may	May
.	.	.
I	i	I
think	think	think
that	that	that
he	he	he
,	,	,
like	like	like
I	i	I
,	,	,
supports	support	support
the	the	the
prime	prime	prime
minister	minist	minister
at	at	at
this	this	this
difficult	difficult	difficult
time	time	time
as	as	a
we	we	we
try	tri	try
to	to	to
conclude	conclud	conclude
the	the	the
negotiations	negoti	negotiation
with	with	with
the	the	the
EU	eu	EU
,	,	,
she	she	she
said	said	said
.	.	.
May	may	May
s	s	s
deputy	deputi	deputy
,	,	,
Damian	damian	Damian
Green	green	Green
,	,	,
also	also	also
weighed	weigh	weighed
in	in	in
,	,	,
saying	say	saying
that	that	that
Johnson	johnson	Johnson
had	had	had
written	written	written
a	a	a
very	veri	very
exuberant	exuber	exuberant
article	articl	article
but	but	but
it	it	it
was	was	wa
absolutely	absolut	absolutely
clear	clear	clear
to	to	to
everyone	everyon	everyone
that	that	that
the	the	the
driver	driver	driver
of	of	of
the	the	the
car	car	car
in	in	in
this	this	this
instance	instanc	instance
is	is	is
the	the	the
prime	prime	prime
minister	minist	minister
.	.	.
It	it	It
is	is	is
the	the	the
job	job	job
of	of	of
the	the	the
rest	rest	rest
of	of	of
us	us	u
in	in	in
the	the	the
cabinet	cabinet	cabinet
to	to	to
agree	agre	agree
on	on	on
a	a	a
set	set	set
of	of	of
proposals	propos	proposal
and	and	and
get	get	get
behind	behind	behind
those	those	those
proposals	propos	proposal
and	and	and
get	get	get
behind	behind	behind
the	the	the
prime	prime	prime
minister	minist	minister
,	,	,
Green	green	Green
told	told	told
BBC	bbc	BBC
TV	tv	TV
.	.	.
Johnson	johnson	Johnson
wrote	wrote	wrote
in	in	in
the	the	the
Daily	daili	Daily
Telegraph	telegraph	Telegraph
that	that	that
Britain	britain	Britain
would	would	would
not	not	not
pay	pay	pay
to	to	to
access	access	access
the	the	the
EU	eu	EU
market	market	market
in	in	in
the	the	the
future	futur	future
.	.	.
Once	onc	Once
out	out	out
of	of	of
the	the	the
EU	eu	EU
,	,	,
the	the	the
country	countri	country
should	should	should
borrow	borrow	borrow
to	to	to
invest	invest	invest
in	in	in
infrastructure	infrastructur	infrastructure
,	,	,
reform	reform	reform
the	the	the
tax	tax	tax
code	code	code
and	and	and
set	set	set
immigration	immigr	immigration
levels	level	level
as	as	a
it	it	it
sees	see	see
fit	fit	fit
,	,	,
he	he	he
said	said	said
.	.	.
Johnson	johnson	Johnson
also	also	also
repeated	repeat	repeated
the	the	the
Brexit	brexit	Brexit
campaign	campaign	campaign
claim	claim	claim
that	that	that
the	the	the
government	govern	government
would	would	would
be	be	be
350	350	350
million	million	million
pounds	pound	pound
476	476	476
million	million	million
a	a	a
week	week	week
better	better	better
off	off	off
outside	outsid	outside
the	the	the
EU	eu	EU
.	.	.
Government	govern	Government
officials	offici	official
criticized	critic	criticized
Johnson	johnson	Johnson
for	for	for
repeating	repeat	repeating
the	the	the
claim	claim	claim
,	,	,
saying	say	saying
the	the	the
figure	figur	figure
does	doe	doe
not	not	not
take	take	take
into	into	into
account	account	account
the	the	the
funding	fund	funding
Britain	britain	Britain
receives	receiv	receives
back	back	back
from	from	from
Brussels	brussel	Brussels
.	.	.
David	david	David
Norgrove	norgrov	Norgrove
,	,	,
of	of	of
the	the	the
UK	uk	UK
Statistics	statist	Statistics
Authority	author	Authority
,	,	,
said	said	said
he	he	he
was	was	wa
surprised	surpris	surprised
and	and	and
disappointed	disappoint	disappointed
that	that	that
Johnson	johnson	Johnson
was	was	wa
still	still	still
quoting	quot	quoting
a	a	a
figure	figur	figure
that	that	that
confused	confus	confused
gross	gross	gross
and	and	and
net	net	net
contributions	contribut	contribution
.	.	.
It	it	It
is	is	is
a	a	a
clear	clear	clear
misuse	misus	misuse
of	of	of
official	offici	official
statistics	statist	statistic
,	,	,
Norgrove	norgrov	Norgrove
said	said	said
in	in	in
a	a	a
letter	letter	letter
to	to	to
Johnson	johnson	Johnson
on	on	on
Sunday	sunday	Sunday
.	.	.
Johnson	johnson	Johnson
said	said	said
in	in	in
reply	repli	reply
that	that	that
Norgrove	norgrov	Norgrove
s	s	s
letter	letter	letter
was	was	wa
based	base	based
on	on	on
what	what	what
appeared	appear	appeared
to	to	to
be	be	be
a	a	a
wilful	wil	wilful
distortion	distort	distortion
of	of	of
the	the	the
text	text	text
of	of	of
my	my	my
article	articl	article
and	and	and
asked	ask	asked
the	the	the
official	offici	official
to	to	to
withdraw	withdraw	withdraw
it	it	it
.	.	.
The	the	The
timing	time	timing
of	of	of
Johnson	johnson	Johnson
s	s	s
article	articl	article
published	publish	published
a	a	a
day	day	day
after	after	after
a	a	a
bomb	bomb	bomb
injured	injur	injured
30	30	30
people	peopl	people
on	on	on
a	a	a
train	train	train
in	in	in
London	london	London
also	also	also
drew	drew	drew
criticism	critic	criticism
from	from	from
some	some	some
colleagues	colleagu	colleague
.	.	.
Reacting	react	Reacting
to	to	to
the	the	the
furor	furor	furor
his	his	his
article	articl	article
had	had	had
generated	generat	generated
,	,	,
Johnson	johnson	Johnson
tweeted	tweet	tweeted
on	on	on
Saturday	saturday	Saturday
Looking	look	Looking
forward	forward	forward
to	to	to
PM	pm	PM
s	s	s
Florence	florenc	Florence
Speech	speech	Speech
.	.	.
All	all	All
behind	behind	behind
Theresa	theresa	Theresa
for	for	for
a	a	a
glorious	glorious	glorious
Brexit	brexit	Brexit
.	.	.
